,wikidata_id,meta_occupation
0,Q1000034,mathematician
1,Q1000581,mathematician
2,Q1000608,anthropologist
3,Q1000929,geneticist
4,Q1001161,geologist
5,Q1001277,zoologist
6,Q100210,philosopher
7,Q100210,anthropologist
8,Q100222,botanist
9,Q1002329,botanist
10,Q100275,botanist
11,Q100276765,physicist
12,Q100277,chemist
13,Q100280,geologist
14,Q100288,philosopher
15,Q1003114,botanist
16,Q100330715,pharmacologist
17,Q100330715,chemist
18,Q1003450,geographer
19,Q100346,astronomer
20,Q100346,mathematician
21,Q1003646,zoologist
22,Q1003681,physicist
23,Q1003681,mathematician
24,Q100374862,astronomer
25,Q1003905,botanist
26,Q1003987,meteorologist
27,Q1004050,zoologist
28,Q1004128,musicologist
29,Q1004128,historian
30,Q1004178,archeologist
31,Q100445,physicist
32,Q100445,mathematician
33,Q1004517,botanist
34,Q1004524,historian
35,Q1004524,botanist
36,Q1004586,zoologist
37,Q100460,mathematician
38,Q1004779,geographer
39,Q1004812,astronomer
40,Q100487,archeologist
41,Q100487,historian
42,Q100526,mathematician
43,Q100531,archeologist
44,Q100531,historian
45,Q100532,archeologist
46,Q100532,historian
47,Q100532,linguist
48,Q100538,archeologist
49,Q100538,historian
50,Q100538,linguist
51,Q100557,economist
52,Q100565,botanist
53,Q1006030,botanist
54,Q100616,botanist
55,Q100645,chemist
56,Q100676,mathematician
57,Q100685,anatomist
58,Q100686,mathematician
59,Q100687,chemist
60,Q100699,zoologist
61,Q100701,mathematician
62,Q100707,anatomist
63,Q1007175,geographer
64,Q100742159,linguist
65,Q1007644,historian
66,Q1007644,economist
67,Q100778,mathematician
68,Q1007843,botanist
69,Q100821,mathematician
70,Q100828,anatomist
71,Q1008527,pharmacologist
72,Q1008732,economist
73,Q100876,theologian
74,Q100876,zoologist
75,Q1008847,anthropologist
76,Q1008847,historian
77,Q1008848,astronomer
78,Q1008906,historian
79,Q100910,geographer
80,Q100918,astronomer
81,Q100927,astronomer
82,Q100950,anthropologist
83,Q1009506,archeologist
84,Q1009506,anthropologist
85,Q1009506,historian
86,Q100969163,physicist
87,Q101001,geographer
88,Q101002,historian
89,Q1010025,geologist
90,Q101012,linguist
91,Q101015979,geologist
92,Q1010215,economist
93,Q101024,botanist
94,Q101027,zoologist
95,Q101027,botanist
96,Q101041,botanist
97,Q101044974,chemist
98,Q101052,botanist
99,Q101067263,historian
100,Q101078161,archeologist
101,Q101131390,linguist
102,Q1011794,archeologist
103,Q101208594,archeologist
104,Q101208594,historian
105,Q101324,geologist
106,Q101336,historian
107,Q101366,geographer
108,Q101370,economist
109,Q101385210,philosopher
110,Q101402,astronomer
111,Q101437,historian
112,Q101437,geographer
113,Q101463,theologian
114,Q101463,historian
115,Q101463,botanist
116,Q101463,mathematician
117,Q101463,archeologist
118,Q101490,linguist
119,Q101582847,botanist
120,Q101733,anthropologist
121,Q101733,zoologist
122,Q101736,anatomist
123,Q101853,geographer
124,Q101915,archeologist
125,Q101915,historian
126,Q101923,musicologist
127,Q101923,historian
128,Q101923,geologist
129,Q101944,economist
130,Q101975,botanist
131,Q102001,chemist
132,Q102001,historian
133,Q102006327,geographer
134,Q102018,astronomer
135,Q102018,mathematician
136,Q102022,historian
137,Q102065,physicist
138,Q102107,anatomist
139,Q102116,anatomist
140,Q1022476,theologian
141,Q102288951,economist
142,Q10240,economist
143,Q102412875,astronomer
144,Q102412875,mathematician
145,Q102432298,geographer
146,Q102490,physicist
147,Q102490,mathematician
148,Q102493,botanist
149,Q102540,botanist
150,Q102542,economist
151,Q102556,botanist
152,Q102571,anatomist
153,Q102592,archeologist
154,Q102596,zoologist
155,Q102596,botanist
156,Q102597,astronomer
157,Q10260633,geographer
158,Q10261,philosopher
159,Q10261,musicologist
160,Q10261,mathematician
161,Q102640,astronomer
162,Q102640,mathematician
163,Q102640,geologist
164,Q10266594,geographer
165,Q10267984,geographer
166,Q1026865,musicologist
167,Q10268889,geographer
168,Q1026906,astronomer
169,Q102724,botanist
170,Q1027636,economist
171,Q10276989,chemist
172,Q10276989,geologist
173,Q10284482,geographer
174,Q10284756,anthropologist
175,Q10284967,botanist
176,Q10284995,archeologist
177,Q102851,philosopher
178,Q102851,musicologist
179,Q102851,mathematician
180,Q102853,astronomer
181,Q10285493,mathematician
182,Q10285577,geographer
183,Q10285881,astronomer
184,Q10287883,archeologist
185,Q10287883,historian
186,Q10288430,geographer
187,Q1028890,botanist
188,Q10289132,geographer
189,Q102898,physicist
190,Q1029105,mathematician
191,Q1029228,botanist
192,Q1029331,mathematician
193,Q1029392,mathematician
194,Q1029392,historian
195,Q10294687,zoologist
196,Q10294794,historian
197,Q10294794,geographer
198,Q10295079,zoologist
199,Q10295962,geographer
200,Q10299689,mathematician
201,Q10299689,historian
202,Q10299689,linguist
203,Q10303366,philosopher
204,Q10303366,mathematician
205,Q103042,astronomer
206,Q10305051,botanist
207,Q10307055,mathematician
208,Q10307132,geographer
209,Q10307166,geologist
210,Q10307238,economist
211,Q10307378,archeologist
212,Q10307747,botanist
213,Q10307767,botanist
214,Q10307778,botanist
215,Q10307781,botanist
216,Q10307797,zoologist
217,Q10308064,paleontologist
218,Q10308727,zoologist
219,Q10309143,geographer
220,Q10309228,geographer
221,Q10309665,mathematician
222,Q103102,archeologist
223,Q103102,historian
224,Q10310611,botanist
225,Q10310867,botanist
226,Q10311118,mathematician
227,Q10311118,geographer
228,Q10311400,astronomer
229,Q10311400,mathematician
230,Q10312817,zoologist
231,Q10313177,archeologist
232,Q1031841,sociologist
233,Q1031841,economist
234,Q103202,botanist
235,Q1032088,botanist
236,Q1032389,mathematician
237,Q10324493,archeologist
238,Q10324493,historian
239,Q1032743,economist
240,Q103291,economist
241,Q1032924,archeologist
242,Q1032924,historian
243,Q1033035,astronomer
244,Q1033035,mathematician
245,Q103309,paleontologist
246,Q103331,physicist
247,Q1033420,archeologist
248,Q1033420,anthropologist
249,Q103357,musicologist
250,Q1033711,paleontologist
251,Q1033711,botanist
252,Q1033739,zoologist
253,Q103393,chemist
254,Q10344159,botanist
255,Q1034478,archeologist
256,Q1034588,botanist
257,Q10346273,geologist
258,Q103471,zoologist
259,Q10349015,physicist
260,Q10349015,botanist
261,Q10349676,botanist
262,Q1035,geologist
263,Q1035,botanist
264,Q1035,philosopher
265,Q1035,zoologist
266,Q1035148,physicist
267,Q1035327,economist
268,Q103541,astronomer
269,Q103541,mathematician
270,Q1035877,geographer
271,Q1035881,chemist
272,Q1036002,botanist
273,Q103607,anthropologist
274,Q103607,historian
275,Q10363185,zoologist
276,Q10363185,botanist
277,Q1036652,geologist
278,Q1036690,botanist
279,Q1036722,chemist
280,Q1036732,geologist
281,Q1036743,chemist
282,Q1036890,economist
283,Q10369134,archeologist
284,Q1037005,geologist
285,Q1037058,theologian
286,Q1037086,chemist
287,Q1037213,sociologist
288,Q103736,pharmacologist
289,Q1037361,chemist
290,Q103743,philosopher
291,Q103743,historian
292,Q103743,archeologist
293,Q1037484,geographer
294,Q103758,zoologist
295,Q1037612,geologist
296,Q1037646,geologist
297,Q1037646,botanist
298,Q1037694,geologist
299,Q1037762,paleontologist
300,Q1037762,geologist
301,Q1037766,geographer
302,Q1037898,linguist
303,Q1037905,botanist
304,Q1037914,botanist
305,Q1037983,mathematician
306,Q103800,geographer
307,Q1038024,botanist
308,Q1038108,pharmacologist
309,Q1038108,botanist
310,Q1038118,botanist
311,Q10381986,botanist
312,Q10382178,botanist
313,Q1038265,archeologist
314,Q1038265,historian
315,Q103830,geographer
316,Q103831,historian
317,Q103831,geographer
318,Q1038332,musicologist
319,Q1038350,historian
320,Q1038457,chemist
321,Q1038649,chemist
322,Q1038666,economist
323,Q1038678,mathematician
324,Q1038787,geologist
325,Q1038797,chemist
326,Q1038851,anthropologist
327,Q1038851,geographer
328,Q1038891,physicist
329,Q1038901,chemist
330,Q1038962,mathematician
331,Q1038962,historian
332,Q1038980,geologist
333,Q1038987,zoologist
334,Q1038987,paleontologist
335,Q1038987,geologist
336,Q1039038,mathematician
337,Q1039116,chemist
338,Q10393618,historian
339,Q10393618,theologian
340,Q10393706,botanist
341,Q10393733,chemist
342,Q1039407,botanist
343,Q103944,chemist
344,Q1039509,geologist
345,Q1039548,geographer
346,Q1039580,historian
347,Q1039580,geographer
348,Q1039749,chemist
349,Q103981804,archeologist
350,Q103981804,meteorologist
351,Q1039950,mathematician
352,Q10400374,astronomer
353,Q10400374,geographer
354,Q1040068,astronomer
355,Q1040071,pharmacologist
356,Q104024,geographer
357,Q104031,philosopher
358,Q1040418,historian
359,Q104049546,geologist
360,Q1040583,physicist
361,Q1040583,mathematician
362,Q1040777,linguist
363,Q1040879,geographer
364,Q1041067,botanist
365,Q1041198,chemist
366,Q104145,chemist
367,Q104154,astronomer
368,Q104154,mathematician
369,Q104154,meteorologist
370,Q1041712,archeologist
371,Q1041712,anthropologist
372,Q104177574,mathematician
373,Q104178460,historian
374,Q104178460,geographer
375,Q104184348,paleontologist
376,Q104184348,geologist
377,Q1042089,economist
378,Q1042124,archeologist
379,Q1042450,anatomist
380,Q104263,zoologist
381,Q1042948,astronomer
382,Q104296,historian
