,wikidata_id,name,year,cultural_score,occupation
0,Q3136004,Hippolyte-Marie Crouan,"(1810, 1860)",0.10058053784363526,botanist
1,Q3172776,Jean Jacques Nicolas Huot,"(1800, 1850)",0.10208401585601333,geographer
2,Q3172776,Jean Jacques Nicolas Huot,"(1800, 1850)",0.10208401585601333,paleontologist
3,Q3172776,Jean Jacques Nicolas Huot,"(1800, 1850)",0.10208401585601333,geologist
4,Q482189,Amédée Louis Michel Le Peletier de Saint-Fargeau,"(1780, 1830)",0.10348570168647699,zoologist
5,Q482189,Amédée Louis Michel Le Peletier de Saint-Fargeau,"(1780, 1830)",0.10348570168647699,entomologist
6,Q482189,Amédée Louis Michel Le Peletier de Saint-Fargeau,"(1780, 1830)",0.10348570168647699,encyclopédistes
7,Q23760557,Jean-François Derosne,"(1780, 1830)",0.10025877121346091,chemist
8,Q3379904,Philippe Gengembre,"(1770, 1820)",0.10081822207547557,chemist
9,Q3379904,Philippe Gengembre,"(1770, 1820)",0.10081822207547557,numismatist
10,Q16193786,Antoine Noisette,"(1790, 1840)",0.10017974446704775,landscape architect
11,Q16193786,Antoine Noisette,"(1790, 1840)",0.10017974446704775,naturalist
12,Q16193786,Antoine Noisette,"(1790, 1840)",0.10017974446704775,horticulturist
13,Q953760,Jules Marcou,"(1830, 1880)",0.10237966596295119,geologist
14,Q953760,Jules Marcou,"(1830, 1880)",0.10237966596295119,university teacher
15,Q3383997,Pierre Bigot de Morogues,"(1790, 1840)",0.10035615269819337,agronomist
16,Q508976,Jérémie Jacques Oberlin,"(1750, 1800)",0.10319962746464552,anthropologist
17,Q508976,Jérémie Jacques Oberlin,"(1750, 1800)",0.10319962746464552,archaeologist
18,Q508976,Jérémie Jacques Oberlin,"(1750, 1800)",0.10319962746464552,linguist
19,Q508976,Jérémie Jacques Oberlin,"(1750, 1800)",0.10319962746464552,university teacher
20,Q336010,Charles Nodier,"(1790, 1840)",0.12801548915852504,entomologist
21,Q336010,Charles Nodier,"(1790, 1840)",0.12801548915852504,novelist
22,Q336010,Charles Nodier,"(1790, 1840)",0.12801548915852504,literary critic
23,Q336010,Charles Nodier,"(1790, 1840)",0.12801548915852504,poet
24,Q336010,Charles Nodier,"(1790, 1840)",0.12801548915852504,translator
25,Q336010,Charles Nodier,"(1790, 1840)",0.12801548915852504,lexicographer
26,Q4467716,François Richard de Tussac,"(1760, 1810)",0.10089276273387879,botanist
27,Q3386600,Pierre Philippe Urbain Thomas,"(1790, 1840)",0.10017546365063955,statistician
28,Q3386600,Pierre Philippe Urbain Thomas,"(1790, 1840)",0.10017546365063955,historian
29,Q27652820,Claude de Loynes d’Autroche,"(1750, 1800)",0.10014199310307816,agronomist
30,Q27652820,Claude de Loynes d’Autroche,"(1750, 1800)",0.10014199310307816,homme de lettres
31,Q27652820,Claude de Loynes d’Autroche,"(1750, 1800)",0.10014199310307816,translator
32,Q677679,Armand Lévy,"(1810, 1860)",0.10210410875289998,crystallographer
33,Q677679,Armand Lévy,"(1810, 1860)",0.10210410875289998,mineralogist
34,Q677679,Armand Lévy,"(1810, 1860)",0.10210410875289998,university teacher
35,Q1349196,Louis Diémer,"(1850, 1900)",0.10688285845646761,composer
36,Q1349196,Louis Diémer,"(1850, 1900)",0.10688285845646761,pianist
37,Q1349196,Louis Diémer,"(1850, 1900)",0.10688285845646761,pedagogue
38,Q902852,Antonina De Gerando,"(1860, 1910)",0.10148204076073068,pedagogue
39,Q902852,Antonina De Gerando,"(1860, 1910)",0.10148204076073068,translator
40,Q3185904,Joseph-Émile Barbier,"(1850, 1900)",0.10088151254207126,astronomer
41,Q3185904,Joseph-Émile Barbier,"(1850, 1900)",0.10088151254207126,mathematician
42,Q104767373,Émile Beringer,"(1850, 1900)",0.10009441968371476,explorer
43,Q2848191,André Louis de Saint-Simon,"(1780, 1830)",0.10015181860042226,economist
44,Q6594681,Jacques-Charles Poncet,"(1670, 1720)",0.10090648169563164,explorer
45,Q17275714,Lucien Decombe,"(1840, 1890)",0.10015148981649952,archaeologist
46,Q2871246,Auguste Jean François Grenier,"(1820, 1870)",0.10026427022964754,entomologist
47,Q1685675,Jean-Baptiste Marc Bourgery,"(1810, 1860)",0.10393586205701308,anatomist
48,Q983376,Joseph Adhemar,"(1810, 1860)",0.10475388290031443,mathematician
