,individual_wikidata_id,individual_name,occupations_wikidata_id,occupations_name,occupations_category
0,Q55844134,Ernst von Heeringen,Q16031530,music theorist,science|writer
21,Q2450610,Wojciech Jastrzębowski,Q864503,biologist,science|writer
22,Q2450610,Wojciech Jastrzębowski,Q2374149,botanist,science|writer
26,Q246595,Joseph Smit,Q1225716,ornithologist,science|writer
48,Q23407086,Henry Keyes Jordan,Q520549,geologist,science|writer
55,Q129598,Daniel Coit Gilman,Q901402,geographer,science|writer
58,Q64556048,Jean-Baptiste Fortin,Q1734662,cartographer,artist|science|writer
59,Q64556048,Jean-Baptiste Fortin,Q901402,geographer,science|writer
65,Q22691480,Johannes Michael Budorensis,Q11063,astronomer,science|writer
69,Q19502426,Giuseppe Gatti,Q3621491,archaeologist,science|writer
91,Q28839152,Félix-Henri Boudet,Q593644,chemist,science|writer
94,Q80665311,Alexander de Bie,Q11063,astronomer,science|writer
95,Q80665311,Alexander de Bie,Q170790,mathematician,science|writer
97,Q4027002,Johan Reinhold Sahlberg,Q11900058,explorer,science|writer
98,Q4027002,Johan Reinhold Sahlberg,Q3055126,entomologist,science|writer
106,Q94990676,Jacob Niegowiecki,Q11063,astronomer,science|writer
107,Q94990676,Jacob Niegowiecki,Q170790,mathematician,science|writer
120,Q3742545,Ferdinando Aschieri,Q170790,mathematician,science|writer
123,Q36499945,Alfred Burgerstein,Q350979,zoologist,science|writer
124,Q36499945,Alfred Burgerstein,Q2374149,botanist,science|writer
125,Q36499945,Alfred Burgerstein,Q3055126,entomologist,science|writer
138,Q5793327,Adam Wilhelm Hauch,Q169470,physicist,science|writer
141,Q21513565,Richard Fritze,Q2374149,botanist,science|writer
152,Q98907974,Martin Mikulić,Q1371378,ethnologist,science|writer
153,Q23817860,Richard Lieben,Q188094,economist,science|writer
156,Q38170611,Wilhelm Liebenow,Q294126,land surveyor,science|writer
159,Q3876177,Nicola D'Arienzo,Q16145150,music pedagogue,artist|science|writer
176,Q675,André-Marie Ampère,Q169470,physicist,science|writer
177,Q675,André-Marie Ampère,Q170790,mathematician,science|writer
178,Q675,André-Marie Ampère,Q593644,chemist,science|writer
188,Q230814,Louis Renault,Q1231865,pedagogue,science|writer
193,Q5738046,Thomas Douglas Forsyth,Q11900058,explorer,science|writer
196,Q110059,Theodor Reye,Q170790,mathematician,science|writer
198,Q1881341,Sinan ibn Thabit,Q11063,astronomer,science|writer
199,Q1881341,Sinan ibn Thabit,Q170790,mathematician,science|writer
202,Q28848158,Francesco Protonotari,Q188094,economist,science|writer
210,Q65327,Johann Georg Wagler,Q18805,naturalist,science|writer
211,Q65327,Johann Georg Wagler,Q350979,zoologist,science|writer
212,Q65327,Johann Georg Wagler,Q1225716,ornithologist,science|writer
213,Q65327,Johann Georg Wagler,Q16271064,herpetologist,science|writer
220,Q60819336,Ignaz Obermüller,Q1231865,pedagogue,science|writer
228,Q46996467,Peter Hinrich Tesdorpf,Q18805,naturalist,science|writer
233,Q20933573,Franz Sintenis,Q3055126,entomologist,science|writer
250,Q828603,Bertrand Pelletier,Q593644,chemist,science|writer
258,Q2739611,Albert Auguste Cochon de Lapparent,Q520549,geologist,science|writer
266,Q3767078,Giovanni D'Andrea,Q188094,economist,science|writer
270,Q55845268,Georg Joseph Michael Theodor Nissl,Q1231865,pedagogue,science|writer
276,Q1592441,Perceval de Loriol,Q1662561,paleontologist,science|writer
277,Q1592441,Perceval de Loriol,Q520549,geologist,science|writer
279,Q983482,Náttfari,Q11900058,explorer,science|writer
281,Q15065850,Hans Ehrenfried von Diebitsch und Narden,Q12806039,military theorist,science|writer
284,Q18911728,Henry Francis Walling,Q1734662,cartographer,artist|science|writer
285,Q18911728,Henry Francis Walling,Q294126,land surveyor,science|writer
290,Q5810443,Jørgen Tyge Holm,Q2374149,botanist,science|writer
291,Q5810443,Jørgen Tyge Holm,Q3055126,entomologist,science|writer
300,Q21612564,Charles Fay Wheeler,Q2374149,botanist,science|writer
303,Q2119113,Peter Ivanovich Rychkov,Q901402,geographer,science|writer
304,Q2119113,Peter Ivanovich Rychkov,Q188094,economist,science|writer
308,Q214080,Bartolomé Blumenthal,Q126236,conquistador,science|writer
312,Q55043617,William Henry Harwood,Q3055126,entomologist,science|writer
322,Q6301711,Eric Gustaf af Klint,Q1734662,cartographer,artist|science|writer
326,Q55711481,René Benoît,Q169470,physicist,science|writer
330,Q42404288,Marie-Joseph Monny de Mornay,Q1781198,agronomist,science|writer
342,Q2904416,Pietro Coppo,Q1734662,cartographer,artist|science|writer
343,Q2904416,Pietro Coppo,Q901402,geographer,science|writer
345,Q6280725,Joseph-Étienne Giraud,Q3055126,entomologist,science|writer
348,Q17417866,Carl August von Bose,Q18805,naturalist,science|writer
356,Q19517828,Francois Clément Lafaury,Q350979,zoologist,science|writer
357,Q19517828,Francois Clément Lafaury,Q497294,lepidopterist,science|writer
358,Q18945293,Francesco Giuseppe Gardini,Q169470,physicist,science|writer
360,Q15063599,Konstantin Matwejewitsch Feofilaktow,Q901,scientist,science|writer
373,Q55060936,Carl Ernst Klotz,Q3055126,entomologist,science|writer
394,Q3290537,Margaretta Riley,Q2374149,botanist,science|writer
395,Q3290537,Margaretta Riley,Q16334509,pteridologist,science|writer
401,Q5539685,George Gibbs,Q13416354,mineralogist,science|writer
407,Q94805138,Moritz Rosenstock,Q1231865,pedagogue,science|writer
417,Q16031405,Mary Stafford Anthony,Q1231865,pedagogue,science|writer
446,Q6171726,Jean de Clamorgan,Q1734662,cartographer,artist|science|writer
450,Q55675494,Hugo von Schoder,Q294126,land surveyor,science|writer
470,Q4279350,Ivan Malyshevsky,Q901,scientist,science|writer
473,Q88832546,John Whitehead,Q2374149,botanist,science|writer
476,Q77551,Carl Engler,Q593644,chemist,science|writer
478,Q929237,Lucas González,Q188094,economist,science|writer
490,Q2699503,Jacob Metius,Q11063,astronomer,science|writer
500,Q289217,Étienne-Jules Marey,Q2055046,physiologist,science|writer
506,Q1680342,James Elton,Q11900058,explorer,science|writer
528,Q4498935,Johann Peter Heuschkel,Q16145150,music pedagogue,artist|science|writer
531,Q95288617,Ernst Seiffert,Q1231865,pedagogue,science|writer
541,Q7410983,Samuel Brewer,Q2374149,botanist,science|writer
542,Q55901235,Karl Daniel Turte,Q18805,naturalist,science|writer
558,Q94789010,Wilhelm Eduard Fuss,Q593644,chemist,science|writer
564,Q18655771,Andrew Augustus Henderson,Q2374149,botanist,science|writer
567,Q55067738,Christian Erich Herrmann von Meyer,Q1662561,paleontologist,science|writer
568,Q55067738,Christian Erich Herrmann von Meyer,Q520549,geologist,science|writer
569,Q55067738,Christian Erich Herrmann von Meyer,Q3055126,entomologist,science|writer
571,Q349372,Adam František Kollár,Q1371378,ethnologist,science|writer
580,Q21384867,George Sutherland Mackenzie,Q11900058,explorer,science|writer
592,Q575253,John Miers,Q2374149,botanist,science|writer
596,Q95264960,Augustin Hölscher,Q1231865,pedagogue,science|writer
602,Q9259638,Filip Neriusz Walter,Q593644,chemist,science|writer
606,Q9370452,Walerian Stroynowski,Q188094,economist,science|writer
612,Q6752616,Manuel Gregorio Tavárez,Q16145150,music pedagogue,artist|science|writer
614,Q18759373,Peter Reid,Q1231865,pedagogue,science|writer
624,Q1712751,Julius Kniese,Q16145150,music pedagogue,artist|science|writer
625,Q123888,Arnold Escher von der Linth,Q520549,geologist,science|writer
628,Q18821876,Searles Valentine Wood,Q520549,geologist,science|writer
630,Q5082048,Charles Ridgely,Q18576582,metallurgist,science|writer
634,Q541643,Pierre-Gaspard Chaumette,Q2374149,botanist,science|writer
637,Q15446771,Pieter Johannes Uylenbroek,Q11063,astronomer,science|writer
638,Q15446771,Pieter Johannes Uylenbroek,Q169470,physicist,science|writer
639,Q15446771,Pieter Johannes Uylenbroek,Q170790,mathematician,science|writer
642,Q109855666,Ernest Brelay,Q188094,economist,science|writer
645,Q875594,Imre Csécsi,Q13416354,mineralogist,science|writer
652,Q60842565,Johannes Fautsch,Q18805,naturalist,science|writer
660,Q5928692,Jean Daniel Buchinger,Q2374149,botanist,science|writer
661,Q22017374,William Elwood Byerly,Q170790,mathematician,science|writer
664,Q3430500,Richard Baron,Q2374149,botanist,science|writer
665,Q3430500,Richard Baron,Q520549,geologist,science|writer
666,Q3830713,Leopoldo Pilla,Q520549,geologist,science|writer
672,Q6793829,Mauritz Gisiko,Q16145150,music pedagogue,artist|science|writer
691,Q4450823,Julius Brenchley,Q350979,zoologist,science|writer
692,Q4450823,Julius Brenchley,Q11900058,explorer,science|writer
695,Q4757150,Andrew Graham,Q18805,naturalist,science|writer
701,Q101094645,Maximilien Dugniolle,Q2374149,botanist,science|writer
707,Q13414858,Karl Joseph Kreutzer,Q2374149,botanist,science|writer
710,Q90099,Johann Wilhelm von Müller,Q1225716,ornithologist,science|writer
713,Q21539663,James Thomas Allan,Q11900058,explorer,science|writer
723,Q15720386,Alexander Prugavin,Q901,scientist,science|writer
726,Q21340911,George Voorhelm Schneevoogt,Q2374149,botanist,science|writer
732,Q7412394,Samuel Philip Sadtler,Q593644,chemist,science|writer
735,Q2062176,Ivan Kupreyanov,Q11900058,explorer,science|writer
736,Q16488716,Aleksey Artemyev,Q901,scientist,science|writer
737,Q11908982,Benito Viñes,Q2310145,meteorologist,science|writer
754,Q109348045,James B. Olcott,Q1781198,agronomist,science|writer
765,Q24067158,Abe Tametō,Q18805,naturalist,science|writer
769,Q27827642,John Gordon,Q10872101,anatomist,science|writer
774,Q1356212,Napoléon Henri Reber,Q16145150,music pedagogue,artist|science|writer
775,Q1356212,Napoléon Henri Reber,Q16031530,music theorist,science|writer
777,Q95175099,František Bohdan Kalina,Q1231865,pedagogue,science|writer
785,Q71056,Adolf Pinner,Q593644,chemist,science|writer
799,Q94788663,Carl Haase,Q11063,astronomer,science|writer
801,Q11333664,Francis Henry Trevithick,Q901,scientist,science|writer
809,Q3390785,Placide Massey,Q2374149,botanist,science|writer
827,Q1706368,Joseph Dutens,Q188094,economist,science|writer
835,Q97544,Julius Hey,Q16145150,music pedagogue,artist|science|writer
836,Q97544,Julius Hey,Q16031530,music theorist,science|writer
849,Q1620013,Hippolyte-Raymond Colet,Q16145150,music pedagogue,artist|science|writer
857,Q3093580,Gabriel Alcippe Mahistre,Q169470,physicist,science|writer
858,Q3093580,Gabriel Alcippe Mahistre,Q170790,mathematician,science|writer
860,Q60120457,Gustav Joseph,Q3055126,entomologist,science|writer
861,Q16043820,Henry Beaumont Small,Q18805,naturalist,science|writer
888,Q9374800,William B. Neftel,Q783906,neurologist,science|writer
889,Q6104126,J.J.I. Alcide de Paladilhe,Q350979,zoologist,science|writer
890,Q6104126,J.J.I. Alcide de Paladilhe,Q16271261,malacologist,science|writer
898,Q3446124,John Cary,Q1734662,cartographer,artist|science|writer
910,Q55070163,Bjarne Pálsson,Q3055126,entomologist,science|writer
918,Q1470191,József Árvay,Q1231865,pedagogue,science|writer
921,Q15845607,Antonio Vassalli Eandi,Q169470,physicist,science|writer
922,Q15845607,Antonio Vassalli Eandi,Q170790,mathematician,science|writer
923,Q15845607,Antonio Vassalli Eandi,Q3055126,entomologist,science|writer
929,Q643765,Christian Friedrich Ecklon,Q2374149,botanist,science|writer
930,Q643765,Christian Friedrich Ecklon,Q11900058,explorer,science|writer
931,Q643765,Christian Friedrich Ecklon,Q3055126,entomologist,science|writer
936,Q1251266,François Perrier,Q901402,geographer,science|writer
937,Q1251266,François Perrier,Q294126,land surveyor,science|writer
938,Q21387509,Carl Heinrich Wilhelm Theodore Löbbecke,Q16271261,malacologist,science|writer
967,Q1037905,Carl Fredrik Nyman,Q2374149,botanist,science|writer
969,Q95222132,Jos... G... Friedrich Pflüger,Q1231865,pedagogue,science|writer
978,Q55853433,Albert Wilhelm Kindler,Q1231865,pedagogue,science|writer
993,Q30066269,Hans Chrystie,Q3303297,ironmaster,science|writer
997,Q2600702,Tsuda Sen,Q1781198,agronomist,science|writer
