,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,meta_region_name
0,Q316119,Gnaeus Pompeius Trogus,re_latin,Latin World,-100.0,historian,antiquity,Ancient Mediterranean
1,Q782074,Claudianus Mamertus,re_latin,Latin World,420.0,theologian | philosopher,antiquity,Ancient Mediterranean
2,Q182123,Irenaeus,re_latin,Latin World,130.0,theologian | philosopher,antiquity,Ancient Mediterranean
3,Q44344,Hilary of Poitiers,re_latin,Latin World,315.0,theologian | philosopher,antiquity,Ancient Mediterranean
4,Q1430,Marcus Aurelius,re_latin,Latin World,121.0,philosopher,antiquity,Ancient Mediterranean
5,Q313795,John Cassian,re_latin,Latin World,360.0,theologian,antiquity,Ancient Mediterranean
6,Q50082878,Jess Wade,re_latin,Latin World,2.0,physicist,antiquity,Ancient Mediterranean
7,Q723645,Victorius of Aquitaine,re_latin,Latin World,450.0,astronomer | mathematician,antiquity,Ancient Mediterranean
8,Q209102,Lactantius,re_latin,Latin World,250.0,philosopher | historian,antiquity,Ancient Mediterranean
9,Q2891791,Latinius Pacatus Drepanius,re_latin,Latin World,400.0,historian,antiquity,Ancient Mediterranean
10,Q2161,Tacitus,re_latin,Latin World,54.0,philosopher | historian,antiquity,Ancient Mediterranean
11,Q885870,Victorinus Junior,re_latin,Latin World,300.0,historian,antiquity,Ancient Mediterranean
12,Q239448,Pompeia Plotina,re_latin,Latin World,70.0,philosopher,antiquity,Ancient Mediterranean
13,Q532684,Salvian,re_latin,Latin World,400.0,theologian | historian,antiquity,Ancient Mediterranean
14,Q336704,Sulpicius Severus,re_latin,Latin World,360.0,historian,antiquity,Ancient Mediterranean
15,Q297515,Pomponius Mela,re_latin,Latin World,15.0,geographer | historian,antiquity,Ancient Mediterranean
16,Q188646,Lucan,re_latin,Latin World,39.0,historian,antiquity,Ancient Mediterranean
17,Q535060,Terentianus,re_latin,Latin World,150.0,linguist,antiquity,Ancient Mediterranean
