,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,meta_region_name
0,Q2822993,Achard of Saint-Victor,re_british_islands,British Islands,1100.0,theologian,europe,British Islands
2,Q742311,Chad of Mercia,re_british_islands,British Islands,634.0,theologian,europe,British Islands
3,Q6240116,John Howe,re_british_islands,British Islands,1630.0,theologian,europe,British Islands
7,Q7410983,Samuel Brewer,re_british_islands,British Islands,1670.0,botanist,europe,British Islands
23,Q4057349,Clement Adams,re_british_islands,British Islands,1519.0,geographer,europe,British Islands
40,Q579194,John Major,re_british_islands,British Islands,1469.0,theologian | philosopher | historian,europe,British Islands
44,Q7528564,"Sir Richard Cox, 1st Baronet",re_british_islands,British Islands,1650.0,historian,europe,British Islands
45,Q13129536,Lewis Caerleon,re_british_islands,British Islands,1500.0,theologian | astronomer | mathematician,europe,British Islands
55,Q242640,"Margaret Cavendish, Duchess of Newcastle-upon-Tyne",re_british_islands,British Islands,1623.0,philosopher | physicist,europe,British Islands
56,Q1451111,François Leguat,re_british_islands,British Islands,1637.0,zoologist,europe,British Islands
57,Q1711520,Richard Percivale,re_british_islands,British Islands,1558.0,linguist,europe,British Islands
58,Q6261137,John Trapp,re_british_islands,British Islands,1601.0,theologian,europe,British Islands
65,Q280766,Alexander Whitaker,re_british_islands,British Islands,1585.0,theologian,europe,British Islands
71,Q185832,Emmanuel Swedenborg,re_british_islands,British Islands,1688.0,theologian | philosopher | physicist | mathematician,europe,British Islands
84,Q1347196,Thomas Helwys,re_british_islands,British Islands,1550.0,theologian,europe,British Islands
87,Q559548,Michael Scot,re_british_islands,British Islands,1175.0,philosopher | mathematician,europe,British Islands
93,Q15097687,Moses Glover,re_british_islands,British Islands,1601.0,geographer,europe,British Islands
95,Q15984704,John Speidell,re_british_islands,British Islands,1600.0,mathematician,europe,British Islands
98,Q6250616,John Norden,re_british_islands,British Islands,1548.0,geographer,europe,British Islands
103,Q310439,George Fox,re_british_islands,British Islands,1624.0,theologian,europe,British Islands
108,Q7791987,Thomas Lydiat,re_british_islands,British Islands,1572.0,mathematician,europe,British Islands
116,Q5077323,Charles Edwards,re_british_islands,British Islands,1628.0,theologian,europe,British Islands
119,Q60808,Johann Joachim Becheres,re_british_islands,British Islands,1635.0,economist | chemist,europe,British Islands
121,Q342720,George Chapman,re_british_islands,British Islands,1559.0,linguist,europe,British Islands
122,Q1245769,Jacob Acontius,re_british_islands,British Islands,1600.0,theologian | philosopher,europe,British Islands
