,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,meta_region_name
36353,Q12022523,Jan Florián Hammerschmidt,re_central_europe,Central Europe,1652.0,historian,europe,Eastern Europe
36354,Q1208474,Euthymius of Athos,re_balkans,Balkans,955.0,philosopher,europe,Eastern Europe
36358,Q67820,Bartholomäus Ringwaldt,re_central_europe,Central Europe,1532.0,theologian,europe,Eastern Europe
36360,Q590829,Jan Seklucjan,re_slav_world,Slav world,1498.0,theologian | linguist,europe,Eastern Europe
36366,Q9343297,Stanisław Warszewicki,re_central_europe,Central Europe,1527.0,theologian,europe,Eastern Europe
36374,Q1350979,Erhard Sperber,re_slav_world,Slav world,1529.0,theologian,europe,Eastern Europe
36375,Q1996833,Norbert Heermann,re_central_europe,Central Europe,1629.0,historian,europe,Eastern Europe
36377,Q13441765,Matus Kephalides,re_central_europe,Central Europe,1645.0,philosopher,europe,Eastern Europe
36378,Q2344404,Jan Latosz,re_slav_world,Slav world,1539.0,astronomer,europe,Eastern Europe
36381,Q1659710,Immanuel Heinrich Kauderbach,re_central_europe,Central Europe,1695.0,theologian,europe,Eastern Europe
36384,Q106348,Georg Mancelius,re_central_europe,Central Europe,1593.0,theologian,europe,Eastern Europe
36397,Q21130789,Tomáš Baltazar Janovka,re_central_europe,Central Europe,1669.0,musicologist,europe,Eastern Europe
36398,Q13585837,Jonasz Szlichtyng,re_central_europe,Central Europe,1592.0,theologian,europe,Eastern Europe
36400,Q497524,Nicolaus Olahus,re_central_europe,Central Europe,1493.0,historian,europe,Eastern Europe
36404,Q18567126,Alojzy Anzelieri,re_central_europe,Central Europe,1700.0,philosopher,europe,Eastern Europe
36405,Q97580,Bernhard Bogentanz,re_central_europe,Central Europe,1494.0,musicologist,europe,Eastern Europe
36410,Q11814558,Paweł Świetlicki,re_central_europe,Central Europe,1699.0,theologian | physicist | chemist,europe,Eastern Europe
36413,Q539261,Marcin Bylica,re_central_europe,Central Europe,1433.0,astronomer,europe,Eastern Europe
36414,Q7701147,Teofil Rutka,re_slav_world,Slav world,1622.0,philosopher,europe,Eastern Europe
36416,Q11698642,Franciszek Kanty Łuczyński,re_central_europe,Central Europe,1690.0,astronomer | mathematician,europe,Eastern Europe
36417,Q60455824,Janez Purkhardt,re_central_europe,Central Europe,1680.0,theologian,europe,Eastern Europe
36419,Q17429161,Toma Babić,re_balkans,Balkans,1680.0,linguist,europe,Eastern Europe
36420,Q55122658,Benedict Morgenstern,re_slav_world,Slav world,1525.0,theologian,europe,Eastern Europe
36423,Q112520048,Michael Siebeneicher,re_central_europe,Central Europe,1642.0,historian,europe,Eastern Europe
36429,Q2063043,Paul Weis,re_slav_world,Slav world,1543.0,theologian,europe,Eastern Europe
36433,Q56389064,János Teofil Windisch,re_central_europe,Central Europe,1689.0,botanist,europe,Eastern Europe
36441,Q4703712,Samuel Twardowski,re_central_europe,Central Europe,1600.0,linguist | historian,europe,Eastern Europe
36442,Q1772711,Paul vom Stein,re_slav_world,Slav world,1500.0,physicist,europe,Eastern Europe
36445,Q7599221,Stanisław Sarnicki,re_central_europe,Central Europe,1532.0,historian,europe,Eastern Europe
36456,Q1617580,Hieronim Malecki,re_central_europe,Central Europe,1527.0,theologian,europe,Eastern Europe
36459,Q104602025,Mihovil Vrančić,re_balkans,Balkans,1507.0,historian,europe,Eastern Europe
36461,Q380648,Aegidius Strauch,re_central_europe,Central Europe,1632.0,theologian | mathematician,europe,Eastern Europe
36465,Q98822,Johann Brever,re_central_europe,Central Europe,1616.0,theologian,europe,Eastern Europe
36467,Q1354627,Kazimierz Łyszczyński,re_central_europe,Central Europe,1634.0,philosopher,europe,Eastern Europe
36468,Q17095558,Eliasz Arciszewski,re_central_europe,Central Europe,1630.0,theologian,europe,Eastern Europe
36469,Q1694271,Johann Gutslaff,re_central_europe,Central Europe,1600.0,theologian,europe,Eastern Europe
36474,Q349632,Adam Hamel,re_central_europe,Central Europe,1505.0,theologian,europe,Eastern Europe
36480,Q1377476,Johann Cogler,re_central_europe,Central Europe,1525.0,theologian,europe,Eastern Europe
36489,Q89614,Thomas Kantzow,re_central_europe,Central Europe,1505.0,historian,europe,Eastern Europe
36495,Q4236588,Jan Kocin z Kocinet,re_central_europe,Central Europe,1543.0,historian,europe,Eastern Europe
36496,Q12792056,Janez Lezicij,re_central_europe,Central Europe,1242.0,astronomer,europe,Eastern Europe
36499,Q836191,Christian Kelch,re_central_europe,Central Europe,1657.0,historian,europe,Eastern Europe
36508,Q94886071,Abraham Wolf,re_slav_world,Slav world,1680.0,theologian,europe,Eastern Europe
36510,Q4386205,Petrus Codicillus,re_central_europe,Central Europe,1533.0,astronomer,europe,Eastern Europe
36514,Q11716477,Jakub Kazimierz Rubinkowski,re_central_europe,Central Europe,1668.0,historian,europe,Eastern Europe
36523,Q95445506,František Christen,re_central_europe,Central Europe,1682.0,theologian,europe,Eastern Europe
36525,Q722544,Filippo Buonaccorsi,re_central_europe,Central Europe,1437.0,historian,europe,Eastern Europe
36534,Q11699202,Gabriel Rzączyński,re_central_europe,Central Europe,1664.0,zoologist,europe,Eastern Europe
36550,Q94935858,Christoph Manlius,re_central_europe,Central Europe,1546.0,historian,europe,Eastern Europe
36556,Q55679944,Johann Gottlieb Ezler,re_central_europe,Central Europe,1662.0,theologian,europe,Eastern Europe
36557,Q350426,Adam Michna z Otradovic,re_central_europe,Central Europe,1600.0,musicologist,europe,Eastern Europe
36562,Q1309623,Oldřich Prefát z Vlkanova,re_central_europe,Central Europe,1523.0,astronomer | mathematician,europe,Eastern Europe
36569,Q4007657,Valentinus Smalcius,re_central_europe,Central Europe,1572.0,linguist,europe,Eastern Europe
36577,Q1297363,Szepsi Laczkó Máté,re_central_europe,Central Europe,1576.0,historian,europe,Eastern Europe
36578,Q1591666,Johannes Sylvius Egranus,re_central_europe,Central Europe,1480.0,theologian,europe,Eastern Europe
36593,Q1721231,Michael Eifler,re_slav_world,Slav world,1601.0,physicist,europe,Eastern Europe
36598,Q1986846,Nicolaus Henel von Hennenfeld,re_central_europe,Central Europe,1582.0,historian,europe,Eastern Europe
36607,Q12657632,Jonas Chodzinskis,re_central_europe,Central Europe,1600.0,philosopher,europe,Eastern Europe
36613,Q707663,Isidore of Kiev,re_slav_world,Slav world,1385.0,theologian,europe,Eastern Europe
36618,Q899007,Oswald Croll,re_central_europe,Central Europe,1563.0,chemist,europe,Eastern Europe
36621,Q111666,Johann Friedrich Mayer,re_central_europe,Central Europe,1650.0,theologian,europe,Eastern Europe
36623,Q684662,Péter Alvinczi,re_central_europe,Central Europe,1570.0,theologian,europe,Eastern Europe
36630,Q348552,Adam Adamandy Kochański,re_central_europe,Central Europe,1631.0,philosopher | mathematician,europe,Eastern Europe
36633,Q1694288,Johann Hackvord,re_central_europe,Central Europe,1624.0,theologian,europe,Eastern Europe
36636,Q496675,Andreas Concius,re_slav_world,Slav world,1628.0,mathematician,europe,Eastern Europe
36640,Q737756,Pier Paolo Vergerio the Elder,re_central_europe,Central Europe,1370.0,philosopher | historian,europe,Eastern Europe
36641,Q11792104,Nicolaus Pol,re_central_europe,Central Europe,1564.0,historian,europe,Eastern Europe
36643,Q66317648,János Lippai,re_central_europe,Central Europe,1606.0,botanist,europe,Eastern Europe
36645,Q94789212,Friedrich Büthner,re_central_europe,Central Europe,1622.0,astronomer | mathematician,europe,Eastern Europe
36646,Q1240239,Theophilos Corydalleus,re_balkans,Balkans,1570.0,philosopher | physicist | astronomer | mathematician | geographer,europe,Eastern Europe
36670,Q19935947,Jurij Žiga Pogačnik,re_central_europe,Central Europe,1676.0,philosopher,europe,Eastern Europe
36671,Q94917796,Johann Meyer,re_central_europe,Central Europe,1651.0,philosopher | mathematician,europe,Eastern Europe
36673,Q1253164,Péter Révay,re_central_europe,Central Europe,1568.0,historian,europe,Eastern Europe
36676,Q903161,Debreczeni Kalocsa János,re_central_europe,Central Europe,1632.0,theologian,europe,Eastern Europe
36681,Q86550,Conrad of Vechta,re_central_europe,Central Europe,1370.0,theologian,europe,Eastern Europe
36688,Q9359171,Tomasz Bedermann,re_central_europe,Central Europe,1450.0,theologian | philosopher,europe,Eastern Europe
36690,Q95108688,Viktorin Jevina,re_central_europe,Central Europe,1672.0,historian,europe,Eastern Europe
36692,Q1321225,Sámuel Timon,re_central_europe,Central Europe,1675.0,geographer,europe,Eastern Europe
36703,Q44668811,Lorenz Heidenreich,re_central_europe,Central Europe,1480.0,philosopher,europe,Eastern Europe
36706,Q712787,Mustafa Naima,re_balkans,Balkans,1655.0,historian,europe,Eastern Europe
36709,Q67136,Bartholomäus Keckermann,re_central_europe,Central Europe,1572.0,theologian | philosopher | historian,europe,Eastern Europe
36713,Q95479,Daniel Cramer,re_central_europe,Central Europe,1568.0,theologian,europe,Eastern Europe
36718,Q713261,Petr Chelčický,re_central_europe,Central Europe,1390.0,theologian | philosopher,europe,Eastern Europe
36723,Q1510196,Laurentius Weger,re_slav_world,Slav world,1599.0,philosopher | logician,europe,Eastern Europe
36738,Q455777,Amato Lusitano,re_balkans,Balkans,1511.0,botanist | anatomist,europe,Eastern Europe
36741,Q1047833,Casparus Clee,re_slav_world,Slav world,1553.0,historian,europe,Eastern Europe
36744,Q115351,Johann Preuß,re_central_europe,Central Europe,1620.0,theologian,europe,Eastern Europe
36748,Q969132,Semyon Remezov,re_slav_world,Slav world,1642.0,geographer | historian,europe,Eastern Europe
36756,Q55626209,Georg Seger,re_central_europe,Central Europe,1629.0,zoologist,europe,Eastern Europe
36757,Q11768226,Marek Korona,re_slav_world,Slav world,1590.0,theologian,europe,Eastern Europe
36761,Q1550818,Piotr of Goniądz,re_central_europe,Central Europe,1525.0,theologian,europe,Eastern Europe
36770,Q941595,Symon Budny,re_slav_world,Slav world,1530.0,philosopher | historian,europe,Eastern Europe
36774,Q35564442,Mikołaj Wodka z Kwidzynia,re_central_europe,Central Europe,1442.0,astronomer,europe,Eastern Europe
36788,Q72542,Oliver von Paderborn,re_central_europe,Central Europe,1170.0,theologian | historian,europe,Eastern Europe
36804,Q163326,Jacobus Xaverius Ticinus,re_balkans,Balkans,1656.0,linguist,europe,Eastern Europe
36817,Q91183,Joachim Mörlin,re_slav_world,Slav world,1514.0,theologian,europe,Eastern Europe
36819,Q302961,Aaron ben Joseph of Constantinople,re_slav_world,Slav world,1260.0,philosopher,europe,Eastern Europe
36823,Q1372399,Yuriy Drohobych,re_central_europe,Central Europe,1450.0,astronomer | philosopher,europe,Eastern Europe
36829,Q94930544,Christoph Fischer,re_central_europe,Central Europe,1611.0,economist,europe,Eastern Europe
36845,Q872714,Csiba István Mihály,re_central_europe,Central Europe,1673.0,zoologist,europe,Eastern Europe
36849,Q58461096,Adrian Pauli,re_central_europe,Central Europe,1583.0,philosopher,europe,Eastern Europe
36852,Q2330980,Stanislaus Bornbach,re_central_europe,Central Europe,1530.0,historian,europe,Eastern Europe
36862,Q72918,Johann Philipp Breyne,re_central_europe,Central Europe,1680.0,botanist | zoologist | paleontologist,europe,Eastern Europe
36863,Q1081035,Christian Mascov,re_slav_world,Slav world,1673.0,theologian,europe,Eastern Europe
36867,Q822770,Bernard Wapowski,re_central_europe,Central Europe,1450.0,geographer | astronomer | historian,europe,Eastern Europe
36869,Q26902012,Anton Remmelding,re_central_europe,Central Europe,1513.0,theologian,europe,Eastern Europe
36871,Q25457298,Szörény Sándor,re_central_europe,Central Europe,1664.0,theologian | philosopher,europe,Eastern Europe
36874,Q1657392,Ignatz Mühlwenzel,re_central_europe,Central Europe,1690.0,mathematician,europe,Eastern Europe
36875,Q832033,István Werbőczy,re_central_europe,Central Europe,1458.0,theologian,europe,Eastern Europe
36878,Q1231843,Roger of Howden,re_central_europe,Central Europe,1200.0,historian,europe,Eastern Europe
36883,Q19834031,Abraham Göllnitz,re_central_europe,Central Europe,1501.0,geographer,europe,Eastern Europe
36891,Q97705,Johann Jakob Quandt,re_slav_world,Slav world,1686.0,theologian,europe,Eastern Europe
36893,Q108839,Michael Friedrich Quade,re_central_europe,Central Europe,1682.0,theologian,europe,Eastern Europe
36896,Q96145569,Johannes von Lübeck,re_central_europe,Central Europe,1450.0,theologian,europe,Eastern Europe
36897,Q9396738,Świętosław Orzelski,re_central_europe,Central Europe,1549.0,historian,europe,Eastern Europe
36901,Q351518,Simplicius of Cilicia,re_balkans,Balkans,501.0,astronomer | philosopher | mathematician,europe,Eastern Europe
36905,Q9334711,Sebastian Bobola,re_central_europe,Central Europe,1586.0,theologian,europe,Eastern Europe
36919,Q106452261,Jan Mirotický,re_central_europe,Central Europe,1540.0,anthropologist,europe,Eastern Europe
36920,Q694908,İbrahim Peçevi,re_central_europe,Central Europe,1574.0,historian,europe,Eastern Europe
36922,Q1679386,Jacob Tydaeus,re_slav_world,Slav world,1628.0,theologian | historian,europe,Eastern Europe
36923,Q1080040,Christian Gross,re_central_europe,Central Europe,1601.0,theologian,europe,Eastern Europe
36930,Q1079332,Christian Dreier,re_central_europe,Central Europe,1610.0,theologian,europe,Eastern Europe
36947,Q666005,György Lippay,re_central_europe,Central Europe,1601.0,chemist,europe,Eastern Europe
36951,Q55072163,Philipp Jacob Sachs von Lewenhaimb,re_central_europe,Central Europe,1627.0,zoologist,europe,Eastern Europe
36957,Q710504,Bohuslav Balbín,re_central_europe,Central Europe,1621.0,geographer | philosopher | historian,europe,Eastern Europe
