,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,meta_region_name
4840,Q38541085,Bésian Arroy,re_france,France,1589.0,theologian,europe,France
4888,Q3171140,Jean Carré,re_france,France,1582.0,theologian,europe,France
4910,Q17516066,Thomas Fantet de Lagny,re_france,France,1660.0,mathematician,europe,France
4930,Q7931664,Vincent Baron,re_france,France,1604.0,theologian,europe,France
4956,Q3172370,Jean Grancolas,re_france,France,1660.0,theologian,europe,France
4970,Q553795,Sébastien Bourdon,re_france,France,1616.0,art theorist,europe,France
4995,Q1400621,Louis de Sacy,re_france,France,1654.0,philosopher,europe,France
4999,Q3271478,Léonard Baldner,re_france,France,1612.0,botanist,europe,France
5013,Q26708126,Claude Bourdelin,re_france,France,1621.0,chemist,europe,France
5025,Q3340887,Nicolas Ysambert,re_france,France,1560.0,theologian,europe,France
5029,Q3085593,François Pommeraye,re_france,France,1617.0,historian,europe,France
5032,Q1672415,Pierre de Jarric,re_france,France,1566.0,theologian | philosopher | historian,europe,France
5034,Q1389662,Guillaume Delisle,re_france,France,1675.0,geographer,europe,France
5035,Q55122937,Johann Ludwig Hauenreuter,re_france,France,1548.0,philosopher,europe,France
5046,Q2391612,Louise-Marie de Lanternât,re_france,France,1663.0,historian,europe,France
5055,Q41535366,Guillaume Rivière,re_france,France,1655.0,botanist,europe,France
5071,Q2578435,William Davidson,re_france,France,1593.0,botanist | chemist,europe,France
5088,Q294100,Jacques Bénigne Bossuet,re_france,France,1627.0,theologian | philosopher | historian,europe,France
5091,Q24956394,Joannes Minnegod,re_france,France,1502.0,theologian,europe,France
5095,Q55680001,Johann Philipp Bartenstein,re_france,France,1650.0,philosopher,europe,France
5113,Q2058977,Denis of the Nativity,re_france,France,1600.0,geographer,europe,France
5116,Q3185888,Joseph Duchesne,re_france,France,1544.0,chemist,europe,France
5118,Q767777,Augustin Gschmus,re_france,France,1490.0,theologian,europe,France
5124,Q1354427,Jean-Baptiste Du Halde,re_france,France,1674.0,historian,europe,France
5129,Q19945274,Jean Thiroux,re_france,France,1663.0,theologian,europe,France
5135,Q1539547,Geoffrey of Auxerre,re_france,France,1115.0,theologian,europe,France
5152,Q3158079,Jacques-Vincent Bidal d'Asfeld,re_france,France,1664.0,theologian,europe,France
5214,Q3218966,Laurent-Benoît Desplaces,re_france,France,1700.0,botanist | historian,europe,France
5233,Q19060237,Gervais Bigeon,re_france,France,1620.0,theologian,europe,France
5236,Q675928,Lupus Servatus,re_france,France,805.0,theologian | philosopher,europe,France
5248,Q3484178,Simon-Philibert de La Salle de l'Etang,re_france,France,1700.0,botanist,europe,France
5250,Q202279,Guillaume de l'Hôpital,re_france,France,1661.0,mathematician,europe,France
5254,Q30988466,Mathieu de Morgues,re_france,France,1582.0,theologian,europe,France
5275,Q177074,Daniel Chamier,re_france,France,1565.0,theologian,europe,France
