,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,meta_region_name
4834,Q1349852,Jakob Wilhelm Feuerlein,re_german_world,German world,1689.0,theologian,europe,German world
4838,Q22691480,Johannes Michael Budorensis,re_german_world,German world,1550.0,astronomer,europe,German world
4844,Q85960795,Anton Estendorffer,re_german_world,German world,1670.0,philosopher,europe,German world
4862,Q15454557,Matthias Flacius the Younger,re_german_world,German world,1547.0,philosopher,europe,German world
4863,Q55673449,Hans Heinrich Ott,re_german_world,German world,1617.0,theologian,europe,German world
4871,Q94936841,Christoph Philipp Wagner,re_german_world,German world,1699.0,theologian,europe,German world
4890,Q895373,Bovo II.,re_german_world,German world,900.0,theologian,europe,German world
4898,Q21548778,Abraham Ruchat,re_german_world,German world,1680.0,historian,europe,German world
4899,Q2219008,Samuel Voss,re_german_world,German world,1621.0,theologian,europe,German world
4916,Q70646,Johann Wilhelm Weinmann,re_german_world,German world,1683.0,botanist,europe,German world
4926,Q55125823,Martin Plantsch,re_german_world,German world,1460.0,theologian,europe,German world
4933,Q1302953,Simon Sten,re_german_world,German world,1540.0,historian,europe,German world
4937,Q1262526,Johannes Ligarius,re_german_world,German world,1529.0,theologian,europe,German world
4945,Q111682,Martin Eisengrein,re_german_world,German world,1535.0,theologian,europe,German world
4946,Q94808359,Johann Heinrich Nusch,re_german_world,German world,1666.0,theologian,europe,German world
4958,Q124359,Samuel Werenfels,re_german_world,German world,1657.0,theologian,europe,German world
4959,Q122572,Benedictus Aretius,re_german_world,German world,1522.0,theologian | botanist,europe,German world
4993,Q1611029,Hermann Fabronius,re_german_world,German world,1570.0,theologian,europe,German world
4996,Q1697425,Johann Dreier,re_german_world,German world,1500.0,theologian,europe,German world
5001,Q55125161,Peter Lindeberg,re_german_world,German world,1562.0,historian,europe,German world
5004,Q1539686,Gotthilf August Francke,re_german_world,German world,1696.0,theologian,europe,German world
5006,Q15456273,Helias Putschen,re_german_world,German world,1580.0,historian,europe,German world
5008,Q18626310,Johann Christoph Hurter,re_german_world,German world,1619.0,geographer,europe,German world
5014,Q499690,Andreas Möller,re_german_world,German world,1598.0,historian,europe,German world
5021,Q94871288,Thomas Fuchs,re_german_world,German world,1530.0,theologian,europe,German world
5026,Q99457,Johann Hildebrand Withof,re_german_world,German world,1694.0,historian,europe,German world
5039,Q551624,Joachim von Sandrart,re_german_world,German world,1606.0,art theorist,europe,German world
5040,Q15821250,Johannes Georg Hungerlin,re_german_world,German world,1551.0,theologian,europe,German world
