,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,meta_region_name
29849,Q9013844,Josep Finestres,re_spain,Spain,1688.0,historian,europe,Iberian Peninsula
29879,Q27876006,Bartolomeu da Costa,re_portugal,Portugal,1553.0,theologian,europe,Iberian Peninsula
29881,Q73427431,Sebastião de Abreu,re_portugal,Portugal,1595.0,theologian | philosopher,europe,Iberian Peninsula
29891,Q323448,Abraham Abulafia,re_spain,Spain,1240.0,philosopher,europe,Iberian Peninsula
29906,Q316339,Francisco Suárez,re_portugal,Portugal,1548.0,theologian | philosopher,europe,Iberian Peninsula
29918,Q461640,Isaac ben Joseph ibn Pulgar,re_spain,Spain,1201.0,philosopher,europe,Iberian Peninsula
29921,Q559622,Joseph Albo,re_spain,Spain,1380.0,philosopher,europe,Iberian Peninsula
29934,Q3074895,Luis del Mármol Carvajal,re_spain,Spain,1524.0,geographer | historian,europe,Iberian Peninsula
29941,Q12265675,Pedro Hurtado de Mendoza,re_spain,Spain,1578.0,philosopher,europe,Iberian Peninsula
29951,Q23771099,Henrique Henriques de Noronha,re_portugal,Portugal,1667.0,historian,europe,Iberian Peninsula
29952,Q1237726,Dominicus Gundissalinus,re_spain,Spain,1115.0,linguist | philosopher,europe,Iberian Peninsula
29956,Q4773781,Anthony of the Mother of God,re_spain,Spain,1583.0,philosopher,europe,Iberian Peninsula
29959,Q3374120,Pedro Ciruelo,re_spain,Spain,1470.0,philosopher | mathematician,europe,Iberian Peninsula
29965,Q16617608,Pedro Ruiz Malo de Molina,re_spain,Spain,1576.0,theologian,europe,Iberian Peninsula
29987,Q63171068,Miguel Ramón Zapater,re_spain,Spain,1628.0,theologian | historian,europe,Iberian Peninsula
30008,Q5948812,Juan Claudio Aznar de Polanco,re_spain,Spain,1663.0,mathematician,europe,Iberian Peninsula
30014,Q59685425,Francisco de Mendonça,re_portugal,Portugal,1573.0,philosopher,europe,Iberian Peninsula
30015,Q250763,Álvar Núñez Cabeza de Vaca,re_spain,Spain,1500.0,historian,europe,Iberian Peninsula
30020,Q66538695,Vicente Justiniano Antist,re_spain,Spain,1543.0,theologian,europe,Iberian Peninsula
30037,Q5526542,Gaspar Hurtado,re_spain,Spain,1575.0,theologian,europe,Iberian Peninsula
30048,Q5279202,Diogo Homem,re_portugal,Portugal,1521.0,geographer,europe,Iberian Peninsula
30074,Q312384,Francisco de Vitoria,re_spain,Spain,1480.0,philosopher | economist,europe,Iberian Peninsula
30085,Q10329807,Miguel Leitão de Andrada,re_portugal,Portugal,1553.0,historian,europe,Iberian Peninsula
30086,Q10729036,Fadrique Furio Ceriol,re_spain,Spain,1527.0,theologian | philosopher,europe,Iberian Peninsula
30092,Q4734506,Alonso de Espinosa,re_spain,Spain,1543.0,historian,europe,Iberian Peninsula
30115,Q23841893,Juan Bustamante de la Cámara,re_spain,Spain,1540.0,botanist,europe,Iberian Peninsula
30133,Q5868127,Francisco de Rades y Andrada,re_spain,Spain,1600.0,historian,europe,Iberian Peninsula
30141,Q11929280,Juan Dolz del Castellar,re_spain,Spain,1450.0,philosopher,europe,Iberian Peninsula
30153,Q54921674,José Manuel Miñana,re_spain,Spain,1671.0,historian,europe,Iberian Peninsula
30163,Q42293692,Diego de Soto y Aguilar,re_spain,Spain,1600.0,historian,europe,Iberian Peninsula
30168,Q105826791,Gaspar de Aguilar,re_spain,Spain,1500.0,musicologist,europe,Iberian Peninsula
30170,Q104830401,João Sobrinho,re_portugal,Portugal,1500.0,theologian,europe,Iberian Peninsula
30172,Q2297287,Diego Hurtado de Mendoza,re_spain,Spain,1504.0,historian,europe,Iberian Peninsula
30190,Q709516,Bartolomeu de Gusmão,re_spain,Spain,1685.0,anatomist,europe,Iberian Peninsula
30192,Q1876563,Luis de la Puente,re_spain,Spain,1554.0,theologian,europe,Iberian Peninsula
30193,Q10321758,"Luís de Meneses, 3.º Conde da Ericeira",re_portugal,Portugal,1632.0,historian,europe,Iberian Peninsula
30208,Q5484137,Francisco de Lugo,re_spain,Spain,1580.0,theologian,europe,Iberian Peninsula
30220,Q14943669,Jeroni Pujades,re_spain,Spain,1568.0,historian,europe,Iberian Peninsula
30238,Q11905959,Antoni Sala,re_spain,Spain,1600.0,philosopher,europe,Iberian Peninsula
30241,Q9032916,Miguel de Quirós,re_spain,Spain,1601.0,mathematician,europe,Iberian Peninsula
30247,Q1262734,Duarte Nunes de Leão,re_portugal,Portugal,1530.0,linguist | historian,europe,Iberian Peninsula
30262,Q541378,Nicolás Antonio,re_spain,Spain,1617.0,historian,europe,Iberian Peninsula
30273,Q1495249,Gaspar Lax,re_spain,Spain,1487.0,philosopher | mathematician,europe,Iberian Peninsula
30280,Q4755694,Andreas de Vega,re_spain,Spain,1498.0,theologian,europe,Iberian Peninsula
