,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,meta_region_name
29850,Q4693274,Agnolo Monosini,re_italy,Italy,1568.0,linguist,europe,Italy
29851,Q2904416,Pietro Coppo,re_italy,Italy,1460.0,geographer,europe,Italy
29860,Q1095179,Romuald Guarna,re_italy,Italy,1115.0,historian,europe,Italy
29866,Q2046132,Paganino Gaudenzi,re_italy,Italy,1595.0,theologian,europe,Italy
29869,Q3838821,Lucio Camarra,re_italy,Italy,1596.0,historian,europe,Italy
29873,Q46522971,Urbano Monti,re_italy,Italy,1544.0,geographer,europe,Italy
29882,Q18945204,Domenico Griminelli,re_italy,Italy,1601.0,mathematician,europe,Italy
29887,Q23955355,Francesco Scacchi,re_italy,Italy,1577.0,historian,europe,Italy
29888,Q1405128,Eustachio Divini,re_italy,Italy,1610.0,astronomer,europe,Italy
29893,Q7606454,Stefano Lusignan,re_italy,Italy,1537.0,historian,europe,Italy
29898,Q338661,Antonio Musa Brassavola,re_italy,Italy,1500.0,botanist,europe,Italy
29904,Q24706498,Bernardo Facini,re_italy,Italy,1665.0,astronomer | mathematician,europe,Italy
29905,Q669191,Simone Porzio,re_italy,Italy,1497.0,philosopher,europe,Italy
29907,Q16533133,Bonaventura Stabile,re_italy,Italy,1586.0,theologian,europe,Italy
29908,Q4207154,Marco Antonio Cadamosto,re_italy,Italy,1476.0,mathematician,europe,Italy
29911,Q28869743,Valentino Averoni,re_italy,Italy,1530.0,theologian,europe,Italy
29914,Q467062,Judah Leon Abravanel,re_italy,Italy,1460.0,philosopher,europe,Italy
29917,Q4208449,Filippo Maria Casoni,re_italy,Italy,1662.0,historian,europe,Italy
29925,Q28155144,Camillo Silvestri,re_italy,Italy,1645.0,historian,europe,Italy
29927,Q560872,Benedetto Castelli,re_italy,Italy,1570.0,astronomer | physicist | mathematician,europe,Italy
29930,Q435296,Hieronymus Fabricius,re_italy,Italy,1533.0,anatomist,europe,Italy
29932,Q581159,Pedro de Soto,re_italy,Italy,1493.0,theologian,europe,Italy
29935,Q61477488,Marcus de Benevento,re_italy,Italy,1465.0,astronomer | mathematician,europe,Italy
29937,Q3768946,Girolamo Marafioti,re_italy,Italy,1567.0,historian,europe,Italy
29943,Q1390516,Fabio Colonna,re_italy,Italy,1567.0,botanist | paleontologist,europe,Italy
29946,Q3761960,Giacomo Accarisi,re_italy,Italy,1599.0,philosopher,europe,Italy
29949,Q3447714,Matthew Ferchi,re_italy,Italy,1583.0,theologian | philosopher,europe,Italy
29955,Q2251697,Giacinto Cestoni,re_italy,Italy,1637.0,botanist | zoologist,europe,Italy
29958,Q3002898,Christoforo Borri,re_italy,Italy,1583.0,astronomer | mathematician,europe,Italy
29960,Q16527382,Antonio Belloni,re_italy,Italy,1479.0,historian,europe,Italy
29961,Q16185908,Emmanuel-Philibert de Pingon,re_italy,Italy,1525.0,historian,europe,Italy
29972,Q3742619,Ferdinando Leopoldo Del Migliore,re_italy,Italy,1628.0,historian,europe,Italy
29981,Q1525570,Giorgio Valla,re_italy,Italy,1447.0,musicologist | mathematician,europe,Italy
29986,Q1240697,Donato Acciaioli,re_italy,Italy,1429.0,philosopher | historian,europe,Italy
29989,Q3619910,Antonio Mongitore,re_italy,Italy,1663.0,historian,europe,Italy
29991,Q2270844,Andrea Argoli,re_italy,Italy,1570.0,astronomer | mathematician,europe,Italy
29994,Q17992320,Giambattista Bortoli,re_italy,Italy,1695.0,theologian,europe,Italy
29998,Q3893150,Pandolfo Collenuccio,re_italy,Italy,1444.0,historian,europe,Italy
29999,Q97064866,Girolamo da Montefortino,re_italy,Italy,1662.0,theologian,europe,Italy
30007,Q3185841,Joseph de Jouvancy,re_italy,Italy,1643.0,historian,europe,Italy
30010,Q18811895,Giovan Battista Danti,re_italy,Italy,1478.0,mathematician,europe,Italy
30012,Q731956,Bernardo Tolomei,re_italy,Italy,1272.0,theologian,europe,Italy
30013,Q4022814,Yohanan Alemanno,re_italy,Italy,1435.0,philosopher,europe,Italy
30019,Q3475912,Scipione Forteguerri,re_italy,Italy,1466.0,linguist,europe,Italy
30023,Q25446070,Valerio Chimentelli,re_italy,Italy,1620.0,archeologist,europe,Italy
30024,Q18288619,Gregorio Messere,re_italy,Italy,1636.0,philosopher,europe,Italy
30029,Q3796467,Illuminato Aiguino,re_italy,Italy,1520.0,musicologist,europe,Italy
30036,Q110215173,Giovanni Battista Lauri,re_italy,Italy,1579.0,astronomer | philosopher,europe,Italy
30040,Q2427248,Thomas Sergryphius,re_italy,Italy,1505.0,theologian,europe,Italy
30047,Q28869761,Giovanni Battista Francol,re_italy,Italy,1655.0,historian,europe,Italy
30051,Q65960825,Octavio Pisani,re_italy,Italy,1575.0,geographer | astronomer | mathematician,europe,Italy
30055,Q950256,Franchinus Gaffurius,re_italy,Italy,1451.0,musicologist,europe,Italy
30056,Q3611145,Alfonso Ceccarelli,re_italy,Italy,1532.0,historian,europe,Italy
30059,Q554825,Benedikt Kotruljević,re_italy,Italy,1416.0,economist,europe,Italy
30063,Q347804,Adriano Banchieri,re_italy,Italy,1568.0,musicologist,europe,Italy
30064,Q1697209,Johannes Baptista Montanus,re_italy,Italy,1498.0,anatomist,europe,Italy
30067,Q17285125,Domenico Martire,re_italy,Italy,1634.0,historian,europe,Italy
30070,Q3839100,Ludovico Della Chiesa,re_italy,Italy,1568.0,historian,europe,Italy
30076,Q2262449,Fulvio Orsini,re_italy,Italy,1529.0,archeologist,europe,Italy
30078,Q109876923,Francesco Rainaldi,re_italy,Italy,1600.0,theologian,europe,Italy
30081,Q1191140,Antonio Persio,re_italy,Italy,1542.0,philosopher,europe,Italy
30083,Q3069650,Ferrante Imperato,re_italy,Italy,1525.0,botanist,europe,Italy
30089,Q28514476,Giannettino Gonzaga,re_italy,Italy,1602.0,theologian,europe,Italy
30096,Q1587432,"Francesco Scipione, marchese di Maffei",re_italy,Italy,1675.0,archeologist,europe,Italy
30100,Q100371270,Maximilian Percelli,re_italy,Italy,1648.0,philosopher,europe,Italy
