,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,meta_region_name
4842,Q80665311,Alexander de Bie,re_low_countries,Low countries,1620.0,astronomer | mathematician,europe,Low countries
4865,Q51934258,Jan Janszoon Orlers,re_low_countries,Low countries,1570.0,historian,europe,Low countries
4869,Q2699503,Jacob Metius,re_low_countries,Low countries,1580.0,astronomer,europe,Low countries
4936,Q14761011,Petrus Divaeus,re_low_countries,Low countries,1535.0,historian,europe,Low countries
4963,Q3292880,Marie de Brimeu,re_low_countries,Low countries,1550.0,botanist,europe,Low countries
5020,Q1442333,Johannes Franciscus Van Sterbeeck,re_low_countries,Low countries,1630.0,botanist,europe,Low countries
5033,Q510776,Nicolaes Witsen,re_low_countries,Low countries,1641.0,geographer,europe,Low countries
5042,Q1458529,Friedrich Breckling,re_low_countries,Low countries,1629.0,theologian,europe,Low countries
5043,Q1035877,Carel Allard,re_low_countries,Low countries,1648.0,geographer,europe,Low countries
5060,Q1711523,Carolus Mulerius,re_low_countries,Low countries,1601.0,linguist,europe,Low countries
5064,Q315000,Jean Froissart,re_low_countries,Low countries,1337.0,historian,europe,Low countries
5131,Q922828,Cornelius Steenoven,re_low_countries,Low countries,1661.0,theologian,europe,Low countries
5163,Q53503414,Jacob L'Admiral,re_low_countries,Low countries,1700.0,zoologist,europe,Low countries
5195,Q2086330,Mattheus Smallegange,re_low_countries,Low countries,1624.0,historian,europe,Low countries
5238,Q67397,Wessel Gansfort,re_low_countries,Low countries,1419.0,theologian,europe,Low countries
5244,Q2664265,Arnoldus Arlenius,re_low_countries,Low countries,1510.0,philosopher,europe,Low countries
5252,Q20031812,Anna van Westerstee,re_low_countries,Low countries,1657.0,geographer,europe,Low countries
5268,Q3083977,Joannes de Laet,re_low_countries,Low countries,1581.0,geographer,europe,Low countries
5316,Q983347,Gisbertus Voetius,re_low_countries,Low countries,1589.0,theologian,europe,Low countries
