,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,meta_region_name
658,Q722705,Aşıkpaşazade,re_ottoman_turkey,Ottoman Turkey,1400.0,historian,non_europe,MENA
659,Q1984103,Neşri,re_ottoman_turkey,Ottoman Turkey,1450.0,historian,non_europe,MENA
662,Q991343,Oruç,re_ottoman_turkey,Ottoman Turkey,1500.0,historian,non_europe,MENA
666,Q343494,Idris Bitlisi,re_ottoman_turkey,Ottoman Turkey,1457.0,historian,non_europe,MENA
667,Q317973,Abdüssamed bin-Seyyidî Alî Diyarbekrî,re_ottoman_turkey,Ottoman Turkey,1500.0,historian,non_europe,MENA
668,Q2843525,Amirdovlat of Amasia,re_ottoman_turkey,Ottoman Turkey,1420.0,botanist,non_europe,MENA
670,Q12810590,Latîfî,re_ottoman_turkey,Ottoman Turkey,1491.0,historian,non_europe,MENA
672,Q1559975,Göynüklü Ahmed Efendi,re_ottoman_turkey,Ottoman Turkey,1700.0,historian,non_europe,MENA
674,Q449254,Ibn Kemal,re_ottoman_turkey,Ottoman Turkey,1469.0,historian,non_europe,MENA
675,Q15137609,Abraham Ankyuratsi,re_ottoman_turkey,Ottoman Turkey,1405.0,historian,non_europe,MENA
678,Q4054386,Abbas Wasim Efendi,re_ottoman_turkey,Ottoman Turkey,1689.0,astronomer,non_europe,MENA
679,Q1280128,Ebu Sehil Nu'man Efendi,re_ottoman_turkey,Ottoman Turkey,1700.0,historian,non_europe,MENA
680,Q353068,Akşemseddin,re_ottoman_turkey,Ottoman Turkey,1389.0,botanist | historian,non_europe,MENA
681,Q16329554,Adamantios Risios,re_ottoman_turkey,Ottoman Turkey,1675.0,theologian,non_europe,MENA
685,Q462745,Ahmad Khani,re_ottoman_turkey,Ottoman Turkey,1650.0,philosopher,non_europe,MENA
686,Q572436,Anthim the Iberian,re_ottoman_turkey,Ottoman Turkey,1650.0,philosopher,non_europe,MENA
687,Q317913,Abdurrahman Hibri,re_ottoman_turkey,Ottoman Turkey,1604.0,historian,non_europe,MENA
691,Q21541505,Dede Cöngi,re_ottoman_turkey,Ottoman Turkey,1495.0,philosopher,non_europe,MENA
697,Q3561173,George Amiroutzes,re_ottoman_turkey,Ottoman Turkey,1400.0,philosopher,non_europe,MENA
698,Q64167657,Yeghia Musheghyan,re_ottoman_turkey,Ottoman Turkey,1689.0,historian,non_europe,MENA
700,Q5360885,Elijah Bashyazi,re_ottoman_turkey,Ottoman Turkey,1420.0,philosopher,non_europe,MENA
702,Q388979,Sharaf Khan Bidlisi,re_ottoman_turkey,Ottoman Turkey,1543.0,historian,non_europe,MENA
703,Q16854270,Şükrullah,re_ottoman_turkey,Ottoman Turkey,1388.0,historian,non_europe,MENA
704,Q25452040,Hızır Bey,re_ottoman_turkey,Ottoman Turkey,1407.0,theologian | philosopher | logician,non_europe,MENA
706,Q4452,Thomas of Metsoph,re_ottoman_turkey,Ottoman Turkey,1378.0,historian,non_europe,MENA
709,Q428705,Mustafa Sheykhoghlu,re_ottoman_turkey,Ottoman Turkey,1341.0,linguist,non_europe,MENA
710,Q12251667,Yahya al-Yazidi,re_persian_world,Persian world,755.0,linguist,non_europe,MENA
711,Q4116564,Mohammad Tahir Vahid Qazvini,re_persian_world,Persian world,1607.0,historian,non_europe,MENA
712,Q12178019,Abu Sa'd 'Abd al-Karim al-Samani,re_persian_world,Persian world,1113.0,historian,non_europe,MENA
713,Q5942209,Abd-al-Baqi Nahavandi,re_persian_world,Persian world,1570.0,historian,non_europe,MENA
714,Q729591,Ata-Malik Juvayni,re_persian_world,Persian world,1226.0,historian,non_europe,MENA
715,Q2822174,Abu Nu`aym,re_persian_world,Persian world,948.0,historian,non_europe,MENA
716,Q2228574,Zahir al-Din Marashi,re_persian_world,Persian world,1413.0,historian,non_europe,MENA
717,Q3456753,Abd al-Qahir al-Jurjani,re_persian_world,Persian world,1001.0,linguist,non_europe,MENA
718,Q6419062,Aḥmad Ibn-Fāris,re_persian_world,Persian world,1000.0,historian,non_europe,MENA
719,Q11075,Abd al-Rahman al-Sufi,re_persian_world,Persian world,903.0,astronomer | mathematician,non_europe,MENA
720,Q293520,Abū Ḥanīfa Dīnawarī,re_persian_world,Persian world,828.0,botanist | astronomer | mathematician | geographer | historian,non_europe,MENA
721,Q94875087,ʿAlī Ibn-ʿUbaidallāh Ibn-Bābūya al-Qummī,re_persian_world,Persian world,1100.0,theologian,non_europe,MENA
722,Q2658411,Bahāʾ al-dīn al-ʿĀmilī,re_persian_world,Persian world,1547.0,astronomer | philosopher | mathematician,non_europe,MENA
723,Q4119490,Mohsen Fayz Kashani,re_persian_world,Persian world,1598.0,philosopher,non_europe,MENA
724,Q426523,Kamāl al-Dīn al-Fārisī,re_persian_world,Persian world,1265.0,mathematician,non_europe,MENA
725,Q234908,Nezami Ganjavi,re_persian_world,Persian world,1141.0,philosopher,non_europe,MENA
726,Q61669,Ibn Bibi,re_persian_world,Persian world,1250.0,historian,non_europe,MENA
727,Q4060358,Mu'ayyad al-Din al-'Urdi,re_persian_world,Persian world,1200.0,astronomer,non_europe,MENA
728,Q3458926,Ruzbihan Baqli,re_persian_world,Persian world,1128.0,philosopher,non_europe,MENA
729,Q115466,Jamshīd al-Kāshī,re_persian_world,Persian world,1380.0,astronomer | mathematician,non_europe,MENA
730,Q287573,Baidawi,re_persian_world,Persian world,1201.0,theologian | philosopher,non_europe,MENA
731,Q3315763,Mir Damad,re_persian_world,Persian world,1561.0,philosopher,non_europe,MENA
732,Q8011,Avicenna,re_persian_world,Persian world,980.0,philosopher | physicist | musicologist | astronomer | mathematician | chemist,non_europe,MENA
733,Q140540,Zahed Gilani,re_persian_world,Persian world,1216.0,theologian,non_europe,MENA
734,Q6351410,Ibn Manda,re_persian_world,Persian world,922.0,theologian,non_europe,MENA
735,Q2031579,Shams al-Dīn al-Samarqandī,re_persian_world,Persian world,1250.0,astronomer | mathematician,non_europe,MENA
736,Q335313,Abu Sahl al-Quhi,re_persian_world,Persian world,940.0,astronomer | physicist | mathematician,non_europe,MENA
737,Q1152795,Nizami Aruzi,re_persian_world,Persian world,1110.0,philosopher,non_europe,MENA
738,Q1048593,Amr ibn Ubayd,re_persian_world,Persian world,699.0,theologian,non_europe,MENA
739,Q2024702,Seyid Yahya Bakuvi,re_persian_world,Persian world,1410.0,philosopher,non_europe,MENA
740,Q32075,Baha' al-Din Naqshband,re_persian_world,Persian world,1327.0,theologian,non_europe,MENA
741,Q558205,Khwaja Abdullah Ansari,re_persian_world,Persian world,1006.0,theologian,non_europe,MENA
742,Q5875064,Aziz ad-Din Nasafi,re_persian_world,Persian world,1200.0,philosopher,non_europe,MENA
744,Q4060354,Al-Qaffāl al-Shāshī,re_persian_world,Persian world,904.0,linguist,non_europe,MENA
745,Q25451998,Abu al-Yusr al-Bazdawi,re_persian_world,Persian world,1030.0,theologian,non_europe,MENA
746,Q2986906,Abd al-Qadir Maraghi,re_persian_world,Persian world,1353.0,musicologist,non_europe,MENA
747,Q3412455,Qazi Sa’id Qumi,re_persian_world,Persian world,1640.0,philosopher,non_europe,MENA
748,Q5636823,Habiballah Esmaili,re_persian_world,Persian world,1344.0,historian,non_europe,MENA
749,Q336146,Abu al-Ghazi Bahadur,re_persian_world,Persian world,1603.0,historian,non_europe,MENA
750,Q657968,Minhaj-i-Siraj,re_persian_world,Persian world,1193.0,historian,non_europe,MENA
752,Q4814466,Roxana Moslehi,re_persian_world,Persian world,1348.0,epidemiologist | botanist,non_europe,MENA
756,Q2474377,Muhyi al-Dīn al-Maghribī,re_persian_world,Persian world,1220.0,astronomer | mathematician,non_europe,MENA
757,Q12177831,Manṣūr ibn Muḥammad Samʻānī,re_persian_world,Persian world,1035.0,theologian,non_europe,MENA
758,Q328782,Rashid-al-Din Hamadani,re_persian_world,Persian world,1247.0,historian,non_europe,MENA
759,Q312458,Jami,re_persian_world,Persian world,1414.0,musicologist | philosopher,non_europe,MENA
760,Q1377629,Mīr-Khvānd,re_persian_world,Persian world,1433.0,historian,non_europe,MENA
761,Q6537635,Abu Nasr Ali ibn Hebatallah ibn Djafar ibn Makula,re_persian_world,Persian world,1030.0,historian,non_europe,MENA
762,Q2822092,Abu Sahl 'Isa ibn Yahya al-Masihi,re_persian_world,Persian world,970.0,astronomer | philosopher,non_europe,MENA
763,Q4794354,Ibn Hibban,re_persian_world,Persian world,883.0,historian,non_europe,MENA
764,Q4561714,Ahmad ibn Muhammad,re_persian_world,Persian world,906.0,philosopher,non_europe,MENA
765,Q1093121,Hakim al-Nishaburi,re_persian_world,Persian world,933.0,historian,non_europe,MENA
766,Q3319050,Mohammed Qacim Ferichta,re_persian_world,Persian world,1560.0,historian,non_europe,MENA
768,Q4090633,Bolad,re_persian_world,Persian world,1240.0,historian,non_europe,MENA
769,Q2822093,Abu Said Gorgani,re_persian_world,Persian world,850.0,astronomer | mathematician,non_europe,MENA
770,Q482451,Al-Zamakhshari,re_persian_world,Persian world,1075.0,theologian | linguist | philosopher,non_europe,MENA
771,Q4117220,Amīn Rāzī,re_persian_world,Persian world,1501.0,geographer,non_europe,MENA
772,Q4497394,Khasta Qasim,re_persian_world,Persian world,1684.0,philosopher,non_europe,MENA
773,Q1113860,Rashid al-Din Vatvat,re_persian_world,Persian world,1088.0,linguist,non_europe,MENA
774,Q6414218,Hasan Beg Rumlu,re_persian_world,Persian world,1530.0,historian,non_europe,MENA
775,Q764947,Taftazani,re_persian_world,Persian world,1322.0,theologian | philosopher | mathematician,non_europe,MENA
777,Q2743660,Shaykh Saduq,re_persian_world,Persian world,918.0,theologian,non_europe,MENA
778,Q254739,Fazlallah Astarabadi,re_persian_world,Persian world,1340.0,philosopher,non_europe,MENA
779,Q12227985,Wāḥidī Nīsābūrī,re_persian_world,Persian world,1010.0,theologian | linguist | historian,non_europe,MENA
781,Q3814358,Ibn Khuzaymah,re_persian_world,Persian world,838.0,theologian,non_europe,MENA
782,Q287479,Estakhri,re_persian_world,Persian world,850.0,geographer,non_europe,MENA
783,Q929260,Calanus,re_persian_world,Persian world,-397.0,philosopher,non_europe,MENA
784,Q169234,Abu Bakr al-Razi,re_persian_world,Persian world,865.0,philosopher | chemist | mathematician,non_europe,MENA
785,Q2511004,Abd al-Razzaq Samarqandi,re_persian_world,Persian world,1413.0,historian,non_europe,MENA
786,Q5948206,Abd al-Fattah Fumani,re_persian_world,Persian world,1600.0,historian,non_europe,MENA
787,Q12578225,Abu-l-Qasim al-Farabi,re_persian_world,Persian world,1130.0,geographer,non_europe,MENA
788,Q2991836,Al-Khazini,re_persian_world,Persian world,1077.0,astronomer | philosopher | physicist | mathematician,non_europe,MENA
789,Q62630871,Abu Ishaq al-Saffar al-Bukhari,re_persian_world,Persian world,1067.0,theologian,non_europe,MENA
790,Q2561872,Iskandar Beg Munshi,re_persian_world,Persian world,1560.0,historian,non_europe,MENA
791,Q3777119,Al-Hurr al-Aamili,re_persian_world,Persian world,1624.0,theologian,non_europe,MENA
792,Q330893,Abraham the Great of Kashkar,re_persian_world,Persian world,503.0,theologian,non_europe,MENA
793,Q938348,Abou al-Layth As Samarqandî,re_persian_world,Persian world,944.0,theologian,non_europe,MENA
795,Q10293670,Seyyed Nematollah Jazayeri,re_persian_world,Persian world,1640.0,theologian,non_europe,MENA
796,Q3109034,Khwaju Kermani,re_persian_world,Persian world,1280.0,mathematician,non_europe,MENA
797,Q2383120,Abu Nasr Mansur,re_persian_world,Persian world,970.0,astronomer | mathematician,non_europe,MENA
799,Q557366,Ibn Tahir al-Baghdadi,re_persian_world,Persian world,980.0,mathematician,non_europe,MENA
801,Q5680834,Mohsin Fani,re_persian_world,Persian world,1615.0,historian,non_europe,MENA
802,Q11862838,Muhammad Ibn Masud al-Ayyashi,re_persian_world,Persian world,900.0,theologian,non_europe,MENA
803,Q1151481,Bahmanyār,re_persian_world,Persian world,993.0,philosopher | mathematician,non_europe,MENA
805,Q27825516,Sayyid Ali Akbar,re_persian_world,Persian world,869.0,theologian,non_europe,MENA
806,Q12177809,Imam Ar-Rafi'i,re_persian_world,Persian world,1160.0,theologian | historian,non_europe,MENA
807,Q353889,Sahl ibn Bishr,re_persian_world,Persian world,786.0,astronomer | mathematician,non_europe,MENA
808,Q7226225,Mashrab,re_persian_world,Persian world,1657.0,philosopher,non_europe,MENA
809,Q4164865,Al-Tughrai,re_persian_world,Persian world,1061.0,linguist,non_europe,MENA
810,Q5960565,Mir Shamsuddin Adib-Soltani,re_persian_world,Persian world,1310.0,philosopher,non_europe,MENA
812,Q5724876,Fazl b. Ruzbihan Khunji,re_persian_world,Persian world,1457.0,historian,non_europe,MENA
813,Q983510,Jahm bin Safwan,re_persian_world,Persian world,696.0,theologian,non_europe,MENA
814,Q4502475,Ḥusain Wāʿiẓ Kāšifī,re_persian_world,Persian world,1461.0,astronomer | mathematician,non_europe,MENA
815,Q2620460,Abul-Fazl Bayhaqi,re_persian_world,Persian world,996.0,historian,non_europe,MENA
816,Q796587,Shams Tabrizi,re_persian_world,Persian world,1185.0,philosopher,non_europe,MENA
818,Q6417154,Baba Kuhi of Shiraz,re_persian_world,Persian world,948.0,philosopher,non_europe,MENA
819,Q336653,Alexandre de Rhodes,re_persian_world,Persian world,1593.0,linguist,non_europe,MENA
820,Q11906149,Anushirvan ibn Khalid,re_persian_world,Persian world,1060.0,historian,non_europe,MENA
821,Q203922,Mani,re_persian_world,Persian world,216.0,theologian | philosopher,non_europe,MENA
822,Q983355,Sibawayh,re_persian_world,Persian world,760.0,linguist,non_europe,MENA
823,Q2594199,Al-Mahani,re_persian_world,Persian world,820.0,astronomer | mathematician,non_europe,MENA
825,Q445398,Fātima bint Mūsā,re_persian_world,Persian world,790.0,theologian,non_europe,MENA
828,Q2915197,Wassaf,re_persian_world,Persian world,1265.0,historian,non_europe,MENA
829,Q3773706,Abd al-Jabbar ibn Ahmad,re_persian_world,Persian world,935.0,theologian | philosopher,non_europe,MENA
830,Q16367981,Fatullah Sirvani,re_persian_world,Persian world,1417.0,mathematician,non_europe,MENA
831,Q333703,Fakhr al-Din al-Razi,re_persian_world,Persian world,1150.0,astronomer | philosopher | mathematician,non_europe,MENA
832,Q6820795,Abu Mansur al-Azhari,re_persian_world,Persian world,895.0,linguist,non_europe,MENA
833,Q5946533,Bi Bi Monajemeh Nishaburi,re_persian_world,Persian world,1203.0,astronomer | mathematician,non_europe,MENA
834,Q4116338,Mir Fendereski,re_persian_world,Persian world,1562.0,philosopher,non_europe,MENA
835,Q4115259,Abd al-Karīm ibn Hawāzin Qushayri,re_persian_world,Persian world,986.0,philosopher,non_europe,MENA
836,Q7489382,Sharaf al-Zaman al-Marwazi,re_persian_world,Persian world,1057.0,zoologist,non_europe,MENA
837,Q1231017,Tha'ālibī,re_persian_world,Persian world,961.0,linguist,non_europe,MENA
838,Q5964599,Rasul Jafarian,re_persian_world,Persian world,1343.0,historian,non_europe,MENA
840,Q25453527,Abu Sahl al-Sa'luki,re_persian_world,Persian world,908.0,theologian,non_europe,MENA
841,Q5668442,Naubakht,re_persian_world,Persian world,750.0,astronomer,non_europe,MENA
842,Q461062,Al-Karaji,re_persian_world,Persian world,953.0,mathematician,non_europe,MENA
844,Q106916684,Arshit Dana,re_persian_world,Persian world,-475.0,philosopher,non_europe,MENA
845,Q864619,Rajab Ali Tabrizi,re_persian_world,Persian world,1650.0,philosopher,non_europe,MENA
