,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,meta_region_name
4925,Q3363742,Frederik Rostgaard,re_nordic_countries,Nordic countries,1671.0,historian,europe,Nordic countries
5018,Q1539327,Mikkel Pederssøn Escholt,re_nordic_countries,Nordic countries,1700.0,geologist,europe,Nordic countries
5057,Q6236902,Jonas Werving,re_nordic_countries,Nordic countries,1650.0,historian,europe,Nordic countries
5210,Q428694,Boetius of Dacia,re_nordic_countries,Nordic countries,1240.0,philosopher,europe,Nordic countries
5266,Q20252278,Johannes Clementis Mentzius,re_nordic_countries,Nordic countries,1550.0,philosopher,europe,Nordic countries
5344,Q264593,Caspar Bartholin the Elder,re_nordic_countries,Nordic countries,1585.0,theologian | philosopher | anatomist,europe,Nordic countries
5351,Q1779541,Jens Nilssøn,re_nordic_countries,Nordic countries,1538.0,theologian,europe,Nordic countries
5372,Q18246182,Nils Strömcrona,re_nordic_countries,Nordic countries,1664.0,geographer,europe,Nordic countries
5419,Q7905847,Jens Severin Wartberg,re_nordic_countries,Nordic countries,1697.0,theologian,europe,Nordic countries
5449,Q1351994,Johannes Messenius,re_nordic_countries,Nordic countries,1579.0,historian,europe,Nordic countries
5482,Q7639702,Jens Bircherod,re_nordic_countries,Nordic countries,1664.0,theologian,europe,Nordic countries
5490,Q5621928,Peter Dijkman,re_nordic_countries,Nordic countries,1647.0,archeologist,europe,Nordic countries
5513,Q5575855,Johannes Bilberg,re_nordic_countries,Nordic countries,1646.0,theologian | astronomer | mathematician,europe,Nordic countries
5543,Q473225,Georg Brandt,re_nordic_countries,Nordic countries,1694.0,geologist | chemist,europe,Nordic countries
5556,Q5967202,Daniel Lundius,re_nordic_countries,Nordic countries,1666.0,theologian,europe,Nordic countries
5588,Q3777109,Martinus de Dacia,re_nordic_countries,Nordic countries,1220.0,theologian | philosopher,europe,Nordic countries
5739,Q4676751,Peder Lauridsen Kylling,re_nordic_countries,Nordic countries,1640.0,theologian | botanist,europe,Nordic countries
5742,Q537984,Caspar Bartholin the Younger,re_nordic_countries,Nordic countries,1655.0,archeologist | anatomist,europe,Nordic countries
5808,Q6328283,Niels Pedersen Slange,re_nordic_countries,Nordic countries,1656.0,historian,europe,Nordic countries
5809,Q6166963,Johan Julius Salberg,re_nordic_countries,Nordic countries,1680.0,zoologist,europe,Nordic countries
5831,Q1636271,Johann Lund,re_nordic_countries,Nordic countries,1638.0,theologian,europe,Nordic countries
5850,Q935691,Laurentius Petri Gothus,re_nordic_countries,Nordic countries,1529.0,theologian,europe,Nordic countries
5858,Q12365215,Johann Heinrich Gerth,re_nordic_countries,Nordic countries,1645.0,theologian,europe,Nordic countries
5895,Q350198,Olaus Rudbeck,re_nordic_countries,Nordic countries,1630.0,botanist | astronomer | archeologist | anatomist | historian,europe,Nordic countries
5902,Q4590600,Arent Berntsen,re_nordic_countries,Nordic countries,1610.0,geographer,europe,Nordic countries
5961,Q2454821,Troels Arnkiel,re_nordic_countries,Nordic countries,1638.0,theologian | archeologist | musicologist,europe,Nordic countries
6048,Q553947,Sturla Þórðarson,re_nordic_countries,Nordic countries,1214.0,historian,europe,Nordic countries
6097,Q12316425,Henrik Ovesen Pflug,re_nordic_countries,Nordic countries,1633.0,geographer,europe,Nordic countries
6191,Q5760765,Rasmus Glad,re_nordic_countries,Nordic countries,1526.0,theologian,europe,Nordic countries
6193,Q1697554,Johannes Gerdes,re_nordic_countries,Nordic countries,1624.0,theologian,europe,Nordic countries
6209,Q7709558,Joachim Frederik Ramus,re_nordic_countries,Nordic countries,1686.0,geographer | mathematician,europe,Nordic countries
6216,Q14505942,Edvard Edvardsen,re_nordic_countries,Nordic countries,1630.0,historian,europe,Nordic countries
6258,Q3165687,Ingemund Bröms,re_nordic_countries,Nordic countries,1669.0,theologian,europe,Nordic countries
6324,Q13054796,Christian Møinichen,re_nordic_countries,Nordic countries,1683.0,theologian,europe,Nordic countries
6334,Q4981388,Kristina Svantesdotter Sture,re_nordic_countries,Nordic countries,1559.0,historian,europe,Nordic countries
6351,Q5736369,Jonas Fornelius,re_nordic_countries,Nordic countries,1635.0,astronomer | mathematician,europe,Nordic countries
6376,Q5565299,Thomas Bang,re_nordic_countries,Nordic countries,1600.0,theologian,europe,Nordic countries
6443,Q3364447,Jørgen Thygesen Brahe,re_nordic_countries,Nordic countries,1515.0,astronomer,europe,Nordic countries
6524,Q7638711,Jens Bircherod,re_nordic_countries,Nordic countries,1623.0,theologian,europe,Nordic countries
6531,Q5718759,Johan Esberg,re_nordic_countries,Nordic countries,1665.0,theologian,europe,Nordic countries
6646,Q1291374,Johan Franck,re_nordic_countries,Nordic countries,1590.0,botanist,europe,Nordic countries
6701,Q12326447,Matthias de Thestrup,re_nordic_countries,Nordic countries,1688.0,theologian,europe,Nordic countries
6754,Q5590407,Eric Burman,re_nordic_countries,Nordic countries,1692.0,astronomer | meteorologist | mathematician,europe,Nordic countries
6814,Q5412700,Johannes Raumannus,re_nordic_countries,Nordic countries,1570.0,theologian,europe,Nordic countries
