,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,region
1208,Q597003,Wei Yuan,re_chinese_world,Chinese world,1794.0,philosopher,non_europe,re_chinese_world
1209,Q11583182,Zhen Dexiu,re_chinese_world,Chinese world,1178.0,philosopher,non_europe,re_chinese_world
1210,Q2912463,Zhao Mengjian,re_chinese_world,Chinese world,1199.0,historian,non_europe,re_chinese_world
1211,Q6146198,Qian Qianyi,re_chinese_world,Chinese world,1582.0,historian,non_europe,re_chinese_world
1212,Q371966,Feng Menglong,re_chinese_world,Chinese world,1574.0,historian,non_europe,re_chinese_world
1213,Q712287,Jizang,re_chinese_world,Chinese world,549.0,philosopher,non_europe,re_chinese_world
1214,Q15912473,Fan Zuyu,re_chinese_world,Chinese world,1041.0,historian,non_europe,re_chinese_world
1215,Q182874,Cao Xueqin,re_chinese_world,Chinese world,1724.0,philosopher,non_europe,re_chinese_world
1216,Q1548242,Ye Changchi,re_chinese_world,Chinese world,1849.0,historian,non_europe,re_chinese_world
1217,Q197958,Zhou Daguan,re_chinese_world,Chinese world,1266.0,geographer,non_europe,re_chinese_world
1218,Q558380,Cheng Yi,re_chinese_world,Chinese world,1033.0,philosopher,non_europe,re_chinese_world
1219,Q1206650,Ma Duanlin,re_chinese_world,Chinese world,1245.0,historian,non_europe,re_chinese_world
1220,Q713013,Song Lian,re_chinese_world,Chinese world,1310.0,historian,non_europe,re_chinese_world
1221,Q4272132,Lü Zuqian,re_chinese_world,Chinese world,1137.0,historian,non_europe,re_chinese_world
1222,Q319329,Wang Chong,re_chinese_world,Chinese world,27.0,astronomer | philosopher | meteorologist | mathematician,non_europe,re_chinese_world
1223,Q699266,Zheng Qiao,re_chinese_world,Chinese world,1104.0,astronomer | historian,non_europe,re_chinese_world
1224,Q1041328,Gong Zizhen,re_chinese_world,Chinese world,1792.0,philosopher,non_europe,re_chinese_world
1225,Q36020,Su Shi,re_chinese_world,Chinese world,1037.0,historian,non_europe,re_chinese_world
1226,Q14942746,Gao Panlong,re_chinese_world,Chinese world,1562.0,philosopher,non_europe,re_chinese_world
1227,Q8011232,Wang Gen,re_chinese_world,Chinese world,1483.0,philosopher,non_europe,re_chinese_world
1228,Q319618,Wang Anshi,re_chinese_world,Chinese world,1021.0,economist,non_europe,re_chinese_world
1229,Q613140,Mipam Gyatso,re_chinese_world,Chinese world,1846.0,philosopher,non_europe,re_chinese_world
1230,Q3138460,Wang Zhenyi,re_chinese_world,Chinese world,1768.0,astronomer | mathematician,non_europe,re_chinese_world
1231,Q981888,Tao Hongjing,re_chinese_world,Chinese world,456.0,philosopher,non_europe,re_chinese_world
1232,Q11105457,Lin Botong,re_chinese_world,Chinese world,1775.0,historian,non_europe,re_chinese_world
1233,Q197206,Zhang Heng,re_chinese_world,Chinese world,78.0,philosopher | astronomer | mathematician | anthropologist | geographer,non_europe,re_chinese_world
1234,Q697553,Ye Shi,re_chinese_world,Chinese world,1150.0,philosopher,non_europe,re_chinese_world
1235,Q10425950,Tian Xi,re_chinese_world,Chinese world,940.0,historian,non_europe,re_chinese_world
1236,Q187172,Bodhidharma,re_chinese_world,Chinese world,483.0,philosopher,non_europe,re_chinese_world
1237,Q1914745,Mazu Daoyi,re_chinese_world,Chinese world,709.0,philosopher,non_europe,re_chinese_world
1238,Q11042295,Qu Dajun,re_chinese_world,Chinese world,1630.0,geographer | historian,non_europe,re_chinese_world
1239,Q1154748,Jin Shengtan,re_chinese_world,Chinese world,1610.0,philosopher,non_europe,re_chinese_world
1240,Q1070259,Qiao Zhou,re_chinese_world,Chinese world,199.0,astronomer,non_europe,re_chinese_world
1241,Q9397,Zhu Xi,re_chinese_world,Chinese world,1130.0,philosopher | historian,non_europe,re_chinese_world
1242,Q420427,Xu Guangqi,re_chinese_world,Chinese world,1562.0,astronomer | mathematician,non_europe,re_chinese_world
1243,Q699485,Liu Ji,re_chinese_world,Chinese world,1311.0,astronomer | philosopher | historian,non_europe,re_chinese_world
1244,Q11658289,Chen Li,re_chinese_world,Chinese world,1810.0,astronomer | mathematician,non_europe,re_chinese_world
1245,Q197172,Zhang Daoling,re_chinese_world,Chinese world,34.0,philosopher,non_europe,re_chinese_world
1246,Q11126264,Bi Yuan,re_chinese_world,Chinese world,1730.0,historian,non_europe,re_chinese_world
1247,Q15927765,Fan Zhen,re_chinese_world,Chinese world,1007.0,historian,non_europe,re_chinese_world
1248,Q45378990,Fei Shiyin,re_chinese_world,Chinese world,1160.0,historian,non_europe,re_chinese_world
1249,Q15913733,Xichan Wang,re_chinese_world,Chinese world,1628.0,astronomer | mathematician,non_europe,re_chinese_world
1250,Q706214,Zhang Dai,re_chinese_world,Chinese world,1597.0,historian,non_europe,re_chinese_world
1251,Q3497131,Luo Hongxian,re_chinese_world,Chinese world,1504.0,geographer,non_europe,re_chinese_world
1252,Q15888775,Zhongtong Fang,re_chinese_world,Chinese world,1634.0,mathematician,non_europe,re_chinese_world
1253,Q712125,Yin Mo,re_chinese_world,Chinese world,101.0,philosopher,non_europe,re_chinese_world
1254,Q11115066,Mei Juecheng,re_chinese_world,Chinese world,1681.0,mathematician,non_europe,re_chinese_world
1255,Q1156713,He Yan,re_chinese_world,Chinese world,195.0,philosopher,non_europe,re_chinese_world
1256,Q979653,Paramartha,re_chinese_world,Chinese world,499.0,philosopher,non_europe,re_chinese_world
1257,Q13668070,Pan Zengying,re_chinese_world,Chinese world,1808.0,historian,non_europe,re_chinese_world
1258,Q21814440,Gu Yingxiang,re_chinese_world,Chinese world,1483.0,historian,non_europe,re_chinese_world
1259,Q11080108,Wen Bing,re_chinese_world,Chinese world,1609.0,historian,non_europe,re_chinese_world
1260,Q553678,Ge Hong,re_chinese_world,Chinese world,284.0,philosopher,non_europe,re_chinese_world
1261,Q11147294,Hong Mai,re_chinese_world,Chinese world,1123.0,historian,non_europe,re_chinese_world
1262,Q227444,Zu Chongzhi,re_chinese_world,Chinese world,429.0,astronomer | mathematician,non_europe,re_chinese_world
1263,Q378462,Wang Yangming,re_chinese_world,Chinese world,1472.0,philosopher,non_europe,re_chinese_world
1264,Q698817,Zhao Rukuo,re_chinese_world,Chinese world,1170.0,geographer | historian,non_europe,re_chinese_world
1265,Q3274593,Wang Fan,re_chinese_world,Chinese world,228.0,astronomer | mathematician,non_europe,re_chinese_world
1266,Q11094966,Heling Zhu,re_chinese_world,Chinese world,1606.0,philosopher,non_europe,re_chinese_world
1267,Q1367171,Xu Xiake,re_chinese_world,Chinese world,1587.0,geographer,non_europe,re_chinese_world
1268,Q345012,Huineng,re_chinese_world,Chinese world,638.0,philosopher,non_europe,re_chinese_world
1269,Q17040371,Zhao Youqin,re_chinese_world,Chinese world,1279.0,astronomer | mathematician,non_europe,re_chinese_world
1270,Q3573233,Yungton Dorje Pel,re_chinese_world,Chinese world,1284.0,philosopher,non_europe,re_chinese_world
1271,Q11109045,Zha Jizuo,re_chinese_world,Chinese world,1601.0,historian,non_europe,re_chinese_world
1272,Q5363752,Cheng Dawei,re_chinese_world,Chinese world,1533.0,mathematician,non_europe,re_chinese_world
1273,Q11118003,Yang Shoujing,re_chinese_world,Chinese world,1839.0,historian,non_europe,re_chinese_world
1274,Q5443379,Feng Guifen,re_chinese_world,Chinese world,1809.0,philosopher | mathematician,non_europe,re_chinese_world
1275,Q565225,Qin Jiushao,re_chinese_world,Chinese world,1208.0,meteorologist | mathematician,non_europe,re_chinese_world
1276,Q11067446,Zhang Xie,re_chinese_world,Chinese world,1574.0,geographer,non_europe,re_chinese_world
1277,Q45537230,Mao Qianqian,re_chinese_world,Chinese world,1653.0,astronomer | mathematician,non_europe,re_chinese_world
1278,Q10330338,Zhu Bian,re_chinese_world,Chinese world,1085.0,historian,non_europe,re_chinese_world
1279,Q7267607,Qian Daxin,re_chinese_world,Chinese world,1728.0,linguist | philosopher,non_europe,re_chinese_world
1280,Q707875,Fang Xiaoru,re_chinese_world,Chinese world,1357.0,historian,non_europe,re_chinese_world
1281,Q3274694,Duan Yucai,re_chinese_world,Chinese world,1735.0,linguist | philosopher,non_europe,re_chinese_world
1282,Q270085,Shen Kuo,re_chinese_world,Chinese world,1031.0,zoologist | physicist | philosopher | botanist | astronomer | meteorologist | mathematician | geologist | anthropologist | geographer | economist,non_europe,re_chinese_world
1283,Q334323,Ouyang Xiu,re_chinese_world,Chinese world,1007.0,philosopher | historian,non_europe,re_chinese_world
1284,Q11070428,Xu Shou,re_chinese_world,Chinese world,1818.0,chemist,non_europe,re_chinese_world
1285,Q11646955,Jin Lvxiang,re_chinese_world,Chinese world,1232.0,historian,non_europe,re_chinese_world
1286,Q574521,Yang Hui,re_chinese_world,Chinese world,1238.0,mathematician,non_europe,re_chinese_world
1287,Q626019,Araniko,re_chinese_world,Chinese world,1244.0,astronomer,non_europe,re_chinese_world
1288,Q11097372,Li Tao,re_chinese_world,Chinese world,1115.0,historian,non_europe,re_chinese_world
1289,Q553520,Yang Xiong,re_chinese_world,Chinese world,-52.0,linguist | philosopher,non_europe,re_chinese_world
1290,Q5071661,Chang Qu,re_chinese_world,Chinese world,291.0,historian,non_europe,re_chinese_world
1291,Q561165,Shen Yue,re_chinese_world,Chinese world,441.0,historian,non_europe,re_chinese_world
1292,Q2466384,Lu Jiuyuan,re_chinese_world,Chinese world,1139.0,philosopher,non_europe,re_chinese_world
1293,Q18812219,Qu Taisu,re_chinese_world,Chinese world,1549.0,mathematician,non_europe,re_chinese_world
1294,Q3051507,Hua He,re_chinese_world,Chinese world,219.0,historian,non_europe,re_chinese_world
1295,Q8059998,Yu Zhengxie,re_chinese_world,Chinese world,1775.0,astronomer | philosopher,non_europe,re_chinese_world
1296,Q45691164,Qu Jiusi,re_chinese_world,Chinese world,1546.0,historian,non_europe,re_chinese_world
1297,Q6121590,Gu Xiancheng,re_chinese_world,Chinese world,1550.0,philosopher,non_europe,re_chinese_world
1298,Q1292321,Zhang Sixun,re_chinese_world,Chinese world,1050.0,astronomer,non_europe,re_chinese_world
1299,Q11643885,Ju Boqi,re_chinese_world,Chinese world,1819.0,mathematician,non_europe,re_chinese_world
1300,Q15449527,Chen Hongxu,re_chinese_world,Chinese world,1597.0,archeologist | historian,non_europe,re_chinese_world
1301,Q11089447,Yan Shu,re_chinese_world,Chinese world,991.0,historian,non_europe,re_chinese_world
1302,Q457972,Guan Zhong,re_chinese_world,Chinese world,-719.0,philosopher,non_europe,re_chinese_world
1303,Q11073410,Hui Dong,re_chinese_world,Chinese world,1697.0,philosopher,non_europe,re_chinese_world
1304,Q1387854,Desi Sangye Gyatso,re_chinese_world,Chinese world,1653.0,historian,non_europe,re_chinese_world
1305,Q1088063,Hua Sui,re_chinese_world,Chinese world,1439.0,historian,non_europe,re_chinese_world
1306,Q7267602,Qian Dehong,re_chinese_world,Chinese world,1496.0,philosopher,non_europe,re_chinese_world
1307,Q5950484,Xu Ai,re_chinese_world,Chinese world,1487.0,philosopher,non_europe,re_chinese_world
1308,Q31754,Huang Zongxi,re_chinese_world,Chinese world,1610.0,philosopher | historian,non_europe,re_chinese_world
1309,Q11095476,Li Guangdi,re_chinese_world,Chinese world,1642.0,philosopher,non_europe,re_chinese_world
1310,Q10543449,Lu Zhen,re_chinese_world,Chinese world,957.0,historian,non_europe,re_chinese_world
1311,Q714374,Wang Fuzhi,re_chinese_world,Chinese world,1619.0,philosopher | historian,non_europe,re_chinese_world
1312,Q626733,Fan Chengda,re_chinese_world,Chinese world,1126.0,geographer,non_europe,re_chinese_world
1313,Q515272,Rigdzin Tsewang Norbu,re_chinese_world,Chinese world,1698.0,historian,non_europe,re_chinese_world
1314,Q706837,Liu Yuxi,re_chinese_world,Chinese world,772.0,philosopher,non_europe,re_chinese_world
1315,Q716358,Ruan Yuan,re_chinese_world,Chinese world,1764.0,philosopher | mathematician,non_europe,re_chinese_world
1316,Q4502729,He Qiutao,re_chinese_world,Chinese world,1824.0,historian,non_europe,re_chinese_world
1317,Q16076318,Xu Dong,re_chinese_world,Chinese world,976.0,historian,non_europe,re_chinese_world
1318,Q3315279,Zheng Ruozeng,re_chinese_world,Chinese world,1503.0,geographer,non_europe,re_chinese_world
1319,Q12165238,Fang Yizhi,re_chinese_world,Chinese world,1611.0,linguist,non_europe,re_chinese_world
1320,Q30949294,Ouyang De,re_chinese_world,Chinese world,1496.0,philosopher,non_europe,re_chinese_world
1321,Q558192,Cheng Hao,re_chinese_world,Chinese world,1032.0,philosopher,non_europe,re_chinese_world
1322,Q715748,Li Shanlan,re_chinese_world,Chinese world,1811.0,mathematician,non_europe,re_chinese_world
1323,Q4578350,Chen Hongmou,re_chinese_world,Chinese world,1696.0,philosopher,non_europe,re_chinese_world
1324,Q699303,Chen Di,re_chinese_world,Chinese world,1541.0,linguist,non_europe,re_chinese_world
1325,Q698177,Li Zhi,re_chinese_world,Chinese world,1527.0,philosopher,non_europe,re_chinese_world
1326,Q197778,Zhiyi,re_chinese_world,Chinese world,538.0,philosopher,non_europe,re_chinese_world
1327,Q1288620,Wen Tong,re_chinese_world,Chinese world,1018.0,historian,non_europe,re_chinese_world
1328,Q4501983,Hu Hong,re_chinese_world,Chinese world,1105.0,philosopher,non_europe,re_chinese_world
1329,Q4388724,Zhao Yi,re_chinese_world,Chinese world,1727.0,historian,non_europe,re_chinese_world
1330,Q11573061,Wang Yinzhi,re_chinese_world,Chinese world,1766.0,linguist,non_europe,re_chinese_world
1331,Q537211,Dong Qichang,re_chinese_world,Chinese world,1555.0,art theorist,non_europe,re_chinese_world
1332,Q703776,Du Qiong,re_chinese_world,Chinese world,101.0,astronomer,non_europe,re_chinese_world
1333,Q6473698,Lai Zhide,re_chinese_world,Chinese world,1525.0,philosopher,non_europe,re_chinese_world
1334,Q15941622,Chen Ji,re_chinese_world,Chinese world,1363.0,historian,non_europe,re_chinese_world
1335,Q716389,Li Gonglin,re_chinese_world,Chinese world,1049.0,archeologist | anthropologist,non_europe,re_chinese_world
1336,Q379577,Marpa Chokyi Lodro,re_chinese_world,Chinese world,1012.0,philosopher,non_europe,re_chinese_world
1337,Q1195906,Gu Yanwu,re_chinese_world,Chinese world,1613.0,philosopher | astronomer | linguist | geographer | historian,non_europe,re_chinese_world
1338,Q12159927,Tao Zongyi,re_chinese_world,Chinese world,1329.0,historian,non_europe,re_chinese_world
1339,Q1265657,Su Song,re_chinese_world,Chinese world,1020.0,zoologist | philosopher | botanist | astronomer | mathematician | geographer,non_europe,re_chinese_world
1340,Q16260354,Wang Kentang,re_chinese_world,Chinese world,1549.0,historian,non_europe,re_chinese_world
1341,Q17033673,Luo Shilin,re_chinese_world,Chinese world,1784.0,astronomer | mathematician,non_europe,re_chinese_world
1342,Q1268609,Wu Zixu,re_chinese_world,Chinese world,-525.0,philosopher,non_europe,re_chinese_world
1343,Q709241,Hong Liangji,re_chinese_world,Chinese world,1746.0,philosopher,non_europe,re_chinese_world
1344,Q31765,Fan Zhen,re_chinese_world,Chinese world,450.0,philosopher,non_europe,re_chinese_world
1345,Q11094003,Zhu Yizun,re_chinese_world,Chinese world,1629.0,historian,non_europe,re_chinese_world
1346,Q714369,Dai Zhen,re_chinese_world,Chinese world,1724.0,philosopher | mathematician,non_europe,re_chinese_world
1347,Q947874,Gö Lotsawa Zhönnu-pel,re_chinese_world,Chinese world,1392.0,historian,non_europe,re_chinese_world
1348,Q15916782,Wang Songwei,re_chinese_world,Chinese world,1849.0,historian,non_europe,re_chinese_world
1349,Q181380,Li Rui,re_chinese_world,Chinese world,1768.0,mathematician,non_europe,re_chinese_world
1350,Q265181,He Xinyin,re_chinese_world,Chinese world,1517.0,philosopher,non_europe,re_chinese_world
1351,Q16075718,Chen Hao,re_chinese_world,Chinese world,1757.0,historian,non_europe,re_chinese_world
1352,Q1275360,Zeng Gong,re_chinese_world,Chinese world,1019.0,historian,non_europe,re_chinese_world
1353,Q4501976,Anguo Hu,re_chinese_world,Chinese world,1074.0,philosopher,non_europe,re_chinese_world
1354,Q1155951,Su Zhe,re_chinese_world,Chinese world,1039.0,philosopher | historian,non_europe,re_chinese_world
1355,Q15920149,Qian Tan,re_chinese_world,Chinese world,1594.0,historian,non_europe,re_chinese_world
1356,Q8070379,Zhang Xuecheng,re_chinese_world,Chinese world,1738.0,philosopher | historian,non_europe,re_chinese_world
1357,Q20048449,Xue Fengzuo,re_chinese_world,Chinese world,1600.0,astronomer | mathematician,non_europe,re_chinese_world
1358,Q698543,Chen Baisha,re_chinese_world,Chinese world,1428.0,philosopher,non_europe,re_chinese_world
1359,Q13553235,Zhan Ruoshui,re_chinese_world,Chinese world,1466.0,philosopher,non_europe,re_chinese_world
1360,Q6728564,Chu Jen,re_chinese_world,Chinese world,1361.0,historian,non_europe,re_chinese_world
1361,Q17030818,Xiang Mingda,re_chinese_world,Chinese world,1789.0,mathematician,non_europe,re_chinese_world
1362,Q10897757,Liu Hong,re_chinese_world,Chinese world,130.0,astronomer | mathematician,non_europe,re_chinese_world
1363,Q11835,Manuel Dias,re_chinese_world,Chinese world,1574.0,astronomer,non_europe,re_chinese_world
1364,Q985731,Xu Jingzong,re_chinese_world,Chinese world,592.0,geographer,non_europe,re_chinese_world
1365,Q1207661,Shan Tao,re_chinese_world,Chinese world,205.0,philosopher,non_europe,re_chinese_world
1366,Q37151,Sun Tzu,re_chinese_world,Chinese world,-543.0,philosopher,non_europe,re_chinese_world
1367,Q16076832,Ma Xu,re_chinese_world,Chinese world,70.0,historian,non_europe,re_chinese_world
1368,Q7272946,Qurbān-ʻAlī Khālidī,re_chinese_world,Chinese world,1846.0,historian,non_europe,re_chinese_world
1369,Q15917614,Wei Liaoweng,re_chinese_world,Chinese world,1178.0,philosopher,non_europe,re_chinese_world
1370,Q7192013,Pierre-Martial Cibot,re_chinese_world,Chinese world,1727.0,botanist | historian,non_europe,re_chinese_world
1371,Q10948168,Aixinjueluo Shengyu,re_chinese_world,Chinese world,1850.0,historian,non_europe,re_chinese_world
1372,Q5895740,Hong Zicheng,re_chinese_world,Chinese world,1593.0,philosopher,non_europe,re_chinese_world
1373,Q12159141,Xu Yue,re_chinese_world,Chinese world,160.0,astronomer | philosopher | mathematician,non_europe,re_chinese_world
1374,Q2630619,Nikolai Sudzilovsky,re_chinese_world,Chinese world,1850.0,geneticist | botanist | anthropologist | chemist,non_europe,re_chinese_world
1375,Q11496194,Dai Xu,re_chinese_world,Chinese world,1805.0,mathematician,non_europe,re_chinese_world
1376,Q11070726,Xu Youren,re_chinese_world,Chinese world,1800.0,mathematician,non_europe,re_chinese_world
1377,Q11572877,Wang Kaiyun,re_chinese_world,Chinese world,1833.0,historian,non_europe,re_chinese_world
1378,Q67442,Adolf Schlagintweit,re_chinese_world,Chinese world,1829.0,botanist | geographer | meteorologist | geologist,non_europe,re_chinese_world
