,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region
1209,Q11583182,Zhen Dexiu,re_chinese_world,Chinese world,1178.0,philosopher,non_europe
1210,Q2912463,Zhao Mengjian,re_chinese_world,Chinese world,1199.0,historian,non_europe
1211,Q6146198,Qian Qianyi,re_chinese_world,Chinese world,1582.0,historian,non_europe
1212,Q371966,Feng Menglong,re_chinese_world,Chinese world,1574.0,historian,non_europe
1213,Q712287,Jizang,re_chinese_world,Chinese world,549.0,philosopher,non_europe
1214,Q15912473,Fan Zuyu,re_chinese_world,Chinese world,1041.0,historian,non_europe
1217,Q197958,Zhou Daguan,re_chinese_world,Chinese world,1266.0,geographer,non_europe
1218,Q558380,Cheng Yi,re_chinese_world,Chinese world,1033.0,philosopher,non_europe
1219,Q1206650,Ma Duanlin,re_chinese_world,Chinese world,1245.0,historian,non_europe
1220,Q713013,Song Lian,re_chinese_world,Chinese world,1310.0,historian,non_europe
1221,Q4272132,Lü Zuqian,re_chinese_world,Chinese world,1137.0,historian,non_europe
1222,Q319329,Wang Chong,re_chinese_world,Chinese world,27.0,astronomer | philosopher | meteorologist | mathematician,non_europe
1223,Q699266,Zheng Qiao,re_chinese_world,Chinese world,1104.0,astronomer | historian,non_europe
1225,Q36020,Su Shi,re_chinese_world,Chinese world,1037.0,historian,non_europe
1226,Q14942746,Gao Panlong,re_chinese_world,Chinese world,1562.0,philosopher,non_europe
1227,Q8011232,Wang Gen,re_chinese_world,Chinese world,1483.0,philosopher,non_europe
1228,Q319618,Wang Anshi,re_chinese_world,Chinese world,1021.0,economist,non_europe
1231,Q981888,Tao Hongjing,re_chinese_world,Chinese world,456.0,philosopher,non_europe
1233,Q197206,Zhang Heng,re_chinese_world,Chinese world,78.0,philosopher | astronomer | mathematician | anthropologist | geographer,non_europe
1234,Q697553,Ye Shi,re_chinese_world,Chinese world,1150.0,philosopher,non_europe
1235,Q10425950,Tian Xi,re_chinese_world,Chinese world,940.0,historian,non_europe
1236,Q187172,Bodhidharma,re_chinese_world,Chinese world,483.0,philosopher,non_europe
1237,Q1914745,Mazu Daoyi,re_chinese_world,Chinese world,709.0,philosopher,non_europe
1238,Q11042295,Qu Dajun,re_chinese_world,Chinese world,1630.0,geographer | historian,non_europe
1239,Q1154748,Jin Shengtan,re_chinese_world,Chinese world,1610.0,philosopher,non_europe
1240,Q1070259,Qiao Zhou,re_chinese_world,Chinese world,199.0,astronomer,non_europe
1241,Q9397,Zhu Xi,re_chinese_world,Chinese world,1130.0,philosopher | historian,non_europe
1242,Q420427,Xu Guangqi,re_chinese_world,Chinese world,1562.0,astronomer | mathematician,non_europe
1243,Q699485,Liu Ji,re_chinese_world,Chinese world,1311.0,astronomer | philosopher | historian,non_europe
1245,Q197172,Zhang Daoling,re_chinese_world,Chinese world,34.0,philosopher,non_europe
1247,Q15927765,Fan Zhen,re_chinese_world,Chinese world,1007.0,historian,non_europe
1248,Q45378990,Fei Shiyin,re_chinese_world,Chinese world,1160.0,historian,non_europe
1249,Q15913733,Xichan Wang,re_chinese_world,Chinese world,1628.0,astronomer | mathematician,non_europe
