,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region
28330,Q1693731,Johann Frischmuth,re_german_world,German world,1619.0,theologian,europe
24489,Q101630,Johann Hülsemann,re_german_world,German world,1602.0,theologian,europe
6415,Q1698516,Johannes Tröster,re_german_world,German world,1500.0,theologian,europe
24352,Q6215568,Johann Adolph Wedel,re_german_world,German world,1675.0,chemist,europe
17802,Q94935967,Michael Schneider,re_german_world,German world,1607.0,theologian,europe
22129,Q89466,Johannes Scheubel,re_german_world,German world,1494.0,astronomer | mathematician,europe
28603,Q1624274,Nicolaus Köppen,re_german_world,German world,1668.0,theologian | linguist,europe
6924,Q72022,Johann Jakob Brucker,re_german_world,German world,1696.0,philosopher | historian,europe
27016,Q1690822,Moevius Volschov,re_german_world,German world,1588.0,theologian,europe
14442,Q2418762,Theodoricus Block,re_german_world,German world,1460.0,theologian,europe
27471,Q645779,Hermann von Wartberge,re_german_world,German world,1330.0,historian,europe
13994,Q55903915,Heinrich von Hövel,re_german_world,German world,1550.0,historian,europe
20255,Q106678,Rupertus Meldenius,re_german_world,German world,1582.0,theologian,europe
20702,Q1229061,Johann Juncker,re_german_world,German world,1679.0,chemist,europe
13024,Q90333,Josua Stegmann,re_german_world,German world,1588.0,theologian,europe
25447,Q77277,Heinrich Meibom,re_german_world,German world,1555.0,historian,europe
15818,Q1693983,Johann Georg Volckamer,re_german_world,German world,1616.0,zoologist,europe
28108,Q15634526,anonymous geographer from Ravenna,re_german_world,German world,700.0,geographer,europe
10242,Q77495,Johann Joachim Lange,re_german_world,German world,1670.0,theologian | philosopher,europe
17071,Q1224020,Dietrich Schnepff,re_german_world,German world,1525.0,theologian,europe
11414,Q94920275,Johann Marci,re_german_world,German world,1640.0,theologian,europe
21995,Q56023320,Hieronymus Praetorius,re_german_world,German world,1595.0,physicist,europe
6328,Q55126603,Christoph Schleupner,re_german_world,German world,1566.0,theologian,europe
5521,Q55676718,"Julius Ernst, der Jüngere Hahn",re_german_world,German world,1677.0,theologian,europe
17330,Q1358862,Ernst Johann Friedrich Mantzel,re_german_world,German world,1699.0,theologian,europe
23089,Q17123831,Johann Gerhard Arnold,re_german_world,German world,1637.0,historian,europe
21850,Q1503981,Georg Conrad Bergius,re_german_world,German world,1623.0,theologian,europe
17985,Q111912,Salomon Schweigger,re_german_world,German world,1551.0,theologian,europe
13635,Q87662,Victorinus Strigel,re_german_world,German world,1524.0,theologian,europe
