,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,region
3,Q6240116,John Howe,re_british_islands,British Islands,1630.0,theologian,europe,re_europe
7,Q7410983,Samuel Brewer,re_british_islands,British Islands,1670.0,botanist,europe,re_europe
44,Q7528564,"Sir Richard Cox, 1st Baronet",re_british_islands,British Islands,1650.0,historian,europe,re_europe
55,Q242640,"Margaret Cavendish, Duchess of Newcastle-upon-Tyne",re_british_islands,British Islands,1623.0,philosopher | physicist,europe,re_europe
56,Q1451111,François Leguat,re_british_islands,British Islands,1637.0,zoologist,europe,re_europe
58,Q6261137,John Trapp,re_british_islands,British Islands,1601.0,theologian,europe,re_europe
71,Q185832,Emmanuel Swedenborg,re_british_islands,British Islands,1688.0,theologian | philosopher | physicist | mathematician,europe,re_europe
93,Q15097687,Moses Glover,re_british_islands,British Islands,1601.0,geographer,europe,re_europe
95,Q15984704,John Speidell,re_british_islands,British Islands,1600.0,mathematician,europe,re_europe
103,Q310439,George Fox,re_british_islands,British Islands,1624.0,theologian,europe,re_europe
116,Q5077323,Charles Edwards,re_british_islands,British Islands,1628.0,theologian,europe,re_europe
119,Q60808,Johann Joachim Becheres,re_british_islands,British Islands,1635.0,economist | chemist,europe,re_europe
122,Q1245769,Jacob Acontius,re_british_islands,British Islands,1600.0,theologian | philosopher,europe,re_europe
132,Q310326,Hans Sloane,re_british_islands,British Islands,1660.0,botanist | zoologist,europe,re_europe
142,Q4836326,Anna Mackenzie,re_british_islands,British Islands,1621.0,historian,europe,re_europe
158,Q633066,Archibald Bower,re_british_islands,British Islands,1686.0,historian,europe,re_europe
159,Q18528465,Henry Coggeshall,re_british_islands,British Islands,1623.0,mathematician,europe,re_europe
172,Q6242092,John Jortin,re_british_islands,British Islands,1698.0,theologian | historian,europe,re_europe
177,Q6219462,John Arrowsmith,re_british_islands,British Islands,1602.0,theologian,europe,re_europe
191,Q335725,"George Parker, 2nd Earl of Macclesfield",re_british_islands,British Islands,1697.0,astronomer,europe,re_europe
192,Q18576473,John Dougharty,re_british_islands,British Islands,1677.0,mathematician,europe,re_europe
207,Q13581564,Benjamin Keach,re_british_islands,British Islands,1640.0,theologian,europe,re_europe
208,Q28090368,John Troutbeck,re_british_islands,British Islands,1613.0,chemist,europe,re_europe
212,Q947941,Matthew Locke,re_british_islands,British Islands,1632.0,musicologist,europe,re_europe
214,Q4375031,James Pound,re_british_islands,British Islands,1669.0,astronomer,europe,re_europe
223,Q18593187,Jeremy Shakerley,re_british_islands,British Islands,1626.0,astronomer,europe,re_europe
231,Q3525012,Thomas Creech,re_british_islands,British Islands,1659.0,linguist,europe,re_europe
235,Q356317,John Aubrey,re_british_islands,British Islands,1626.0,archeologist | historian | anthropologist,europe,re_europe
236,Q95297694,John Ward,re_british_islands,British Islands,1648.0,mathematician,europe,re_europe
237,Q18528195,Edward Howes,re_british_islands,British Islands,1632.0,mathematician,europe,re_europe
247,Q5363623,Elizabeth Tollet,re_british_islands,British Islands,1694.0,mathematician,europe,re_europe
257,Q4065277,James Anderson,re_british_islands,British Islands,1662.0,historian,europe,re_europe
281,Q18531124,William Cole,re_british_islands,British Islands,1622.0,zoologist,europe,re_europe
285,Q4786256,Archibald Campbell,re_british_islands,British Islands,1691.0,philosopher,europe,re_europe
295,Q1080100,Pierre Allix,re_british_islands,British Islands,1640.0,theologian,europe,re_europe
301,Q6790120,Matthew Barker,re_british_islands,British Islands,1619.0,anatomist,europe,re_europe
