,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region
0,Q50082878,Jess Wade,re_latin,Latin World,2.0,physicist,antiquity
1,Q723645,Victorius of Aquitaine,re_latin,Latin World,450.0,astronomer | mathematician,antiquity
2,Q297515,Pomponius Mela,re_latin,Latin World,15.0,historian | geographer,antiquity
3,Q755297,Athenaeus Mechanicus,re_latin,Latin World,-199.0,philosopher | mathematician,antiquity
4,Q706319,Marinus of Tyre,re_latin,Latin World,100.0,geographer | mathematician,antiquity
5,Q82778,Pliny the Elder,re_latin,Latin World,20.0,historian | philosopher | anatomist,antiquity
6,Q298376,Gaius Julius Hyginus,re_latin,Latin World,-63.0,historian | astronomer | linguist,antiquity
7,Q313782,Aelian,re_latin,Latin World,200.0,historian | zoologist,antiquity
8,Q1541,Cicero,re_latin,Latin World,-106.0,philosopher,antiquity
9,Q192931,Pausanias,re_latin,Latin World,115.0,historian | geographer,antiquity
10,Q772773,Antonius Musa,re_latin,Latin World,-62.0,botanist,antiquity
11,Q171241,Diodorus Siculus,re_latin,Latin World,-89.0,historian | geographer,antiquity
12,Q274091,Dionysius Exiguus,re_latin,Latin World,475.0,mathematician,antiquity
13,Q2857528,Antonius Castor,re_latin,Latin World,50.0,botanist,antiquity
14,Q673402,Gaius Sulpicius Gallus,re_latin,Latin World,-208.0,astronomer,antiquity
15,Q451572,Menelaus of Alexandria,re_latin,Latin World,70.0,astronomer | mathematician,antiquity
16,Q192365,Cassiodorus,re_latin,Latin World,487.0,musicologist | philosopher | historian,antiquity
17,Q441138,Alexandros Polyhistor,re_latin,Latin World,-99.0,geographer,antiquity
18,Q367422,Julius Firmicus Maternus,re_latin,Latin World,400.0,astronomer,antiquity
19,Q180081,Cato the Elder,re_latin,Latin World,-233.0,economist,antiquity
20,Q102851,Boethius,re_latin,Latin World,480.0,musicologist | philosopher | mathematician,antiquity
21,Q185770,Posidonius,re_latin,Latin World,-134.0,historian | astronomer | geographer | philosopher | physicist | mathematician,antiquity
22,Q8778,Galen,re_latin,Latin World,200.0,anatomist,antiquity
23,Q312410,Epicharmus of Kos,re_greek_world,Greek World,-523.0,philosopher | mathematician,antiquity
24,Q707449,Censorinus,re_latin,Latin World,250.0,musicologist,antiquity
25,Q138724,Lucius Tarutius Firmanus,re_latin,Latin World,-100.0,astronomer | philosopher | mathematician,antiquity
26,Q10261,Pythagoras,re_greek_world,Greek World,-582.0,musicologist | philosopher | mathematician,antiquity
27,Q206119,Marcus Terentius Varro,re_latin,Latin World,-115.0,musicologist | philosopher | linguist,antiquity
28,Q794615,Aetius,re_latin,Latin World,200.0,astronomer | philosopher,antiquity
29,Q520487,Gaius Julius Solinus,re_latin,Latin World,400.0,historian | geographer,antiquity
30,Q905137,Didymus the Musician,re_latin,Latin World,-100.0,musicologist,antiquity
31,Q203445,Porphyry,re_latin,Latin World,233.0,musicologist | philosopher | historian,antiquity
32,Q8747,Euclid,re_greek_world,Greek World,-322.0,mathematician,antiquity
33,Q1150145,Polemon of Athens,re_greek_world,Greek World,200.0,historian | geographer | philosopher,antiquity
34,Q555818,Philippus of Opus,re_greek_world,Greek World,-400.0,astronomer | philosopher | mathematician,antiquity
35,Q928470,Simmias of Thebes,re_greek_world,Greek World,-500.0,philosopher | mathematician,antiquity
36,Q1236440,Bion of Abdera,re_greek_world,Greek World,-429.0,astronomer | mathematician,antiquity
37,Q162163,Ion of Chios,re_greek_world,Greek World,-489.0,historian | philosopher | mathematician,antiquity
38,Q271809,Proclus,re_greek_world,Greek World,412.0,historian | philosopher | mathematician,antiquity
39,Q462582,Pythias,re_greek_world,Greek World,-361.0,zoologist,antiquity
40,Q221497,Xenophilus,re_greek_world,Greek World,-400.0,musicologist | philosopher,antiquity
41,Q3012616,Damastes of Sigeum,re_greek_world,Greek World,-500.0,historian | geographer,antiquity
42,Q920912,Theaetetus,re_greek_world,Greek World,-416.0,philosopher | mathematician,antiquity
43,Q316353,Strato of Lampsacus,re_greek_world,Greek World,-334.0,philosopher | physicist,antiquity
44,Q325955,Speusippus,re_greek_world,Greek World,-406.0,philosopher | mathematician,antiquity
45,Q160362,Theophrastus,re_greek_world,Greek World,-370.0,philosopher | botanist | physicist,antiquity
46,Q316334,Heraclides Ponticus,re_greek_world,Greek World,-384.0,astronomer | philosopher,antiquity
47,Q320132,Nearchus,re_greek_world,Greek World,-355.0,historian,antiquity
48,Q965144,Cebes,re_greek_world,Greek World,-500.0,philosopher | mathematician,antiquity
49,Q1128200,Lasus of Hermione,re_greek_world,Greek World,-548.0,musicologist,antiquity
50,Q210573,Hippias,re_greek_world,Greek World,-442.0,astronomer | philosopher | mathematician,antiquity
51,Q15091905,Deceneo,re_greek_world,Greek World,-100.0,astronomer | philosopher,antiquity
52,Q41980,Democritus,re_greek_world,Greek World,-460.0,historian | philosopher | mathematician,antiquity
53,Q211411,Chrysippus of Soli,re_greek_world,Greek World,-280.0,philosopher | mathematician,antiquity
54,Q214121,Xenocrates,re_greek_world,Greek World,-395.0,philosopher | mathematician,antiquity
55,Q189759,Zeno of Sidon,re_greek_world,Greek World,-149.0,philosopher | mathematician,antiquity
56,Q15078686,Antiphon,re_greek_world,Greek World,-500.0,philosopher | mathematician,antiquity
57,Q261909,Meton of Athens,re_greek_world,Greek World,-500.0,astronomer | mathematician,antiquity
58,Q2346819,Damon of Athens,re_greek_world,Greek World,-450.0,musicologist | philosopher,antiquity
59,Q298071,Hippodamus of Miletus,re_greek_world,Greek World,-497.0,mathematician,antiquity
60,Q298860,Hippasus,re_greek_world,Greek World,-600.0,musicologist | philosopher | mathematician,antiquity
61,Q11920485,Escílax d'Halicarnàs,re_greek_world,Greek World,-150.0,astronomer,antiquity
62,Q4684706,Adrastus of Cyzicus,re_greek_world,Greek World,-500.0,astronomer,antiquity
63,Q31278,Cleomedes,re_greek_world,Greek World,1.0,astronomer | mathematician,antiquity
64,Q472620,Artemidorus of Ephesus,re_greek_world,Greek World,-150.0,geographer,antiquity
65,Q510719,Eutocius of Ascalon,re_greek_world,Greek World,480.0,philosopher | mathematician,antiquity
66,Q352621,Dicaearchus,re_greek_world,Greek World,-349.0,historian | geographer | philosopher | mathematician,antiquity
67,Q921532,Dorotheus of Sidon,re_greek_world,Greek World,50.0,astronomer,antiquity
68,Q178217,Diofantos,re_greek_world,Greek World,201.0,mathematician,antiquity
69,Q451566,Menaechmus,re_greek_world,Greek World,-379.0,astronomer | mathematician,antiquity
70,Q211783,Pappus of Alexandria,re_greek_world,Greek World,290.0,astronomer | mathematician,antiquity
71,Q310028,Isidore of Miletus,re_greek_world,Greek World,442.0,mathematician | physicist,antiquity
72,Q242270,Hecataeus of Miletus,re_greek_world,Greek World,-600.0,historian | geographer,antiquity
73,Q80612,Anaximenes of Miletus,re_greek_world,Greek World,-584.0,astronomer | philosopher | mathematician,antiquity
74,Q581833,Marinus of Neapolis,re_greek_world,Greek World,440.0,astronomer | philosopher,antiquity
75,Q297040,Apollonius of Tyana,re_greek_world,Greek World,15.0,philosopher | mathematician,antiquity
76,Q4024777,Zopyrus of Tarentum,re_greek_world,Greek World,-350.0,philosopher,antiquity
77,Q43182,Eratosthenes,re_greek_world,Greek World,-275.0,historian | geographer | astronomer | musicologist | mathematician,antiquity
78,Q645774,Bolus of Mendes,re_greek_world,Greek World,-300.0,philosopher | botanist,antiquity
79,Q235426,Theano,re_greek_world,Greek World,-600.0,astronomer | philosopher | mathematician,antiquity
80,Q1148501,Diophanes of Nicaea,re_greek_world,Greek World,-100.0,botanist,antiquity
81,Q180671,Aratus,re_greek_world,Greek World,-314.0,astronomer,antiquity
82,Q180109,Apollonius of Perga,re_greek_world,Greek World,-261.0,astronomer | mathematician,antiquity
83,Q335156,Aristoxenus,re_greek_world,Greek World,-359.0,musicologist | philosopher | mathematician,antiquity
84,Q3381179,Philon of Gadara,re_greek_world,Greek World,100.0,mathematician,antiquity
85,Q287423,Epigenes of Byzantium,re_greek_world,Greek World,-150.0,astronomer | mathematician,antiquity
86,Q451390,Autolycus of Pitane,re_greek_world,Greek World,-359.0,astronomer | mathematician,antiquity
87,Q316867,Sosigenes of Alexandria,re_greek_world,Greek World,-100.0,astronomer | philosopher | mathematician,antiquity
88,Q550477,Timocharis,re_greek_world,Greek World,-319.0,astronomer,antiquity
89,Q2524557,Anatolius of Laodicea,re_greek_world,Greek World,250.0,philosopher | mathematician,antiquity
90,Q705950,Theon of Smyrna,re_greek_world,Greek World,70.0,musicologist | astronomer | philosopher | mathematician,antiquity
91,Q1266186,Theodosius of Bithynia,re_greek_world,Greek World,-159.0,astronomer | mathematician,antiquity
92,Q3714438,Dositheus,re_greek_world,Greek World,-250.0,astronomer | mathematician,antiquity
93,Q1531412,Harkhebi,re_greek_world,Greek World,-301.0,astronomer,antiquity
94,Q8739,Archimedes,re_greek_world,Greek World,-286.0,astronomer | philosopher | mathematician | physicist,antiquity
95,Q63456919,Pandrosion,re_greek_world,Greek World,400.0,mathematician,antiquity
96,Q1051470,Vettius Valens,re_greek_world,Greek World,120.0,astronomer,antiquity
97,Q515542,Agathemerus,re_greek_world,Greek World,250.0,geographer,antiquity
98,Q312500,Herophilos,re_greek_world,Greek World,-334.0,anatomist,antiquity
99,Q42458,Anaximander,re_greek_world,Greek World,-609.0,astronomer | geographer | philosopher | physicist | mathematician,antiquity
100,Q391216,Agatharchides,re_greek_world,Greek World,-207.0,historian | geographer | philosopher | anatomist,antiquity
101,Q165589,Leucippus,re_greek_world,Greek World,-500.0,philosopher | physicist,antiquity
102,Q451719,Damo,re_greek_world,Greek World,-600.0,philosopher | mathematician,antiquity
103,Q1378597,Eurytus,re_greek_world,Greek World,-500.0,philosopher | mathematician,antiquity
104,Q83041,Anaxagoras,re_greek_world,Greek World,-499.0,astronomer | philosopher | mathematician | physicist,antiquity
105,Q317942,Euhemerus,re_greek_world,Greek World,-400.0,historian | philosopher | anthropologist,antiquity
106,Q31271346,Dion von Neapel,re_greek_world,Greek World,-500.0,mathematician,antiquity
107,Q354377,Conon of Samos,re_greek_world,Greek World,-279.0,astronomer | mathematician,antiquity
108,Q378236,Aristides Quintilianus,re_greek_world,Greek World,150.0,musicologist,antiquity
109,Q298226,Anthemius of Tralles,re_greek_world,Greek World,474.0,mathematician | physicist,antiquity
110,Q313934,Macrobius,re_greek_world,Greek World,370.0,musicologist | philosopher | linguist,antiquity
111,Q725225,Thrasyllus of Mendes,re_greek_world,Greek World,-100.0,musicologist | philosopher,antiquity
112,Q132157,Zeno of Elea,re_greek_world,Greek World,-489.0,philosopher | mathematician,antiquity
113,Q2902906,Rabbi Nehemiah,re_greek_world,Greek World,101.0,mathematician,antiquity
114,Q354384,Theon of Alexandria,re_greek_world,Greek World,335.0,astronomer | mathematician,antiquity
115,Q11903,Hypatia,re_greek_world,Greek World,360.0,astronomer | philosopher | mathematician,antiquity
116,Q3826494,Lamiscus,re_greek_world,Greek World,-400.0,philosopher | mathematician,antiquity
117,Q140188,Aristarchus of Samos,re_greek_world,Greek World,-309.0,astronomer,antiquity
118,Q456560,Myia,re_greek_world,Greek World,-600.0,philosopher | mathematician,antiquity
119,Q317632,John Philoponus,re_greek_world,Greek World,490.0,theologian | astronomer | philosopher | physicist | mathematician,antiquity
120,Q3432037,Aristaeus of Croton,re_greek_world,Greek World,-450.0,philosopher | mathematician,antiquity
121,Q84027027,Didymus of Alexandria,re_greek_world,Greek World,-50.0,mathematician,antiquity
122,Q123147,Ammonius Hermiae,re_greek_world,Greek World,435.0,astronomer | philosopher,antiquity
123,Q1297839,Serenus of Antinouplis,re_greek_world,Greek World,300.0,mathematician,antiquity
124,Q176287,Timaeus of Locri,re_greek_world,Greek World,-500.0,astronomer | philosopher | mathematician,antiquity
125,Q7155483,Pausanias of Damascus,re_greek_world,Greek World,-150.0,geographer,antiquity
126,Q360366,Nicomachus,re_greek_world,Greek World,60.0,musicologist | philosopher | mathematician,antiquity
127,Q41766,Ctesibius,re_greek_world,Greek World,-283.0,mathematician,antiquity
128,Q36303,Thales,re_greek_world,Greek World,-624.0,astronomer | philosopher | mathematician | physicist,antiquity
129,Q202001,Archytas,re_greek_world,Greek World,-427.0,musicologist | astronomer | philosopher | mathematician,antiquity
