,wikidata_id,individual_name_x,region_code,region_name,birthyear,meta_occupation,meta_region,individual_name_y,gender
0,Q50082878,Jess Wade,re_latin,Latin World,2.0,physicist,antiquity,Jess Wade,female
1,Q50082878,Jess Wade,re_latin,Latin World,2.0,physicist,non_europe,Jess Wade,female
2,Q239448,Pompeia Plotina,re_latin,Latin World,70.0,philosopher,antiquity,Pompeia Plotina,female
3,Q239448,Pompeia Plotina,re_latin,Latin World,70.0,philosopher,non_europe,Pompeia Plotina,female
4,Q443278,Antonia Gordiana,re_latin,Latin World,201.0,historian,antiquity,Antonia Gordiana,female
5,Q443278,Antonia Gordiana,re_latin,Latin World,201.0,historian,non_europe,Antonia Gordiana,female
6,Q255448,Porcia,re_latin,Latin World,-100.0,philosopher,antiquity,Porcia,female
7,Q255448,Porcia,re_latin,Latin World,-100.0,philosopher,non_europe,Porcia,female
8,Q16932930,Saint Sylvia of Aquitaine,re_latin,Latin World,330.0,historian,antiquity,Saint Sylvia of Aquitaine,female
9,Q16932930,Saint Sylvia of Aquitaine,re_latin,Latin World,330.0,historian,non_europe,Saint Sylvia of Aquitaine,female
10,Q228564,Aspasia,re_greek_world,Greek World,-469.0,philosopher,antiquity,Aspasia,female
11,Q228564,Aspasia,re_greek_world,Greek World,-469.0,philosopher,non_europe,Aspasia,female
12,Q288467,Lastheneia of Mantinea,re_greek_world,Greek World,-350.0,philosopher,antiquity,Lastheneia of Mantinea,female
13,Q288467,Lastheneia of Mantinea,re_greek_world,Greek World,-350.0,philosopher,non_europe,Lastheneia of Mantinea,female
14,Q462582,Pythias,re_greek_world,Greek World,-361.0,zoologist,antiquity,Pythias,female
15,Q462582,Pythias,re_greek_world,Greek World,-361.0,zoologist,non_europe,Pythias,female
16,Q444595,Perictione,re_greek_world,Greek World,-500.0,philosopher,antiquity,Perictione,female
17,Q444595,Perictione,re_greek_world,Greek World,-500.0,philosopher,non_europe,Perictione,female
18,Q235494,Hipparchia of Maroneia,re_greek_world,Greek World,-349.0,philosopher,antiquity,Hipparchia of Maroneia,female
19,Q235494,Hipparchia of Maroneia,re_greek_world,Greek World,-349.0,philosopher,non_europe,Hipparchia of Maroneia,female
20,Q434021,Timycha,re_greek_world,Greek World,-400.0,philosopher,antiquity,Timycha,female
21,Q434021,Timycha,re_greek_world,Greek World,-400.0,philosopher,non_europe,Timycha,female
22,Q1227107,Diotima of Mantinea,re_greek_world,Greek World,-450.0,philosopher,antiquity,Diotima of Mantinea,female
23,Q1227107,Diotima of Mantinea,re_greek_world,Greek World,-450.0,philosopher,non_europe,Diotima of Mantinea,female
24,Q586050,Asclepigenia,re_greek_world,Greek World,400.0,philosopher,antiquity,Asclepigenia,female
25,Q586050,Asclepigenia,re_greek_world,Greek World,400.0,philosopher,non_europe,Asclepigenia,female
26,Q1763617,Nicarete of Megara,re_greek_world,Greek World,-400.0,philosopher,antiquity,Nicarete of Megara,female
27,Q1763617,Nicarete of Megara,re_greek_world,Greek World,-400.0,philosopher,non_europe,Nicarete of Megara,female
28,Q291952,Sosipatra,re_greek_world,Greek World,400.0,philosopher,antiquity,Sosipatra,female
29,Q291952,Sosipatra,re_greek_world,Greek World,400.0,philosopher,non_europe,Sosipatra,female
30,Q433919,Phintys,re_greek_world,Greek World,-400.0,philosopher,antiquity,Phintys,female
31,Q433919,Phintys,re_greek_world,Greek World,-400.0,philosopher,non_europe,Phintys,female
32,Q2637222,Aesara,re_greek_world,Greek World,-400.0,philosopher,antiquity,Aesara,female
33,Q2637222,Aesara,re_greek_world,Greek World,-400.0,philosopher,non_europe,Aesara,female
34,Q235426,Theano,re_greek_world,Greek World,-600.0,astronomer | philosopher | mathematician,antiquity,Theano,female
35,Q235426,Theano,re_greek_world,Greek World,-600.0,astronomer | philosopher | mathematician,non_europe,Theano,female
36,Q51885,Thecla,re_greek_world,Greek World,100.0,theologian,antiquity,Thecla,female
37,Q51885,Thecla,re_greek_world,Greek World,100.0,theologian,non_europe,Thecla,female
38,Q18639389,Abrotelia,re_greek_world,Greek World,-500.0,philosopher,antiquity,Abrotelia,female
39,Q18639389,Abrotelia,re_greek_world,Greek World,-500.0,philosopher,non_europe,Abrotelia,female
40,Q63456919,Pandrosion,re_greek_world,Greek World,400.0,mathematician,antiquity,Pandrosion,female
41,Q63456919,Pandrosion,re_greek_world,Greek World,400.0,mathematician,non_europe,Pandrosion,female
42,Q229246,Julia Domna,re_greek_world,Greek World,165.0,philosopher,antiquity,Julia Domna,female
43,Q229246,Julia Domna,re_greek_world,Greek World,165.0,philosopher,non_europe,Julia Domna,female
44,Q451719,Damo,re_greek_world,Greek World,-600.0,philosopher | mathematician,antiquity,Damo,female
45,Q451719,Damo,re_greek_world,Greek World,-600.0,philosopher | mathematician,non_europe,Damo,female
46,Q11903,Hypatia,re_greek_world,Greek World,360.0,astronomer | philosopher | mathematician,antiquity,Hypatia,female
47,Q11903,Hypatia,re_greek_world,Greek World,360.0,astronomer | philosopher | mathematician,non_europe,Hypatia,female
48,Q456560,Myia,re_greek_world,Greek World,-600.0,philosopher | mathematician,antiquity,Myia,female
49,Q456560,Myia,re_greek_world,Greek World,-600.0,philosopher | mathematician,non_europe,Myia,female
50,Q242640,"Margaret Cavendish, Duchess of Newcastle-upon-Tyne",re_british_islands,British Islands,1623.0,philosopher | physicist,europe,"Margaret Cavendish, Duchess of Newcastle-upon-Tyne",female
51,Q4836326,Anna Mackenzie,re_british_islands,British Islands,1621.0,historian,europe,Anna Mackenzie,female
52,Q5363623,Elizabeth Tollet,re_british_islands,British Islands,1694.0,mathematician,europe,Elizabeth Tollet,female
