,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,region
0,Q626484,Kim Jeong-hui,re_korea,Korea,1786.0,philosopher,non_europe,re_korea
1,Q497164,Song Ikp'il,re_korea,Korea,1534.0,philosopher,non_europe,re_korea
2,Q179935,Paul Chong Hasang,re_korea,Korea,1795.0,philosopher,non_europe,re_korea
3,Q380577,Yun Hyu,re_korea,Korea,1617.0,philosopher,non_europe,re_korea
4,Q12602156,Seong Hyeon,re_korea,Korea,1439.0,musicologist,non_europe,re_korea
5,Q841216,Hyujeong,re_korea,Korea,1520.0,philosopher,non_europe,re_korea
6,Q16184789,Nam Byeong-gil,re_korea,Korea,1820.0,astronomer,non_europe,re_korea
7,Q11095247,Yi Ji-bang,re_korea,Korea,1466.0,geographer,non_europe,re_korea
8,Q11287139,Hong Dal-son,re_korea,Korea,1415.0,philosopher,non_europe,re_korea
9,Q12606285,Yang Sŏng-ji,re_korea,Korea,1415.0,historian,non_europe,re_korea
10,Q487191,Yu Seong-ryong,re_korea,Korea,1542.0,historian,non_europe,re_korea
11,Q623637,Choi Myung-kil,re_korea,Korea,1586.0,philosopher,non_europe,re_korea
12,Q625193,Yun Geun-su,re_korea,Korea,1537.0,philosopher,non_europe,re_korea
13,Q495636,Kim Bu-sik,re_korea,Korea,1075.0,historian,non_europe,re_korea
14,Q483181,Crown Prince Sohyeon,re_korea,Korea,1612.0,philosopher,non_europe,re_korea
15,Q5103799,Choe Chung,re_korea,Korea,984.0,philosopher,non_europe,re_korea
16,Q497077,Kim Jip,re_korea,Korea,1574.0,philosopher,non_europe,re_korea
17,Q22974749,Yi Jun-gyeong,re_korea,Korea,1499.0,philosopher,non_europe,re_korea
18,Q484883,Heo Jeok,re_korea,Korea,1610.0,philosopher,non_europe,re_korea
19,Q495259,Yi Ik,re_korea,Korea,1681.0,philosopher,non_europe,re_korea
20,Q379647,Song Si-yeol,re_korea,Korea,1607.0,philosopher,non_europe,re_korea
21,Q704894,Jinul,re_korea,Korea,1158.0,philosopher,non_europe,re_korea
22,Q12619596,Choe Seok-jeong,re_korea,Korea,1646.0,mathematician,non_europe,re_korea
23,Q7451572,Seong Hui-ahn,re_korea,Korea,1461.0,philosopher,non_europe,re_korea
24,Q16172046,Ki Ja-heon,re_korea,Korea,1562.0,philosopher,non_europe,re_korea
25,Q495720,Park Ji-won,re_korea,Korea,1737.0,philosopher,non_europe,re_korea
26,Q464510,Hwang Jini,re_korea,Korea,1506.0,philosopher,non_europe,re_korea
27,Q470122,Shin Suk-ju,re_korea,Korea,1417.0,philosopher,non_europe,re_korea
28,Q485131,Queen Seondeok of Silla,re_korea,Korea,606.0,astronomer,non_europe,re_korea
29,Q486266,Yun Won-hyung,re_korea,Korea,1509.0,philosopher,non_europe,re_korea
30,Q705838,Choe Bu,re_korea,Korea,1454.0,historian,non_europe,re_korea
31,Q379655,Heo Mok,re_korea,Korea,1595.0,philosopher,non_europe,re_korea
32,Q469396,Jeong Do-jeon,re_korea,Korea,1342.0,philosopher,non_europe,re_korea
33,Q483026,Kwon Ram,re_korea,Korea,1416.0,philosopher,non_europe,re_korea
34,Q709450,Jeong Gu,re_korea,Korea,1543.0,philosopher,non_europe,re_korea
35,Q491828,Sin Yong-gae,re_korea,Korea,1463.0,philosopher,non_europe,re_korea
36,Q12610537,Yun Hoe,re_korea,Korea,1380.0,linguist,non_europe,re_korea
37,Q6821059,An Chŏng-bok,re_korea,Korea,1712.0,historian,non_europe,re_korea
38,Q486257,Cho Shik,re_korea,Korea,1501.0,philosopher,non_europe,re_korea
39,Q493702,Seongjong,re_korea,Korea,960.0,philosopher,non_europe,re_korea
40,Q19587071,Im Yunjidang,re_korea,Korea,1721.0,philosopher,non_europe,re_korea
41,Q287222,Yu Gam-dong,re_korea,Korea,1401.0,philosopher,non_europe,re_korea
42,Q486278,Kim Jong-jik,re_korea,Korea,1431.0,philosopher,non_europe,re_korea
43,Q5360433,Jeong Hyun-jo,re_korea,Korea,1440.0,philosopher,non_europe,re_korea
44,Q484792,Han Hwak,re_korea,Korea,1400.0,philosopher,non_europe,re_korea
45,Q6450511,Kwon Geun,re_korea,Korea,1352.0,philosopher,non_europe,re_korea
46,Q497120,Yi Je-hyun,re_korea,Korea,1287.0,philosopher,non_europe,re_korea
47,Q485009,Yeongjo of Joseon,re_korea,Korea,1694.0,geographer,non_europe,re_korea
48,Q497092,Song Jun-gil,re_korea,Korea,1606.0,philosopher,non_europe,re_korea
49,Q16174098,Seong Un,re_korea,Korea,1497.0,philosopher,non_europe,re_korea
50,Q12613136,Li Hyun-sang,re_korea,Korea,1770.0,historian,non_europe,re_korea
51,Q486283,Jo Gwang-jo,re_korea,Korea,1482.0,philosopher,non_europe,re_korea
52,Q496942,Kim Hyo-won,re_korea,Korea,1532.0,philosopher,non_europe,re_korea
53,Q7125373,Pak Paengnyeon,re_korea,Korea,1417.0,linguist,non_europe,re_korea
54,Q486291,Yi Hwang,re_korea,Korea,1501.0,philosopher,non_europe,re_korea
55,Q469423,Jeong Mong-ju,re_korea,Korea,1337.0,philosopher,non_europe,re_korea
56,Q626626,Yu Deuk-gong,re_korea,Korea,1749.0,philosopher,non_europe,re_korea
57,Q495964,An Hyang,re_korea,Korea,1243.0,philosopher,non_europe,re_korea
58,Q486311,Yi Su-hyung,re_korea,Korea,1435.0,philosopher,non_europe,re_korea
59,Q626748,Jeong Chang-son,re_korea,Korea,1402.0,philosopher,non_europe,re_korea
60,Q484795,Hong Yun-sung,re_korea,Korea,1425.0,philosopher,non_europe,re_korea
61,Q624010,Chung In-hong,re_korea,Korea,1535.0,philosopher,non_europe,re_korea
62,Q485278,Ryu Sun-jeong,re_korea,Korea,1459.0,philosopher,non_europe,re_korea
63,Q705336,Sim Ui-gyeom,re_korea,Korea,1535.0,philosopher,non_europe,re_korea
64,Q496891,Seong Hon,re_korea,Korea,1535.0,philosopher,non_europe,re_korea
65,Q625715,Moon Ik-chum,re_korea,Korea,1329.0,philosopher,non_europe,re_korea
66,Q497595,Lee Lyang,re_korea,Korea,1519.0,philosopher,non_europe,re_korea
67,Q497108,Lim Sa-hong,re_korea,Korea,1445.0,philosopher,non_europe,re_korea
68,Q3055709,Uhwudong,re_korea,Korea,1430.0,philosopher,non_europe,re_korea
69,Q12612363,Yi Yi-myeong,re_korea,Korea,1658.0,philosopher,non_europe,re_korea
70,Q486384,Yun Jeung,re_korea,Korea,1629.0,philosopher,non_europe,re_korea
71,Q12612017,Lee Yeo-bin,re_korea,Korea,1556.0,philosopher,non_europe,re_korea
72,Q16173191,Han Ch'i-yun,re_korea,Korea,1765.0,historian,non_europe,re_korea
73,Q496753,Ha Ryun,re_korea,Korea,1347.0,philosopher,non_europe,re_korea
74,Q494615,Jang Yeong-sil,re_korea,Korea,1400.0,astronomer,non_europe,re_korea
75,Q12587609,Kim Sang-heon,re_korea,Korea,1570.0,philosopher,non_europe,re_korea
76,Q98742917,Yuk Yi,re_korea,Korea,1438.0,philosopher,non_europe,re_korea
