,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,region
26,Q311835,Pittacus of Mytilene,re_greek_world,Greek World,-650.0,philosopher,antiquity,re_greek_world
89,Q26825,Herodotos,re_greek_world,Greek World,-483.0,historian,antiquity,re_greek_world
172,Q312410,Epicharmus of Kos,re_greek_world,Greek World,-523.0,philosopher | mathematician,antiquity,re_greek_world
185,Q10261,Pythagoras,re_greek_world,Greek World,-582.0,musicologist | philosopher | mathematician,antiquity,re_greek_world
211,Q8747,Euclid,re_greek_world,Greek World,-322.0,mathematician,antiquity,re_greek_world
212,Q1150145,Polemon of Athens,re_greek_world,Greek World,200.0,geographer | philosopher | historian,antiquity,re_greek_world
213,Q660170,Isidore of Alexandria,re_greek_world,Greek World,450.0,philosopher,antiquity,re_greek_world
214,Q248287,Peregrinus Proteus,re_greek_world,Greek World,95.0,philosopher,antiquity,re_greek_world
215,Q2369009,Apollodorus the Epicurean,re_greek_world,Greek World,-150.0,philosopher,antiquity,re_greek_world
216,Q185206,Priscian of Lydia,re_greek_world,Greek World,500.0,philosopher,antiquity,re_greek_world
217,Q1377100,Calippus of Syracuse,re_greek_world,Greek World,-350.0,philosopher,antiquity,re_greek_world
218,Q297420,Panaetius,re_greek_world,Greek World,-184.0,philosopher,antiquity,re_greek_world
219,Q1465879,Xeniades,re_greek_world,Greek World,-500.0,philosopher,antiquity,re_greek_world
220,Q359231,Bion of Borysthenes,re_greek_world,Greek World,-324.0,philosopher,antiquity,re_greek_world
221,Q228564,Aspasia,re_greek_world,Greek World,-469.0,philosopher,antiquity,re_greek_world
222,Q580565,Palaephatus,re_greek_world,Greek World,-400.0,historian,antiquity,re_greek_world
223,Q297402,Prodicus,re_greek_world,Greek World,-459.0,philosopher,antiquity,re_greek_world
224,Q179149,Antisthenes,re_greek_world,Greek World,-443.0,philosopher,antiquity,re_greek_world
225,Q555818,Philippus of Opus,re_greek_world,Greek World,-400.0,astronomer | philosopher | mathematician,antiquity,re_greek_world
226,Q2482150,Cleidemus,re_greek_world,Greek World,-350.0,historian,antiquity,re_greek_world
227,Q183144,Epictetus,re_greek_world,Greek World,50.0,philosopher,antiquity,re_greek_world
228,Q913,Socrates,re_greek_world,Greek World,-468.0,philosopher,antiquity,re_greek_world
229,Q5382897,Epigenes,re_greek_world,Greek World,-450.0,philosopher,antiquity,re_greek_world
230,Q928470,Simmias of Thebes,re_greek_world,Greek World,-500.0,philosopher | mathematician,antiquity,re_greek_world
231,Q108577191,Archilochus,re_greek_world,Greek World,-271.0,historian,antiquity,re_greek_world
232,Q983755,Praxagoras of Athens,re_greek_world,Greek World,400.0,historian,antiquity,re_greek_world
233,Q288467,Lastheneia of Mantinea,re_greek_world,Greek World,-350.0,philosopher,antiquity,re_greek_world
234,Q349916,Aristidis of Athens,re_greek_world,Greek World,150.0,philosopher,antiquity,re_greek_world
235,Q962486,Echecrates of Phlius,re_greek_world,Greek World,-499.0,philosopher,antiquity,re_greek_world
236,Q169243,Protagoras,re_greek_world,Greek World,-489.0,philosopher,antiquity,re_greek_world
237,Q366031,Anaxarchus,re_greek_world,Greek World,-379.0,philosopher,antiquity,re_greek_world
238,Q1236440,Bion of Abdera,re_greek_world,Greek World,-429.0,astronomer | mathematician,antiquity,re_greek_world
