,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,region
1820,Q183126,Ramakrishna,re_indian_world,Indian world,1836.0,philosopher,non_europe,re_indian_world
1821,Q4420067,Baba Jaimal Singh Ji Maharaj,re_indian_world,Indian world,1839.0,philosopher,non_europe,re_indian_world
1822,Q13057156,Ahmed Ullah Maizbhandari,re_indian_world,Indian world,1826.0,theologian,non_europe,re_indian_world
1823,Q96711604,Jean Richaud,re_indian_world,Indian world,1633.0,astronomer,non_europe,re_indian_world
1824,Q1413989,Filippo Sassetti,re_indian_world,Indian world,1540.0,linguist,non_europe,re_indian_world
1825,Q2668210,Colin Mackenzie,re_indian_world,Indian world,1754.0,geographer | linguist | mathematician,non_europe,re_indian_world
1826,Q7653147,Swami Advaitananda,re_indian_world,Indian world,1828.0,philosopher,non_europe,re_indian_world
1827,Q973709,George Samuel Perrottet,re_indian_world,Indian world,1793.0,botanist,non_europe,re_indian_world
1828,Q23924996,Sourindro Mohun Tagore,re_indian_world,Indian world,1840.0,musicologist,non_europe,re_indian_world
1829,Q78624,Ferdinand Stoliczka,re_indian_world,Indian world,1838.0,botanist | zoologist | paleontologist | geologist,non_europe,re_indian_world
1830,Q50081695,Bernhard Schmid,re_indian_world,Indian world,1788.0,botanist,non_europe,re_indian_world
1831,Q550299,James Anderson,re_indian_world,Indian world,1738.0,botanist,non_europe,re_indian_world
1832,Q15994808,Anna Maria Walker,re_indian_world,Indian world,1778.0,botanist,non_europe,re_indian_world
1833,Q320619,Abhinavagupta,re_indian_world,Indian world,950.0,philosopher,non_europe,re_indian_world
1834,Q320142,Śāriputra,re_indian_world,Indian world,-567.0,philosopher,non_europe,re_indian_world
1835,Q2733487,Ali Hujwiri,re_indian_world,Indian world,1009.0,theologian,non_europe,re_indian_world
1836,Q6075571,Pierre Rémi François de Paule Willemet,re_indian_world,Indian world,1762.0,botanist,non_europe,re_indian_world
1837,Q3964661,Somananda,re_indian_world,Indian world,875.0,philosopher,non_europe,re_indian_world
1838,Q267828,Totapuri,re_indian_world,Indian world,1815.0,philosopher,non_europe,re_indian_world
1839,Q27263305,Muḥammad ibn Abī Bakr Damāmīnī,re_indian_world,Indian world,1362.0,linguist,non_europe,re_indian_world
1840,Q2986127,Ferdinand Didrichsen,re_indian_world,Indian world,1814.0,botanist,non_europe,re_indian_world
1841,Q20606322,Giani Gian Singh,re_indian_world,Indian world,1822.0,historian,non_europe,re_indian_world
1842,Q316343,Vasubandhu,re_indian_world,Indian world,300.0,philosopher,non_europe,re_indian_world
1843,Q774847,Kumārila Bhaṭṭa,re_indian_world,Indian world,700.0,linguist | philosopher,non_europe,re_indian_world
1844,Q2723463,Hemachandra,re_indian_world,Indian world,1089.0,philosopher | historian | mathematician,non_europe,re_indian_world
1845,Q18640092,Sayyid Mir Jan,re_indian_world,Indian world,1800.0,theologian,non_europe,re_indian_world
1846,Q6406918,Taleb Amoli,re_indian_world,Indian world,1585.0,mathematician,non_europe,re_indian_world
1847,Q63739,Victor Jacquemont,re_indian_world,Indian world,1801.0,botanist | geologist,non_europe,re_indian_world
1848,Q202943,Brahmagupta,re_indian_world,Indian world,590.0,astronomer | mathematician,non_europe,re_indian_world
1849,Q3020852,Debendranath Tagore,re_indian_world,Indian world,1817.0,philosopher,non_europe,re_indian_world
1850,Q5614198,Joseph Davey Cunningham,re_indian_world,Indian world,1812.0,historian,non_europe,re_indian_world
1851,Q334752,Abu'l-Fazl ibn Mubarak,re_indian_world,Indian world,1551.0,historian,non_europe,re_indian_world
1852,Q94905221,Johann Balthasar Kohlhoff,re_indian_world,Indian world,1711.0,theologian,non_europe,re_indian_world
1853,Q6811881,Zakaullah Dehlvi,re_indian_world,Indian world,1832.0,historian,non_europe,re_indian_world
1854,Q4860674,Bari Imam,re_indian_world,Indian world,1617.0,theologian,non_europe,re_indian_world
1855,Q224906,Dayananda Saraswati,re_indian_world,Indian world,1824.0,philosopher,non_europe,re_indian_world
1856,Q11359,Aryabhata,re_indian_world,Indian world,476.0,astronomer | mathematician,non_europe,re_indian_world
1857,Q4112614,Visvanatha Chakravarti,re_indian_world,Indian world,1626.0,theologian,non_europe,re_indian_world
1858,Q3428316,Reuben Burrow,re_indian_world,Indian world,1747.0,astronomer | mathematician,non_europe,re_indian_world
1859,Q337194,Norman Robert Pogson,re_indian_world,Indian world,1829.0,astronomer,non_europe,re_indian_world
1860,Q23782712,Ramdas Sen,re_indian_world,Indian world,1845.0,archeologist,non_europe,re_indian_world
1861,Q6785680,Masum Shah,re_indian_world,Indian world,1538.0,historian,non_europe,re_indian_world
1862,Q11903804,Abd al-Hayy al-Lucknawi,re_indian_world,Indian world,1848.0,theologian,non_europe,re_indian_world
1863,Q1898789,Lars Olsen Skrefsrud,re_indian_world,Indian world,1840.0,linguist,non_europe,re_indian_world
1864,Q3080648,Mirza Muhammad Haidar Dughlat,re_indian_world,Indian world,1499.0,historian,non_europe,re_indian_world
1865,Q1227236,Joseph Tiefenthaler,re_indian_world,Indian world,1710.0,geographer | linguist,non_europe,re_indian_world
1866,Q3929837,Ramacharaka,re_indian_world,Indian world,1799.0,philosopher,non_europe,re_indian_world
1867,Q3696193,Rashid Ahmad Gangohi,re_indian_world,Indian world,1829.0,theologian,non_europe,re_indian_world
1868,Q97220360,Syed Ahmad Dehlvi,re_indian_world,Indian world,1846.0,linguist,non_europe,re_indian_world
1869,Q273969,William Jones,re_indian_world,Indian world,1746.0,botanist | linguist | anthropologist,non_europe,re_indian_world
1870,Q3059959,Eugène Lafont,re_indian_world,Indian world,1837.0,physicist,non_europe,re_indian_world
1871,Q94765,James Wilson,re_indian_world,Indian world,1805.0,economist,non_europe,re_indian_world
