,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region
1823,Q96711604,Jean Richaud,re_indian_world,Indian world,1633.0,astronomer,non_europe
1824,Q1413989,Filippo Sassetti,re_indian_world,Indian world,1540.0,linguist,non_europe
1833,Q320619,Abhinavagupta,re_indian_world,Indian world,950.0,philosopher,non_europe
1834,Q320142,Śāriputra,re_indian_world,Indian world,-567.0,philosopher,non_europe
1835,Q2733487,Ali Hujwiri,re_indian_world,Indian world,1009.0,theologian,non_europe
1837,Q3964661,Somananda,re_indian_world,Indian world,875.0,philosopher,non_europe
1839,Q27263305,Muḥammad ibn Abī Bakr Damāmīnī,re_indian_world,Indian world,1362.0,linguist,non_europe
1842,Q316343,Vasubandhu,re_indian_world,Indian world,300.0,philosopher,non_europe
1843,Q774847,Kumārila Bhaṭṭa,re_indian_world,Indian world,700.0,linguist | philosopher,non_europe
1844,Q2723463,Hemachandra,re_indian_world,Indian world,1089.0,philosopher | historian | mathematician,non_europe
1846,Q6406918,Taleb Amoli,re_indian_world,Indian world,1585.0,mathematician,non_europe
1848,Q202943,Brahmagupta,re_indian_world,Indian world,590.0,astronomer | mathematician,non_europe
1851,Q334752,Abu'l-Fazl ibn Mubarak,re_indian_world,Indian world,1551.0,historian,non_europe
1854,Q4860674,Bari Imam,re_indian_world,Indian world,1617.0,theologian,non_europe
1856,Q11359,Aryabhata,re_indian_world,Indian world,476.0,astronomer | mathematician,non_europe
1857,Q4112614,Visvanatha Chakravarti,re_indian_world,Indian world,1626.0,theologian,non_europe
1861,Q6785680,Masum Shah,re_indian_world,Indian world,1538.0,historian,non_europe
1864,Q3080648,Mirza Muhammad Haidar Dughlat,re_indian_world,Indian world,1499.0,historian,non_europe
1874,Q665235,Gaspar Correia,re_indian_world,Indian world,1496.0,historian,non_europe
1876,Q2484904,Utpaladeva,re_indian_world,Indian world,900.0,philosopher,non_europe
1880,Q31829842,Hazrat Shah Makhdum,re_indian_world,Indian world,1216.0,theologian,non_europe
