,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,region
946,Q46858389,Fumihiko Yumoto,re_japan,Japan,1843.0,historian,non_europe,re_japan
947,Q24067158,Abe Tametō,re_japan,Japan,1845.0,botanist,non_europe,re_japan
948,Q2600702,Tsuda Sen,re_japan,Japan,1837.0,botanist,non_europe,re_japan
949,Q635200,Yoshio Kōsaku,re_japan,Japan,1724.0,linguist,non_europe,re_japan
950,Q946932,Katsuragawa Hoshū,re_japan,Japan,1751.0,linguist,non_europe,re_japan
951,Q6538434,Sawaguchi Kazuyuki,re_japan,Japan,1670.0,mathematician,non_europe,re_japan
952,Q12955848,Nushizumi Yamaji,re_japan,Japan,1704.0,mathematician,non_europe,re_japan
953,Q3572466,Yokoi Yayū,re_japan,Japan,1702.0,linguist | philosopher,non_europe,re_japan
954,Q683792,Kitabatake Chikafusa,re_japan,Japan,1293.0,historian,non_europe,re_japan
955,Q6536184,Kurokawa Harumura,re_japan,Japan,1799.0,historian,non_europe,re_japan
956,Q384647,Motoori Norinaga,re_japan,Japan,1730.0,linguist | philosopher,non_europe,re_japan
957,Q311478,Nichiren,re_japan,Japan,1222.0,philosopher,non_europe,re_japan
958,Q220115,Nicholas of Japan,re_japan,Japan,1836.0,theologian,non_europe,re_japan
959,Q865960,Yokoi Shōnan,re_japan,Japan,1809.0,political scientist,non_europe,re_japan
960,Q786877,Shibukawa Shunkai,re_japan,Japan,1639.0,astronomer,non_europe,re_japan
961,Q2742793,Udagawa Yōan,re_japan,Japan,1798.0,chemist | botanist,non_europe,re_japan
962,Q1394237,Wada Nei,re_japan,Japan,1787.0,mathematician,non_europe,re_japan
963,Q6538396,Andō Yūeki,re_japan,Japan,1624.0,astronomer,non_europe,re_japan
964,Q24018020,Oshio Gorō,re_japan,Japan,1830.0,botanist,non_europe,re_japan
965,Q2572749,Hirata Atsutane,re_japan,Japan,1776.0,theologian | linguist | philosopher,non_europe,re_japan
966,Q382306,Hayashi Shihei,re_japan,Japan,1738.0,political scientist,non_europe,re_japan
967,Q6535524,Oku Namitsugu,re_japan,Japan,1824.0,anthropologist,non_europe,re_japan
968,Q22125045,Nagamatsu Tsukasa,re_japan,Japan,1834.0,historian,non_europe,re_japan
969,Q968964,Ninomiya Sontoku,re_japan,Japan,1787.0,philosopher | economist,non_europe,re_japan
970,Q177059,Hakuin Ekaku,re_japan,Japan,1686.0,philosopher,non_europe,re_japan
971,Q6538425,Uchida Itsumi,re_japan,Japan,1805.0,mathematician,non_europe,re_japan
972,Q2399435,Miyoshi Kiyotsura,re_japan,Japan,847.0,philosopher,non_europe,re_japan
973,Q4385767,Bassui Tokushō,re_japan,Japan,1327.0,philosopher,non_europe,re_japan
974,Q11389078,Irumagawa Shigetsune,re_japan,Japan,1688.0,astronomer,non_europe,re_japan
975,Q6729121,Maeda Toshiyasu,re_japan,Japan,1800.0,zoologist,non_europe,re_japan
976,Q6538534,Muramatsu Shigekiyo,re_japan,Japan,1608.0,mathematician,non_europe,re_japan
977,Q321612,Raphael von Koeber,re_japan,Japan,1848.0,musicologist | philosopher,non_europe,re_japan
978,Q11531520,Taneyasu Matsumori,re_japan,Japan,1825.0,zoologist,non_europe,re_japan
979,Q1150441,Miyake Kanran,re_japan,Japan,1674.0,philosopher,non_europe,re_japan
980,Q1624222,Hokkai Takashima,re_japan,Japan,1850.0,botanist | geologist,non_europe,re_japan
981,Q65018451,Imamura Yūrin,re_japan,Japan,1845.0,linguist,non_europe,re_japan
982,Q15304349,Tanabe Marefumi,re_japan,Japan,1692.0,historian,non_europe,re_japan
983,Q6536598,Tadano Makuzu,re_japan,Japan,1763.0,linguist,non_europe,re_japan
984,Q6536303,Konakamura Kiyonori,re_japan,Japan,1822.0,historian,non_europe,re_japan
985,Q18011592,Furukawa Koshōken,re_japan,Japan,1726.0,geographer,non_europe,re_japan
986,Q17224074,Tōsen Yamanashi,re_japan,Japan,1771.0,linguist,non_europe,re_japan
987,Q1095270,Yamaga Sokō,re_japan,Japan,1622.0,philosopher,non_europe,re_japan
988,Q193344,Miyamoto Musashi,re_japan,Japan,1585.0,philosopher,non_europe,re_japan
989,Q724526,Hoshino Hisashi,re_japan,Japan,1839.0,historian,non_europe,re_japan
990,Q22129131,Mizutani Toyobumi,re_japan,Japan,1779.0,botanist,non_europe,re_japan
991,Q6565600,Yamagata Bantō,re_japan,Japan,1748.0,astronomer | political scientist,non_europe,re_japan
992,Q20039550,Chōrin Kawakita,re_japan,Japan,1840.0,mathematician,non_europe,re_japan
993,Q1319454,Ishida Baigan,re_japan,Japan,1685.0,philosopher,non_europe,re_japan
994,Q3325272,Motoori Ōhira,re_japan,Japan,1756.0,linguist,non_europe,re_japan
995,Q67734,Julius Karl Scriba,re_japan,Japan,1848.0,botanist,non_europe,re_japan
996,Q6530625,Utsunomiya Saburō,re_japan,Japan,1834.0,chemist,non_europe,re_japan
997,Q22128725,Oda Kanshi,re_japan,Japan,1842.0,historian,non_europe,re_japan
998,Q5368242,Satō Nobuhiro,re_japan,Japan,1769.0,linguist | economist | political scientist,non_europe,re_japan
999,Q4067901,Konʼyō Aoki,re_japan,Japan,1698.0,botanist,non_europe,re_japan
1000,Q6560770,Amenomori Hōshū,re_japan,Japan,1668.0,philosopher,non_europe,re_japan
1001,Q6532071,Mitsukuri Shūhei,re_japan,Japan,1826.0,historian,non_europe,re_japan
1002,Q6447733,Kusaba Haisen,re_japan,Japan,1787.0,philosopher,non_europe,re_japan
1003,Q11655476,Hazama Shigetomi,re_japan,Japan,1756.0,astronomer,non_europe,re_japan
1004,Q1150151,Abe no Seimei,re_japan,Japan,921.0,astronomer,non_europe,re_japan
1005,Q704995,Shibusawa Eiichi,re_japan,Japan,1840.0,economist,non_europe,re_japan
1006,Q906354,Nishi Amane,re_japan,Japan,1829.0,linguist | philosopher,non_europe,re_japan
1007,Q6561857,Kaiho Seiryō,re_japan,Japan,1755.0,political scientist,non_europe,re_japan
1008,Q968242,Hiraga Gennai,re_japan,Japan,1728.0,botanist,non_europe,re_japan
1009,Q11587303,Tōemon Ishiguro,re_japan,Japan,1760.0,mathematician,non_europe,re_japan
1010,Q6564584,Hoashi Banri,re_japan,Japan,1778.0,political scientist,non_europe,re_japan
1011,Q369158,Ogyū Sorai,re_japan,Japan,1666.0,linguist | philosopher | political scientist,non_europe,re_japan
1012,Q11576548,Tajiri Inajirō,re_japan,Japan,1850.0,economist,non_europe,re_japan
1013,Q11457828,Sōhan Terajima,re_japan,Japan,1794.0,mathematician,non_europe,re_japan
1014,Q1334965,Keichū,re_japan,Japan,1640.0,linguist,non_europe,re_japan
1015,Q715993,Jien,re_japan,Japan,1155.0,historian,non_europe,re_japan
1016,Q7684103,Tanzan,re_japan,Japan,1819.0,philosopher,non_europe,re_japan
1017,Q6463981,Ono Tomogorō,re_japan,Japan,1817.0,mathematician,non_europe,re_japan
1018,Q739298,Sakuma Shōzan,re_japan,Japan,1811.0,physicist | political scientist,non_europe,re_japan
1019,Q11470954,Yamaji Nushizumi,re_japan,Japan,1704.0,mathematician,non_europe,re_japan
1020,Q6526576,Narushima Ryūhoku,re_japan,Japan,1837.0,philosopher,non_europe,re_japan
1021,Q1343397,Kamo no Mabuchi,re_japan,Japan,1697.0,linguist | philosopher,non_europe,re_japan
1022,Q3128817,Hayashi Hōkoku,re_japan,Japan,1721.0,philosopher,non_europe,re_japan
1023,Q11603122,Mitsukuri Shōgo,re_japan,Japan,1821.0,geographer,non_europe,re_japan
1024,Q6446052,Kurimoto Masayoshi,re_japan,Japan,1756.0,zoologist,non_europe,re_japan
1025,Q470531,Takakazu Seki,re_japan,Japan,1642.0,mathematician,non_europe,re_japan
1026,Q449943,Saichō,re_japan,Japan,767.0,philosopher,non_europe,re_japan
1027,Q3128830,Hayashi Sōken,re_japan,Japan,1828.0,philosopher,non_europe,re_japan
1028,Q11550115,Nagamatsu Tōkai,re_japan,Japan,1840.0,anatomist,non_europe,re_japan
1029,Q100645,Gottfried Wagener,re_japan,Japan,1831.0,chemist,non_europe,re_japan
1030,Q6530419,Iinuma Yokusai,re_japan,Japan,1782.0,botanist,non_europe,re_japan
1031,Q1136664,Gyōki,re_japan,Japan,668.0,geographer,non_europe,re_japan
1032,Q2753679,Nishikawa Joken,re_japan,Japan,1648.0,astronomer,non_europe,re_japan
1033,Q1385286,Sugita Genpaku,re_japan,Japan,1733.0,linguist,non_europe,re_japan
1034,Q355447,Fukuzawa Yukichi,re_japan,Japan,1835.0,philosopher | political scientist,non_europe,re_japan
1035,Q11397625,Maeda Masana,re_japan,Japan,1850.0,botanist,non_europe,re_japan
1036,Q12951933,Hagiwara Teisuke,re_japan,Japan,1828.0,mathematician,non_europe,re_japan
1037,Q3128833,Hayashi Teiu,re_japan,Japan,1793.0,philosopher,non_europe,re_japan
1038,Q3607355,Akitake Tsukamoto,re_japan,Japan,1833.0,geographer | mathematician,non_europe,re_japan
1039,Q11234887,Toriyama Hiraku,re_japan,Japan,1837.0,zoologist,non_europe,re_japan
1040,Q378425,Fujiwara no Teika,re_japan,Japan,1162.0,linguist,non_europe,re_japan
1041,Q3128825,Hayashi Jussai,re_japan,Japan,1768.0,philosopher,non_europe,re_japan
1042,Q3128812,Hayashi Gakusai,re_japan,Japan,1833.0,philosopher,non_europe,re_japan
1043,Q23829562,Motoki Shozaemon,re_japan,Japan,1767.0,linguist,non_europe,re_japan
1044,Q984479,Hagiwara Hiromichi,re_japan,Japan,1815.0,linguist | philosopher,non_europe,re_japan
1045,Q50641662,Yoshitami Naruto,re_japan,Japan,1835.0,botanist,non_europe,re_japan
1046,Q6563258,Dazai Shundai,re_japan,Japan,1680.0,political scientist,non_europe,re_japan
1047,Q412791,Ajima Naonobu,re_japan,Japan,1732.0,astronomer | mathematician,non_europe,re_japan
1048,Q1063276,Kibi no Makibi,re_japan,Japan,695.0,philosopher,non_europe,re_japan
1049,Q551135,Miyazaki Yasusada,re_japan,Japan,1623.0,botanist,non_europe,re_japan
1050,Q3128810,Hayashi Akira,re_japan,Japan,1801.0,philosopher,non_europe,re_japan
1051,Q11561574,Shibukawa Hirotada,re_japan,Japan,1696.0,astronomer,non_europe,re_japan
1052,Q3139962,Honda Toshiaki,re_japan,Japan,1744.0,philosopher | economist | political scientist | mathematician,non_europe,re_japan
1053,Q558279,Hayashi Razan,re_japan,Japan,1583.0,philosopher,non_europe,re_japan
1054,Q16185720,Gustav Kreitner,re_japan,Japan,1847.0,geographer,non_europe,re_japan
1055,Q6565179,Muro Kyūsō,re_japan,Japan,1658.0,philosopher,non_europe,re_japan
1056,Q6565007,Matsumoto Tokizō,re_japan,Japan,1795.0,political scientist,non_europe,re_japan
1057,Q11394546,Naitō Chisō,re_japan,Japan,1827.0,historian,non_europe,re_japan
1058,Q96713078,Asano Hokusui,re_japan,Japan,1758.0,astronomer,non_europe,re_japan
1059,Q11661892,Aoki Nagayuki,re_japan,Japan,1669.0,astronomer,non_europe,re_japan
1060,Q11657452,Asonuma Jiro,re_japan,Japan,1850.0,geographer,non_europe,re_japan
1061,Q720222,Asada Goryu,re_japan,Japan,1734.0,astronomer,non_europe,re_japan
1062,Q11575248,Tanaka Kyūgu,re_japan,Japan,1662.0,political scientist,non_europe,re_japan
1063,Q21522393,Motoyoshi Ono,re_japan,Japan,1837.0,botanist,non_europe,re_japan
1064,Q6538413,Imamura Tomoaki,re_japan,Japan,1624.0,mathematician,non_europe,re_japan
1065,Q905060,Nagai Nagayoshi,re_japan,Japan,1844.0,chemist,non_europe,re_japan
1066,Q11609190,Susumu Misawa,re_japan,Japan,1849.0,economist,non_europe,re_japan
1067,Q8192957,Miura Baien,re_japan,Japan,1723.0,philosopher | political scientist,non_europe,re_japan
1068,Q6537728,Mozume Takami,re_japan,Japan,1847.0,linguist,non_europe,re_japan
1069,Q22122896,Aoyagi Tanenobu,re_japan,Japan,1766.0,archeologist,non_europe,re_japan
1070,Q467616,Arai Hakuseki,re_japan,Japan,1657.0,historian | philosopher | economist,non_europe,re_japan
1071,Q6538444,Hasegawa Hiroshi,re_japan,Japan,1782.0,mathematician,non_europe,re_japan
1072,Q6533462,Yasui Sokken,re_japan,Japan,1799.0,philosopher,non_europe,re_japan
1073,Q555629,Nakamura Masanao,re_japan,Japan,1832.0,philosopher,non_europe,re_japan
1074,Q2279282,Shiraishi Nagatada,re_japan,Japan,1796.0,mathematician,non_europe,re_japan
1075,Q1193167,Nakahama Manjirō,re_japan,Japan,1827.0,linguist,non_europe,re_japan
