,wikidata_id,meta_occupation
9252,Q6167579,botanist
121462,Q56072781,theologian
6328,Q20748818,botanist
4316,Q15430340,zoologist
63144,Q55843903,economist
49848,Q26258270,musicologist
46766,Q1399223,zoologist
77538,Q66605837,historian
115160,Q55379521,theologian
58034,Q3184650,linguist
29427,Q2831339,archeologist | historian
124382,Q3349145,historian
49455,Q55676248,theologian
6000,Q213393,philosopher
33772,Q3386220,historian
69265,Q3158042,theologian
152189,Q4726677,theologian
154016,Q12789182,theologian | philosopher
159868,Q176287,astronomer | philosopher | mathematician
87990,Q3022528,musicologist
144092,Q95371139,theologian
47614,Q1419418,historian
116802,Q16615765,historian
98717,Q375351,astronomer | mathematician
149582,Q19279970,geologist
163582,Q12602156,musicologist
50377,Q42803664,astronomer | mathematician
84529,Q18197797,historian
55924,Q1417081,theologian
7280,Q4216193,linguist
68985,Q983569,botanist | zoologist | anthropologist
83899,Q55843119,historian
99649,Q1329001,theologian
76858,Q5740242,botanist
75455,Q6216083,paleontologist
152177,Q18604188,mathematician
133533,Q15856825,mathematician
78507,Q25915411,mathematician
25593,Q24054379,philosopher
146333,Q103024,theologian
134627,Q6069008,botanist
163221,Q312976,philosopher
11580,Q6582022,chemist
152794,Q4317486,historian
140278,Q758156,botanist | zoologist
148044,Q18020605,historian
155350,Q96654380,philosopher
17716,Q5548103,linguist
44024,Q1303115,theologian
153245,Q11065307,archeologist | historian
143392,Q518062,theologian
88607,Q88263,linguist
122729,Q10308064,paleontologist
39182,Q215278,physicist | mathematician
146755,Q95366496,botanist
20882,Q20253422,linguist
158684,Q2843525,botanist
159070,Q1673452,linguist
150751,Q214285,philosopher
52845,Q2361645,theologian
34889,Q1356811,musicologist | physicist | mathematician
37064,Q12328774,theologian
136355,Q9049064,economist
108686,Q19841153,geographer
106786,Q1389332,historian | political scientist
100217,Q503402,archeologist | historian | anthropologist
59737,Q495966,theologian
3228,Q309602,archeologist | linguist | anthropologist
98563,Q3756465,historian
87353,Q55193584,theologian
88710,Q62821,botanist
148321,Q95168014,historian
146022,Q94785467,geologist | mathematician
162006,Q6537102,philosopher
142485,Q29877477,chemist
123527,Q3903807,botanist
11628,Q1245028,geographer | historian
162865,Q439681,historian
13688,Q20732956,historian
78681,Q2865164,historian
34729,Q2871598,historian
420,Q2062341,musicologist
92842,Q1416903,theologian
98177,Q15263680,theologian
150762,Q95141799,botanist
160239,Q6122255,historian
11296,Q3990642,historian
85520,Q2572037,historian
44484,Q11860436,philosopher
161147,Q15891994,historian
66929,Q19197368,geographer
100280,Q63845278,theologian
125953,Q3659897,historian
45347,Q1928033,theologian
120778,Q5565448,mathematician
