,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,historian,43.294815626140924,1,1.0,1.0
1,theologian,philosopher,26.314348302300104,2,1.0,1.0
2,theologian,physicist,9.941480206540449,1,2.0,2.0
3,theologian,musicologist,9.941480206540449,1,6.0,3.0
4,theologian,astronomer,8.471385542168674,1,3.0,4.0
5,theologian,mathematician,8.471385542168674,1,4.0,5.0
6,theologian,historian,5.6779846659364726,1,5.0,6.0
7,physicist,mathematician,702.4338783706255,9,1.0,1.0
8,physicist,philosopher,506.0247483440255,9,2.0,2.0
9,physicist,astronomer,308.25530694205395,6,3.0,3.0
10,physicist,geographer,36.75145479878699,2,4.0,4.0
11,physicist,botanist,21.756454388984512,1,6.0,5.0
12,physicist,theologian,9.941480206540449,1,7.0,6.0
13,physicist,historian,4.622150941428049,1,5.0,7.0
14,philosopher,mathematician,11882.813070463673,46,1.0,1.0
15,philosopher,astronomer,2947.8357977364003,23,2.0,2.0
16,philosopher,musicologist,2059.6351379544153,18,3.0,3.0
17,philosopher,historian,568.9041289123435,12,4.0,4.0
18,philosopher,physicist,506.0247483440255,9,5.0,5.0
19,philosopher,geographer,220.98578730506438,6,6.0,6.0
20,philosopher,botanist,56.42990142387733,2,9.0,7.0
21,philosopher,anatomist,56.42990142387733,2,7.0,8.0
22,philosopher,linguist,32.32862358525009,2,8.0,9.0
23,philosopher,theologian,26.314348302300104,2,10.0,10.0
24,philosopher,anthropologist,20.680540343190945,1,11.0,11.0
25,pharmacologist,botanist,164.00602409638554,1,1.0,1.0
26,musicologist,philosopher,2059.6351379544153,18,1.0,1.0
27,musicologist,mathematician,869.3981640849112,10,2.0,2.0
28,musicologist,astronomer,212.4338783706254,5,3.0,3.0
29,musicologist,historian,95.63513795441506,4,4.0,4.0
30,musicologist,linguist,52.98456683878371,2,6.0,5.0
31,musicologist,geographer,36.75145479878699,2,5.0,6.0
32,musicologist,theologian,9.941480206540449,1,7.0,7.0
33,mathematician,philosopher,11882.813070463673,46,1.0,1.0
34,mathematician,astronomer,10012.628514056225,36,2.0,2.0
35,mathematician,musicologist,869.3981640849112,10,3.0,3.0
36,mathematician,physicist,702.4338783706255,9,4.0,4.0
37,mathematician,geographer,421.8624497991969,7,5.0,5.0
38,mathematician,historian,191.90397955458192,6,6.0,6.0
39,mathematician,linguist,10.530321285140563,1,7.0,7.0
40,mathematician,theologian,8.471385542168674,1,8.0,8.0
41,linguist,musicologist,52.98456683878371,2,3.0,1.0
42,linguist,astronomer,45.88032128514056,2,1.0,2.0
43,linguist,philosopher,32.32862358525009,2,2.0,3.0
44,linguist,mathematician,10.530321285140563,1,4.0,4.0
45,linguist,historian,7.164987221613727,1,5.0,5.0
46,historian,geographer,760.7260470453242,11,2.0,1.0
47,historian,philosopher,568.9041289123435,12,1.0,2.0
48,historian,mathematician,191.90397955458192,6,3.0,3.0
49,historian,musicologist,95.63513795441506,4,4.0,4.0
50,historian,anthropologist,86.58963125228185,2,7.0,5.0
51,historian,anatomist,56.42990142387733,2,6.0,6.0
52,historian,astronomer,45.10852500912742,3,5.0,7.0
53,historian,zoologist,43.294815626140924,1,10.0,8.0
54,historian,linguist,7.164987221613727,1,9.0,9.0
55,historian,theologian,5.6779846659364726,1,11.0,10.0
56,historian,physicist,4.622150941428049,1,8.0,11.0
57,geographer,historian,760.7260470453242,11,1.0,1.0
58,geographer,mathematician,421.8624497991969,7,2.0,2.0
59,geographer,philosopher,220.98578730506438,6,3.0,3.0
60,geographer,astronomer,212.4338783706254,5,4.0,4.0
61,geographer,physicist,36.75145479878699,2,5.0,5.0
62,geographer,musicologist,36.75145479878699,2,6.0,6.0
63,geographer,anatomist,21.756454388984512,1,7.0,7.0
64,botanist,pharmacologist,164.00602409638554,1,3.0,1.0
65,botanist,philosopher,56.42990142387733,2,1.0,2.0
66,botanist,physicist,21.756454388984512,1,2.0,3.0
67,astronomer,mathematician,10012.628514056225,36,1.0,1.0
68,astronomer,philosopher,2947.8357977364003,23,2.0,2.0
69,astronomer,physicist,308.25530694205395,6,3.0,3.0
70,astronomer,musicologist,212.4338783706254,5,5.0,4.0
71,astronomer,geographer,212.4338783706254,5,4.0,5.0
72,astronomer,linguist,45.88032128514056,2,7.0,6.0
73,astronomer,historian,45.10852500912742,3,6.0,7.0
74,astronomer,theologian,8.471385542168674,1,8.0,8.0
75,anthropologist,historian,86.58963125228185,2,1.0,1.0
76,anthropologist,philosopher,20.680540343190945,1,2.0,2.0
77,anatomist,historian,56.42990142387733,2,1.0,1.0
78,anatomist,philosopher,56.42990142387733,2,2.0,2.0
79,anatomist,geographer,21.756454388984512,1,3.0,3.0
