,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,30816.736328457147,44,1.0,1.0
1,zoologist,mathematician,5200.887090489465,19,2.0,2.0
2,zoologist,physicist,4579.415275825569,17,3.0,3.0
3,zoologist,historian,3100.8415916150416,14,5.0,4.0
4,zoologist,anatomist,2971.582695611433,13,7.0,5.0
5,zoologist,philosopher,2816.413406278938,14,4.0,6.0
6,zoologist,theologian,2671.836328457147,13,6.0,7.0
7,zoologist,astronomer,1858.0718234610204,10,8.0,8.0
8,zoologist,musicologist,522.1522463428602,5,10.0,9.0
9,zoologist,chemist,488.89879960782275,5,9.0,10.0
10,zoologist,economist,332.594351606018,4,11.0,11.0
11,zoologist,pharmacologist,315.2756867440609,2,17.0,12.0
12,zoologist,geologist,292.53621974585036,4,12.0,13.0
13,zoologist,linguist,137.7310652992521,3,14.0,14.0
14,zoologist,geographer,137.7310652992521,3,13.0,15.0
15,zoologist,meteorologist,112.1301481155456,2,16.0,16.0
16,zoologist,archeologist,81.18382529022853,2,15.0,17.0
17,zoologist,art theorist,51.22931958977563,1,19.0,18.0
18,zoologist,paleontologist,33.501874121505544,1,18.0,19.0
19,theologian,philosopher,1649756.381626353,346,1.0,1.0
20,theologian,historian,720265.5259413122,218,2.0,2.0
21,theologian,mathematician,111489.61798998892,90,3.0,3.0
22,theologian,astronomer,44502.99722658598,50,4.0,4.0
23,theologian,linguist,22988.030941312234,39,5.0,5.0
24,theologian,physicist,17462.805941312236,34,6.0,6.0
25,theologian,geographer,9428.190941312234,25,7.0,7.0
26,theologian,musicologist,3935.1694559841744,14,8.0,8.0
27,theologian,zoologist,2671.836328457147,13,10.0,9.0
28,theologian,botanist,2536.9509413122323,13,9.0,10.0
29,theologian,logician,1807.8197823936698,6,14.0,11.0
30,theologian,economist,1278.129455984174,8,11.0,12.0
31,theologian,archeologist,976.8294559841739,7,12.0,13.0
32,theologian,anatomist,811.7093471810089,7,13.0,14.0
33,theologian,chemist,463.95900304978557,5,15.0,15.0
34,theologian,anthropologist,338.67473034713385,4,16.0,16.0
35,theologian,political scientist,169.33736517356692,2,18.0,17.0
36,theologian,geologist,67.42075599775025,2,17.0,18.0
37,theologian,paleontologist,31.729673590504447,1,20.0,19.0
38,theologian,meteorologist,25.60899499445494,1,19.0,20.0
39,sociologist,philosopher,727.294487905764,4,1.0,1.0
40,sociologist,historian,448.9697823936697,3,2.0,2.0
41,sociologist,anthropologist,70.22813338985446,1,6.0,3.0
42,sociologist,economist,65.41483679525223,1,5.0,4.0
43,sociologist,geographer,48.56978239366964,1,3.0,5.0
44,sociologist,mathematician,43.976306087582046,1,4.0,6.0
45,political scientist,philosopher,1916.1162964961186,7,1.0,1.0
46,political scientist,historian,1547.8516508878527,6,2.0,2.0
47,political scientist,economist,227.10302388017521,2,4.0,3.0
48,political scientist,theologian,169.33736517356692,2,3.0,4.0
49,political scientist,anthropologist,59.914114805170335,1,7.0,5.0
50,political scientist,linguist,41.35165088785267,1,6.0,6.0
51,political scientist,mathematician,37.414997794819755,1,5.0,7.0
52,physicist,mathematician,169639.85889907985,111,1.0,1.0
53,physicist,astronomer,72949.5148736448,64,2.0,2.0
54,physicist,philosopher,37174.39980817074,52,3.0,3.0
55,physicist,theologian,17462.805941312236,34,4.0,4.0
56,physicist,chemist,5444.4090030497855,17,6.0,5.0
57,physicist,zoologist,4579.415275825569,17,5.0,6.0
58,physicist,musicologist,3391.229455984174,13,8.0,7.0
59,physicist,anatomist,2821.7093471810085,13,9.0,8.0
60,physicist,historian,2536.9509413122323,13,7.0,9.0
61,physicist,botanist,2159.8259413122323,12,10.0,10.0
62,physicist,geographer,2159.8259413122323,12,11.0,11.0
63,physicist,meteorologist,679.3544495399096,5,13.0,12.0
64,physicist,geologist,436.0854618801032,5,12.0,13.0
65,physicist,archeologist,315.5694559841741,4,14.0,14.0
66,physicist,economist,76.92945598417407,2,15.0,15.0
67,physicist,epidemiologist,58.67648532805803,1,18.0,16.0
68,physicist,logician,48.56978239366964,1,20.0,17.0
69,physicist,paleontologist,31.729673590504447,1,19.0,18.0
70,physicist,anthropologist,19.71044463284819,1,17.0,19.0
71,physicist,linguist,13.230941312232114,1,16.0,20.0
72,philosopher,theologian,1649756.381626353,346,1.0,1.0
73,philosopher,mathematician,245368.0136732853,140,2.0,2.0
74,philosopher,historian,137663.70889907982,100,3.0,3.0
75,philosopher,astronomer,70519.12047865635,66,4.0,4.0
76,philosopher,physicist,37174.39980817074,52,5.0,5.0
77,philosopher,linguist,14947.422535443458,33,6.0,6.0
78,philosopher,musicologist,6597.890765218956,19,8.0,7.0
