,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,1187707.565586437,257,1.0,1.0
1,zoologist,paleontologist,115131.96668519548,62,3.0,2.0
2,zoologist,geologist,112559.92382463942,69,2.0,3.0
3,zoologist,anatomist,59077.67382463941,50,4.0,4.0
4,zoologist,physicist,19959.703313435002,32,5.0,5.0
5,zoologist,historian,18338.91255242812,30,6.0,6.0
6,zoologist,philosopher,17538.96418300022,30,7.0,7.0
7,zoologist,anthropologist,15558.796692607004,27,8.0,8.0
8,zoologist,mathematician,12727.037552428117,25,9.0,9.0
9,zoologist,chemist,10839.994469149528,22,10.0,10.0
10,zoologist,archeologist,8982.026133345686,19,11.0,11.0
11,zoologist,geographer,4788.796692607004,15,12.0,12.0
12,zoologist,theologian,4788.796692607004,15,14.0,13.0
13,zoologist,linguist,4569.76482515539,15,13.0,14.0
14,zoologist,astronomer,3214.2444691495275,12,15.0,15.0
15,zoologist,economist,1583.151133345686,8,16.0,16.0
16,zoologist,meteorologist,614.6928000123527,5,17.0,17.0
17,zoologist,taxonomist,222.87944691495275,1,24.0,18.0
18,zoologist,musicologist,218.9150222345748,3,18.0,19.0
19,zoologist,geneticist,147.9233370390958,1,21.0,20.0
20,zoologist,ecologist,110.44639382990552,1,23.0,21.0
21,zoologist,pharmacologist,110.44639382990552,1,19.0,22.0
22,zoologist,art theorist,35.50584815638318,1,20.0,23.0
23,zoologist,political scientist,32.625058793346724,1,22.0,24.0
24,theologian,mathematician,98581.40643792006,65,1.0,1.0
25,theologian,philosopher,67492.21866012519,55,2.0,2.0
26,theologian,historian,26940.40643792005,34,3.0,3.0
27,theologian,astronomer,24635.738910505836,31,4.0,4.0
28,theologian,geographer,15247.659903650174,25,5.0,5.0
29,theologian,physicist,11776.044747081709,23,6.0,6.0
30,theologian,linguist,5949.133710647329,16,7.0,7.0
31,theologian,archeologist,5568.923908344142,14,10.0,8.0
32,theologian,botanist,5231.408638132296,16,8.0,9.0
33,theologian,musicologist,4799.923908344143,13,11.0,10.0
34,theologian,zoologist,4788.796692607004,15,9.0,11.0
35,theologian,logician,2131.6783398184175,5,17.0,12.0
36,theologian,economist,1385.2572416774753,7,12.0,13.0
37,theologian,geologist,1311.6159123489658,7,13.0,14.0
38,theologian,anthropologist,869.1837131739856,6,14.0,15.0
39,theologian,anatomist,666.352754454229,5,15.0,16.0
40,theologian,chemist,632.5389105058366,5,16.0,17.0
41,theologian,political scientist,154.17913798263993,2,18.0,18.0
42,theologian,art theorist,40.856679636835274,1,21.0,19.0
43,theologian,paleontologist,32.295849546044096,1,19.0,20.0
44,theologian,meteorologist,26.590575010808475,1,20.0,21.0
45,taxonomist,botanist,859.5246322030757,2,1.0,1.0
46,taxonomist,zoologist,222.87944691495275,1,2.0,2.0
47,sociologist,economist,26611.866860189817,20,2.0,1.0
48,sociologist,philosopher,22953.93222079899,21,1.0,2.0
49,sociologist,historian,4397.745616251453,9,3.0,3.0
50,sociologist,anthropologist,2784.461954172071,7,4.0,4.0
51,sociologist,mathematician,864.2607677666043,4,5.0,5.0
52,sociologist,political scientist,824.3185316628897,3,6.0,6.0
53,sociologist,physicist,204.59888746566128,2,7.0,7.0
54,sociologist,botanist,187.9141782471744,2,8.0,8.0
55,sociologist,geographer,55.12862083873757,1,9.0,9.0
56,political scientist,philosopher,7047.693252413858,14,1.0,1.0
57,political scientist,economist,1143.226806915523,5,3.0,2.0
58,political scientist,historian,933.5579647330621,5,2.0,3.0
59,political scientist,sociologist,824.3185316628897,3,5.0,4.0
60,political scientist,linguist,595.8866360617334,4,4.0,5.0
61,political scientist,geographer,154.17913798263993,2,8.0,6.0
62,political scientist,theologian,154.17913798263993,2,9.0,7.0
63,political scientist,mathematician,146.99153116662845,2,7.0,8.0
64,political scientist,physicist,140.42903836703533,2,6.0,9.0
65,political scientist,art theorist,67.20676016590414,1,13.0,10.0
66,political scientist,astronomer,39.53947207137868,1,10.0,11.0
67,political scientist,anthropologist,37.56375336725531,1,12.0,12.0
68,political scientist,zoologist,32.625058793346724,1,11.0,13.0
69,physicist,mathematician,967386.2721743378,213,1.0,1.0
70,physicist,astronomer,278572.2904423552,109,2.0,2.0
71,physicist,chemist,194133.50783365956,91,3.0,3.0
72,physicist,philosopher,78311.08870625107,62,4.0,4.0
73,physicist,botanist,25625.159357291897,37,5.0,5.0
74,physicist,zoologist,19959.703313435002,32,6.0,6.0
75,physicist,geologist,19309.019890489206,28,7.0,7.0
76,physicist,theologian,11776.044747081709,23,8.0,8.0
77,physicist,meteorologist,11455.994876380599,21,10.0,9.0
78,physicist,anatomist,10850.841400786687,21,9.0,10.0
