,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,1164324.5398324693,264,1.0,1.0
1,zoologist,geologist,170124.1156481151,88,2.0,2.0
2,zoologist,paleontologist,161880.9413692942,71,3.0,3.0
3,zoologist,anatomist,58578.73953264194,53,4.0,4.0
4,zoologist,anthropologist,20014.939532641936,31,6.0,5.0
5,zoologist,historian,18189.772349542494,31,5.0,6.0
6,zoologist,physicist,16675.280418004193,29,7.0,7.0
7,zoologist,mathematician,14450.835973559746,27,8.0,8.0
8,zoologist,chemist,13694.563016536154,25,10.0,9.0
9,zoologist,philosopher,12228.721712538227,26,9.0,10.0
10,zoologist,archeologist,11005.739532641936,23,11.0,11.0
11,zoologist,geographer,6003.7395326419355,17,12.0,12.0
12,zoologist,linguist,4670.672865975269,15,13.0,13.0
13,zoologist,astronomer,3690.563016536155,13,14.0,14.0
14,zoologist,theologian,2638.984069167734,11,15.0,15.0
15,zoologist,meteorologist,1123.4782645629275,7,16.0,16.0
16,zoologist,economist,779.7296832028215,6,17.0,17.0
17,zoologist,pharmacologist,413.84290652838723,2,20.0,18.0
18,zoologist,art theorist,115.41445856364085,2,19.0,19.0
19,zoologist,ecologist,102.46790652838719,1,24.0,20.0
20,zoologist,musicologist,94.35441156917493,2,18.0,21.0
21,zoologist,geneticist,81.57863316048399,1,21.0,22.0
22,zoologist,political scientist,32.84816402960599,1,22.0,23.0
23,zoologist,sociologist,30.17213852495065,1,23.0,24.0
24,theologian,mathematician,44250.355578065624,42,1.0,1.0
25,theologian,philosopher,24923.727788507967,33,2.0,2.0
26,theologian,historian,13770.529721564308,24,3.0,3.0
27,theologian,astronomer,12208.307467346278,21,4.0,4.0
28,theologian,physicist,10013.172620672143,20,5.0,5.0
29,theologian,geographer,9488.637893897088,19,6.0,6.0
30,theologian,linguist,7592.595788633931,17,7.0,7.0
31,theologian,botanist,3541.904209476623,13,8.0,8.0
32,theologian,geologist,3339.2215947701015,11,10.0,9.0
33,theologian,archeologist,3171.164209686562,11,11.0,10.0
34,theologian,zoologist,2638.984069167734,11,9.0,11.0
35,theologian,musicologist,1507.3077516081908,7,14.0,12.0
36,theologian,economist,1347.1772734404608,7,13.0,13.0
37,theologian,anthropologist,1279.122104423404,7,12.0,14.0
38,theologian,chemist,684.4958329972477,5,15.0,15.0
39,theologian,anatomist,649.7747360023512,5,16.0,16.0
40,theologian,sociologist,38.623821316508106,1,19.0,17.0
41,theologian,art theorist,35.725773848262456,1,18.0,18.0
42,theologian,meteorologist,27.355741934279923,1,17.0,19.0
43,taxonomist,botanist,1600.4824930195452,2,1.0,1.0
44,sociologist,philosopher,12069.414431898376,19,1.0,1.0
45,sociologist,economist,7929.465926579665,14,2.0,2.0
46,sociologist,historian,5025.091457206536,12,3.0,3.0
47,sociologist,anthropologist,1875.9182350955784,7,4.0,4.0
