,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,philosopher,621.5204325019796,9,1.0,1.0
1,zoologist,botanist,545.4473475851147,8,2.0,2.0
2,zoologist,historian,209.38484758511478,5,3.0,3.0
3,zoologist,geographer,209.38484758511478,5,4.0,4.0
4,zoologist,mathematician,132.4473475851148,4,5.0,5.0
5,zoologist,linguist,95.57974917995703,3,8.0,6.0
6,zoologist,chemist,88.82001187648457,3,10.0,7.0
7,zoologist,astronomer,77.68856247962368,3,7.0,8.0
8,zoologist,theologian,77.68856247962368,3,9.0,9.0
9,zoologist,physicist,73.05151425178147,3,6.0,10.0
10,zoologist,meteorologist,59.21334125098971,2,13.0,11.0
11,zoologist,musicologist,48.70100950118764,2,11.0,12.0
12,zoologist,economist,38.19501187648456,2,12.0,13.0
13,zoologist,anatomist,13.85084125098971,1,14.0,14.0
14,zoologist,geologist,11.232259501187649,1,16.0,15.0
15,zoologist,anthropologist,7.968533501583532,1,15.0,16.0
16,theologian,philosopher,7543.852247217177,32,1.0,1.0
17,theologian,mathematician,4706.944669554283,24,2.0,2.0
18,theologian,astronomer,3456.3081817608972,20,3.0,3.0
19,theologian,logician,918.7033906199059,5,8.0,4.0
20,theologian,musicologist,592.8160542126589,7,5.0,5.0
21,theologian,geographer,512.4348656327139,8,4.0,6.0
22,theologian,physicist,285.2976107307531,6,6.0,7.0
23,theologian,historian,196.49368916212563,5,7.0,8.0
24,theologian,botanist,124.19957151506682,4,9.0,9.0
25,theologian,linguist,89.61522851420852,3,10.0,10.0
26,theologian,zoologist,77.68856247962368,3,11.0,11.0
27,theologian,economist,35.72447953052955,2,12.0,12.0
28,theologian,political scientist,35.17397885520004,1,16.0,13.0
29,theologian,anthropologist,33.254738950211916,2,13.0,14.0
30,theologian,archeologist,22.805085929858876,1,15.0,15.0
31,theologian,anatomist,12.926123608588327,1,14.0,16.0
32,theologian,chemist,8.006832471706021,1,17.0,17.0
33,sociologist,political scientist,124.30791765637375,1,5.0,1.0
34,sociologist,economist,31.709691211401427,1,3.0,2.0
35,sociologist,anthropologist,29.606670625494854,1,4.0,3.0
36,sociologist,historian,26.102296120348377,1,1.0,4.0
37,sociologist,philosopher,23.29958828186857,1,2.0,5.0
38,political scientist,sociologist,124.30791765637375,1,4.0,1.0
39,political scientist,philosopher,122.33167062549487,2,1.0,2.0
40,political scientist,theologian,35.17397885520004,1,3.0,3.0
41,political scientist,historian,33.1118368962787,1,2.0,4.0
42,physicist,mathematician,4822.81345121844,25,1.0,1.0
43,physicist,philosopher,4335.559184481394,25,2.0,2.0
44,physicist,astronomer,3262.081924456244,20,3.0,3.0
45,physicist,geographer,368.14678455177267,7,4.0,4.0
46,physicist,theologian,285.2976107307531,6,5.0,5.0
47,physicist,musicologist,179.19662179994722,4,8.0,6.0
48,physicist,linguist,152.48071485126118,4,6.0,7.0
49,physicist,chemist,141.79577724993402,4,9.0,8.0
50,physicist,botanist,116.8690067739949,4,7.0,9.0
51,physicist,economist,78.30688836104513,3,12.0,10.0
52,physicist,zoologist,73.05151425178147,3,11.0,11.0
53,physicist,historian,64.29493269992082,3,10.0,12.0
54,physicist,logician,33.1118368962787,1,17.0,13.0
55,physicist,anthropologist,31.197347585114805,2,13.0,14.0
56,physicist,epidemiologist,26.102296120348377,1,18.0,15.0
57,physicist,meteorologist,12.104592240696753,1,15.0,16.0
58,physicist,anatomist,12.104592240696753,1,14.0,17.0
59,physicist,geologist,9.77995513328055,1,16.0,18.0
60,philosopher,mathematician,89369.95918448138,113,1.0,1.0
61,philosopher,astronomer,53507.634600158366,85,2.0,2.0
62,philosopher,musicologist,10052.620011876486,31,5.0,3.0
63,philosopher,theologian,7543.852247217177,32,4.0,4.0
64,philosopher,historian,7121.209184481393,32,3.0,5.0
65,philosopher,physicist,4335.559184481394,25,6.0,6.0
66,philosopher,geographer,2766.8091844813935,20,7.0,7.0
67,philosopher,linguist,1740.310847189232,14,8.0,8.0
68,philosopher,logician,1124.7316706254949,6,15.0,9.0
69,philosopher,botanist,681.8091844813936,10,9.0,10.0
70,philosopher,zoologist,621.5204325019796,9,10.0,11.0
71,philosopher,anatomist,604.9491765637372,7,12.0,12.0
72,philosopher,economist,522.9987648456057,8,11.0,13.0
73,philosopher,chemist,398.6987648456057,7,13.0,14.0
74,philosopher,anthropologist,272.3016825019794,6,14.0,15.0
75,philosopher,political scientist,122.33167062549487,2,18.0,16.0
76,philosopher,meteorologist,46.59917656373714,2,16.0,17.0
77,philosopher,geologist,38.19501187648456,2,17.0,18.0
78,philosopher,sociologist,23.29958828186857,1,20.0,19.0
79,philosopher,archeologist,19.09750593824228,1,19.0,20.0
80,pharmacologist,botanist,1257.0071258907365,3,1.0,1.0
81,musicologist,philosopher,10052.620011876486,31,1.0,1.0
82,musicologist,mathematician,7259.113288466614,25,2.0,2.0
83,musicologist,astronomer,2756.1101718597174,15,3.0,3.0
84,musicologist,historian,929.3355106888364,9,4.0,4.0
85,musicologist,theologian,592.8160542126589,7,5.0,5.0
86,musicologist,geographer,179.19662179994722,4,7.0,6.0
87,musicologist,physicist,179.19662179994722,4,6.0,7.0
88,musicologist,linguist,129.38793688496773,3,8.0,8.0
89,musicologist,chemist,52.204592240696755,2,11.0,9.0
90,musicologist,economist,52.204592240696755,2,10.0,10.0
91,musicologist,zoologist,48.70100950118764,2,9.0,11.0
92,musicologist,botanist,9.77995513328055,1,12.0,12.0
93,meteorologist,mathematician,120.37125890736343,3,1.0,1.0
94,meteorologist,zoologist,59.21334125098971,2,4.0,2.0
95,meteorologist,astronomer,55.50259419682363,2,2.0,3.0
96,meteorologist,philosopher,46.59917656373714,2,3.0,4.0
97,meteorologist,geologist,19.09750593824228,1,10.0,5.0
98,meteorologist,economist,14.899382422802852,1,8.0,6.0
99,meteorologist,anthropologist,13.85084125098971,1,9.0,7.0
100,meteorologist,geographer,12.104592240696753,1,6.0,8.0
101,meteorologist,physicist,12.104592240696753,1,5.0,9.0
102,meteorologist,botanist,12.104592240696753,1,7.0,10.0
103,mathematician,astronomer,288291.7878068091,187,1.0,1.0
104,mathematician,philosopher,89369.95918448138,113,2.0,2.0
105,mathematician,geographer,8944.646784551773,34,3.0,3.0
106,mathematician,musicologist,7259.113288466614,25,6.0,4.0
107,mathematician,historian,6498.813451218439,29,4.0,5.0
108,mathematician,physicist,4822.81345121844,25,5.0,6.0
109,mathematician,theologian,4706.944669554283,24,7.0,7.0
110,mathematician,linguist,2225.4569053274518,15,8.0,8.0
111,mathematician,botanist,368.14678455177267,7,9.0,9.0
112,mathematician,chemist,324.90688836104516,6,10.0,10.0
113,mathematician,economist,223.99577724993406,5,11.0,11.0
114,mathematician,art theorist,138.34045922406966,1,17.0,12.0
115,mathematician,zoologist,132.4473475851148,4,12.0,13.0
116,mathematician,meteorologist,120.37125890736343,3,14.0,14.0
117,mathematician,anthropologist,73.05151425178147,3,13.0,15.0
118,mathematician,anatomist,52.204592240696755,2,15.0,16.0
119,mathematician,geologist,42.86328846661388,2,16.0,17.0
120,mathematician,epidemiologist,26.102296120348377,1,18.0,18.0
121,logician,philosopher,1124.7316706254949,6,1.0,1.0
122,logician,theologian,918.7033906199059,5,2.0,2.0
123,logician,linguist,713.7364551521322,4,3.0,3.0
124,logician,physicist,33.1118368962787,1,4.0,4.0
125,linguist,mathematician,2225.4569053274518,15,1.0,1.0
126,linguist,astronomer,2052.329514228494,14,2.0,2.0
127,linguist,philosopher,1740.310847189232,14,3.0,3.0
128,linguist,historian,794.0283338988801,9,4.0,4.0
129,linguist,logician,713.7364551521322,4,8.0,5.0
130,linguist,botanist,477.2664291369755,7,5.0,6.0
131,linguist,geographer,348.9569053274517,6,6.0,7.0
132,linguist,physicist,152.48071485126118,4,7.0,8.0
133,linguist,musicologist,129.38793688496773,3,10.0,9.0
134,linguist,archeologist,116.31896844248386,2,13.0,10.0
135,linguist,chemist,102.34027824906684,3,12.0,11.0
136,linguist,zoologist,95.57974917995703,3,9.0,12.0
137,linguist,theologian,89.61522851420852,3,11.0,13.0
138,linguist,anthropologist,9.365463465671304,1,14.0,14.0
139,historian,geographer,17128.146784551773,47,1.0,1.0
140,historian,philosopher,7121.209184481393,32,2.0,2.0
141,historian,mathematician,6498.813451218439,29,3.0,3.0
142,historian,astronomer,5109.434865632715,25,4.0,4.0
143,historian,archeologist,2318.9316442333065,10,6.0,5.0
144,historian,musicologist,929.3355106888364,9,8.0,6.0
145,historian,linguist,794.0283338988801,9,7.0,7.0
146,historian,botanist,759.7578956628837,10,5.0,8.0
147,historian,anthropologist,415.8848475851147,7,9.0,9.0
148,historian,zoologist,209.38484758511478,5,10.0,10.0
149,historian,theologian,196.49368916212563,5,11.0,11.0
150,historian,anatomist,120.37125890736343,3,13.0,12.0
151,historian,geologist,99.33551068883612,3,14.0,13.0
152,historian,physicist,64.29493269992082,3,12.0,14.0
153,historian,chemist,33.52911058326736,2,16.0,15.0
154,historian,economist,33.52911058326736,2,15.0,16.0
155,historian,political scientist,33.1118368962787,1,17.0,17.0
156,historian,sociologist,26.102296120348377,1,18.0,18.0
157,geologist,historian,99.33551068883612,3,1.0,1.0
158,geologist,astronomer,45.61017185971775,2,2.0,2.0
159,geologist,mathematician,42.86328846661388,2,3.0,3.0
160,geologist,philosopher,38.19501187648456,2,4.0,4.0
161,geologist,meteorologist,19.09750593824228,1,11.0,5.0
162,geologist,chemist,12.104592240696753,1,12.0,6.0
163,geologist,economist,12.104592240696753,1,9.0,7.0
164,geologist,zoologist,11.232259501187649,1,7.0,8.0
165,geologist,anthropologist,11.232259501187649,1,10.0,9.0
166,geologist,geographer,9.77995513328055,1,6.0,10.0
167,geologist,physicist,9.77995513328055,1,5.0,11.0
168,geologist,botanist,9.77995513328055,1,8.0,12.0
169,geographer,historian,17128.146784551773,47,1.0,1.0
170,geographer,astronomer,10042.3760421033,35,2.0,2.0
171,geographer,mathematician,8944.646784551773,34,3.0,3.0
172,geographer,philosopher,2766.8091844813935,20,4.0,4.0
173,geographer,botanist,613.6282660332541,9,5.0,5.0
174,geographer,theologian,512.4348656327139,8,6.0,6.0
175,geographer,physicist,368.14678455177267,7,7.0,7.0
176,geographer,linguist,348.9569053274517,6,8.0,8.0
177,geographer,zoologist,209.38484758511478,5,9.0,9.0
178,geographer,musicologist,179.19662179994722,4,10.0,10.0
179,geographer,anthropologist,132.4473475851148,4,11.0,11.0
180,geographer,archeologist,89.59831089997361,2,15.0,12.0
181,geographer,chemist,78.30688836104513,3,12.0,13.0
182,geographer,anatomist,52.204592240696755,2,13.0,14.0
183,geographer,economist,33.52911058326736,2,14.0,15.0
184,geographer,epidemiologist,26.102296120348377,1,18.0,16.0
185,geographer,meteorologist,12.104592240696753,1,16.0,17.0
186,geographer,geologist,9.77995513328055,1,17.0,18.0
187,epidemiologist,astronomer,27.751297098411815,1,2.0,1.0
188,epidemiologist,geographer,26.102296120348377,1,4.0,2.0
189,epidemiologist,mathematician,26.102296120348377,1,3.0,3.0
190,epidemiologist,physicist,26.102296120348377,1,1.0,4.0
191,epidemiologist,botanist,26.102296120348377,1,5.0,5.0
192,economist,philosopher,522.9987648456057,8,1.0,1.0
193,economist,mathematician,223.99577724993406,5,2.0,2.0
194,economist,astronomer,83.25389129523543,3,4.0,3.0
195,economist,physicist,78.30688836104513,3,3.0,4.0
196,economist,musicologist,52.204592240696755,2,9.0,5.0
197,economist,zoologist,38.19501187648456,2,7.0,6.0
198,economist,anthropologist,38.19501187648456,2,10.0,7.0
199,economist,theologian,35.72447953052955,2,11.0,8.0
200,economist,historian,33.52911058326736,2,5.0,9.0
201,economist,geographer,33.52911058326736,2,6.0,10.0
202,economist,botanist,33.52911058326736,2,8.0,11.0
203,economist,sociologist,31.709691211401427,1,15.0,12.0
204,economist,meteorologist,14.899382422802852,1,12.0,13.0
205,economist,geologist,12.104592240696753,1,13.0,14.0
206,economist,chemist,9.315740300870942,1,14.0,15.0
207,chemist,astronomer,618.077420707,8,1.0,1.0
208,chemist,philosopher,398.6987648456057,7,2.0,2.0
209,chemist,mathematician,324.90688836104516,6,3.0,3.0
210,chemist,physicist,141.79577724993402,4,4.0,4.0
211,chemist,botanist,141.79577724993402,4,5.0,5.0
212,chemist,linguist,102.34027824906684,3,7.0,6.0
213,chemist,zoologist,88.82001187648457,3,8.0,7.0
214,chemist,geographer,78.30688836104513,3,6.0,8.0
215,chemist,anatomist,63.419382422802855,2,10.0,9.0
216,chemist,musicologist,52.204592240696755,2,11.0,10.0
217,chemist,historian,33.52911058326736,2,9.0,11.0
218,chemist,geologist,12.104592240696753,1,15.0,12.0
219,chemist,economist,9.315740300870942,1,12.0,13.0
220,chemist,anthropologist,8.620011876484561,1,13.0,14.0
221,chemist,theologian,8.006832471706021,1,14.0,15.0
222,botanist,pharmacologist,1257.0071258907365,3,11.0,1.0
223,botanist,historian,759.7578956628837,10,1.0,2.0
224,botanist,philosopher,681.8091844813936,10,2.0,3.0
225,botanist,geographer,613.6282660332541,9,3.0,4.0
226,botanist,zoologist,545.4473475851147,8,4.0,5.0
227,botanist,linguist,477.2664291369755,7,6.0,6.0
228,botanist,mathematician,368.14678455177267,7,5.0,7.0
229,botanist,astronomer,285.2976107307531,6,7.0,8.0
230,botanist,chemist,141.79577724993402,4,10.0,9.0
231,botanist,theologian,124.19957151506682,4,9.0,10.0
232,botanist,physicist,116.8690067739949,4,8.0,11.0
233,botanist,economist,33.52911058326736,2,12.0,12.0
234,botanist,anthropologist,31.197347585114805,2,13.0,13.0
235,botanist,epidemiologist,26.102296120348377,1,18.0,14.0
236,botanist,meteorologist,12.104592240696753,1,16.0,15.0
237,botanist,anatomist,12.104592240696753,1,14.0,16.0
238,botanist,geologist,9.77995513328055,1,17.0,17.0
239,botanist,musicologist,9.77995513328055,1,15.0,18.0
240,astronomer,mathematician,288291.7878068091,187,1.0,1.0
241,astronomer,philosopher,53507.634600158366,85,2.0,2.0
242,astronomer,geographer,10042.3760421033,35,3.0,3.0
243,astronomer,historian,5109.434865632715,25,4.0,4.0
244,astronomer,theologian,3456.3081817608972,20,6.0,5.0
245,astronomer,physicist,3262.081924456244,20,5.0,6.0
