,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,2901.5501304251306,20,1.0,1.0
1,zoologist,geographer,79.19667832167832,3,2.0,2.0
2,zoologist,philosopher,56.84210854934538,3,3.0,3.0
3,zoologist,paleontologist,42.14387695637696,1,11.0,4.0
4,zoologist,historian,27.272819092672037,2,4.0,5.0
5,zoologist,geologist,16.961975524475523,1,10.0,6.0
6,zoologist,anatomist,16.961975524475523,1,8.0,7.0
7,zoologist,physicist,7.560314685314687,1,5.0,8.0
8,zoologist,mathematician,7.560314685314687,1,7.0,9.0
9,zoologist,astronomer,6.937566600066599,1,6.0,10.0
10,zoologist,linguist,6.393606393606393,1,9.0,11.0
11,theologian,philosopher,361.62523134759977,7,1.0,1.0
12,theologian,historian,129.1520523594053,4,2.0,2.0
13,theologian,mathematician,87.69615384615383,3,4.0,3.0
14,theologian,astronomer,81.46302197802198,3,3.0,4.0
15,theologian,logician,46.553937728937726,1,10.0,5.0
16,theologian,political scientist,16.254945054945054,1,9.0,6.0
17,theologian,musicologist,14.239590964590963,1,7.0,7.0
18,theologian,archeologist,14.239590964590963,1,8.0,8.0
19,theologian,physicist,8.496153846153845,1,5.0,9.0
20,theologian,linguist,7.209890109890109,1,6.0,10.0
21,taxonomist,botanist,78.90125152625154,1,1.0,1.0
22,sociologist,economist,39.624038461538454,1,3.0,1.0
23,sociologist,political scientist,34.42747252747253,1,5.0,2.0
24,sociologist,anthropologist,17.46484432234432,1,4.0,3.0
25,sociologist,historian,15.187790885585002,1,1.0,4.0
26,sociologist,philosopher,13.391563042220936,1,2.0,5.0
27,political scientist,philosopher,145.36755349913244,4,1.0,1.0
28,political scientist,sociologist,34.42747252747253,1,8.0,2.0
29,political scientist,economist,24.038461538461537,1,6.0,3.0
30,political scientist,theologian,16.254945054945054,1,7.0,4.0
31,political scientist,physicist,11.076923076923078,1,2.0,5.0
32,political scientist,astronomer,10.215750915750915,1,3.0,6.0
33,political scientist,linguist,9.462912087912086,1,5.0,7.0
34,political scientist,historian,8.799288946347769,1,4.0,8.0
35,physicist,mathematician,1428.1346153846155,14,2.0,1.0
36,physicist,astronomer,1331.077564102564,14,1.0,2.0
37,physicist,philosopher,640.4984817813764,11,3.0,3.0
38,physicist,chemist,300.11538461538464,6,4.0,4.0
39,physicist,geographer,110.99175824175825,4,5.0,5.0
40,physicist,botanist,84.61752136752138,4,6.0,6.0
41,physicist,meteorologist,79.24807692307691,2,10.0,7.0
42,physicist,linguist,52.65384615384615,3,7.0,8.0
43,physicist,musicologist,42.30876068376069,2,9.0,9.0
44,physicist,historian,20.634049773755653,2,8.0,10.0
45,physicist,political scientist,11.076923076923078,1,14.0,11.0
46,physicist,theologian,8.496153846153845,1,12.0,12.0
47,physicist,zoologist,7.560314685314687,1,11.0,13.0
48,physicist,anthropologist,5.077564102564104,1,13.0,14.0
49,philosopher,mathematician,18297.65637651822,58,1.0,1.0
50,philosopher,astronomer,9360.315040003856,43,2.0,2.0
51,philosopher,musicologist,2722.8542871602085,18,4.0,3.0
52,philosopher,historian,1589.5159583063994,19,3.0,4.0
53,philosopher,physicist,640.4984817813764,11,5.0,5.0
54,philosopher,geographer,640.4984817813764,11,6.0,6.0
55,philosopher,theologian,361.62523134759977,7,9.0,7.0
56,philosopher,linguist,290.7351069982649,8,7.0,8.0
57,philosopher,botanist,256.70272636720006,8,8.0,9.0
58,philosopher,economist,167.24924089068827,4,11.0,10.0
59,philosopher,anatomist,167.24924089068827,4,10.0,11.0
60,philosopher,political scientist,145.36755349913244,4,13.0,12.0
61,philosopher,logician,98.21458694813957,2,16.0,13.0
62,philosopher,anthropologist,73.93609263543475,4,12.0,14.0
63,philosopher,zoologist,56.84210854934538,3,14.0,15.0
64,philosopher,chemist,51.630277617119724,3,15.0,16.0
65,philosopher,sociologist,13.391563042220936,1,19.0,17.0
66,philosopher,meteorologist,13.391563042220936,1,18.0,18.0
67,philosopher,archeologist,6.632064937985991,1,17.0,19.0
68,pharmacologist,botanist,722.0123626373627,3,1.0,1.0
69,paleontologist,geologist,67.34775641025641,1,3.0,1.0
70,paleontologist,zoologist,42.14387695637696,1,1.0,2.0
71,paleontologist,botanist,25.000050875050878,1,2.0,3.0
72,musicologist,philosopher,2722.8542871602085,18,1.0,1.0
73,musicologist,mathematician,1376.3087606837607,11,2.0,2.0
