,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,2733.203688663283,23,1.0,1.0
1,zoologist,geographer,165.25387760857302,5,2.0,2.0
2,zoologist,philosopher,121.52368866328256,5,3.0,3.0
3,zoologist,anatomist,80.10092216582065,2,10.0,4.0
4,zoologist,linguist,57.18276649746193,3,6.0,5.0
5,zoologist,historian,49.785331442221555,3,4.0,6.0
6,zoologist,mathematician,46.70465313028765,3,5.0,7.0
7,zoologist,paleontologist,33.050775521714606,1,15.0,8.0
8,zoologist,geologist,28.45193609267214,2,9.0,9.0
9,zoologist,physicist,24.160544275239708,2,7.0,10.0
10,zoologist,astronomer,19.519467945102463,2,8.0,11.0
11,zoologist,meteorologist,8.601844331641287,1,14.0,12.0
12,zoologist,chemist,6.8697687535251,1,12.0,13.0
13,zoologist,economist,5.147210941906374,1,13.0,14.0
14,zoologist,anthropologist,4.7189509306260575,1,11.0,15.0
15,theologian,philosopher,393.3459753444524,6,1.0,1.0
16,theologian,logician,296.2038010635726,2,4.0,2.0
17,theologian,mathematician,192.20693336556278,4,2.0,3.0
18,theologian,astronomer,192.20693336556278,4,3.0,4.0
19,theologian,archeologist,18.51639033555277,1,6.0,5.0
20,theologian,historian,11.319205093204795,1,5.0,6.0
21,theologian,botanist,9.345975344452501,1,7.0,7.0
22,taxonomist,botanist,76.81269035532995,1,1.0,1.0
23,sociologist,historian,70.21863989250522,2,1.0,1.0
24,sociologist,philosopher,59.10345177664975,2,2.0,2.0
25,sociologist,political scientist,43.05077955039884,1,5.0,3.0
26,sociologist,economist,19.060922165820646,1,4.0,4.0
27,sociologist,anthropologist,17.750761421319794,1,3.0,5.0
28,political scientist,philosopher,704.5459753444524,8,1.0,1.0
29,political scientist,linguist,56.104719603577465,2,2.0,2.0
30,political scientist,economist,56.104719603577465,2,3.0,3.0
31,political scientist,sociologist,43.05077955039884,1,7.0,4.0
32,political scientist,physicist,13.076148175006042,1,5.0,5.0
33,political scientist,mathematician,10.587885746515187,1,4.0,6.0
34,political scientist,astronomer,10.587885746515187,1,6.0,7.0
35,physicist,mathematician,816.7046531302877,12,1.0,1.0
36,physicist,astronomer,816.7046531302877,12,2.0,2.0
37,physicist,philosopher,320.4036886632826,8,3.0,3.0
38,physicist,chemist,132.20310208685842,4,5.0,4.0
39,physicist,musicologist,129.15233865119652,3,8.0,5.0
40,physicist,geographer,104.21387760857304,4,4.0,6.0
41,physicist,linguist,57.18276649746193,3,7.0,7.0
42,physicist,botanist,41.47035532994924,3,6.0,8.0
43,physicist,zoologist,24.160544275239708,2,10.0,9.0
44,physicist,anthropologist,22.418950930626057,2,11.0,10.0
45,physicist,historian,20.883370657907832,2,9.0,11.0
46,physicist,political scientist,13.076148175006042,1,14.0,12.0
47,physicist,meteorologist,8.601844331641287,1,15.0,13.0
48,physicist,geologist,6.205782246518288,1,13.0,14.0
49,physicist,economist,5.147210941906374,1,12.0,15.0
