,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,213.429256023847,5,1.0,1.0
1,zoologist,geographer,144.55623361210016,4,3.0,2.0
2,zoologist,historian,135.03502525461622,4,2.0,3.0
3,zoologist,mathematician,79.85879771466425,3,5.0,4.0
4,zoologist,philosopher,61.833343502002506,3,4.0,5.0
5,zoologist,astronomer,34.21777207363859,2,6.0,6.0
6,zoologist,meteorologist,12.36227539951975,1,12.0,7.0
7,zoologist,geologist,12.36227539951975,1,13.0,8.0
8,zoologist,chemist,11.069971470940255,1,11.0,9.0
9,zoologist,economist,9.994217658910877,1,9.0,10.0
10,zoologist,linguist,8.306745998888086,1,8.0,11.0
11,zoologist,physicist,7.633156689023211,1,7.0,12.0
12,zoologist,anthropologist,7.633156689023211,1,10.0,13.0
13,theologian,philosopher,17166.165418389894,42,1.0,1.0
14,theologian,historian,4605.086114101183,20,2.0,2.0
15,theologian,astronomer,299.7473986365268,5,3.0,3.0
16,theologian,logician,243.74947972730533,2,6.0,4.0
17,theologian,mathematician,190.26739863652674,4,4.0,5.0
18,theologian,linguist,113.5182069813932,3,5.0,6.0
19,theologian,archeologist,59.94947972730535,1,10.0,7.0
20,theologian,musicologist,18.692883626360484,1,9.0,8.0
21,theologian,physicist,10.467398636526731,1,7.0,9.0
22,theologian,botanist,9.698614101184068,1,8.0,10.0
23,sociologist,political scientist,121.87473986365266,1,5.0,1.0
24,sociologist,economist,28.998959454610695,1,3.0,2.0
25,sociologist,anthropologist,22.813699318263364,1,4.0,3.0
26,sociologist,historian,21.26805705059203,1,1.0,4.0
27,sociologist,philosopher,17.60902498442015,1,2.0,5.0
28,political scientist,philosopher,126.41664306082751,2,1.0,1.0
29,political scientist,sociologist,121.87473986365266,1,3.0,2.0
30,political scientist,linguist,42.260700189656056,1,2.0,3.0
31,physicist,mathematician,3263.2322090659004,20,1.0,1.0
32,physicist,astronomer,2352.618875732567,17,3.0,2.0
33,physicist,philosopher,1850.2305837251909,17,2.0,3.0
34,physicist,geographer,285.4010979547901,6,4.0,4.0
35,physicist,musicologist,117.93932543954071,3,7.0,5.0
36,physicist,chemist,95.43425971230062,3,8.0,6.0
37,physicist,botanist,63.80417115177611,3,6.0,7.0
38,physicist,historian,63.80417115177611,3,5.0,8.0
39,physicist,linguist,31.50350094828028,2,9.0,9.0
40,physicist,anthropologist,29.152209065901204,2,10.0,10.0
41,physicist,theologian,10.467398636526731,1,11.0,11.0
42,physicist,meteorologist,10.467398636526731,1,14.0,12.0
43,physicist,geologist,10.467398636526731,1,15.0,13.0
44,physicist,economist,8.4191005860543,1,13.0,14.0
45,physicist,zoologist,7.633156689023211,1,12.0,15.0
46,philosopher,mathematician,44745.599004777825,83,1.0,1.0
47,philosopher,astronomer,29131.283215304145,67,2.0,2.0
48,philosopher,historian,26491.34782731857,66,3.0,3.0
49,philosopher,theologian,17166.165418389894,42,4.0,4.0
50,philosopher,musicologist,5701.9399876620155,23,5.0,5.0
51,philosopher,physicist,1850.2305837251909,17,6.0,6.0
52,philosopher,linguist,1756.2935406330685,16,7.0,7.0
53,philosopher,geographer,1436.9954960058922,15,8.0,8.0
54,philosopher,botanist,375.3215115290918,8,9.0,9.0
55,philosopher,anatomist,287.3990992011784,3,12.0,10.0
56,philosopher,anthropologist,153.135846883085,5,10.0,11.0
57,philosopher,political scientist,126.41664306082751,2,16.0,12.0
58,philosopher,logician,126.41664306082751,2,15.0,13.0
59,philosopher,economist,122.508677506468,4,11.0,14.0
60,philosopher,chemist,74.12205592266213,3,14.0,15.0
61,philosopher,zoologist,61.833343502002506,3,13.0,16.0
62,philosopher,meteorologist,35.2180499688403,2,17.0,17.0
63,philosopher,sociologist,17.60902498442015,1,19.0,18.0
64,philosopher,geologist,7.881207863577134,1,18.0,19.0
65,pharmacologist,botanist,460.5086114101184,2,1.0,1.0
66,musicologist,philosopher,5701.9399876620155,23,1.0,1.0
67,musicologist,mathematician,3066.7393254395406,15,2.0,2.0
68,musicologist,astronomer,1356.3689550691704,10,3.0,3.0
69,musicologist,historian,198.5219471355101,4,4.0,4.0
70,musicologist,physicist,117.93932543954071,3,5.0,5.0
71,musicologist,linguist,55.05194183880944,2,7.0,6.0
72,musicologist,geographer,51.12451062472591,2,6.0,7.0
73,musicologist,theologian,18.692883626360484,1,8.0,8.0
74,musicologist,chemist,16.820959867784413,1,9.0,9.0
75,meteorologist,mathematician,105.56073196986007,3,1.0,1.0
76,meteorologist,astronomer,45.62739863652673,2,3.0,2.0
77,meteorologist,philosopher,35.2180499688403,2,2.0,3.0
78,meteorologist,geologist,16.633821313240045,1,10.0,4.0
79,meteorologist,economist,13.547918909221384,1,8.0,5.0
80,meteorologist,zoologist,12.36227539951975,1,6.0,6.0
81,meteorologist,geographer,10.467398636526731,1,5.0,7.0
82,meteorologist,physicist,10.467398636526731,1,4.0,8.0
83,meteorologist,anthropologist,10.467398636526731,1,9.0,9.0
84,meteorologist,botanist,9.698614101184068,1,7.0,10.0
85,mathematician,astronomer,175730.91220906592,146,1.0,1.0
86,mathematician,philosopher,44745.599004777825,83,2.0,2.0
87,mathematician,geographer,3952.8855423992336,22,3.0,3.0
88,mathematician,physicist,3263.2322090659004,20,4.0,4.0
89,mathematician,musicologist,3066.7393254395406,15,6.0,5.0
90,mathematician,historian,2472.4291711517767,18,5.0,6.0
91,mathematician,linguist,1048.6749295197087,11,7.0,7.0
92,mathematician,chemist,271.6039566819976,5,9.0,8.0
93,mathematician,theologian,190.26739863652674,4,10.0,9.0
94,mathematician,botanist,183.67083781844278,5,8.0,10.0
95,mathematician,meteorologist,105.56073196986007,3,13.0,11.0
96,mathematician,zoologist,79.85879771466425,3,11.0,12.0
97,mathematician,anthropologist,68.44109795479008,3,12.0,13.0
98,mathematician,geologist,10.467398636526731,1,15.0,14.0
99,mathematician,economist,8.4191005860543,1,14.0,15.0
100,logician,theologian,243.74947972730533,2,1.0,1.0
101,logician,linguist,172.97498590394179,2,3.0,2.0
102,logician,philosopher,126.41664306082751,2,2.0,3.0
103,linguist,historian,1836.4152025988003,15,2.0,1.0
104,linguist,philosopher,1756.2935406330685,16,1.0,2.0
105,linguist,mathematician,1048.6749295197087,11,4.0,3.0
106,linguist,astronomer,1048.6749295197087,11,3.0,4.0
107,linguist,geographer,211.30350094828026,5,5.0,5.0
108,linguist,logician,172.97498590394179,2,11.0,6.0
109,linguist,botanist,124.83484545594342,4,6.0,7.0
110,linguist,theologian,113.5182069813932,3,7.0,8.0
111,linguist,chemist,102.66730040680527,3,8.0,9.0
112,linguist,musicologist,55.05194183880944,2,10.0,10.0
113,linguist,political scientist,42.260700189656056,1,14.0,11.0
114,linguist,physicist,31.50350094828028,2,9.0,12.0
115,linguist,zoologist,8.306745998888086,1,12.0,13.0
