,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,2677.1006643094393,26,1.0,1.0
1,zoologist,paleontologist,960.4591465001301,10,3.0,2.0
2,zoologist,geologist,763.4536054859101,14,2.0,3.0
3,zoologist,anthropologist,266.3936133879781,7,4.0,4.0
4,zoologist,anatomist,194.04986338797812,6,5.0,5.0
5,zoologist,chemist,83.67486338797814,4,6.0,6.0
6,zoologist,geographer,70.63257871454593,4,8.0,7.0
7,zoologist,historian,65.41857923497268,4,7.0,8.0
8,zoologist,physicist,32.834713683970854,3,10.0,9.0
9,zoologist,philosopher,25.172688979963567,3,9.0,10.0
10,zoologist,economist,21.11483689352542,2,11.0,11.0
11,zoologist,archeologist,19.049863387978142,2,12.0,12.0
12,zoologist,sociologist,7.905575071558678,1,15.0,13.0
13,zoologist,theologian,3.468281490822474,1,16.0,14.0
14,zoologist,astronomer,3.1057930002602125,1,14.0,15.0
15,zoologist,mathematician,2.5222136839708558,1,13.0,16.0
16,theologian,geographer,140.9899317440301,5,3.0,1.0
17,theologian,mathematician,122.16058918313018,5,2.0,2.0
18,theologian,philosopher,95.81371724814346,5,1.0,3.0
19,theologian,astronomer,88.6932284473268,4,4.0,4.0
20,theologian,economist,26.843523507457938,2,5.0,5.0
21,theologian,logician,26.189365279529213,1,13.0,6.0
22,theologian,physicist,17.304819952360933,2,6.0,7.0
23,theologian,linguist,5.18053804119378,1,9.0,8.0
24,theologian,archeologist,5.18053804119378,1,12.0,9.0
25,theologian,chemist,5.18053804119378,1,7.0,10.0
26,theologian,historian,3.8083648591845316,1,11.0,11.0
27,theologian,zoologist,3.468281490822474,1,8.0,12.0
28,theologian,geologist,3.1696008373925437,1,10.0,13.0
29,sociologist,political scientist,76.44132188394482,1,7.0,1.0
30,sociologist,economist,12.329867764293994,1,3.0,2.0
31,sociologist,astronomer,9.293334820266905,1,6.0,3.0
32,sociologist,zoologist,7.905575071558678,1,2.0,4.0
33,sociologist,physicist,7.905575071558678,1,5.0,5.0
34,sociologist,mathematician,7.905575071558678,1,4.0,6.0
35,sociologist,philosopher,5.970361696591204,1,1.0,7.0
36,political scientist,sociologist,76.44132188394482,1,2.0,1.0
37,political scientist,economist,47.92912733896341,1,1.0,2.0
38,physicist,mathematician,1510.5847136839704,19,1.0,1.0
39,physicist,astronomer,470.38257871454584,10,2.0,2.0
40,physicist,chemist,445.3936133879781,9,3.0,3.0
41,physicist,philosopher,111.81643897996355,6,4.0,4.0
42,physicist,botanist,56.83595842708668,4,5.0,5.0
43,physicist,zoologist,32.834713683970854,3,6.0,6.0
44,physicist,geologist,30.57860548591021,3,7.0,7.0
45,physicist,anatomist,19.049863387978142,2,8.0,8.0
46,physicist,theologian,17.304819952360933,2,10.0,9.0
47,physicist,geographer,15.811150143117356,2,9.0,10.0
48,physicist,musicologist,9.524931693989071,1,16.0,11.0
49,physicist,sociologist,7.905575071558678,1,14.0,12.0
50,physicist,meteorologist,6.694700591985428,1,15.0,13.0
51,physicist,linguist,3.8936133879781423,1,11.0,14.0
52,physicist,archeologist,3.8936133879781423,1,13.0,15.0
53,physicist,historian,2.793579234972677,1,12.0,16.0
54,philosopher,mathematician,554.1726889799636,13,1.0,1.0
55,philosopher,astronomer,129.42643767889672,6,3.0,2.0
56,philosopher,physicist,111.81643897996355,6,2.0,3.0
57,philosopher,theologian,95.81371724814346,5,4.0,4.0
58,philosopher,economist,72.05490975327041,4,6.0,5.0
59,philosopher,historian,50.833224043715845,4,7.0,6.0
60,philosopher,botanist,43.980242151505415,4,5.0,7.0
61,philosopher,anatomist,35.393579234972684,3,9.0,8.0
62,philosopher,zoologist,25.172688979963567,3,8.0,9.0
63,philosopher,logician,16.35464480874317,1,18.0,10.0
64,philosopher,archeologist,14.518579234972679,2,13.0,11.0
65,philosopher,chemist,14.518579234972679,2,10.0,12.0
66,philosopher,anthropologist,14.518579234972679,2,11.0,13.0
67,philosopher,geographer,11.940723393182408,2,14.0,14.0
68,philosopher,geologist,9.227300975034824,2,12.0,15.0
69,philosopher,musicologist,7.259289617486339,1,20.0,16.0
70,philosopher,sociologist,5.970361696591204,1,17.0,17.0
71,philosopher,paleontologist,5.970361696591204,1,16.0,18.0
72,philosopher,meteorologist,5.0082194899817845,1,19.0,19.0
73,philosopher,linguist,2.793579234972677,1,15.0,20.0
74,pharmacologist,chemist,43.771857923497265,1,1.0,1.0
75,pharmacologist,botanist,30.325083038679953,1,2.0,2.0
76,paleontologist,zoologist,960.4591465001301,10,1.0,1.0
77,paleontologist,geologist,438.2260259294975,7,2.0,2.0
78,paleontologist,botanist,320.2764460975647,6,3.0,3.0
79,paleontologist,anatomist,48.36221701795472,2,5.0,4.0
80,paleontologist,anthropologist,48.36221701795472,2,4.0,5.0
81,paleontologist,archeologist,11.147931303669008,1,7.0,6.0
82,paleontologist,philosopher,5.970361696591204,1,6.0,7.0
83,musicologist,historian,187.28196721311477,4,1.0,1.0
84,musicologist,linguist,13.315573770491802,1,3.0,2.0
85,musicologist,anthropologist,13.315573770491802,1,4.0,3.0
86,musicologist,physicist,9.524931693989071,1,6.0,4.0
87,musicologist,mathematician,9.524931693989071,1,5.0,5.0
88,musicologist,philosopher,7.259289617486339,1,2.0,6.0
89,meteorologist,astronomer,35.316289357272964,2,2.0,1.0
90,meteorologist,geologist,28.41797921354334,2,1.0,2.0
91,meteorologist,chemist,9.524931693989071,1,3.0,3.0
92,meteorologist,geographer,7.905575071558678,1,8.0,4.0
93,meteorologist,physicist,6.694700591985428,1,7.0,5.0
94,meteorologist,mathematician,6.694700591985428,1,6.0,6.0
95,meteorologist,botanist,6.197390978249223,1,5.0,7.0
96,meteorologist,philosopher,5.0082194899817845,1,4.0,8.0
97,mathematician,astronomer,9402.061150143116,44,1.0,1.0
98,mathematician,physicist,1510.5847136839704,19,2.0,2.0
99,mathematician,philosopher,554.1726889799636,13,3.0,3.0
100,mathematician,geographer,470.38257871454584,10,4.0,4.0
101,mathematician,linguist,133.14361338797815,5,5.0,5.0
102,mathematician,theologian,122.16058918313018,5,7.0,6.0
103,mathematician,historian,104.59357923497267,5,6.0,7.0
104,mathematician,economist,50.30801871170725,3,8.0,8.0
105,mathematician,logician,20.918715846994534,1,14.0,9.0
106,mathematician,botanist,12.394781956498447,2,9.0,10.0
107,mathematician,musicologist,9.524931693989071,1,16.0,11.0
108,mathematician,sociologist,7.905575071558678,1,13.0,12.0
109,mathematician,meteorologist,6.694700591985428,1,15.0,13.0
110,mathematician,anatomist,3.8936133879781423,1,11.0,14.0
111,mathematician,zoologist,2.5222136839708558,1,10.0,15.0
112,mathematician,geologist,2.284487838851388,1,12.0,16.0
113,logician,theologian,26.189365279529213,1,3.0,1.0
114,logician,mathematician,20.918715846994534,1,2.0,2.0
115,logician,philosopher,16.35464480874317,1,1.0,3.0
116,linguist,historian,716.2639344262295,11,1.0,1.0
117,linguist,anthropologist,599.7561475409835,9,2.0,2.0
118,linguist,archeologist,180.7561475409836,5,4.0,3.0
119,linguist,mathematician,133.14361338797815,5,3.0,4.0
120,linguist,geographer,96.72443403590944,4,5.0,5.0
121,linguist,astronomer,52.97443403590944,3,6.0,6.0
122,linguist,botanist,17.71520411443266,2,7.0,7.0
123,linguist,geologist,17.71520411443266,2,8.0,8.0
124,linguist,musicologist,13.315573770491802,1,12.0,9.0
125,linguist,theologian,5.18053804119378,1,11.0,10.0
126,linguist,physicist,3.8936133879781423,1,10.0,11.0
127,linguist,philosopher,2.793579234972677,1,9.0,12.0
128,historian,archeologist,5430.163934426229,30,1.0,1.0
129,historian,anthropologist,854.5639344262296,12,2.0,2.0
130,historian,linguist,716.2639344262295,11,3.0,3.0
131,historian,geographer,610.848399687744,11,4.0,4.0
132,historian,economist,227.71390958768012,6,6.0,5.0
133,historian,musicologist,187.28196721311477,4,10.0,6.0
134,historian,botanist,143.2440051430408,6,5.0,7.0
135,historian,mathematician,104.59357923497267,5,7.0,8.0
136,historian,zoologist,65.41857923497268,4,9.0,9.0
137,historian,philosopher,50.833224043715845,4,8.0,10.0
138,historian,geologist,32.98518161362906,3,11.0,11.0
139,historian,anatomist,20.56393442622951,2,12.0,12.0
140,historian,theologian,3.8083648591845316,1,15.0,13.0
141,historian,astronomer,3.419828259172522,1,14.0,14.0
142,historian,physicist,2.793579234972677,1,13.0,15.0
143,geologist,zoologist,763.4536054859101,14,1.0,1.0
144,geologist,botanist,616.3462508114786,13,2.0,2.0
145,geologist,paleontologist,438.2260259294975,7,3.0,3.0
146,geologist,chemist,181.9504982320797,6,4.0,4.0
147,geologist,geographer,105.55289219512943,5,5.0,5.0
148,geologist,anthropologist,78.30343940855029,4,6.0,6.0
149,geologist,anatomist,42.626968820315,3,7.0,7.0
150,geologist,astronomer,35.73776614470925,3,9.0,8.0
151,geologist,historian,32.98518161362906,3,10.0,9.0
152,geologist,physicist,30.57860548591021,3,8.0,10.0
153,geologist,meteorologist,28.41797921354334,2,14.0,11.0
154,geologist,linguist,17.71520411443266,2,12.0,12.0
155,geologist,archeologist,17.71520411443266,2,13.0,13.0
156,geologist,philosopher,9.227300975034824,2,11.0,14.0
157,geologist,economist,4.041967407926906,1,15.0,15.0
158,geologist,theologian,3.1696008373925437,1,17.0,16.0
159,geologist,mathematician,2.284487838851388,1,16.0,17.0
160,geographer,historian,610.848399687744,11,1.0,1.0
161,geographer,mathematician,470.38257871454584,10,2.0,2.0
162,geographer,astronomer,435.94381249767673,9,3.0,3.0
163,geographer,theologian,140.9899317440301,5,5.0,4.0
164,geographer,geologist,105.55289219512943,5,4.0,5.0
165,geographer,linguist,96.72443403590944,4,7.0,6.0
166,geographer,anatomist,96.72443403590944,4,8.0,7.0
167,geographer,zoologist,70.63257871454593,4,6.0,8.0
168,geographer,anthropologist,52.97443403590944,3,9.0,9.0
169,geographer,physicist,15.811150143117356,2,12.0,10.0
170,geographer,botanist,14.670539253952946,2,11.0,11.0
171,geographer,philosopher,11.940723393182408,2,10.0,12.0
172,geographer,meteorologist,7.905575071558678,1,14.0,13.0
173,geographer,economist,5.270125138977598,1,13.0,14.0
174,economist,historian,227.71390958768012,6,2.0,1.0
175,economist,botanist,199.5499887983012,6,1.0,2.0
176,economist,philosopher,72.05490975327041,4,3.0,3.0
177,economist,mathematician,50.30801871170725,3,4.0,4.0
178,economist,political scientist,47.92912733896341,1,11.0,5.0
179,economist,theologian,26.843523507457938,2,6.0,6.0
180,economist,zoologist,21.11483689352542,2,5.0,7.0
181,economist,sociologist,12.329867764293994,1,10.0,8.0
182,economist,chemist,6.438400397416791,1,7.0,9.0
183,economist,geographer,5.270125138977598,1,9.0,10.0
184,economist,geologist,4.041967407926906,1,8.0,11.0
185,chemist,physicist,445.3936133879781,9,1.0,1.0
186,chemist,botanist,181.9504982320797,6,2.0,2.0
187,chemist,geologist,181.9504982320797,6,3.0,3.0
188,chemist,zoologist,83.67486338797814,4,4.0,4.0
189,chemist,pharmacologist,43.771857923497265,1,12.0,5.0
190,chemist,anatomist,26.631147540983605,2,6.0,6.0
191,chemist,philosopher,14.518579234972679,2,5.0,7.0
192,chemist,meteorologist,9.524931693989071,1,11.0,8.0
193,chemist,economist,6.438400397416791,1,7.0,9.0
194,chemist,archeologist,5.756147540983606,1,9.0,10.0
195,chemist,anthropologist,5.756147540983606,1,8.0,11.0
196,chemist,theologian,5.18053804119378,1,10.0,12.0
197,botanist,zoologist,2677.1006643094393,26,1.0,1.0
198,botanist,geologist,616.3462508114786,13,2.0,2.0
199,botanist,paleontologist,320.2764460975647,6,5.0,3.0
200,botanist,economist,199.5499887983012,6,4.0,4.0
201,botanist,chemist,181.9504982320797,6,3.0,5.0
202,botanist,historian,143.2440051430408,6,6.0,6.0
203,botanist,physicist,56.83595842708668,4,8.0,7.0
204,botanist,philosopher,43.980242151505415,4,7.0,8.0
205,botanist,archeologist,42.626968820315,3,12.0,9.0
206,botanist,anatomist,42.626968820315,3,10.0,10.0
207,botanist,anthropologist,42.626968820315,3,9.0,11.0
208,botanist,astronomer,35.73776614470925,3,11.0,12.0
209,botanist,pharmacologist,30.325083038679953,1,17.0,13.0
210,botanist,linguist,17.71520411443266,2,13.0,14.0
211,botanist,geographer,14.670539253952946,2,15.0,15.0
212,botanist,mathematician,12.394781956498447,2,14.0,16.0
213,botanist,meteorologist,6.197390978249223,1,16.0,17.0
214,astronomer,mathematician,9402.061150143116,44,1.0,1.0
215,astronomer,physicist,470.38257871454584,10,2.0,2.0
