,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,historian,37.06714285714286,3,1.0,1.0
1,zoologist,geographer,21.554325396825398,2,3.0,2.0
2,zoologist,botanist,19.03214285714286,2,2.0,3.0
3,zoologist,linguist,16.97172077922078,2,4.0,4.0
4,zoologist,chemist,6.285765306122448,1,6.0,5.0
5,zoologist,mathematician,3.3873051948051947,1,5.0,6.0
6,zoologist,philosopher,1.8514285714285712,1,7.0,7.0
7,theologian,astronomer,45.603571428571435,3,1.0,1.0
8,theologian,archeologist,26.60642857142857,1,7.0,2.0
9,theologian,philosopher,26.422857142857136,3,2.0,3.0
10,theologian,logician,17.10011904761905,1,6.0,4.0
11,theologian,botanist,3.8892857142857142,1,4.0,5.0
12,theologian,mathematician,3.3873051948051947,1,5.0,6.0
13,theologian,historian,2.9719047619047623,1,3.0,7.0
14,sociologist,political scientist,38.025,1,5.0,1.0
15,sociologist,anthropologist,18.049999999999997,1,3.0,2.0
16,sociologist,economist,18.049999999999997,1,4.0,3.0
17,sociologist,historian,4.816666666666666,1,1.0,4.0
18,sociologist,philosopher,3.2000000000000006,1,2.0,5.0
19,political scientist,sociologist,38.025,1,2.0,1.0
20,political scientist,philosopher,10.58,1,1.0,2.0
21,physicist,astronomer,19.03214285714286,2,1.0,1.0
22,physicist,philosopher,10.565714285714284,2,2.0,2.0
23,physicist,musicologist,9.51607142857143,1,7.0,3.0
24,physicist,chemist,6.285765306122448,1,6.0,4.0
25,physicist,geographer,4.5067063492063495,1,3.0,5.0
26,physicist,linguist,3.3873051948051947,1,5.0,6.0
27,physicist,mathematician,3.3873051948051947,1,4.0,7.0
28,philosopher,astronomer,774.4000000000001,18,1.0,1.0
29,philosopher,mathematician,303.71272727272725,12,2.0,2.0
30,philosopher,theologian,26.422857142857136,3,5.0,3.0
31,philosopher,historian,25.813333333333333,4,3.0,4.0
32,philosopher,anatomist,23.04,1,16.0,5.0
33,philosopher,geographer,19.360000000000003,3,4.0,6.0
34,philosopher,musicologist,16.2,2,8.0,7.0
35,philosopher,political scientist,10.58,1,15.0,8.0
36,philosopher,physicist,10.565714285714284,2,7.0,9.0
37,philosopher,logician,6.453333333333333,1,11.0,10.0
38,philosopher,linguist,5.530909090909091,2,6.0,11.0
39,philosopher,anthropologist,4.409999999999999,1,12.0,12.0
40,philosopher,economist,4.409999999999999,1,13.0,13.0
41,philosopher,sociologist,3.2000000000000006,1,14.0,14.0
42,philosopher,zoologist,1.8514285714285712,1,10.0,15.0
43,philosopher,botanist,0.8999999999999999,1,9.0,16.0
44,pharmacologist,botanist,38.025,1,1.0,1.0
45,musicologist,philosopher,16.2,2,1.0,1.0
46,musicologist,physicist,9.51607142857143,1,5.0,2.0
47,musicologist,astronomer,6.125,1,2.0,3.0
48,musicologist,linguist,5.410227272727273,1,4.0,4.0
49,musicologist,mathematician,5.410227272727273,1,3.0,5.0
50,mathematician,astronomer,4904.456818181818,37,1.0,1.0
51,mathematician,philosopher,303.71272727272725,12,2.0,2.0
52,mathematician,historian,97.42090909090908,6,3.0,3.0
53,mathematician,geographer,91.25760101010103,5,4.0,4.0
54,mathematician,linguist,24.054566115702475,3,5.0,5.0
55,mathematician,chemist,16.97172077922078,2,6.0,6.0
56,mathematician,musicologist,5.410227272727273,1,9.0,7.0
57,mathematician,zoologist,3.3873051948051947,1,11.0,8.0
58,mathematician,physicist,3.3873051948051947,1,8.0,9.0
59,mathematician,theologian,3.3873051948051947,1,10.0,10.0
60,mathematician,botanist,1.9113636363636362,1,7.0,11.0
61,logician,linguist,103.17340909090908,3,1.0,1.0
62,logician,theologian,17.10011904761905,1,3.0,2.0
63,logician,philosopher,6.453333333333333,1,2.0,3.0
64,linguist,logician,103.17340909090908,3,5.0,1.0
65,linguist,astronomer,50.456818181818186,4,1.0,2.0
66,linguist,chemist,40.94574675324676,3,4.0,3.0
67,linguist,mathematician,24.054566115702475,3,3.0,4.0
68,linguist,historian,21.60272727272727,3,2.0,5.0
69,linguist,zoologist,16.97172077922078,2,9.0,6.0
70,linguist,geographer,12.409116161616161,2,7.0,7.0
71,linguist,botanist,10.820454545454545,2,6.0,8.0
72,linguist,philosopher,5.530909090909091,2,8.0,9.0
73,linguist,musicologist,5.410227272727273,1,11.0,10.0
74,linguist,physicist,3.3873051948051947,1,10.0,11.0
