,source,target,specificity,weight,rank_count,rank_specificity
0,theologian,astronomer,3.2000000000000006,1,1.0,1.0
1,theologian,philosopher,3.2000000000000006,1,2.0,2.0
2,physicist,mathematician,20.59285714285714,3,1.0,1.0
3,physicist,astronomer,6.400000000000001,2,2.0,2.0
4,physicist,philosopher,6.400000000000001,2,3.0,3.0
5,physicist,geographer,1.7857142857142858,1,4.0,4.0
6,philosopher,astronomer,26.414285714285715,5,1.0,1.0
7,philosopher,mathematician,19.266666666666666,4,2.0,2.0
8,philosopher,physicist,6.400000000000001,2,3.0,3.0
9,philosopher,anatomist,3.2000000000000006,1,5.0,4.0
10,philosopher,theologian,3.2000000000000006,1,7.0,5.0
11,philosopher,meteorologist,1.633333333333333,1,6.0,6.0
12,philosopher,geographer,0.5,1,4.0,7.0
13,meteorologist,mathematician,2.1460317460317464,1,3.0,1.0
14,meteorologist,astronomer,1.633333333333333,1,1.0,2.0
15,meteorologist,philosopher,1.633333333333333,1,2.0,3.0
16,mathematician,physicist,20.59285714285714,3,3.0,1.0
17,mathematician,astronomer,19.266666666666666,4,1.0,2.0
18,mathematician,philosopher,19.266666666666666,4,2.0,3.0
19,mathematician,geographer,5.761904761904762,2,4.0,4.0
20,mathematician,historian,4.004761904761904,1,6.0,5.0
21,mathematician,meteorologist,2.1460317460317464,1,5.0,6.0
22,linguist,astronomer,8.1,1,1.0,1.0
23,historian,geographer,5.142857142857144,1,1.0,1.0
24,historian,mathematician,4.004761904761904,1,2.0,2.0
25,geographer,mathematician,5.761904761904762,2,1.0,1.0
26,geographer,historian,5.142857142857144,1,5.0,2.0
27,geographer,physicist,1.7857142857142858,1,4.0,3.0
28,geographer,astronomer,0.5,1,2.0,4.0
29,geographer,philosopher,0.5,1,3.0,5.0
30,botanist,anatomist,33.02857142857143,1,1.0,1.0
31,astronomer,philosopher,26.414285714285715,5,1.0,1.0
32,astronomer,mathematician,19.266666666666666,4,2.0,2.0
33,astronomer,linguist,8.1,1,5.0,3.0
34,astronomer,physicist,6.400000000000001,2,3.0,4.0
35,astronomer,theologian,3.2000000000000006,1,7.0,5.0
36,astronomer,meteorologist,1.633333333333333,1,6.0,6.0
37,astronomer,geographer,0.5,1,4.0,7.0
38,anatomist,botanist,33.02857142857143,1,2.0,1.0
39,anatomist,philosopher,3.2000000000000006,1,1.0,2.0
