,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,303.4877450980392,7,1.0,1.0
1,zoologist,philosopher,15.297278121775026,2,2.0,2.0
2,zoologist,musicologist,13.177287581699346,1,8.0,3.0
3,zoologist,anatomist,7.176960784313725,1,9.0,4.0
4,zoologist,theologian,5.687908496732026,1,3.0,5.0
5,zoologist,astronomer,5.117741327300152,1,5.0,6.0
6,zoologist,physicist,4.6306022408963585,1,7.0,7.0
7,zoologist,geographer,3.8431372549019605,1,4.0,8.0
8,zoologist,mathematician,3.2355664488017433,1,6.0,9.0
9,theologian,philosopher,7481.332043343653,46,1.0,1.0
10,theologian,historian,2457.1764705882356,21,2.0,2.0
11,theologian,mathematician,358.04248366013064,10,3.0,3.0
12,theologian,physicist,295.06302521008405,8,4.0,4.0
13,theologian,linguist,128.11764705882354,4,5.0,5.0
14,theologian,logician,86.71078431372547,2,8.0,6.0
15,theologian,astronomer,41.268099547511305,3,6.0,7.0
16,theologian,botanist,15.634453781512606,2,7.0,8.0
17,theologian,musicologist,9.421568627450979,1,12.0,9.0
18,theologian,economist,6.617647058823529,1,11.0,10.0
19,theologian,zoologist,5.687908496732026,1,10.0,11.0
20,theologian,geographer,2.485294117647059,1,9.0,12.0
21,sociologist,anthropologist,25.236764705882354,1,6.0,1.0
22,sociologist,philosopher,24.771284829721363,2,1.0,2.0
23,sociologist,economist,15.058823529411764,1,5.0,3.0
24,sociologist,historian,9.421568627450979,1,3.0,4.0
25,sociologist,geographer,6.617647058823529,1,2.0,5.0
26,sociologist,mathematician,5.687908496732026,1,4.0,6.0
27,political scientist,economist,23.53921568627451,1,4.0,1.0
28,political scientist,historian,15.058823529411764,1,2.0,2.0
29,political scientist,mathematician,9.421568627450979,1,3.0,3.0
30,political scientist,philosopher,8.829979360165119,1,1.0,4.0
31,physicist,mathematician,1013.4516806722688,18,1.0,1.0
32,physicist,philosopher,660.5515443019312,15,2.0,2.0
33,physicist,astronomer,345.38787438052145,9,3.0,3.0
34,physicist,theologian,295.06302521008405,8,4.0,4.0
35,physicist,chemist,232.9600840336135,5,5.0,5.0
36,physicist,anatomist,85.42871148459385,4,6.0,6.0
37,physicist,meteorologist,34.96008403361344,2,9.0,7.0
38,physicist,musicologist,34.96008403361344,2,8.0,8.0
39,physicist,epidemiologist,27.17717086834734,1,13.0,9.0
40,physicist,botanist,12.893257302921167,2,7.0,10.0
41,physicist,geologist,4.6306022408963585,1,14.0,11.0
42,physicist,zoologist,4.6306022408963585,1,12.0,12.0
43,physicist,historian,3.063025210084034,1,11.0,13.0
44,physicist,geographer,1.9173669467787111,1,10.0,14.0
45,philosopher,theologian,7481.332043343653,46,1.0,1.0
46,philosopher,mathematician,1111.2261351909185,22,2.0,2.0
47,philosopher,physicist,660.5515443019312,15,3.0,3.0
48,philosopher,historian,579.1215170278638,13,4.0,4.0
49,philosopher,astronomer,195.7358944589982,8,5.0,5.0
50,philosopher,economist,124.39680082559339,5,7.0,6.0
51,philosopher,linguist,124.39680082559339,5,6.0,7.0
52,philosopher,anatomist,60.94863261093911,4,8.0,8.0
53,philosopher,musicologist,58.56075851393189,3,10.0,9.0
54,philosopher,sociologist,24.771284829721363,2,13.0,10.0
55,philosopher,geographer,18.530443756449948,3,9.0,11.0
56,philosopher,zoologist,15.297278121775026,2,12.0,12.0
57,philosopher,logician,12.385642414860682,1,19.0,13.0
58,philosopher,political scientist,8.829979360165119,1,18.0,14.0
59,philosopher,botanist,8.596657083886186,2,11.0,15.0
60,philosopher,anthropologist,6.705895252837977,1,15.0,16.0
61,philosopher,chemist,5.297600619195047,1,14.0,17.0
62,philosopher,meteorologist,5.297600619195047,1,17.0,18.0
63,philosopher,geologist,2.981488648090815,1,16.0,19.0
64,pharmacologist,botanist,56.302871148459374,1,1.0,1.0
65,paleontologist,botanist,56.302871148459374,1,1.0,1.0
66,musicologist,mathematician,113.02124183006535,4,1.0,1.0
67,musicologist,philosopher,58.56075851393189,3,2.0,2.0
68,musicologist,physicist,34.96008403361344,2,3.0,3.0
69,musicologist,zoologist,13.177287581699346,1,6.0,4.0
70,musicologist,theologian,9.421568627450979,1,4.0,5.0
71,musicologist,astronomer,8.55712669683258,1,5.0,6.0
72,meteorologist,physicist,34.96008403361344,2,1.0,1.0
73,meteorologist,geologist,13.177287581699346,1,6.0,2.0
74,meteorologist,astronomer,8.55712669683258,1,4.0,3.0
75,meteorologist,geographer,6.617647058823529,1,2.0,4.0
76,meteorologist,mathematician,5.687908496732026,1,5.0,5.0
77,meteorologist,philosopher,5.297600619195047,1,3.0,6.0
78,mathematician,astronomer,4959.773944193062,38,1.0,1.0
79,mathematician,philosopher,1111.2261351909185,22,2.0,2.0
80,mathematician,physicist,1013.4516806722688,18,3.0,3.0
81,mathematician,geographer,384.35294117647055,12,4.0,4.0
82,mathematician,theologian,358.04248366013064,10,5.0,5.0
83,mathematician,musicologist,113.02124183006535,4,7.0,6.0
84,mathematician,linguist,82.84313725490196,4,6.0,7.0
85,mathematician,economist,45.1764705882353,3,9.0,8.0
86,mathematician,anatomist,35.02058823529411,3,10.0,9.0
87,mathematician,historian,28.264705882352942,3,8.0,10.0
88,mathematician,epidemiologist,20.71078431372549,1,15.0,11.0
89,mathematician,geologist,16.346677559912855,2,11.0,12.0
90,mathematician,political scientist,9.421568627450979,1,17.0,13.0
91,mathematician,meteorologist,5.687908496732026,1,16.0,14.0
92,mathematician,sociologist,5.687908496732026,1,18.0,15.0
93,mathematician,zoologist,3.2355664488017433,1,13.0,16.0
94,mathematician,archeologist,2.753921568627451,1,14.0,17.0
95,mathematician,botanist,1.5469187675070026,1,12.0,18.0
96,logician,theologian,86.71078431372547,2,1.0,1.0
