,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,195.33016074450083,5,1.0,1.0
1,zoologist,historian,31.181154822335028,3,2.0,2.0
2,zoologist,paleontologist,22.66560913705584,1,8.0,3.0
3,zoologist,geographer,5.177846265409717,1,7.0,4.0
4,zoologist,physicist,3.1280456852791882,1,4.0,5.0
5,zoologist,philosopher,3.1280456852791882,1,6.0,6.0
6,zoologist,theologian,2.0524209293244824,1,3.0,7.0
7,zoologist,mathematician,2.0524209293244824,1,5.0,8.0
8,theologian,mathematician,100.66562040068483,7,1.0,1.0
9,theologian,philosopher,97.43764154627097,6,2.0,2.0
10,theologian,physicist,40.82225693088637,4,3.0,3.0
11,theologian,historian,32.80619549655083,4,4.0,4.0
12,theologian,anthropologist,28.34068723155017,1,11.0,5.0
13,theologian,botanist,16.403097748275414,2,6.0,6.0
14,theologian,geologist,13.219836001561891,1,12.0,7.0
15,theologian,chemist,8.201548874137707,1,8.0,8.0
16,theologian,astronomer,6.4985031888585185,2,5.0,9.0
17,theologian,musicologist,3.2492515944292593,1,7.0,10.0
18,theologian,geographer,2.560634796675406,1,10.0,11.0
19,theologian,linguist,2.560634796675406,1,13.0,12.0
20,theologian,zoologist,2.0524209293244824,1,9.0,13.0
21,physicist,mathematician,97.43764154627097,6,1.0,1.0
22,physicist,astronomer,44.837901861252114,4,3.0,2.0
23,physicist,theologian,40.82225693088637,4,2.0,3.0
24,physicist,philosopher,29.713807106598985,3,4.0,4.0
25,physicist,chemist,11.209475465313028,1,5.0,5.0
26,physicist,economist,7.951522842639595,1,9.0,6.0
27,physicist,geographer,3.806236403190718,1,8.0,7.0
28,physicist,linguist,3.806236403190718,1,10.0,8.0
29,physicist,zoologist,3.1280456852791882,1,6.0,9.0
30,physicist,historian,1.587901861252115,1,7.0,10.0
31,philosopher,mathematician,652.2530261616557,15,1.0,1.0
32,philosopher,astronomer,248.25456852791874,9,2.0,2.0
33,philosopher,theologian,97.43764154627097,6,3.0,3.0
34,philosopher,geographer,44.83480783176215,3,6.0,4.0
35,philosopher,physicist,29.713807106598985,3,4.0,5.0
36,philosopher,historian,23.85456852791878,3,5.0,6.0
37,philosopher,linguist,18.691950688905003,2,7.0,7.0
38,philosopher,economist,7.951522842639595,1,10.0,8.0
39,philosopher,musicologist,4.7189509306260575,1,8.0,9.0
40,philosopher,zoologist,3.1280456852791882,1,9.0,10.0
41,paleontologist,botanist,30.86379018612521,1,1.0,1.0
42,paleontologist,zoologist,22.66560913705584,1,2.0,2.0
43,musicologist,linguist,7.487551365723955,1,6.0,1.0
44,musicologist,philosopher,4.7189509306260575,1,4.0,2.0
45,musicologist,astronomer,3.654963338973492,1,2.0,3.0
46,musicologist,historian,3.654963338973492,1,5.0,4.0
47,musicologist,theologian,3.2492515944292593,1,1.0,5.0
48,musicologist,mathematician,3.2492515944292593,1,3.0,6.0
49,meteorologist,historian,14.477580372250424,1,2.0,1.0
50,meteorologist,mathematician,13.219836001561891,1,1.0,2.0
51,mathematician,astronomer,3961.4215801119344,40,1.0,1.0
52,mathematician,philosopher,652.2530261616557,15,2.0,2.0
53,mathematician,geographer,144.09909633513692,6,6.0,3.0
54,mathematician,historian,110.15234934270467,7,4.0,4.0
55,mathematician,theologian,100.66562040068483,7,3.0,5.0
56,mathematician,physicist,97.43764154627097,6,5.0,6.0
57,mathematician,linguist,33.197997434038044,3,7.0,7.0
58,mathematician,botanist,16.403097748275414,2,8.0,8.0
59,mathematician,anatomist,13.219836001561891,1,12.0,9.0
60,mathematician,meteorologist,13.219836001561891,1,13.0,10.0
61,mathematician,economist,5.708902772354549,1,11.0,11.0
62,mathematician,musicologist,3.2492515944292593,1,9.0,12.0
63,mathematician,zoologist,2.0524209293244824,1,10.0,13.0
64,linguist,mathematician,33.197997434038044,3,1.0,1.0
65,linguist,philosopher,18.691950688905003,2,3.0,2.0
66,linguist,astronomer,14.97510273144791,2,2.0,3.0
67,linguist,musicologist,7.487551365723955,1,4.0,4.0
68,linguist,physicist,3.806236403190718,1,6.0,5.0
69,linguist,historian,2.9036741600193383,1,7.0,6.0
70,linguist,theologian,2.560634796675406,1,5.0,7.0
71,historian,geographer,362.14176939811455,9,1.0,1.0
72,historian,mathematician,110.15234934270467,7,2.0,2.0
73,historian,astronomer,58.76826001128031,5,3.0,3.0
74,historian,theologian,32.80619549655083,4,4.0,4.0
75,historian,zoologist,31.181154822335028,3,5.0,5.0
76,historian,philosopher,23.85456852791878,3,6.0,6.0
77,historian,botanist,18.071630005640156,2,7.0,7.0
78,historian,geologist,14.477580372250424,1,10.0,8.0
79,historian,meteorologist,14.477580372250424,1,12.0,9.0
80,historian,musicologist,3.654963338973492,1,8.0,10.0
81,historian,linguist,2.9036741600193383,1,11.0,11.0
82,historian,physicist,1.587901861252115,1,9.0,12.0
83,geologist,historian,14.477580372250424,1,2.0,1.0
84,geologist,theologian,13.219836001561891,1,1.0,2.0
85,geographer,astronomer,362.14176939811455,9,1.0,1.0
86,geographer,historian,362.14176939811455,9,2.0,2.0
87,geographer,mathematician,144.09909633513692,6,3.0,3.0
88,geographer,philosopher,44.83480783176215,3,4.0,4.0
89,geographer,zoologist,5.177846265409717,1,7.0,5.0
90,geographer,physicist,3.806236403190718,1,6.0,6.0
91,geographer,theologian,2.560634796675406,1,5.0,7.0
92,economist,physicist,7.951522842639595,1,1.0,1.0
93,economist,philosopher,7.951522842639595,1,4.0,2.0
94,economist,astronomer,6.330160744500845,1,2.0,3.0
95,economist,mathematician,5.708902772354549,1,3.0,4.0
96,chemist,physicist,11.209475465313028,1,2.0,1.0
97,chemist,astronomer,9.035815002820078,1,3.0,2.0
98,chemist,theologian,8.201548874137707,1,1.0,3.0
99,botanist,zoologist,195.33016074450083,5,1.0,1.0
100,botanist,paleontologist,30.86379018612521,1,6.0,2.0
101,botanist,historian,18.071630005640156,2,4.0,3.0
102,botanist,theologian,16.403097748275414,2,2.0,4.0
103,botanist,mathematician,16.403097748275414,2,3.0,5.0
104,botanist,astronomer,3.654963338973492,1,5.0,6.0
105,astronomer,mathematician,3961.4215801119344,40,1.0,1.0
106,astronomer,geographer,362.14176939811455,9,3.0,2.0
107,astronomer,philosopher,248.25456852791874,9,2.0,3.0
108,astronomer,historian,58.76826001128031,5,4.0,4.0
109,astronomer,physicist,44.837901861252114,4,5.0,5.0
110,astronomer,linguist,14.97510273144791,2,7.0,6.0
111,astronomer,anatomist,14.477580372250424,1,12.0,7.0
112,astronomer,chemist,9.035815002820078,1,9.0,8.0
113,astronomer,theologian,6.4985031888585185,2,6.0,9.0
114,astronomer,economist,6.330160744500845,1,11.0,10.0
115,astronomer,botanist,3.654963338973492,1,10.0,11.0
116,astronomer,musicologist,3.654963338973492,1,8.0,12.0
117,anthropologist,theologian,28.34068723155017,1,1.0,1.0
118,anatomist,astronomer,14.477580372250424,1,1.0,1.0
119,anatomist,mathematician,13.219836001561891,1,2.0,2.0
