,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,philosopher,9.763696369636964,2,3.0,1.0
1,zoologist,botanist,9.763696369636964,2,5.0,2.0
2,zoologist,geographer,8.75255140898705,2,1.0,3.0
3,zoologist,astronomer,8.75255140898705,2,2.0,4.0
4,zoologist,mathematician,7.889391796322491,2,4.0,5.0
5,zoologist,geologist,2.2875247524752473,1,10.0,6.0
6,zoologist,economist,2.2875247524752473,1,7.0,7.0
7,zoologist,meteorologist,2.2875247524752473,1,6.0,8.0
8,zoologist,physicist,1.9450045004500447,1,9.0,9.0
9,zoologist,anthropologist,1.9450045004500447,1,8.0,10.0
10,theologian,mathematician,26.891796322489387,1,1.0,1.0
11,physicist,astronomer,7.6546596967389045,2,1.0,1.0
12,physicist,mathematician,6.874694612318375,2,2.0,2.0
13,physicist,historian,2.325857585758576,1,3.0,3.0
14,physicist,zoologist,1.9450045004500447,1,10.0,4.0
15,physicist,geologist,1.9450045004500447,1,11.0,5.0
16,physicist,economist,1.9450045004500447,1,7.0,6.0
17,physicist,meteorologist,1.9450045004500447,1,5.0,7.0
18,physicist,anthropologist,1.6383479257016609,1,8.0,8.0
19,physicist,philosopher,1.387338733873387,1,6.0,9.0
20,physicist,botanist,1.387338733873387,1,9.0,10.0
21,physicist,geographer,1.1791352212144293,1,4.0,11.0
22,philosopher,astronomer,291.7451129728358,11,1.0,1.0
23,philosopher,mathematician,220.8920320603489,10,2.0,2.0
24,philosopher,historian,122.93399339933993,6,3.0,3.0
25,philosopher,geographer,55.12972835745112,5,4.0,4.0
26,philosopher,zoologist,9.763696369636964,2,8.0,5.0
27,philosopher,meteorologist,9.763696369636964,2,5.0,6.0
28,philosopher,anthropologist,8.569156915691568,2,6.0,7.0
29,philosopher,botanist,7.57865786578658,2,7.0,8.0
30,philosopher,linguist,3.017444601603018,1,12.0,9.0
31,philosopher,geologist,1.6636963696369635,1,11.0,10.0
32,philosopher,economist,1.6636963696369635,1,9.0,11.0
33,philosopher,physicist,1.387338733873387,1,10.0,12.0
34,musicologist,astronomer,37.53243208936278,2,1.0,1.0
35,musicologist,mathematician,34.58015087223008,2,2.0,2.0
36,musicologist,linguist,17.29007543611504,1,3.0,3.0
37,meteorologist,mathematician,20.317963224893923,3,1.0,1.0
38,meteorologist,philosopher,9.763696369636964,2,3.0,2.0
39,meteorologist,astronomer,8.75255140898705,2,2.0,3.0
40,meteorologist,zoologist,2.2875247524752473,1,8.0,4.0
41,meteorologist,geologist,2.2875247524752473,1,10.0,5.0
42,meteorologist,economist,2.2875247524752473,1,5.0,6.0
43,meteorologist,physicist,1.9450045004500447,1,9.0,7.0
44,meteorologist,anthropologist,1.9450045004500447,1,6.0,8.0
45,meteorologist,botanist,1.6636963696369635,1,7.0,9.0
46,meteorologist,geographer,1.4294744859101292,1,4.0,10.0
47,mathematician,astronomer,2351.791154390164,33,1.0,1.0
48,mathematician,philosopher,220.8920320603489,10,2.0,2.0
49,mathematician,historian,189.51823039446802,8,3.0,3.0
50,mathematician,geographer,95.21972581873571,7,4.0,4.0
51,mathematician,musicologist,34.58015087223008,2,11.0,5.0
52,mathematician,linguist,31.34461507375228,3,6.0,6.0
53,mathematician,theologian,26.891796322489387,1,14.0,7.0
54,mathematician,meteorologist,20.317963224893923,3,5.0,8.0
55,mathematician,zoologist,7.889391796322491,2,9.0,9.0
