,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,346.8431372549019,8,1.0,1.0
1,zoologist,anatomist,243.14117647058822,6,3.0,2.0
2,zoologist,mathematician,179.43823529411765,6,2.0,3.0
3,zoologist,astronomer,131.84313725490193,5,4.0,4.0
4,zoologist,physicist,82.84313725490196,4,6.0,5.0
5,zoologist,meteorologist,81.04705882352941,2,9.0,6.0
6,zoologist,philosopher,67.7673202614379,4,5.0,7.0
7,zoologist,art theorist,26.368627450980394,1,10.0,8.0
8,zoologist,theologian,20.450420168067225,2,7.0,9.0
9,zoologist,historian,17.438235294117646,2,8.0,10.0
10,zoologist,geologist,10.225210084033613,1,14.0,11.0
11,zoologist,chemist,6.617647058823529,1,11.0,12.0
12,zoologist,economist,6.617647058823529,1,13.0,13.0
13,zoologist,linguist,5.8566844919786085,1,12.0,14.0
14,theologian,philosopher,38922.9339869281,91,1.0,1.0
15,theologian,historian,8848.500735294117,41,2.0,2.0
16,theologian,mathematician,741.1882352941178,12,3.0,3.0
17,theologian,physicist,546.843137254902,10,4.0,4.0
18,theologian,astronomer,263.84313725490193,7,5.0,5.0
19,theologian,musicologist,186.36806722689076,4,8.0,6.0
20,theologian,logician,185.29705882352945,3,9.0,7.0
21,theologian,geographer,167.22450980392153,5,6.0,8.0
22,theologian,linguist,115.7657754010695,4,7.0,9.0
23,theologian,zoologist,20.450420168067225,2,10.0,10.0
24,theologian,political scientist,19.29705882352941,1,14.0,11.0
25,theologian,archeologist,7.550326797385622,1,13.0,12.0
26,theologian,economist,6.617647058823529,1,11.0,13.0
27,theologian,anatomist,5.224509803921569,1,12.0,14.0
28,sociologist,historian,35.214390756302514,1,2.0,1.0
29,sociologist,philosopher,31.08580765639589,1,1.0,2.0
30,political scientist,historian,161.39753151260504,3,2.0,1.0
31,political scientist,philosopher,142.8105042016807,3,1.0,2.0
32,political scientist,economist,27.783613445378155,1,4.0,3.0
33,political scientist,theologian,19.29705882352941,1,3.0,4.0
34,physicist,mathematician,3300.0350140056025,26,1.0,1.0
35,physicist,astronomer,1160.1890756302523,15,2.0,2.0
36,physicist,theologian,546.843137254902,10,4.0,3.0
37,physicist,philosopher,511.52318705259887,11,3.0,4.0
38,physicist,chemist,374.85938375350145,7,5.0,5.0
39,physicist,musicologist,173.42156862745094,4,9.0,6.0
40,physicist,geographer,97.92903828197947,4,7.0,7.0
41,physicist,zoologist,82.84313725490196,4,8.0,8.0
42,physicist,botanist,76.81129785247431,4,6.0,9.0
43,physicist,meteorologist,75.38375350140056,2,11.0,10.0
44,physicist,anatomist,53.65126050420169,3,10.0,11.0
45,physicist,geologist,9.421568627450979,1,15.0,12.0
46,physicist,archeologist,6.928260192966075,1,14.0,13.0
47,physicist,economist,6.0593837535014,1,13.0,14.0
48,physicist,historian,3.160014005602241,1,12.0,15.0
49,philosopher,theologian,38922.9339869281,91,1.0,1.0
50,philosopher,historian,2140.0406279178337,23,2.0,2.0
51,philosopher,mathematician,1956.103127917834,22,3.0,3.0
52,philosopher,astronomer,511.52318705259887,11,4.0,4.0
53,philosopher,physicist,511.52318705259887,11,5.0,5.0
54,philosopher,musicologist,226.2169934640523,5,6.0,6.0
55,philosopher,logician,142.8105042016807,3,14.0,7.0
56,philosopher,political scientist,142.8105042016807,3,13.0,8.0
57,philosopher,linguist,88.32800271623802,4,7.0,9.0
58,philosopher,anatomist,80.32966075319018,4,9.0,10.0
59,philosopher,zoologist,67.7673202614379,4,8.0,11.0
60,philosopher,chemist,53.65126050420169,3,10.0,12.0
61,philosopher,economist,53.65126050420169,3,12.0,13.0
62,philosopher,geographer,43.76484593837536,3,11.0,14.0
63,philosopher,sociologist,31.08580765639589,1,18.0,15.0
64,philosopher,archeologist,25.51885050316423,2,16.0,16.0
65,philosopher,botanist,13.85652038593215,2,15.0,17.0
66,philosopher,anthropologist,9.109274821039527,1,17.0,18.0
67,musicologist,mathematician,506.7191176470589,7,1.0,1.0
