,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,theologian,544.0013076168682,9,1.0,1.0
1,zoologist,botanist,454.1865757744745,8,2.0,2.0
2,zoologist,physicist,269.0567178816607,6,3.0,3.0
3,zoologist,historian,198.2153753950093,5,5.0,4.0
4,zoologist,mathematician,173.74960098455855,5,6.0,5.0
5,zoologist,philosopher,154.43788819875775,5,4.0,6.0
6,zoologist,geologist,34.52170141071743,2,8.0,7.0
7,zoologist,astronomer,34.52170141071743,2,7.0,8.0
8,zoologist,musicologist,31.78559753420819,2,9.0,9.0
9,zoologist,meteorologist,15.892798767104095,1,13.0,10.0
10,zoologist,linguist,10.565805818895065,1,11.0,11.0
11,zoologist,economist,10.565805818895065,1,14.0,12.0
12,zoologist,chemist,7.030495493391865,1,12.0,13.0
13,zoologist,geographer,6.44394682358069,1,10.0,14.0
14,theologian,historian,61981.16186964997,98,2.0,1.0
15,theologian,philosopher,55073.97342995168,104,1.0,2.0
16,theologian,mathematician,8172.907083352028,38,3.0,3.0
17,theologian,astronomer,3252.4415595845794,21,4.0,4.0
18,theologian,linguist,1615.280752606153,13,6.0,5.0
19,theologian,geographer,1241.0729807610815,14,5.0,6.0
20,theologian,physicist,999.9008708365116,13,7.0,7.0
21,theologian,zoologist,544.0013076168682,9,8.0,8.0
22,theologian,musicologist,326.03305364861427,7,9.0,9.0
23,theologian,botanist,193.82211603176737,6,10.0,10.0
24,theologian,logician,125.51237392999406,2,15.0,11.0
25,theologian,archeologist,60.80252563776592,2,13.0,12.0
26,theologian,chemist,56.57273618829683,3,11.0,13.0
27,theologian,economist,34.94741927281973,2,14.0,14.0
28,theologian,anatomist,28.493940164420714,2,12.0,15.0
29,theologian,anthropologist,14.246970082210357,1,17.0,16.0
30,theologian,meteorologist,11.945098252878571,1,18.0,17.0
31,theologian,paleontologist,10.221268751589118,1,16.0,18.0
32,political scientist,historian,151.4035214848716,2,1.0,1.0
33,political scientist,anthropologist,95.12140859394864,1,3.0,2.0
34,political scientist,philosopher,28.69927536231884,1,2.0,3.0
35,physicist,mathematician,4631.052665230852,27,1.0,1.0
36,physicist,philosopher,1440.173913043478,16,2.0,2.0
37,physicist,theologian,999.9008708365116,13,3.0,3.0
38,physicist,astronomer,662.8305315965498,9,4.0,4.0
39,physicist,zoologist,269.0567178816607,6,5.0,5.0
40,physicist,historian,108.67063310450038,4,6.0,6.0
41,physicist,anatomist,76.04733981693364,3,7.0,7.0
42,physicist,logician,34.44412662090007,1,16.0,8.0
43,physicist,geologist,29.734377750396053,2,10.0,9.0
44,physicist,musicologist,27.342432167374955,2,11.0,10.0
45,physicist,geographer,25.27063310450038,2,9.0,11.0
46,physicist,botanist,21.861488760263832,2,8.0,12.0
47,physicist,meteorologist,13.671216083687478,1,14.0,13.0
48,physicist,paleontologist,11.729476544622425,1,12.0,14.0
49,physicist,economist,9.016533180778032,1,15.0,15.0
50,physicist,chemist,5.931717881660673,1,13.0,16.0
51,philosopher,theologian,55073.97342995168,104,1.0,1.0
52,philosopher,mathematician,6188.184782608697,34,2.0,2.0
53,philosopher,historian,1951.3630434782606,18,3.0,3.0
54,philosopher,physicist,1440.173913043478,16,4.0,4.0
55,philosopher,linguist,900.108695652174,10,6.0,5.0
56,philosopher,astronomer,687.8336120401336,10,5.0,6.0
57,philosopher,chemist,404.723602484472,8,7.0,7.0
58,philosopher,logician,270.03260869565224,3,14.0,8.0
59,philosopher,zoologist,154.43788819875775,5,10.0,9.0
60,philosopher,musicologist,154.43788819875775,5,9.0,10.0
61,philosopher,geographer,143.49637681159422,5,8.0,11.0
62,philosopher,anatomist,114.79710144927536,4,12.0,12.0
63,philosopher,botanist,78.77301790281331,4,11.0,13.0
64,philosopher,geologist,57.83361204013378,3,13.0,14.0
65,philosopher,anthropologist,57.39855072463768,2,15.0,15.0
66,philosopher,economist,32.90869565217391,2,16.0,16.0
67,philosopher,political scientist,28.69927536231884,1,19.0,17.0
