,source,target,specificity,weight,rank_count,rank_specificity
0,theologian,physicist,14.394557823129254,1,4.0,1.0
1,theologian,mathematician,10.331632653061225,1,2.0,2.0
2,theologian,astronomer,10.331632653061225,1,3.0,3.0
3,theologian,philosopher,7.021335807050092,1,1.0,4.0
4,physicist,mathematician,506.78911564625855,8,2.0,1.0
5,physicist,philosopher,364.2895794681509,8,1.0,2.0
6,physicist,astronomer,194.28911564625852,5,3.0,3.0
7,physicist,botanist,19.823696145124714,1,5.0,4.0
8,physicist,theologian,14.394557823129254,1,6.0,5.0
9,physicist,geographer,7.440476190476192,1,4.0,6.0
10,philosopher,mathematician,7774.0426716141,42,1.0,1.0
11,philosopher,astronomer,1742.0426716141005,20,2.0,2.0
12,philosopher,musicologist,831.441094619666,12,3.0,3.0
13,philosopher,physicist,364.2895794681509,8,4.0,4.0
14,philosopher,historian,235.65097402597405,7,5.0,5.0
15,philosopher,geographer,117.46915584415585,5,6.0,6.0
16,philosopher,botanist,43.599335188620906,2,7.0,7.0
17,philosopher,anthropologist,15.87430426716141,1,9.0,8.0
18,philosopher,anatomist,9.962971552257269,1,8.0,9.0
19,philosopher,theologian,7.021335807050092,1,11.0,10.0
20,philosopher,linguist,7.021335807050092,1,10.0,11.0
21,pharmacologist,botanist,128.67431972789115,1,1.0,1.0
22,musicologist,philosopher,831.441094619666,12,1.0,1.0
23,musicologist,mathematician,643.6224489795917,9,2.0,2.0
24,musicologist,astronomer,194.28911564625852,5,3.0,3.0
25,musicologist,geographer,33.44047619047619,2,4.0,4.0
26,musicologist,linguist,14.394557823129254,1,6.0,5.0
27,musicologist,historian,7.440476190476192,1,5.0,6.0
28,mathematician,philosopher,7774.0426716141,42,1.0,1.0
29,mathematician,astronomer,6208.163265306123,32,2.0,2.0
30,mathematician,musicologist,643.6224489795917,9,3.0,3.0
31,mathematician,physicist,506.78911564625855,8,4.0,4.0
32,mathematician,geographer,165.14285714285714,5,6.0,5.0
33,mathematician,historian,165.14285714285714,5,5.0,6.0
34,mathematician,theologian,10.331632653061225,1,8.0,7.0
35,mathematician,linguist,10.331632653061225,1,7.0,8.0
36,linguist,musicologist,14.394557823129254,1,3.0,1.0
37,linguist,mathematician,10.331632653061225,1,2.0,2.0
38,linguist,astronomer,10.331632653061225,1,4.0,3.0
39,linguist,philosopher,7.021335807050092,1,1.0,4.0
40,historian,geographer,276.125,6,2.0,1.0
41,historian,philosopher,235.65097402597405,7,1.0,2.0
42,historian,mathematician,165.14285714285714,5,3.0,3.0
43,historian,anthropologist,108.03571428571429,2,4.0,4.0
44,historian,anatomist,16.720238095238095,1,7.0,5.0
45,historian,musicologist,7.440476190476192,1,5.0,6.0
46,historian,astronomer,5.142857142857144,1,6.0,7.0
47,geographer,historian,276.125,6,1.0,1.0
48,geographer,mathematician,165.14285714285714,5,3.0,2.0
49,geographer,philosopher,117.46915584415585,5,2.0,3.0
50,geographer,astronomer,104.14285714285715,4,4.0,4.0
51,geographer,musicologist,33.44047619047619,2,5.0,5.0
52,geographer,anatomist,16.720238095238095,1,7.0,6.0
53,geographer,physicist,7.440476190476192,1,6.0,7.0
54,botanist,pharmacologist,128.67431972789115,1,3.0,1.0
55,botanist,philosopher,43.599335188620906,2,1.0,2.0
56,botanist,physicist,19.823696145124714,1,2.0,3.0
57,astronomer,mathematician,6208.163265306123,32,1.0,1.0
58,astronomer,philosopher,1742.0426716141005,20,2.0,2.0
59,astronomer,physicist,194.28911564625852,5,4.0,3.0
60,astronomer,musicologist,194.28911564625852,5,3.0,4.0
61,astronomer,geographer,104.14285714285715,4,5.0,5.0
62,astronomer,theologian,10.331632653061225,1,8.0,6.0
63,astronomer,linguist,10.331632653061225,1,7.0,7.0
64,astronomer,historian,5.142857142857144,1,6.0,8.0
65,anthropologist,historian,108.03571428571429,2,1.0,1.0
66,anthropologist,philosopher,15.87430426716141,1,2.0,2.0
67,anatomist,geographer,16.720238095238095,1,3.0,1.0
68,anatomist,historian,16.720238095238095,1,2.0,2.0
69,anatomist,philosopher,9.962971552257269,1,1.0,3.0
