,source,target,specificity,weight,rank_count,rank_specificity
0,theologian,philosopher,34.770114942528735,2,1.0,1.0
1,philosopher,theologian,34.770114942528735,2,3.0,1.0
2,philosopher,astronomer,9.199233716475097,2,1.0,2.0
3,philosopher,economist,7.770114942528736,1,6.0,3.0
4,philosopher,linguist,6.080459770114944,2,2.0,4.0
5,philosopher,mathematician,6.080459770114944,2,4.0,5.0
6,philosopher,historian,1.5325670498084292,1,5.0,6.0
7,mathematician,astronomer,672.2068965517241,12,1.0,1.0
8,mathematician,linguist,50.275862068965516,4,2.0,2.0
9,mathematician,philosopher,6.080459770114944,2,3.0,3.0
10,mathematician,historian,3.040229885057472,1,4.0,4.0
11,linguist,mathematician,50.275862068965516,4,1.0,1.0
12,linguist,philosopher,6.080459770114944,2,2.0,2.0
13,linguist,astronomer,3.040229885057472,1,3.0,3.0
14,linguist,historian,3.040229885057472,1,4.0,4.0
15,historian,linguist,3.040229885057472,1,1.0,1.0
16,historian,mathematician,3.040229885057472,1,3.0,2.0
17,historian,philosopher,1.5325670498084292,1,2.0,3.0
18,economist,philosopher,7.770114942528736,1,1.0,1.0
19,astronomer,mathematician,672.2068965517241,12,1.0,1.0
20,astronomer,philosopher,9.199233716475097,2,2.0,2.0
21,astronomer,linguist,3.040229885057472,1,3.0,3.0
