,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,420.6751093045498,9,1.0,1.0
1,zoologist,mathematician,117.57183559309773,5,2.0,2.0
2,zoologist,anatomist,46.142410165323135,3,4.0,3.0
3,zoologist,physicist,40.05147360214752,3,3.0,4.0
4,zoologist,pharmacologist,26.906430751013342,1,12.0,5.0
5,zoologist,archeologist,19.270615293528255,2,7.0,6.0
6,zoologist,astronomer,17.83857084301134,2,5.0,7.0
7,zoologist,historian,16.576360479975566,2,6.0,8.0
8,zoologist,economist,8.91928542150567,1,9.0,9.0
9,zoologist,chemist,7.72783926158704,1,11.0,10.0
10,zoologist,geologist,3.947538370451337,1,13.0,11.0
11,zoologist,linguist,3.598186227626725,1,10.0,12.0
12,zoologist,philosopher,3.2912926066724,1,8.0,13.0
13,theologian,mathematician,906.9948977814927,13,1.0,1.0
14,theologian,philosopher,429.2694075854143,9,2.0,2.0
15,theologian,astronomer,273.5350984310242,7,3.0,3.0
16,theologian,physicist,43.85764287953192,3,4.0,4.0
17,theologian,musicologist,33.63990526939017,2,7.0,5.0
18,theologian,anatomist,21.182080126307483,2,6.0,6.0
19,theologian,geographer,21.182080126307483,2,5.0,7.0
20,theologian,linguist,19.628848431024277,2,9.0,8.0
21,theologian,historian,18.25960366384565,2,8.0,9.0
22,theologian,economist,9.814424215512139,1,11.0,10.0
23,theologian,archeologist,4.4154134596408126,1,10.0,11.0
24,theologian,geologist,4.4154134596408126,1,12.0,12.0
25,sociologist,historian,31.147842440706302,1,1.0,1.0
26,sociologist,philosopher,31.147842440706302,1,2.0,2.0
27,physicist,mathematician,2385.377768012439,25,1.0,1.0
28,physicist,astronomer,1959.8592101138859,22,2.0,2.0
29,physicist,philosopher,297.8483562477337,9,3.0,3.0
30,physicist,theologian,43.85764287953192,3,6.0,4.0
31,physicist,zoologist,40.05147360214752,3,4.0,5.0
32,physicist,historian,29.322404690640234,3,5.0,6.0
33,physicist,musicologist,22.645094556472674,2,8.0,7.0
34,physicist,meteorologist,14.619214293177306,1,17.0,8.0
35,physicist,archeologist,13.889210462159998,2,9.0,9.0
36,physicist,geologist,13.889210462159998,2,10.0,10.0
37,physicist,geographer,13.889210462159998,2,7.0,11.0
38,physicist,epidemiologist,11.322547278236337,1,15.0,12.0
39,physicist,anthropologist,9.129801831922824,1,16.0,13.0
40,physicist,chemist,5.495356342655476,1,14.0,14.0
41,physicist,anatomist,2.6421516386305854,1,12.0,15.0
42,physicist,botanist,2.3812689374151077,1,11.0,16.0
43,physicist,linguist,2.3812689374151077,1,13.0,17.0
44,philosopher,mathematician,7118.318944483028,43,1.0,1.0
45,philosopher,astronomer,2537.5577395256505,25,2.0,2.0
46,philosopher,historian,449.69610711278557,11,3.0,3.0
47,philosopher,theologian,429.2694075854143,9,5.0,4.0
48,philosopher,physicist,297.8483562477337,9,4.0,5.0
49,philosopher,geographer,100.61862222686587,5,6.0,6.0
50,philosopher,economist,68.63548740988402,3,11.0,7.0
51,philosopher,anatomist,62.877445756277645,4,7.0,8.0
52,philosopher,archeologist,62.877445756277645,4,8.0,9.0
53,philosopher,linguist,58.476857172709224,4,9.0,10.0
54,philosopher,musicologist,53.7627416152962,3,10.0,11.0
55,philosopher,sociologist,31.147842440706302,1,17.0,12.0
56,philosopher,art theorist,20.123724445373178,1,16.0,13.0
57,philosopher,botanist,12.80038658447393,2,12.0,14.0
58,philosopher,paleontologist,11.322547278236337,1,13.0,15.0
59,philosopher,chemist,5.495356342655476,1,15.0,16.0
60,philosopher,zoologist,3.2912926066724,1,14.0,17.0
61,pharmacologist,botanist,89.87596210775605,2,1.0,1.0
62,pharmacologist,chemist,39.72768238931649,1,3.0,2.0
63,pharmacologist,zoologist,26.906430751013342,1,2.0,3.0
64,paleontologist,botanist,52.37104795737123,2,1.0,1.0
65,paleontologist,archeologist,13.079940793368857,1,2.0,2.0
66,paleontologist,geologist,13.079940793368857,1,5.0,3.0
67,paleontologist,linguist,12.146047957371227,1,4.0,4.0
68,paleontologist,philosopher,11.322547278236337,1,3.0,5.0
69,musicologist,mathematician,518.6568592623549,9,1.0,1.0
70,musicologist,astronomer,104.74209591474246,4,2.0,2.0
71,musicologist,linguist,57.47959591474246,3,4.0,3.0
72,musicologist,philosopher,53.7627416152962,3,3.0,4.0
73,musicologist,theologian,33.63990526939017,2,7.0,5.0
74,musicologist,physicist,22.645094556472674,2,5.0,6.0
75,musicologist,historian,22.645094556472674,2,6.0,7.0
76,musicologist,anatomist,5.639881586737714,1,8.0,8.0
77,musicologist,archeologist,5.639881586737714,1,9.0,9.0
78,musicologist,geologist,5.639881586737714,1,10.0,10.0
79,meteorologist,geographer,16.819952634695085,1,1.0,1.0
80,meteorologist,astronomer,15.650588365896981,1,3.0,2.0
81,meteorologist,physicist,14.619214293177306,1,4.0,3.0
82,meteorologist,mathematician,14.619214293177306,1,2.0,4.0
83,mathematician,astronomer,23759.182739525648,76,1.0,1.0
84,mathematician,philosopher,7118.318944483028,43,2.0,2.0
85,mathematician,physicist,2385.377768012439,25,3.0,3.0
86,mathematician,theologian,906.9948977814927,13,4.0,4.0
87,mathematician,musicologist,518.6568592623549,9,7.0,5.0
88,mathematician,historian,369.87603790863335,10,5.0,6.0
89,mathematician,geographer,339.89705359941496,9,6.0,7.0
90,mathematician,linguist,189.0871512903563,7,8.0,8.0
91,mathematician,zoologist,117.57183559309773,5,9.0,9.0
92,mathematician,chemist,25.573787715204492,2,12.0,10.0
93,mathematician,meteorologist,14.619214293177306,1,17.0,11.0
94,mathematician,anatomist,13.889210462159998,2,10.0,12.0
95,mathematician,archeologist,13.889210462159998,2,11.0,13.0
96,mathematician,geologist,13.889210462159998,2,13.0,14.0
97,mathematician,epidemiologist,11.322547278236337,1,16.0,15.0
98,mathematician,economist,6.400193292236965,1,15.0,16.0
99,mathematician,botanist,2.3812689374151077,1,14.0,17.0
100,linguist,historian,189.0871512903563,7,2.0,1.0
101,linguist,mathematician,189.0871512903563,7,1.0,2.0
102,linguist,archeologist,157.11314387211368,6,3.0,3.0
103,linguist,philosopher,58.476857172709224,4,4.0,4.0
104,linguist,musicologist,57.47959591474246,3,6.0,5.0
105,linguist,botanist,33.813290963587924,3,5.0,6.0
106,linguist,art theorist,21.500962107756067,1,16.0,7.0
107,linguist,theologian,19.628848431024277,2,9.0,8.0
108,linguist,geologist,14.979810538780345,2,10.0,9.0
109,linguist,geographer,14.979810538780345,2,7.0,10.0
110,linguist,astronomer,13.821103463587923,2,8.0,11.0
111,linguist,paleontologist,12.146047957371227,1,13.0,12.0
112,linguist,economist,6.910551731793961,1,15.0,13.0
113,linguist,zoologist,3.598186227626725,1,14.0,14.0
114,linguist,anatomist,2.9048105387803442,1,12.0,15.0
115,linguist,physicist,2.3812689374151077,1,11.0,16.0
116,historian,archeologist,3165.261759481768,27,1.0,1.0
117,historian,geographer,963.7558771288268,15,2.0,2.0
118,historian,philosopher,449.69610711278557,11,3.0,3.0
119,historian,mathematician,369.87603790863335,10,4.0,4.0
120,historian,anthropologist,266.07097830251104,5,7.0,5.0
121,historian,art theorist,192.7511754257653,3,12.0,6.0
122,historian,linguist,189.0871512903563,7,5.0,7.0
123,historian,astronomer,93.73421011388571,5,6.0,8.0
124,historian,economist,68.63548740988402,3,11.0,9.0
125,historian,botanist,58.476857172709224,4,8.0,10.0
126,historian,anatomist,33.96764183470901,3,10.0,11.0
127,historian,geologist,33.96764183470901,3,13.0,12.0
128,historian,sociologist,31.147842440706302,1,17.0,13.0
129,historian,physicist,29.322404690640234,3,9.0,14.0
130,historian,musicologist,22.645094556472674,2,15.0,15.0
131,historian,theologian,18.25960366384565,2,16.0,16.0
132,historian,zoologist,16.576360479975566,2,14.0,17.0
133,geologist,botanist,107.50481053878035,5,1.0,1.0
134,geologist,astronomer,36.43814387211368,3,2.0,2.0
135,geologist,historian,33.96764183470901,3,3.0,3.0
136,geologist,anatomist,16.21760015788435,2,6.0,4.0
137,geologist,archeologist,16.21760015788435,2,7.0,5.0
138,geologist,linguist,14.979810538780345,2,8.0,6.0
139,geologist,physicist,13.889210462159998,2,5.0,7.0
140,geologist,mathematician,13.889210462159998,2,4.0,8.0
141,geologist,paleontologist,13.079940793368857,1,10.0,9.0
142,geologist,anthropologist,10.591040063153741,1,15.0,10.0
143,geologist,chemist,6.460634168804683,1,14.0,11.0
144,geologist,musicologist,5.639881586737714,1,12.0,12.0
145,geologist,theologian,4.4154134596408126,1,13.0,13.0
146,geologist,zoologist,3.947538370451337,1,11.0,14.0
147,geologist,geographer,3.2042668245510164,1,9.0,15.0
148,geographer,historian,963.7558771288268,15,1.0,1.0
149,geographer,astronomer,545.9048105387805,11,2.0,2.0
150,geographer,mathematician,339.89705359941496,9,3.0,3.0
151,geographer,philosopher,100.61862222686587,5,4.0,4.0
152,geographer,botanist,67.27981053878034,4,5.0,5.0
153,geographer,theologian,21.182080126307483,2,9.0,6.0
154,geographer,meteorologist,16.819952634695085,1,15.0,7.0
155,geographer,archeologist,16.21760015788435,2,7.0,8.0
156,geographer,linguist,14.979810538780345,2,8.0,9.0
157,geographer,physicist,13.889210462159998,2,6.0,10.0
158,geographer,epidemiologist,13.079940793368857,1,13.0,11.0
159,geographer,anthropologist,10.591040063153741,1,14.0,12.0
160,geographer,economist,7.489905269390173,1,11.0,13.0
161,geographer,anatomist,3.2042668245510164,1,10.0,14.0
162,geographer,geologist,3.2042668245510164,1,12.0,15.0
163,epidemiologist,anatomist,13.079940793368857,1,5.0,1.0
164,epidemiologist,geographer,13.079940793368857,1,1.0,2.0
165,epidemiologist,astronomer,12.146047957371227,1,3.0,3.0
166,epidemiologist,physicist,11.322547278236337,1,4.0,4.0
167,epidemiologist,mathematician,11.322547278236337,1,2.0,5.0
168,economist,historian,68.63548740988402,3,1.0,1.0
169,economist,philosopher,68.63548740988402,3,2.0,2.0
170,economist,botanist,31.301176731793962,2,3.0,3.0
171,economist,theologian,9.814424215512139,1,8.0,4.0
172,economist,zoologist,8.91928542150567,1,6.0,5.0
173,economist,geographer,7.489905269390173,1,4.0,6.0
174,economist,linguist,6.910551731793961,1,7.0,7.0
175,economist,mathematician,6.400193292236965,1,5.0,8.0
176,chemist,pharmacologist,39.72768238931649,1,8.0,1.0
177,chemist,botanist,27.40566410104598,2,3.0,2.0
178,chemist,astronomer,27.40566410104598,2,2.0,3.0
179,chemist,mathematician,25.573787715204492,2,1.0,4.0
180,chemist,zoologist,7.72783926158704,1,6.0,5.0
181,chemist,anatomist,6.460634168804683,1,5.0,6.0
182,chemist,geologist,6.460634168804683,1,9.0,7.0
183,chemist,physicist,5.495356342655476,1,4.0,8.0
184,chemist,philosopher,5.495356342655476,1,7.0,9.0
185,botanist,zoologist,420.6751093045498,9,1.0,1.0
186,botanist,anatomist,107.50481053878035,5,2.0,2.0
187,botanist,geologist,107.50481053878035,5,3.0,3.0
188,botanist,pharmacologist,89.87596210775605,2,11.0,4.0
189,botanist,geographer,67.27981053878034,4,4.0,5.0
190,botanist,historian,58.476857172709224,4,5.0,6.0
191,botanist,paleontologist,52.37104795737123,2,7.0,7.0
192,botanist,linguist,33.813290963587924,3,6.0,8.0
193,botanist,economist,31.301176731793962,2,9.0,9.0
194,botanist,chemist,27.40566410104598,2,10.0,10.0
195,botanist,philosopher,12.80038658447393,2,8.0,11.0
196,botanist,anthropologist,9.814424215512139,1,16.0,12.0
197,botanist,archeologist,2.9048105387803442,1,15.0,13.0
198,botanist,astronomer,2.6257909635879217,1,13.0,14.0
199,botanist,physicist,2.3812689374151077,1,14.0,15.0
200,botanist,mathematician,2.3812689374151077,1,12.0,16.0
201,astronomer,mathematician,23759.182739525648,76,1.0,1.0
202,astronomer,philosopher,2537.5577395256505,25,2.0,2.0
203,astronomer,physicist,1959.8592101138859,22,3.0,3.0
204,astronomer,geographer,545.9048105387805,11,4.0,4.0
205,astronomer,theologian,273.5350984310242,7,5.0,5.0
206,astronomer,musicologist,104.74209591474246,4,7.0,6.0
207,astronomer,historian,93.73421011388571,5,6.0,7.0
208,astronomer,anatomist,36.43814387211368,3,8.0,8.0
209,astronomer,geologist,36.43814387211368,3,9.0,9.0
210,astronomer,chemist,27.40566410104598,2,13.0,10.0
211,astronomer,zoologist,17.83857084301134,2,10.0,11.0
