,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,274.6818774445893,8,1.0,1.0
1,zoologist,anatomist,64.83572359843548,4,2.0,2.0
2,zoologist,pharmacologist,43.40664928292047,1,10.0,3.0
3,zoologist,geologist,20.73637548891786,1,13.0,4.0
4,zoologist,chemist,18.868578878748373,2,4.0,5.0
5,zoologist,physicist,12.745869384852435,2,5.0,6.0
6,zoologist,mathematician,11.392611907866144,2,3.0,7.0
7,zoologist,philosopher,8.433072577140374,2,6.0,8.0
8,zoologist,musicologist,3.849348109517601,1,11.0,9.0
9,zoologist,astronomer,3.241040127480806,1,7.0,10.0
10,zoologist,linguist,2.3682470072300577,1,9.0,11.0
11,zoologist,historian,1.7775649383211312,1,8.0,12.0
12,zoologist,theologian,1.3561495002172967,1,12.0,13.0
13,theologian,mathematician,247.80508474576277,9,2.0,1.0
14,theologian,philosopher,242.60357815442566,10,1.0,2.0
15,theologian,geographer,165.20338983050846,6,5.0,3.0
16,theologian,astronomer,145.56214689265536,6,4.0,4.0
17,theologian,historian,134.58691873098653,7,3.0,5.0
18,theologian,linguist,49.49178222907037,4,6.0,6.0
19,theologian,logician,11.187382297551787,1,14.0,7.0
20,theologian,political scientist,11.187382297551787,1,15.0,8.0
21,theologian,archeologist,7.935028248587571,1,13.0,9.0
22,theologian,musicologist,3.120056497175141,1,12.0,10.0
23,theologian,chemist,3.120056497175141,1,9.0,11.0
24,theologian,botanist,2.1875706214689266,1,7.0,12.0
25,theologian,anatomist,2.1875706214689266,1,11.0,13.0
26,theologian,physicist,1.855418592706729,1,10.0,14.0
27,theologian,zoologist,1.3561495002172967,1,8.0,15.0
28,political scientist,linguist,15.934720082177709,1,1.0,1.0
29,political scientist,theologian,11.187382297551787,1,3.0,2.0
30,political scientist,philosopher,11.187382297551787,1,2.0,3.0
31,physicist,mathematician,848.2843348741653,14,1.0,1.0
32,physicist,astronomer,699.2789077212807,11,2.0,2.0
33,physicist,philosopher,161.4917822290704,7,3.0,3.0
34,physicist,botanist,42.45916795069338,3,4.0,4.0
35,physicist,geographer,22.9673343605547,2,5.0,5.0
36,physicist,musicologist,22.9673343605547,2,9.0,6.0
37,physicist,chemist,22.9673343605547,2,7.0,7.0
38,physicist,anatomist,17.640986132511557,2,8.0,8.0
39,physicist,zoologist,12.745869384852435,2,6.0,9.0
40,physicist,historian,2.3682470072300577,1,10.0,10.0
41,physicist,theologian,1.855418592706729,1,11.0,11.0
42,philosopher,mathematician,614.7495291902071,14,1.0,1.0
43,philosopher,astronomer,263.9325172630258,8,3.0,2.0
44,philosopher,theologian,242.60357815442566,10,2.0,3.0
45,philosopher,physicist,161.4917822290704,7,4.0,4.0
46,philosopher,chemist,70.87005649717514,4,5.0,5.0
47,philosopher,anatomist,55.18757062146893,4,6.0,6.0
48,philosopher,linguist,26.461479198767336,3,8.0,7.0
49,philosopher,historian,21.5612777053455,3,7.0,8.0
50,philosopher,geographer,15.870056497175142,2,10.0,9.0
51,philosopher,botanist,11.987570621468928,2,9.0,10.0
52,philosopher,logician,11.187382297551787,1,14.0,11.0
53,philosopher,political scientist,11.187382297551787,1,15.0,12.0
54,philosopher,economist,11.187382297551787,1,12.0,13.0
55,philosopher,zoologist,8.433072577140374,2,11.0,14.0
56,philosopher,musicologist,3.120056497175141,1,13.0,15.0
57,pharmacologist,zoologist,43.40664928292047,1,1.0,1.0
58,musicologist,mathematician,90.49604519774012,4,1.0,1.0
59,musicologist,physicist,22.9673343605547,2,3.0,2.0
60,musicologist,linguist,22.9673343605547,2,4.0,3.0
61,musicologist,historian,18.868578878748373,2,2.0,4.0
62,musicologist,astronomer,6.31647834274953,1,5.0,5.0
63,musicologist,zoologist,3.849348109517601,1,6.0,6.0
64,musicologist,theologian,3.120056497175141,1,8.0,7.0
65,musicologist,philosopher,3.120056497175141,1,7.0,8.0
66,mathematician,astronomer,4227.146013810421,28,1.0,1.0
67,mathematician,geographer,861.162711864407,12,4.0,2.0
68,mathematician,physicist,848.2843348741653,14,2.0,3.0
69,mathematician,philosopher,614.7495291902071,14,3.0,4.0
70,mathematician,theologian,247.80508474576277,9,5.0,5.0
71,mathematician,musicologist,90.49604519774012,4,7.0,6.0
72,mathematician,historian,52.777227292481534,4,6.0,7.0
73,mathematician,botanist,38.45338983050847,3,8.0,8.0
74,mathematician,linguist,34.451001540832046,3,9.0,9.0
75,mathematician,anatomist,15.870056497175142,2,11.0,10.0
76,mathematician,logician,14.44990583804143,1,12.0,11.0
77,mathematician,zoologist,11.392611907866144,2,10.0,12.0
78,logician,mathematician,14.44990583804143,1,1.0,1.0
79,logician,theologian,11.187382297551787,1,3.0,2.0
80,logician,philosopher,11.187382297551787,1,2.0,3.0
81,linguist,historian,93.3892260282091,5,1.0,1.0
82,linguist,anthropologist,51.65500770416024,1,10.0,2.0
83,linguist,archeologist,49.71093990755008,2,7.0,3.0
84,linguist,theologian,49.49178222907037,4,2.0,4.0
85,linguist,mathematician,34.451001540832046,3,3.0,5.0
86,linguist,philosopher,26.461479198767336,3,4.0,6.0
87,linguist,musicologist,22.9673343605547,2,6.0,7.0
88,linguist,botanist,17.640986132511557,2,5.0,8.0
89,linguist,political scientist,15.934720082177709,1,11.0,9.0
90,linguist,geographer,4.853697996918336,1,8.0,10.0
91,linguist,zoologist,2.3682470072300577,1,9.0,11.0
92,historian,geographer,1605.6955019556713,17,1.0,1.0
93,historian,archeologist,173.62659713168188,4,5.0,2.0
94,historian,theologian,134.58691873098653,7,2.0,3.0
95,historian,linguist,93.3892260282091,5,3.0,4.0
96,historian,mathematician,52.777227292481534,4,4.0,5.0
97,historian,philosopher,21.5612777053455,3,6.0,6.0
98,historian,art theorist,20.73637548891786,1,11.0,7.0
99,historian,musicologist,18.868578878748373,2,9.0,8.0
100,historian,botanist,14.374185136897,2,7.0,9.0
101,historian,anatomist,14.374185136897,2,8.0,10.0
102,historian,economist,13.194306823120383,1,13.0,11.0
103,historian,physicist,2.3682470072300577,1,12.0,12.0
104,historian,zoologist,1.7775649383211312,1,10.0,13.0
105,geologist,chemist,34.9021186440678,1,2.0,1.0
106,geologist,zoologist,20.73637548891786,1,1.0,2.0
107,geographer,historian,1605.6955019556713,17,1.0,1.0
108,geographer,astronomer,969.6498116760828,11,3.0,2.0
109,geographer,mathematician,861.162711864407,12,2.0,3.0
110,geographer,theologian,165.20338983050846,6,4.0,4.0
111,geographer,art theorist,34.9021186440678,1,7.0,5.0
112,geographer,physicist,22.9673343605547,2,5.0,6.0
113,geographer,philosopher,15.870056497175142,2,6.0,7.0
114,geographer,linguist,4.853697996918336,1,8.0,8.0
115,economist,chemist,22.62401129943503,1,1.0,1.0
116,economist,historian,13.194306823120383,1,2.0,2.0
117,economist,philosopher,11.187382297551787,1,3.0,3.0
118,chemist,anatomist,110.13559322033898,4,2.0,1.0
119,chemist,philosopher,70.87005649717514,4,1.0,2.0
120,chemist,geologist,34.9021186440678,1,8.0,3.0
121,chemist,botanist,25.635593220338983,2,3.0,4.0
122,chemist,physicist,22.9673343605547,2,5.0,5.0
123,chemist,economist,22.62401129943503,1,6.0,6.0
124,chemist,zoologist,18.868578878748373,2,4.0,7.0
125,chemist,theologian,3.120056497175141,1,7.0,8.0
126,botanist,zoologist,274.6818774445893,8,1.0,1.0
127,botanist,anatomist,200.56949152542379,6,2.0,2.0
128,botanist,physicist,42.45916795069338,3,4.0,3.0
129,botanist,mathematician,38.45338983050847,3,3.0,4.0
130,botanist,chemist,25.635593220338983,2,5.0,5.0
131,botanist,linguist,17.640986132511557,2,7.0,6.0
132,botanist,historian,14.374185136897,2,6.0,7.0
133,botanist,philosopher,11.987570621468928,2,8.0,8.0
134,botanist,astronomer,4.708097928436911,1,9.0,9.0
135,botanist,theologian,2.1875706214689266,1,10.0,10.0
136,astronomer,mathematician,4227.146013810421,28,1.0,1.0
