,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,20.166773367477596,3,1.0,1.0
1,zoologist,historian,13.40868544600939,3,2.0,2.0
2,zoologist,economist,8.613588941053731,1,9.0,3.0
3,zoologist,philosopher,6.121373540387625,2,3.0,4.0
4,zoologist,chemist,2.7297674938520005,1,7.0,5.0
5,zoologist,physicist,1.4724569640062597,1,8.0,6.0
6,zoologist,anatomist,1.4724569640062597,1,5.0,7.0
7,zoologist,archeologist,1.2172784179826435,1,6.0,8.0
8,zoologist,theologian,1.2172784179826435,1,4.0,9.0
9,theologian,mathematician,44.25266752027316,5,1.0,1.0
10,theologian,astronomer,29.97977534629263,4,2.0,2.0
11,theologian,historian,10.071895006402046,3,3.0,3.0
12,theologian,economist,6.722257789159199,1,11.0,4.0
13,theologian,botanist,5.814486090094285,2,5.0,5.0
14,theologian,philosopher,4.447577070816507,2,4.0,6.0
15,theologian,linguist,3.35729833546735,1,10.0,7.0
16,theologian,musicologist,2.535424669227486,1,9.0,8.0
17,theologian,zoologist,1.2172784179826435,1,8.0,9.0
18,theologian,anatomist,0.9691421254801539,1,6.0,10.0
19,theologian,archeologist,0.7731637760446979,1,7.0,11.0
20,political scientist,historian,33.972300469483564,2,1.0,1.0
21,political scientist,philosopher,9.014626218851571,1,2.0,2.0
22,physicist,mathematician,102.38920187793427,7,1.0,1.0
23,physicist,astronomer,6.7145966709347,2,3.0,2.0
24,physicist,botanist,6.7145966709347,2,4.0,3.0
25,physicist,philosopher,5.1962080173347776,2,2.0,4.0
26,physicist,historian,4.101502347417841,2,5.0,5.0
27,physicist,musicologist,2.9446009389671364,1,10.0,6.0
28,physicist,chemist,2.303621730382294,1,8.0,7.0
29,physicist,zoologist,1.4724569640062597,1,9.0,8.0
30,physicist,anatomist,1.1921126760563383,1,6.0,9.0
31,physicist,archeologist,0.9691421254801539,1,7.0,10.0
32,philosopher,astronomer,12.377647000886437,3,1.0,1.0
33,philosopher,mathematician,10.93391115926327,3,2.0,2.0
34,philosopher,political scientist,9.014626218851571,1,12.0,3.0
35,philosopher,zoologist,6.121373540387625,2,5.0,4.0
36,philosopher,physicist,5.1962080173347776,2,7.0,5.0
37,philosopher,botanist,4.447577070816507,2,4.0,6.0
38,philosopher,theologian,4.447577070816507,2,3.0,7.0
39,philosopher,linguist,2.5981040086673888,1,13.0,8.0
40,philosopher,historian,2.5122607439508853,2,6.0,9.0
41,philosopher,musicologist,1.9156735283495843,1,11.0,10.0
42,philosopher,chemist,1.4413016560903884,1,10.0,11.0
43,philosopher,anatomist,0.6423618634886239,1,8.0,12.0
44,philosopher,archeologist,0.4895351127745494,1,9.0,13.0
45,musicologist,physicist,2.9446009389671364,1,6.0,1.0
46,musicologist,archeologist,2.535424669227486,1,3.0,2.0
47,musicologist,astronomer,2.535424669227486,1,4.0,3.0
48,musicologist,theologian,2.535424669227486,1,1.0,4.0
49,musicologist,mathematician,2.197965571205008,1,5.0,5.0
50,musicologist,philosopher,1.9156735283495843,1,2.0,6.0
51,meteorologist,astronomer,21.973111395646608,2,1.0,1.0
52,meteorologist,geologist,15.806338028169012,1,2.0,2.0
53,meteorologist,mathematician,4.085680751173709,1,3.0,3.0
54,meteorologist,historian,2.9446009389671364,1,4.0,4.0
55,mathematician,astronomer,394.16175842936406,14,1.0,1.0
56,mathematician,physicist,102.38920187793427,7,2.0,2.0
57,mathematician,theologian,44.25266752027316,5,3.0,3.0
58,mathematician,philosopher,10.93391115926327,3,4.0,4.0
59,mathematician,geographer,9.917840375586854,1,7.0,5.0
60,mathematician,archeologist,5.070849338454972,2,5.0,6.0
61,mathematician,meteorologist,4.085680751173709,1,12.0,7.0
62,mathematician,musicologist,2.197965571205008,1,11.0,8.0
63,mathematician,chemist,1.6767270288397047,1,8.0,9.0
64,mathematician,anatomist,0.7892018779342723,1,6.0,10.0
65,mathematician,botanist,0.6163038839095176,1,9.0,11.0
66,mathematician,historian,0.21158059467918616,1,10.0,12.0
67,linguist,historian,28.344084507042258,3,1.0,1.0
68,linguist,archeologist,16.84820742637644,2,2.0,2.0
69,linguist,botanist,3.35729833546735,1,5.0,3.0
70,linguist,theologian,3.35729833546735,1,3.0,4.0
71,linguist,philosopher,2.5981040086673888,1,4.0,5.0
72,historian,archeologist,70.92037985488689,7,1.0,1.0
73,historian,political scientist,33.972300469483564,2,10.0,2.0
74,historian,linguist,28.344084507042258,3,6.0,3.0
75,historian,astronomer,20.120379854886895,4,2.0,4.0
76,historian,zoologist,13.40868544600939,3,5.0,5.0
77,historian,botanist,10.071895006402046,3,4.0,6.0
78,historian,theologian,10.071895006402046,3,3.0,7.0
79,historian,geographer,7.572300469483569,1,12.0,8.0
80,historian,economist,4.469561815336463,1,15.0,9.0
81,historian,physicist,4.101502347417841,2,9.0,10.0
82,historian,anatomist,4.101502347417841,2,8.0,11.0
83,historian,geologist,2.9446009389671364,1,11.0,12.0
84,historian,meteorologist,2.9446009389671364,1,14.0,13.0
85,historian,philosopher,2.5122607439508853,2,7.0,14.0
86,historian,mathematician,0.21158059467918616,1,13.0,15.0
87,geologist,chemist,36.670020120724345,2,1.0,1.0
88,geologist,meteorologist,15.806338028169012,1,4.0,2.0
89,geologist,astronomer,4.609475032010244,1,2.0,3.0
90,geologist,historian,2.9446009389671364,1,3.0,4.0
91,geographer,mathematician,9.917840375586854,1,1.0,1.0
92,geographer,historian,7.572300469483569,1,2.0,2.0
93,economist,zoologist,8.613588941053731,1,2.0,1.0
94,economist,theologian,6.722257789159199,1,1.0,2.0
95,economist,historian,4.469561815336463,1,3.0,3.0
96,chemist,geologist,36.670020120724345,2,1.0,1.0
97,chemist,zoologist,2.7297674938520005,1,6.0,2.0
98,chemist,physicist,2.303621730382294,1,7.0,3.0
99,chemist,anatomist,2.303621730382294,1,3.0,4.0
100,chemist,botanist,1.9594384488750685,1,5.0,5.0
101,chemist,mathematician,1.6767270288397047,1,4.0,6.0
102,chemist,philosopher,1.4413016560903884,1,2.0,7.0
103,botanist,zoologist,20.166773367477596,3,1.0,1.0
104,botanist,historian,10.071895006402046,3,2.0,2.0
105,botanist,physicist,6.7145966709347,2,8.0,3.0
106,botanist,anatomist,6.7145966709347,2,5.0,4.0
107,botanist,archeologist,5.814486090094285,2,6.0,5.0
108,botanist,astronomer,5.814486090094285,2,7.0,6.0
109,botanist,theologian,5.814486090094285,2,3.0,7.0
110,botanist,philosopher,4.447577070816507,2,4.0,8.0
111,botanist,linguist,3.35729833546735,1,11.0,9.0
112,botanist,chemist,1.9594384488750685,1,10.0,10.0
113,botanist,mathematician,0.6163038839095176,1,9.0,11.0
114,astronomer,mathematician,394.16175842936406,14,1.0,1.0
115,astronomer,theologian,29.97977534629263,4,2.0,2.0
116,astronomer,meteorologist,21.973111395646608,2,7.0,3.0
117,astronomer,historian,20.120379854886895,4,3.0,4.0
118,astronomer,philosopher,12.377647000886437,3,4.0,5.0
119,astronomer,physicist,6.7145966709347,2,8.0,6.0
120,astronomer,archeologist,5.814486090094285,2,5.0,7.0
121,astronomer,botanist,5.814486090094285,2,6.0,8.0
122,astronomer,geologist,4.609475032010244,1,9.0,9.0
123,astronomer,musicologist,2.535424669227486,1,11.0,10.0
124,astronomer,anatomist,0.9691421254801539,1,10.0,11.0
125,archeologist,historian,70.92037985488689,7,1.0,1.0
126,archeologist,linguist,16.84820742637644,2,6.0,2.0
127,archeologist,anatomist,6.7145966709347,2,2.0,3.0
128,archeologist,astronomer,5.814486090094285,2,3.0,4.0
129,archeologist,botanist,5.814486090094285,2,5.0,5.0
130,archeologist,mathematician,5.070849338454972,2,4.0,6.0
131,archeologist,musicologist,2.535424669227486,1,10.0,7.0
132,archeologist,zoologist,1.2172784179826435,1,9.0,8.0
133,archeologist,physicist,0.9691421254801539,1,11.0,9.0
134,archeologist,theologian,0.7731637760446979,1,7.0,10.0
135,archeologist,philosopher,0.4895351127745494,1,8.0,11.0
136,anatomist,archeologist,6.7145966709347,2,1.0,1.0
137,anatomist,botanist,6.7145966709347,2,2.0,2.0
138,anatomist,historian,4.101502347417841,2,3.0,3.0
139,anatomist,chemist,2.303621730382294,1,8.0,4.0
140,anatomist,zoologist,1.4724569640062597,1,9.0,5.0
141,anatomist,physicist,1.1921126760563383,1,10.0,6.0
142,anatomist,astronomer,0.9691421254801539,1,6.0,7.0
143,anatomist,theologian,0.9691421254801539,1,4.0,8.0
144,anatomist,mathematician,0.7892018779342723,1,7.0,9.0
