,source,target,specificity,weight,rank_count,rank_specificity
0,theologian,philosopher,0.8999999999999999,1,1.0,1.0
1,theologian,logician,0.8999999999999999,1,2.0,2.0
2,philosopher,logician,0.8999999999999999,1,2.0,1.0
3,philosopher,theologian,0.8999999999999999,1,1.0,2.0
4,logician,philosopher,0.8999999999999999,1,2.0,1.0
5,logician,theologian,0.8999999999999999,1,1.0,2.0
6,linguist,botanist,3.2000000000000006,1,1.0,1.0
7,historian,botanist,3.2000000000000006,1,1.0,1.0
8,botanist,linguist,3.2000000000000006,1,1.0,1.0
9,botanist,historian,3.2000000000000006,1,2.0,2.0
