,source,target,specificity,weight,rank_count,rank_specificity
0,theologian,philosopher,377.47181280258206,8,1.0,1.0
1,theologian,historian,100.30792899408283,4,2.0,2.0
2,theologian,linguist,23.18792899408284,2,3.0,3.0
3,theologian,astronomer,4.30817643894567,1,4.0,4.0
4,theologian,mathematician,4.30817643894567,1,5.0,5.0
5,physicist,mathematician,180.97998924152773,8,1.0,1.0
6,physicist,astronomer,136.88908015061864,7,2.0,2.0
7,physicist,philosopher,67.14362560516408,5,3.0,3.0
8,physicist,musicologist,23.18792899408284,2,6.0,4.0
9,physicist,geographer,11.288494411571332,2,5.0,5.0
10,physicist,linguist,9.81585798816568,2,4.0,6.0
11,physicist,chemist,9.81585798816568,2,7.0,7.0
12,physicist,anthropologist,2.0218277449046673,1,10.0,8.0
13,physicist,historian,1.6758579881656805,1,8.0,9.0
14,physicist,botanist,1.6758579881656805,1,9.0,10.0
15,philosopher,mathematician,446.4406327937797,13,1.0,1.0
16,philosopher,astronomer,378.605922049978,12,2.0,2.0
17,philosopher,theologian,377.47181280258206,8,3.0,3.0
18,philosopher,physicist,67.14362560516408,5,4.0,4.0
19,philosopher,musicologist,49.47181280258204,3,7.0,5.0
20,philosopher,historian,41.48908015061861,4,5.0,6.0
21,philosopher,linguist,21.9799892415277,3,6.0,7.0
22,philosopher,chemist,21.9799892415277,3,8.0,8.0
23,philosopher,geographer,1.7070408224254376,1,10.0,9.0
24,philosopher,anthropologist,1.7070408224254376,1,11.0,10.0
25,philosopher,botanist,1.3981710597095214,1,9.0,11.0
26,musicologist,philosopher,49.47181280258204,3,1.0,1.0
27,musicologist,physicist,23.18792899408284,2,4.0,2.0
28,musicologist,astronomer,20.744540075309306,2,2.0,3.0
29,musicologist,mathematician,20.744540075309306,2,3.0,4.0
30,musicologist,chemist,4.90792899408284,1,5.0,5.0
31,mathematician,astronomer,2134.3745170913,28,1.0,1.0
32,mathematician,philosopher,446.4406327937797,13,2.0,2.0
33,mathematician,physicist,180.97998924152773,8,3.0,3.0
34,mathematician,geographer,25.02017213555675,3,5.0,4.0
35,mathematician,linguist,21.9799892415277,3,4.0,5.0
36,mathematician,chemist,21.9799892415277,3,6.0,6.0
37,mathematician,musicologist,20.744540075309306,2,9.0,7.0
38,mathematician,historian,8.61635287789134,2,7.0,8.0
