,source,target,specificity,weight,rank_count,rank_specificity
0,theologian,philosopher,40.33333333333333,4,1.0,1.0
1,theologian,anthropologist,5.633333333333334,1,4.0,2.0
2,theologian,archeologist,3.2000000000000006,1,3.0,3.0
3,theologian,historian,0.8999999999999999,1,2.0,4.0
4,physicist,mathematician,13.066666666666668,1,1.0,1.0
5,philosopher,theologian,40.33333333333333,4,1.0,1.0
6,philosopher,geographer,8.333333333333336,2,2.0,2.0
7,philosopher,astronomer,8.333333333333336,2,3.0,3.0
8,philosopher,mathematician,1.3333333333333337,1,5.0,4.0
9,philosopher,historian,0.5,1,4.0,5.0
10,mathematician,astronomer,28.016666666666666,3,1.0,1.0
11,mathematician,physicist,13.066666666666668,1,4.0,2.0
12,mathematician,geographer,11.266666666666667,2,2.0,3.0
13,mathematician,philosopher,1.3333333333333337,1,3.0,4.0
14,linguist,historian,84.1,3,1.0,1.0
15,historian,linguist,84.1,3,1.0,1.0
16,historian,archeologist,1.633333333333333,1,6.0,2.0
17,historian,theologian,0.8999999999999999,1,2.0,3.0
18,historian,geographer,0.8999999999999999,1,4.0,4.0
19,historian,astronomer,0.8999999999999999,1,5.0,5.0
20,historian,philosopher,0.5,1,3.0,6.0
21,geographer,astronomer,52.26666666666667,4,1.0,1.0
22,geographer,mathematician,11.266666666666667,2,3.0,2.0
23,geographer,philosopher,8.333333333333336,2,2.0,3.0
24,geographer,historian,0.8999999999999999,1,4.0,4.0
25,astronomer,geographer,52.26666666666667,4,1.0,1.0
26,astronomer,mathematician,28.016666666666666,3,2.0,2.0
27,astronomer,philosopher,8.333333333333336,2,3.0,3.0
28,astronomer,historian,0.8999999999999999,1,4.0,4.0
29,archeologist,anthropologist,8.1,1,3.0,1.0
30,archeologist,theologian,3.2000000000000006,1,1.0,2.0
31,archeologist,historian,1.633333333333333,1,2.0,3.0
32,anthropologist,archeologist,8.1,1,2.0,1.0
33,anthropologist,theologian,5.633333333333334,1,1.0,2.0
