,source,target,specificity,weight,rank_count,rank_specificity
0,theologian,historian,117.04166666666667,7,1.0,1.0
1,theologian,linguist,96.90104166666667,5,2.0,2.0
2,theologian,mathematician,79.17013888888889,5,3.0,3.0
3,theologian,astronomer,17.520833333333332,2,4.0,4.0
4,theologian,philosopher,8.51860119047619,2,5.0,5.0
5,theologian,geographer,1.0416666666666667,1,6.0,6.0
6,physicist,astronomer,14.0625,1,1.0,1.0
7,physicist,mathematician,8.760416666666666,1,2.0,2.0
8,philosopher,logician,16.340401785714285,1,5.0,1.0
9,philosopher,theologian,8.51860119047619,2,1.0,2.0
10,philosopher,historian,5.580357142857143,2,2.0,3.0
11,philosopher,linguist,1.9305803571428573,1,3.0,4.0
12,philosopher,anthropologist,1.9305803571428573,1,7.0,5.0
13,philosopher,mathematician,1.3757440476190477,1,4.0,6.0
14,philosopher,geographer,0.7232142857142857,1,6.0,7.0
15,mathematician,astronomer,414.1875,9,1.0,1.0
16,mathematician,theologian,79.17013888888889,5,2.0,2.0
17,mathematician,physicist,8.760416666666666,1,5.0,3.0
18,mathematician,historian,7.041666666666667,2,3.0,4.0
19,mathematician,philosopher,1.3757440476190477,1,4.0,5.0
20,mathematician,geographer,1.0416666666666667,1,6.0,6.0
21,logician,philosopher,16.340401785714285,1,1.0,1.0
22,linguist,theologian,96.90104166666667,5,1.0,1.0
23,linguist,historian,23.1125,3,2.0,2.0
24,linguist,anthropologist,3.3153125,1,5.0,3.0
25,linguist,philosopher,1.9305803571428573,1,3.0,4.0
26,linguist,geographer,1.5125,1,4.0,5.0
27,historian,theologian,117.04166666666667,7,1.0,1.0
28,historian,geographer,84.5,7,2.0,2.0
29,historian,linguist,23.1125,3,3.0,3.0
30,historian,anthropologist,9.1125,2,6.0,4.0
31,historian,mathematician,7.041666666666667,2,5.0,5.0
32,historian,philosopher,5.580357142857143,2,4.0,6.0
33,historian,economist,3.5208333333333335,1,8.0,7.0
34,historian,astronomer,2.25,1,7.0,8.0
35,geographer,historian,84.5,7,1.0,1.0
36,geographer,botanist,14.0625,1,7.0,2.0
37,geographer,anthropologist,9.1125,2,2.0,3.0
38,geographer,economist,3.5208333333333335,1,8.0,4.0
39,geographer,linguist,1.5125,1,4.0,5.0
40,geographer,mathematician,1.0416666666666667,1,6.0,6.0
41,geographer,theologian,1.0416666666666667,1,3.0,7.0
42,geographer,philosopher,0.7232142857142857,1,5.0,8.0
43,economist,anthropologist,6.650520833333333,1,3.0,1.0
44,economist,historian,3.5208333333333335,1,1.0,2.0
45,economist,geographer,3.5208333333333335,1,2.0,3.0
46,botanist,geographer,14.0625,1,1.0,1.0
47,astronomer,mathematician,414.1875,9,1.0,1.0
48,astronomer,theologian,17.520833333333332,2,2.0,2.0
49,astronomer,physicist,14.0625,1,3.0,3.0
50,astronomer,historian,2.25,1,4.0,4.0
51,anthropologist,historian,9.1125,2,1.0,1.0
52,anthropologist,geographer,9.1125,2,2.0,2.0
53,anthropologist,economist,6.650520833333333,1,5.0,3.0
54,anthropologist,linguist,3.3153125,1,3.0,4.0
55,anthropologist,philosopher,1.9305803571428573,1,4.0,5.0
