,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,musicologist,8.966954022988507,1,3.0,1.0
1,zoologist,botanist,6.814942528735632,1,2.0,2.0
2,zoologist,astronomer,5.387931034482758,1,4.0,3.0
3,zoologist,mathematician,3.040229885057472,1,1.0,4.0
4,theologian,economist,17.933908045977013,2,4.0,1.0
5,theologian,mathematician,16.163793103448278,3,2.0,2.0
6,theologian,historian,14.03477011494253,3,1.0,3.0
7,theologian,philosopher,7.2428160919540225,2,3.0,4.0
8,theologian,anthropologist,5.387931034482758,1,8.0,5.0
9,theologian,botanist,2.5798850574712646,1,6.0,6.0
10,theologian,geographer,2.5798850574712646,1,5.0,7.0
11,theologian,astronomer,1.9008620689655176,1,7.0,8.0
12,physicist,philosopher,8.966954022988507,1,1.0,1.0
13,physicist,mathematician,7.770114942528736,1,2.0,2.0
14,philosopher,mathematician,31.080459770114945,4,1.0,1.0
15,philosopher,economist,17.933908045977013,2,2.0,2.0
16,philosopher,botanist,13.629885057471265,2,3.0,3.0
17,philosopher,physicist,8.966954022988507,1,8.0,4.0
18,philosopher,theologian,7.2428160919540225,2,4.0,5.0
19,philosopher,musicologist,3.6214080459770113,1,6.0,6.0
20,philosopher,linguist,2.5798850574712646,1,7.0,7.0
21,philosopher,historian,0.6347701149425288,1,5.0,8.0
22,musicologist,zoologist,8.966954022988507,1,4.0,1.0
23,musicologist,philosopher,3.6214080459770113,1,1.0,2.0
24,musicologist,mathematician,3.040229885057472,1,3.0,3.0
25,musicologist,historian,2.5798850574712646,1,2.0,4.0
26,mathematician,astronomer,190.5325670498084,8,1.0,1.0
27,mathematician,geographer,86.92528735632183,5,3.0,2.0
28,mathematician,historian,81.25057471264367,7,2.0,3.0
29,mathematician,philosopher,31.080459770114945,4,4.0,4.0
30,mathematician,theologian,16.163793103448278,3,5.0,5.0
31,mathematician,physicist,7.770114942528736,1,9.0,6.0
32,mathematician,musicologist,3.040229885057472,1,6.0,7.0
33,mathematician,zoologist,3.040229885057472,1,8.0,8.0
34,mathematician,linguist,2.125287356321839,1,7.0,9.0
35,linguist,geographer,23.98367816091954,2,1.0,1.0
36,linguist,astronomer,19.372413793103444,2,2.0,2.0
37,linguist,botanist,5.10367816091954,1,5.0,3.0
38,linguist,philosopher,2.5798850574712646,1,3.0,4.0
39,linguist,mathematician,2.125287356321839,1,4.0,5.0
40,historian,geographer,264.1673563218391,9,1.0,1.0
41,historian,anthropologist,84.97241379310344,4,3.0,2.0
42,historian,mathematician,81.25057471264367,7,2.0,3.0
43,historian,archeologist,30.91494252873563,2,7.0,4.0
44,historian,astronomer,20.44482758620689,3,5.0,5.0
45,historian,anatomist,15.457471264367815,1,10.0,6.0
46,historian,theologian,14.03477011494253,3,4.0,7.0
47,historian,economist,13.629885057471265,2,6.0,8.0
48,historian,musicologist,2.5798850574712646,1,9.0,9.0
49,historian,philosopher,0.6347701149425288,1,8.0,10.0
50,geographer,historian,264.1673563218391,9,1.0,1.0
51,geographer,astronomer,135.17241379310343,5,3.0,2.0
52,geographer,mathematician,86.92528735632183,5,2.0,3.0
53,geographer,linguist,23.98367816091954,2,4.0,4.0
54,geographer,theologian,2.5798850574712646,1,5.0,5.0
55,economist,philosopher,17.933908045977013,2,1.0,1.0
56,economist,theologian,17.933908045977013,2,3.0,2.0
57,economist,historian,13.629885057471265,2,2.0,3.0
58,economist,botanist,6.814942528735632,1,4.0,4.0
59,botanist,philosopher,13.629885057471265,2,1.0,1.0
60,botanist,economist,6.814942528735632,1,2.0,2.0
61,botanist,zoologist,6.814942528735632,1,5.0,3.0
62,botanist,linguist,5.10367816091954,1,4.0,4.0
63,botanist,theologian,2.5798850574712646,1,3.0,5.0
64,astronomer,mathematician,190.5325670498084,8,1.0,1.0
65,astronomer,geographer,135.17241379310343,5,2.0,2.0
66,astronomer,historian,20.44482758620689,3,3.0,3.0
67,astronomer,linguist,19.372413793103444,2,4.0,4.0
68,astronomer,zoologist,5.387931034482758,1,6.0,5.0
69,astronomer,theologian,1.9008620689655176,1,5.0,6.0
70,archeologist,historian,30.91494252873563,2,1.0,1.0
71,archeologist,anthropologist,27.034482758620694,1,2.0,2.0
72,anthropologist,historian,84.97241379310344,4,1.0,1.0
73,anthropologist,archeologist,27.034482758620694,1,3.0,2.0
74,anthropologist,theologian,5.387931034482758,1,2.0,3.0
75,anatomist,historian,15.457471264367815,1,1.0,1.0
