,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,36902.738574920906,49,1.0,1.0
1,zoologist,mathematician,6136.2914754752,21,2.0,2.0
2,zoologist,physicist,4957.075417026172,18,3.0,3.0
3,zoologist,historian,4207.6320450203375,17,5.0,4.0
4,zoologist,philosopher,4014.836930020655,17,4.0,5.0
5,zoologist,anatomist,3619.923142019739,15,7.0,6.0
6,zoologist,theologian,3437.4333117630135,15,6.0,7.0
7,zoologist,astronomer,2586.77961530816,12,8.0,8.0
8,zoologist,chemist,681.5255967788323,6,9.0,9.0
9,zoologist,musicologist,503.7328785591027,5,10.0,10.0
10,zoologist,geologist,443.3059310976332,5,11.0,11.0
11,zoologist,economist,320.80656276962895,4,12.0,12.0
12,zoologist,pharmacologist,304.22350445786594,2,17.0,13.0
13,zoologist,archeologist,300.2624388840955,4,13.0,14.0
14,zoologist,meteorologist,246.20793869453817,3,16.0,15.0
15,zoologist,linguist,238.63331176301406,4,14.0,16.0
16,zoologist,geographer,126.15836080981141,3,15.0,17.0
17,zoologist,art theorist,36.55227207362669,1,19.0,18.0
18,zoologist,paleontologist,26.05482864669124,1,18.0,19.0
19,theologian,mathematician,138263.85695479382,102,1.0,1.0
20,theologian,philosopher,74713.71150024838,75,2.0,2.0
21,theologian,astronomer,50115.86982481517,54,3.0,3.0
22,theologian,physicist,22189.508306010925,39,4.0,4.0
23,theologian,historian,21129.157435597193,39,5.0,5.0
24,theologian,geographer,13337.15743559719,31,6.0,6.0
25,theologian,linguist,4197.02830601093,17,7.0,7.0
26,theologian,musicologist,3797.9712295081968,14,10.0,8.0
27,theologian,zoologist,3437.4333117630135,15,8.0,9.0
28,theologian,logician,3107.2204918032785,8,13.0,10.0
29,theologian,botanist,2841.508306010928,14,9.0,11.0
30,theologian,economist,1233.3312295081967,8,11.0,12.0
31,theologian,archeologist,1155.2546448087433,8,12.0,13.0
32,theologian,anatomist,741.1806801840667,7,14.0,14.0
33,theologian,chemist,447.55464480874326,5,15.0,15.0
34,theologian,anthropologist,326.6763856362217,4,16.0,16.0
35,theologian,political scientist,163.33819281811085,2,18.0,17.0
36,theologian,geologist,64.95217775634843,2,17.0,18.0
37,theologian,meteorologist,24.655750124192746,1,19.0,19.0
38,theologian,paleontologist,24.655750124192746,1,20.0,20.0
39,sociologist,philosopher,701.8407228017884,4,1.0,1.0
40,sociologist,historian,412.3072306791569,3,2.0,2.0
41,sociologist,anthropologist,67.72862997658079,1,6.0,3.0
42,sociologist,economist,63.082035519125675,1,5.0,4.0
43,sociologist,geographer,44.497706869633106,1,3.0,5.0
44,sociologist,mathematician,42.38617734724291,1,4.0,6.0
45,political scientist,historian,2533.5761228671795,8,1.0,1.0
46,political scientist,philosopher,1849.299025086935,7,2.0,2.0
47,political scientist,economist,219.10364461358313,2,4.0,3.0
48,political scientist,theologian,163.33819281811085,2,3.0,4.0
49,political scientist,linguist,163.33819281811085,2,5.0,5.0
50,political scientist,anthropologist,57.77183701349392,1,7.0,6.0
51,political scientist,mathematician,36.05227184018167,1,6.0,7.0
52,physicist,mathematician,221218.65695479387,129,1.0,1.0
53,physicist,astronomer,96732.41100128576,75,2.0,2.0
54,physicist,philosopher,57842.475136612,66,3.0,3.0
55,physicist,theologian,22189.508306010925,39,4.0,4.0
56,physicist,chemist,5893.254644808743,18,6.0,5.0
57,physicist,zoologist,4957.075417026172,18,5.0,6.0
58,physicist,musicologist,3272.931229508197,13,11.0,7.0
59,physicist,historian,3107.214578454333,15,7.0,8.0
60,physicist,anatomist,2992.528048605119,14,9.0,9.0
61,physicist,botanist,2841.508306010928,14,8.0,10.0
62,physicist,geographer,2330.414578454333,13,10.0,11.0
63,physicist,meteorologist,946.2921137605563,6,13.0,12.0
64,physicist,archeologist,646.8546448087433,6,12.0,13.0
65,physicist,geologist,608.105118932819,6,14.0,14.0
66,physicist,epidemiologist,230.25707650273225,2,17.0,15.0
67,physicist,linguist,226.3083060109289,4,15.0,16.0
68,physicist,economist,169.7312295081967,3,16.0,17.0
69,physicist,logician,46.82049180327869,1,20.0,18.0
70,physicist,paleontologist,24.655750124192746,1,19.0,19.0
71,physicist,anthropologist,18.962099921935987,1,18.0,20.0
72,philosopher,mathematician,321137.02479903365,163,1.0,1.0
73,philosopher,astronomer,102568.58793029135,81,2.0,2.0
74,philosopher,theologian,74713.71150024838,75,3.0,3.0
75,philosopher,physicist,57842.475136612,66,4.0,4.0
76,philosopher,historian,24451.507464871196,44,5.0,5.0
77,philosopher,geographer,7872.156815520544,25,6.0,6.0
78,philosopher,musicologist,7058.238170640833,20,8.0,7.0
79,philosopher,anatomist,6736.702958728789,22,7.0,8.0
80,philosopher,chemist,5354.241927471436,18,10.0,9.0
81,philosopher,linguist,5283.711500248386,20,9.0,10.0
82,philosopher,economist,5094.492716095379,17,12.0,11.0
83,philosopher,zoologist,4014.836930020655,17,11.0,12.0
84,philosopher,logician,3575.4770864381517,9,14.0,13.0
85,philosopher,botanist,3375.2024093392943,16,13.0,14.0
86,philosopher,political scientist,1849.299025086935,7,16.0,15.0
87,philosopher,archeologist,1048.7873820168902,8,15.0,16.0
88,philosopher,sociologist,701.8407228017884,4,19.0,17.0
89,philosopher,anthropologist,465.3772709530906,5,17.0,18.0
90,philosopher,geologist,242.5879302913416,4,18.0,19.0
91,philosopher,meteorologist,92.8347135663641,2,20.0,20.0
92,philosopher,paleontologist,92.8347135663641,2,21.0,21.0
93,philosopher,art theorist,31.302781917536016,1,22.0,22.0
94,pharmacologist,botanist,1163.213661202186,4,1.0,1.0
95,pharmacologist,chemist,817.5109289617486,3,2.0,2.0
96,pharmacologist,zoologist,304.22350445786594,2,3.0,3.0
97,pharmacologist,anatomist,75.06560972102388,1,4.0,4.0
98,paleontologist,botanist,655.4921137605564,5,1.0,1.0
99,paleontologist,geologist,121.2939651456708,2,3.0,2.0
100,paleontologist,philosopher,92.8347135663641,2,2.0,3.0
101,paleontologist,meteorologist,46.41735678318205,1,11.0,4.0
