,source,target,weight,rank_count
0,anatomist,anatomist,1.0,1.0
1,anatomist,anthropologist,-0.3496189500645469,16.0
2,anatomist,archeologist,-0.3042206135386203,13.0
3,anatomist,astronomer,-0.41078492002426986,20.0
4,anatomist,botanist,0.6274531945285958,2.0
5,anatomist,chemist,-0.04601272348171483,9.0
6,anatomist,economist,-0.04934593099012528,10.0
7,anatomist,epidemiologist,0.3543921674835775,5.0
8,anatomist,geographer,-0.3772816074794376,17.0
9,anatomist,geologist,0.012514572996646456,7.0
10,anatomist,historian,-0.15405427667947616,11.0
11,anatomist,linguist,-0.32618421058891156,15.0
12,anatomist,logician,-0.3242108460370367,14.0
13,anatomist,mathematician,-0.45758028710397836,22.0
14,anatomist,meteorologist,-0.45478727866642804,21.0
15,anatomist,musicologist,-0.3998494575376831,19.0
16,anatomist,pharmacologist,0.5860177631382066,3.0
17,anatomist,philosopher,-0.47762833228480345,23.0
18,anatomist,physicist,-0.2725367085082544,12.0
19,anatomist,political scientist,-0.028032364271677494,8.0
20,anatomist,sociologist,0.0525467887188441,6.0
21,anatomist,theologian,-0.3980761761949841,18.0
22,anatomist,zoologist,0.5255802901940428,4.0
23,anthropologist,anatomist,-0.3496189500645469,20.0
24,anthropologist,anthropologist,1.0,1.0
25,anthropologist,archeologist,0.8163035801495466,2.0
26,anthropologist,astronomer,-0.12319762310886422,15.0
27,anthropologist,botanist,-0.3621817373846652,21.0
28,anthropologist,chemist,-0.4421217968463752,23.0
29,anthropologist,economist,0.07534580539127957,11.0
30,anthropologist,epidemiologist,-0.32409070039474375,18.0
31,anthropologist,geographer,0.2520276498332483,5.0
32,anthropologist,geologist,-0.1442085921891301,16.0
33,anthropologist,historian,0.7534078176465335,3.0
34,anthropologist,linguist,0.16989820189452534,9.0
35,anthropologist,logician,0.22579989950596246,7.0
36,anthropologist,mathematician,-0.06035983168236529,12.0
37,anthropologist,meteorologist,-0.09259240155849327,14.0
38,anthropologist,musicologist,-0.08097146094553569,13.0
39,anthropologist,pharmacologist,-0.3985586194753442,22.0
40,anthropologist,philosopher,0.23218509808205698,6.0
41,anthropologist,physicist,-0.2639269845234974,17.0
42,anthropologist,political scientist,0.21791700744150477,8.0
43,anthropologist,sociologist,0.1456002793246058,10.0
44,anthropologist,theologian,0.40836770976616843,4.0
45,anthropologist,zoologist,-0.34157799823234586,19.0
46,archeologist,anatomist,-0.3042206135386203,20.0
47,archeologist,anthropologist,0.8163035801495466,2.0
48,archeologist,archeologist,1.0,1.0
49,archeologist,astronomer,-0.21539534305329153,14.0
50,archeologist,botanist,-0.2943353313355585,19.0
51,archeologist,chemist,-0.5031412825292045,23.0
52,archeologist,economist,0.06020457071784939,11.0
53,archeologist,epidemiologist,-0.2820993188874533,17.0
54,archeologist,geographer,0.14572578058845034,9.0
55,archeologist,geologist,-0.14939603062983506,12.0
56,archeologist,historian,0.8041476871452461,3.0
57,archeologist,linguist,0.2768632721870256,7.0
58,archeologist,logician,0.34769733160007,5.0
59,archeologist,mathematician,-0.14960751441436848,13.0
60,archeologist,meteorologist,-0.24031525524075265,16.0
61,archeologist,musicologist,-0.22344769097177714,15.0
62,archeologist,pharmacologist,-0.34869704481030256,22.0
63,archeologist,philosopher,0.19399586225164123,8.0
64,archeologist,physicist,-0.3365978527800729,21.0
65,archeologist,political scientist,0.27754812035819737,6.0
66,archeologist,sociologist,0.1144786112426097,10.0
67,archeologist,theologian,0.49089379634961255,4.0
68,archeologist,zoologist,-0.2922324963914365,18.0
69,astronomer,anatomist,-0.41078492002426986,19.0
70,astronomer,anthropologist,-0.12319762310886422,12.0
71,astronomer,archeologist,-0.21539534305329153,15.0
72,astronomer,astronomer,1.0,1.0
73,astronomer,botanist,-0.5464545477694798,23.0
74,astronomer,chemist,0.6297297799943042,6.0
75,astronomer,economist,-0.2873261891028452,16.0
76,astronomer,epidemiologist,-0.1608437063477105,14.0
77,astronomer,geographer,0.5342761373387614,7.0
78,astronomer,geologist,0.3047134139500694,9.0
79,astronomer,historian,-0.4413122142661747,20.0
