,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,1433.0400136798905,12,1.0,1.0
1,zoologist,historian,595.6602067183462,8,2.0,2.0
2,zoologist,mathematician,332.1046511627907,6,3.0,3.0
3,zoologist,philosopher,282.97923588039873,6,4.0,4.0
4,zoologist,anatomist,221.40310077519376,4,6.0,5.0
5,zoologist,theologian,188.65282392026575,4,7.0,6.0
6,zoologist,geographer,153.9811901504788,4,5.0,7.0
7,zoologist,linguist,104.65282392026575,3,10.0,8.0
8,zoologist,physicist,90.84302325581395,3,8.0,9.0
9,zoologist,astronomer,90.84302325581395,3,9.0,10.0
10,zoologist,meteorologist,58.609408033826625,2,12.0,11.0
11,zoologist,chemist,45.22425249169435,2,11.0,12.0
12,zoologist,geologist,12.403100775193797,1,15.0,13.0
13,zoologist,economist,11.306350626118068,1,13.0,14.0
14,zoologist,anthropologist,8.843023255813955,1,14.0,15.0
15,theologian,philosopher,3130.073137161841,19,1.0,1.0
16,theologian,mathematician,2924.9071982281284,17,2.0,2.0
17,theologian,astronomer,2561.604678848284,15,3.0,3.0
18,theologian,historian,639.3357696566999,8,4.0,4.0
19,theologian,geographer,517.2687186502508,7,5.0,5.0
20,theologian,physicist,402.72967884828347,6,6.0,6.0
21,theologian,logician,241.73056478405317,2,11.0,7.0
22,theologian,zoologist,188.65282392026575,4,7.0,8.0
23,theologian,musicologist,159.91140642303432,3,8.0,9.0
24,theologian,archeologist,77.95359911406423,2,13.0,10.0
25,theologian,anatomist,57.4936877076412,2,9.0,11.0
26,theologian,chemist,48.72903021673786,2,12.0,12.0
27,theologian,botanist,39.45359259983062,2,10.0,13.0
28,theologian,economist,12.246366811483089,1,14.0,14.0
29,sociologist,political scientist,170.00581395348837,1,5.0,1.0
30,sociologist,historian,110.70155038759688,2,1.0,2.0
31,sociologist,philosopher,94.32641196013287,2,2.0,3.0
32,sociologist,economist,37.7175014907573,1,3.0,4.0
33,sociologist,anthropologist,30.28100775193798,1,4.0,5.0
34,political scientist,sociologist,170.00581395348837,1,3.0,1.0
35,political scientist,philosopher,159.83394241417497,2,1.0,2.0
36,political scientist,linguist,59.444850498338866,1,2.0,3.0
37,physicist,mathematician,12859.94496124031,38,1.0,1.0
38,physicist,astronomer,9010.411724806201,30,2.0,2.0
39,physicist,philosopher,5964.130232558139,28,3.0,3.0
40,physicist,botanist,450.88483812129505,7,5.0,4.0
41,physicist,geographer,450.88483812129505,7,4.0,5.0
42,physicist,theologian,402.72967884828347,6,6.0,6.0
43,physicist,chemist,402.72967884828347,6,7.0,7.0
44,physicist,musicologist,250.06201550387595,4,10.0,8.0
45,physicist,historian,214.0699612403101,5,8.0,9.0
46,physicist,linguist,176.37253599114064,4,9.0,10.0
47,physicist,anatomist,115.01191860465119,3,11.0,11.0
48,physicist,zoologist,90.84302325581395,3,12.0,12.0
49,physicist,geologist,49.824418604651164,2,14.0,13.0
50,physicist,anthropologist,36.41172480620155,2,13.0,14.0
51,physicist,meteorologist,12.727307963354477,1,16.0,15.0
52,physicist,economist,10.484466308884912,1,15.0,16.0
53,philosopher,mathematician,85393.92428940568,112,1.0,1.0
54,philosopher,astronomer,46560.55880398671,78,2.0,2.0
55,philosopher,musicologist,8253.224252491695,26,5.0,3.0
56,philosopher,historian,6497.352860834255,31,3.0,4.0
57,philosopher,physicist,5964.130232558139,28,4.0,5.0
58,philosopher,theologian,3130.073137161841,19,6.0,6.0
59,philosopher,geographer,2305.6509771350397,18,7.0,7.0
60,philosopher,linguist,1239.7874228761273,12,8.0,8.0
61,philosopher,botanist,702.8274477232754,10,9.0,9.0
62,philosopher,anatomist,639.3357696566999,8,10.0,10.0
63,philosopher,economist,328.32559417326854,6,12.0,11.0
64,philosopher,chemist,304.0323208353108,6,14.0,12.0
65,philosopher,zoologist,282.97923588039873,6,11.0,13.0
66,philosopher,anthropologist,264.558803986711,6,13.0,14.0
67,philosopher,logician,159.83394241417497,2,16.0,15.0
68,philosopher,political scientist,159.83394241417497,2,17.0,16.0
69,philosopher,archeologist,116.93039867109636,3,15.0,17.0
70,philosopher,sociologist,94.32641196013287,2,20.0,18.0
71,philosopher,paleontologist,59.444850498338866,1,21.0,19.0
72,philosopher,meteorologist,40.76485955904561,2,18.0,20.0
73,philosopher,geologist,37.0500553709856,2,19.0,21.0
74,pharmacologist,botanist,603.0654126766985,2,1.0,1.0
75,paleontologist,archeologist,141.34031007751938,1,2.0,1.0
76,paleontologist,philosopher,59.444850498338866,1,1.0,2.0
77,musicologist,philosopher,8253.224252491695,26,1.0,1.0
78,musicologist,mathematician,4108.403100775195,17,2.0,2.0
79,musicologist,astronomer,2298.062015503876,12,3.0,3.0
80,musicologist,historian,504.0697674418605,6,4.0,4.0
81,musicologist,linguist,450.7685492801771,5,5.0,5.0
82,musicologist,physicist,250.06201550387595,4,6.0,6.0
83,musicologist,theologian,159.91140642303432,3,7.0,7.0
84,musicologist,geographer,56.77177382580938,2,8.0,8.0
85,musicologist,anatomist,19.546511627906977,1,9.0,9.0
86,musicologist,chemist,16.482834994462902,1,10.0,10.0
87,meteorologist,mathematician,200.56159267089495,4,1.0,1.0
88,meteorologist,zoologist,58.609408033826625,2,4.0,2.0
89,meteorologist,astronomer,54.7045806906272,2,2.0,3.0
90,meteorologist,philosopher,40.76485955904561,2,3.0,4.0
91,meteorologist,geologist,17.59661733615222,1,11.0,5.0
92,meteorologist,economist,16.097384398547188,1,9.0,6.0
93,meteorologist,physicist,12.727307963354477,1,5.0,7.0
94,meteorologist,anthropologist,12.727307963354477,1,10.0,8.0
95,meteorologist,botanist,11.869272064005306,1,8.0,9.0
96,meteorologist,geographer,11.869272064005306,1,7.0,10.0
97,meteorologist,historian,11.10704721634954,1,6.0,11.0
98,mathematician,astronomer,365131.94496124034,202,1.0,1.0
99,mathematician,philosopher,85393.92428940568,112,2.0,2.0
100,mathematician,geographer,13410.314683082534,40,3.0,3.0
101,mathematician,physicist,12859.94496124031,38,4.0,4.0
102,mathematician,historian,8090.1996554694215,32,5.0,5.0
103,mathematician,musicologist,4108.403100775195,17,7.0,6.0
104,mathematician,linguist,3658.050055370986,19,6.0,7.0
105,mathematician,theologian,2924.9071982281284,17,8.0,8.0
106,mathematician,botanist,665.059781121751,9,9.0,9.0
107,mathematician,chemist,356.66910299003325,6,11.0,10.0
108,mathematician,zoologist,332.1046511627907,6,10.0,11.0
109,mathematician,anatomist,288.69483204134366,5,12.0,12.0
110,mathematician,meteorologist,200.56159267089495,4,14.0,13.0
111,mathematician,anthropologist,135.44496124031008,4,13.0,14.0
112,mathematician,art theorist,69.68062015503877,1,18.0,15.0
113,mathematician,geologist,43.86149870801034,2,15.0,16.0
114,mathematician,archeologist,13.988716623600343,1,17.0,17.0
115,mathematician,economist,9.116338700059629,1,16.0,18.0
116,logician,linguist,546.8734219269103,3,1.0,1.0
117,logician,theologian,241.73056478405317,2,3.0,2.0
118,logician,philosopher,159.83394241417497,2,2.0,3.0
119,linguist,mathematician,3658.050055370986,19,1.0,1.0
120,linguist,astronomer,3294.7475359911414,17,2.0,2.0
121,linguist,historian,1978.7643410852713,14,3.0,3.0
122,linguist,philosopher,1239.7874228761273,12,4.0,4.0
123,linguist,geographer,677.8737606670576,8,5.0,5.0
124,linguist,logician,546.8734219269103,3,11.0,6.0
125,linguist,botanist,517.2687186502508,7,6.0,7.0
126,linguist,musicologist,450.7685492801771,5,7.0,8.0
127,linguist,chemist,202.68821389020727,4,9.0,9.0
128,linguist,physicist,176.37253599114064,4,8.0,10.0
129,linguist,zoologist,104.65282392026575,3,10.0,11.0
130,linguist,archeologist,77.95359911406423,2,12.0,12.0
131,linguist,political scientist,59.444850498338866,1,14.0,13.0
132,linguist,anthropologist,9.6046788482835,1,13.0,14.0
133,historian,geographer,17748.90291837665,46,1.0,1.0
134,historian,astronomer,8547.069961240311,31,3.0,2.0
135,historian,mathematician,8090.1996554694215,32,2.0,3.0
136,historian,philosopher,6497.352860834255,31,4.0,4.0
137,historian,archeologist,3093.544272179155,14,6.0,5.0
