source,anatomist,anthropologist,astronomer,botanist,geographer,historian,linguist,mathematician,musicologist,philosopher,physicist,theologian
anatomist,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
anthropologist,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
astronomer,0.0,0.0,0.0,0.0,5.0,3.0,2.0,36.0,5.0,23.0,6.0,0.0
botanist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
geographer,0.0,0.0,5.0,0.0,0.0,11.0,0.0,7.0,2.0,6.0,2.0,0.0
historian,2.0,2.0,3.0,0.0,11.0,0.0,0.0,6.0,4.0,12.0,0.0,0.0
linguist,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
mathematician,0.0,0.0,36.0,0.0,7.0,6.0,0.0,0.0,10.0,46.0,9.0,0.0
musicologist,0.0,0.0,5.0,0.0,2.0,4.0,2.0,10.0,0.0,18.0,0.0,0.0
philosopher,2.0,0.0,23.0,2.0,6.0,12.0,2.0,46.0,18.0,0.0,9.0,2.0
physicist,0.0,0.0,6.0,0.0,2.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0
theologian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
