source,anatomist,anthropologist,archeologist,art theorist,astronomer,botanist,chemist,economist,geneticist,geographer,geologist,historian,linguist,logician,mathematician,meteorologist,musicologist,paleontologist,pharmacologist,philosopher,physicist,political scientist,sociologist,taxonomist,theologian,zoologist
anatomist,0.0,20.0,12.0,0.0,8.0,47.0,19.0,2.0,0.0,7.0,21.0,16.0,5.0,0.0,16.0,2.0,3.0,15.0,4.0,21.0,20.0,0.0,0.0,0.0,7.0,60.0
anthropologist,20.0,0.0,129.0,0.0,2.0,26.0,2.0,0.0,0.0,19.0,17.0,124.0,37.0,0.0,4.0,2.0,0.0,9.0,0.0,8.0,2.0,0.0,3.0,0.0,8.0,35.0
archeologist,12.0,129.0,0.0,0.0,7.0,29.0,3.0,5.0,0.0,17.0,22.0,388.0,73.0,0.0,9.0,0.0,2.0,17.0,0.0,16.0,7.0,0.0,0.0,0.0,10.0,20.0
art theorist,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
astronomer,8.0,2.0,7.0,0.0,0.0,17.0,7.0,4.0,0.0,64.0,9.0,21.0,14.0,0.0,307.0,20.0,11.0,0.0,0.0,50.0,93.0,0.0,0.0,0.0,32.0,12.0
botanist,47.0,26.0,29.0,3.0,17.0,0.0,74.0,23.0,5.0,29.0,72.0,43.0,23.0,0.0,21.0,16.0,5.0,53.0,13.0,16.0,38.0,0.0,0.0,4.0,18.0,283.0
chemist,19.0,2.0,3.0,0.0,7.0,74.0,0.0,5.0,2.0,4.0,36.0,4.0,3.0,0.0,18.0,2.0,0.0,4.0,26.0,15.0,89.0,0.0,0.0,0.0,5.0,28.0
economist,2.0,0.0,5.0,0.0,4.0,23.0,5.0,0.0,0.0,9.0,2.0,57.0,7.0,0.0,22.0,0.0,3.0,0.0,0.0,40.0,6.0,4.0,15.0,0.0,9.0,8.0
geneticist,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geographer,7.0,19.0,17.0,0.0,64.0,29.0,4.0,9.0,0.0,0.0,30.0,135.0,20.0,0.0,63.0,10.0,2.0,7.0,0.0,20.0,19.0,2.0,0.0,0.0,26.0,18.0
geologist,21.0,17.0,22.0,0.0,9.0,72.0,36.0,2.0,0.0,30.0,0.0,27.0,4.0,0.0,18.0,9.0,5.0,80.0,0.0,9.0,25.0,0.0,0.0,0.0,9.0,77.0
