source,anatomist,anthropologist,archeologist,art theorist,astronomer,botanist,chemist,economist,geneticist,geographer,geologist,historian,linguist,logician,mathematician,meteorologist,musicologist,paleontologist,pharmacologist,philosopher,physicist,political scientist,sociologist,taxonomist,theologian,zoologist
anatomist,0.0,21.0,13.0,0.0,9.0,43.0,13.0,0.0,0.0,12.0,17.0,15.0,3.0,0.0,15.0,3.0,3.0,15.0,4.0,29.0,21.0,0.0,0.0,0.0,5.0,50.0
anthropologist,21.0,0.0,125.0,0.0,4.0,22.0,3.0,5.0,0.0,22.0,15.0,129.0,44.0,0.0,6.0,2.0,2.0,17.0,0.0,15.0,3.0,0.0,7.0,0.0,6.0,27.0
archeologist,13.0,125.0,0.0,0.0,6.0,27.0,0.0,6.0,0.0,14.0,16.0,362.0,69.0,0.0,6.0,0.0,4.0,19.0,0.0,8.0,0.0,0.0,0.0,0.0,14.0,19.0
art theorist,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
astronomer,9.0,4.0,6.0,0.0,0.0,21.0,11.0,3.0,0.0,83.0,14.0,28.0,20.0,0.0,372.0,18.0,10.0,0.0,0.0,91.0,109.0,0.0,0.0,0.0,31.0,12.0
botanist,43.0,22.0,27.0,2.0,21.0,0.0,67.0,21.0,3.0,29.0,74.0,46.0,15.0,0.0,21.0,16.0,3.0,50.0,9.0,25.0,37.0,0.0,2.0,2.0,16.0,257.0
chemist,13.0,3.0,0.0,0.0,11.0,67.0,0.0,5.0,2.0,4.0,29.0,5.0,3.0,0.0,21.0,5.0,0.0,3.0,16.0,18.0,91.0,0.0,0.0,0.0,5.0,22.0
economist,0.0,5.0,6.0,0.0,3.0,21.0,5.0,0.0,0.0,10.0,3.0,52.0,10.0,0.0,20.0,2.0,2.0,0.0,0.0,52.0,6.0,5.0,20.0,0.0,7.0,8.0
geneticist,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geographer,12.0,22.0,14.0,0.0,83.0,29.0,4.0,10.0,0.0,0.0,28.0,126.0,20.0,0.0,86.0,10.0,2.0,4.0,0.0,27.0,17.0,2.0,0.0,0.0,25.0,15.0
geologist,17.0,15.0,16.0,0.0,14.0,74.0,29.0,3.0,0.0,28.0,0.0,18.0,5.0,0.0,18.0,13.0,4.0,87.0,0.0,10.0,28.0,0.0,0.0,0.0,7.0,69.0
historian,15.0,129.0,362.0,13.0,28.0,46.0,5.0,52.0,0.0,126.0,18.0,0.0,117.0,0.0,81.0,2.0,31.0,12.0,0.0,61.0,15.0,5.0,9.0,0.0,34.0,30.0
