source,anatomist,anthropologist,archeologist,art theorist,astronomer,botanist,chemist,economist,geneticist,geographer,geologist,historian,linguist,logician,mathematician,meteorologist,musicologist,paleontologist,pharmacologist,philosopher,physicist,political scientist,sociologist,taxonomist,theologian,zoologist
anatomist,0.0,17.0,15.0,0.0,12.0,43.0,20.0,0.0,0.0,9.0,18.0,14.0,5.0,0.0,18.0,3.0,0.0,17.0,6.0,28.0,16.0,0.0,0.0,0.0,5.0,53.0
anthropologist,17.0,0.0,129.0,0.0,0.0,25.0,3.0,2.0,0.0,20.0,15.0,124.0,36.0,0.0,3.0,0.0,4.0,13.0,0.0,6.0,3.0,0.0,7.0,0.0,7.0,31.0
archeologist,15.0,129.0,0.0,0.0,7.0,32.0,5.0,8.0,0.0,16.0,25.0,383.0,70.0,0.0,9.0,0.0,2.0,21.0,0.0,9.0,4.0,0.0,0.0,0.0,11.0,23.0
art theorist,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0
astronomer,12.0,0.0,7.0,0.0,0.0,19.0,10.0,2.0,0.0,59.0,12.0,26.0,13.0,0.0,304.0,16.0,5.0,0.0,0.0,44.0,107.0,0.0,0.0,0.0,21.0,13.0
botanist,43.0,25.0,32.0,3.0,19.0,0.0,70.0,16.0,4.0,27.0,77.0,47.0,15.0,0.0,22.0,18.0,5.0,52.0,11.0,20.0,40.0,0.0,0.0,2.0,13.0,264.0
chemist,20.0,3.0,5.0,0.0,10.0,70.0,0.0,4.0,2.0,0.0,34.0,2.0,4.0,0.0,21.0,7.0,0.0,5.0,21.0,16.0,98.0,0.0,0.0,0.0,5.0,25.0
economist,0.0,2.0,8.0,0.0,2.0,16.0,4.0,0.0,0.0,6.0,2.0,52.0,9.0,0.0,15.0,0.0,0.0,0.0,0.0,39.0,4.0,6.0,14.0,0.0,7.0,6.0
geneticist,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geographer,9.0,20.0,16.0,0.0,59.0,27.0,0.0,6.0,0.0,0.0,35.0,112.0,19.0,0.0,56.0,8.0,0.0,5.0,0.0,15.0,15.0,2.0,0.0,0.0,19.0,17.0
geologist,18.0,15.0,25.0,0.0,12.0,77.0,34.0,2.0,0.0,35.0,0.0,19.0,3.0,0.0,19.0,13.0,6.0,88.0,0.0,7.0,32.0,0.0,0.0,0.0,11.0,88.0
historian,14.0,124.0,383.0,15.0,26.0,47.0,2.0,52.0,0.0,112.0,19.0,0.0,120.0,0.0,63.0,3.0,25.0,11.0,0.0,43.0,17.0,5.0,12.0,0.0,24.0,31.0
linguist,5.0,36.0,70.0,3.0,13.0,15.0,4.0,9.0,0.0,19.0,3.0,120.0,0.0,0.0,31.0,0.0,13.0,0.0,0.0,20.0,7.0,4.0,0.0,0.0,17.0,15.0
logician,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
mathematician,18.0,3.0,9.0,0.0,304.0,22.0,21.0,15.0,0.0,56.0,19.0,63.0,31.0,0.0,0.0,18.0,14.0,0.0,0.0,108.0,216.0,0.0,4.0,0.0,42.0,27.0
meteorologist,3.0,0.0,0.0,0.0,16.0,18.0,7.0,0.0,0.0,8.0,13.0,3.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,7.0
musicologist,0.0,4.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,25.0,13.0,0.0,14.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,7.0,2.0
paleontologist,17.0,13.0,21.0,0.0,0.0,52.0,5.0,0.0,0.0,5.0,88.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,71.0
pharmacologist,6.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
philosopher,28.0,6.0,9.0,6.0,44.0,20.0,16.0,39.0,0.0,15.0,7.0,43.0,20.0,3.0,108.0,2.0,15.0,2.0,0.0,0.0,51.0,11.0,19.0,0.0,33.0,26.0
physicist,16.0,3.0,4.0,2.0,107.0,40.0,98.0,4.0,0.0,15.0,32.0,17.0,7.0,0.0,216.0,25.0,9.0,3.0,0.0,51.0,0.0,0.0,3.0,0.0,20.0,29.0
political scientist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0
sociologist,0.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0
taxonomist,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
theologian,5.0,7.0,11.0,0.0,21.0,13.0,5.0,7.0,0.0,19.0,11.0,24.0,17.0,0.0,42.0,0.0,7.0,0.0,0.0,33.0,20.0,0.0,0.0,0.0,0.0,11.0
zoologist,53.0,31.0,23.0,2.0,13.0,264.0,25.0,6.0,0.0,17.0,88.0,31.0,15.0,0.0,27.0,7.0,2.0,71.0,2.0,26.0,29.0,0.0,0.0,0.0,11.0,0.0
