source,anatomist,anthropologist,archeologist,astronomer,botanist,chemist,economist,geographer,geologist,historian,linguist,logician,mathematician,meteorologist,musicologist,pharmacologist,philosopher,physicist,political scientist,theologian,zoologist
anatomist,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
anthropologist,0.0,0.0,2.0,3.0,2.0,0.0,2.0,4.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0
archeologist,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
astronomer,3.0,3.0,0.0,0.0,6.0,8.0,3.0,35.0,2.0,25.0,14.0,0.0,187.0,2.0,15.0,0.0,85.0,20.0,0.0,20.0,3.0
botanist,0.0,2.0,0.0,6.0,0.0,4.0,2.0,9.0,0.0,10.0,7.0,0.0,7.0,0.0,0.0,3.0,10.0,4.0,0.0,4.0,8.0
chemist,2.0,0.0,0.0,8.0,4.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,6.0,0.0,2.0,0.0,7.0,4.0,0.0,0.0,3.0
economist,0.0,2.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,8.0,3.0,0.0,2.0,2.0
geographer,2.0,4.0,2.0,35.0,9.0,3.0,2.0,0.0,0.0,47.0,6.0,0.0,34.0,0.0,4.0,0.0,20.0,7.0,0.0,8.0,5.0
geologist,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
historian,3.0,7.0,10.0,25.0,10.0,2.0,2.0,47.0,3.0,0.0,9.0,0.0,29.0,0.0,9.0,0.0,32.0,3.0,0.0,5.0,5.0
linguist,0.0,0.0,2.0,14.0,7.0,3.0,0.0,6.0,0.0,9.0,0.0,4.0,15.0,0.0,3.0,0.0,14.0,4.0,0.0,3.0,3.0
logician,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0
mathematician,2.0,3.0,0.0,187.0,7.0,6.0,5.0,34.0,2.0,29.0,15.0,0.0,0.0,3.0,25.0,0.0,113.0,25.0,0.0,24.0,4.0
meteorologist,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
musicologist,0.0,0.0,0.0,15.0,0.0,2.0,2.0,4.0,0.0,9.0,3.0,0.0,25.0,0.0,0.0,0.0,31.0,4.0,0.0,7.0,2.0
pharmacologist,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
philosopher,7.0,6.0,0.0,85.0,10.0,7.0,8.0,20.0,2.0,32.0,14.0,6.0,113.0,2.0,31.0,0.0,0.0,25.0,2.0,32.0,9.0
physicist,0.0,2.0,0.0,20.0,4.0,4.0,3.0,7.0,0.0,3.0,4.0,0.0,25.0,0.0,4.0,0.0,25.0,0.0,0.0,6.0,3.0
political scientist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
theologian,0.0,2.0,0.0,20.0,4.0,0.0,2.0,8.0,0.0,5.0,3.0,5.0,24.0,0.0,7.0,0.0,32.0,6.0,0.0,0.0,3.0
zoologist,0.0,0.0,0.0,3.0,8.0,3.0,2.0,5.0,0.0,5.0,3.0,0.0,4.0,2.0,2.0,0.0,9.0,3.0,0.0,3.0,0.0
