source,anatomist,anthropologist,archeologist,astronomer,botanist,chemist,economist,geographer,geologist,historian,linguist,logician,mathematician,meteorologist,musicologist,pharmacologist,philosopher,physicist,political scientist,theologian,zoologist
anatomist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
anthropologist,0.0,0.0,6.0,2.0,4.0,2.0,0.0,3.0,2.0,10.0,5.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
archeologist,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
astronomer,0.0,2.0,0.0,0.0,4.0,4.0,0.0,15.0,0.0,17.0,13.0,0.0,120.0,2.0,8.0,0.0,46.0,14.0,0.0,2.0,0.0
botanist,0.0,4.0,0.0,4.0,0.0,5.0,0.0,8.0,5.0,9.0,6.0,0.0,3.0,0.0,0.0,3.0,8.0,4.0,0.0,0.0,20.0
chemist,0.0,2.0,0.0,4.0,5.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0
economist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
geographer,2.0,3.0,0.0,15.0,8.0,2.0,0.0,0.0,4.0,26.0,5.0,0.0,19.0,0.0,2.0,0.0,14.0,5.0,0.0,0.0,3.0
geologist,0.0,2.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historian,2.0,10.0,13.0,17.0,9.0,2.0,5.0,26.0,0.0,0.0,9.0,0.0,19.0,0.0,5.0,0.0,21.0,2.0,0.0,4.0,2.0
linguist,0.0,5.0,0.0,13.0,6.0,2.0,0.0,5.0,0.0,9.0,0.0,0.0,13.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0
logician,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
mathematician,0.0,2.0,0.0,120.0,3.0,3.0,0.0,19.0,0.0,19.0,13.0,0.0,0.0,2.0,13.0,0.0,66.0,15.0,0.0,2.0,0.0
meteorologist,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
musicologist,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0
pharmacologist,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
philosopher,4.0,4.0,0.0,46.0,8.0,3.0,4.0,14.0,0.0,21.0,8.0,2.0,66.0,0.0,21.0,0.0,0.0,11.0,4.0,6.0,3.0
physicist,0.0,0.0,0.0,14.0,4.0,6.0,0.0,5.0,0.0,2.0,3.0,0.0,15.0,2.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0
political scientist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
theologian,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
zoologist,0.0,0.0,0.0,0.0,20.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
