,individual_wikidata_id,individual_name,birthyear,meta_occupation,region_name
0,Q1000034,Joseph Dienger,1818.0,mathematician,Northwestern Europe | Western Europe | German world | Germany
1,Q100038758,Louis d'Eichthal,1837.0,archeologist,Northwestern Europe | Western Europe | France | Northern France
2,Q1000507,Hugh of Flavigny,1065.0,historian,Northwestern Europe | Western Europe | France | Northern France
3,Q1000581,Jakob Friedrich von Rösch,1743.0,mathematician,Northwestern Europe | Western Europe | German world | Germany
4,Q1000608,János Ferentzi,1789.0,anthropologist,Eastern Europe | Ottoman world
5,Q1000929,Imre Festetics,1764.0,geneticist,Eastern Europe | Central Europe
6,Q100108028,Mosze Schulboym,1830.0,linguist,Northwestern Europe | Western Europe | German world | Austria
7,Q1001161,Johann Ehrenreich Fichtel,1732.0,geologist,Eastern Europe | Central Europe
8,Q1001277,Ernst Albert Fritze,1791.0,zoologist,South East Asia
9,Q1001340,Lipót Fillinger,1787.0,theologian,Eastern Europe | Central Europe
10,Q100137293,Benjamin Cusner,1819.0,musicologist,Northwestern Europe | Western Europe | Belgium | Low countries
11,Q1001422,János Filó,1722.0,philosopher,Eastern Europe | Central Europe
12,Q100144733,Édouard Romberg,1817.0,historian,Northwestern Europe | Western Europe | France | Northern France
13,Q1001460,Imre Findura,1844.0,historian,Eastern Europe | Central Europe
14,Q100158315,Peter Jacob Barthold Coucheron,1828.0,theologian,Northwestern Europe | Western Europe | Nordic countries | Norway
15,Q1001609,Henrik Finály,1825.0,linguist,Eastern Europe | Ottoman world
16,Q1001675,Dániel Fischer,1695.0,zoologist,Eastern Europe | Central Europe
17,Q1001716,Leopold Fischer,1703.0,historian,Northwestern Europe | Western Europe | German world | Austria
18,Q1001766,Ádám Fitter,1679.0,theologian,Eastern Europe | Central Europe
19,Q1002095,Florian Aaron,1805.0,historian,Eastern Europe | Ottoman world
20,Q100210,Magnus Hundt,1449.0,philosopher | philosopher | anthropologist | anthropologist,Northwestern Europe | Western Europe | German world | Germany
21,Q1002329,József Fodor,1802.0,botanist,Eastern Europe | Central Europe
22,Q100234964,Alessandro De Angelis,1559.0,theologian,Western Europe | Northern Italy | Italy | Southwestern Europe
23,Q100235481,Aristide Naccari,1848.0,historian,Western Europe | Northern Italy | Italy | Southwestern Europe
24,Q100239254,Modeste Schickelé,1836.0,historian,Northwestern Europe | Western Europe | France | Northern France
25,Q100251674,Jan Ludwik Bromirski,1794.0,economist,Eastern Europe | Central Europe
26,Q100257,Joachim Lütkemann,1608.0,theologian,Northwestern Europe | Western Europe | German world | Germany
27,Q100269611,Andrzej Schonflissius,1590.0,theologian,Eastern Europe | Central Europe
28,Q100275,Martin Faustmann,1822.0,botanist,Northwestern Europe | Western Europe | German world | Germany
29,Q100276765,Charles-Henri Tabareau,1790.0,physicist,Northwestern Europe | Western Europe | Southern France | France
30,Q100277,Moritz Fleischer,1843.0,chemist,Northwestern Europe | Western Europe | German world | Germany
31,Q100280,Armin Baltzer,1842.0,geologist,Northwestern Europe | Western Europe | German world | Switzerland
32,Q100288,Otto Willmann,1839.0,philosopher | philosopher,Eastern Europe | Central Europe
33,Q1003114,Géza Forster,1850.0,botanist,Eastern Europe | Central Europe
34,Q1003117,János Forster,1810.0,botanist,Eastern Europe | Central Europe
35,Q100326,Johann Friedrich Fischer,1726.0,philosopher,Northwestern Europe | Western Europe | German world | Germany
36,Q100327378,Aleksander Batowski,1799.0,historian,Eastern Europe | Slav world
37,Q100330715,Helena Magenbuch,1523.0,pharmacologist | pharmacologist | pharmacologist | chemist | chemist | chemist,Northwestern Europe | Western Europe | German world | Germany
38,Q100331569,Francesco Attardi,1820.0,philosopher,Western Europe | Italy | Southwestern Europe | Southern Italy
39,Q1003450,Francisco Xavier de Garma y Duràn,1708.0,geographer,Western Europe | Southwestern Europe | Spain
40,Q100346,Johann Heinrich Voigt,1613.0,astronomer | astronomer | mathematician | mathematician,Northwestern Europe | Western Europe | France | Northern France
41,Q100362120,Zachariasz Modzelewski,1648.0,philosopher,Eastern Europe | Slav world
42,Q1003646,József Franzenau,1802.0,zoologist,Eastern Europe | Ottoman world
43,Q1003677,François de Belleforest,1530.0,historian,Northwestern Europe | Western Europe | Southern France | France
44,Q1003681,François d'Aguilon,1567.0,physicist | physicist | mathematician | mathematician,Northwestern Europe | Western Europe | Belgium | Low countries
45,Q100371270,Maximilian Percelli,1648.0,philosopher,Western Europe | Northern Italy | Italy | Southwestern Europe
46,Q100371297,Johannes Kornmann,1587.0,historian,Northwestern Europe | Western Europe | German world | Germany
47,Q1003828,Simon Friedrich Frenzel,1636.0,philosopher,Northwestern Europe | Western Europe | German world | Germany
48,Q100387365,Karl Gustav Auermann,1843.0,historian,Northwestern Europe | Western Europe | German world | Germany
49,Q1003892,Johannes Fridelius,1638.0,zoologist,Eastern Europe | Central Europe
50,Q1003905,János Fridvalszky,1740.0,botanist | botanist,Eastern Europe | Central Europe
51,Q1003947,Friedrich Firnhaber,1818.0,historian,Northwestern Europe | Western Europe | German world | Austria
52,Q1003987,Gergely Friesenhof,1840.0,meteorologist,Eastern Europe | Central Europe
53,Q1004050,János Frivaldszky,1822.0,zoologist | zoologist,Eastern Europe | Central Europe
54,Q1004128,Frutolf of Michelsberg,1038.0,musicologist | musicologist | historian | historian,Northwestern Europe | Western Europe | German world | Germany
55,Q1004178,Róbert Fröhlich,1844.0,archeologist,Eastern Europe | Central Europe
56,Q100445,Johann Ernst Zeiher,1725.0,physicist | physicist | mathematician | mathematician,Northwestern Europe | Western Europe | German world | Germany
57,Q1004517,Sámuel Fábri,1769.0,botanist,Eastern Europe | Central Europe
58,Q1004524,János Fábry,1830.0,botanist,Eastern Europe | Central Europe
59,Q100457,Michael Ranft,1700.0,historian,Northwestern Europe | Western Europe | German world | Germany
60,Q1004586,István Fászl,1838.0,zoologist | zoologist,Eastern Europe | Central Europe
61,Q100460,August Ephraim Kramer,1817.0,mathematician,Northwestern Europe | Western Europe | German world | Germany
62,Q100465,Karl Franz Lubert Haas,1722.0,theologian | theologian | theologian | philosopher | philosopher | philosopher | historian | historian | historian,Northwestern Europe | Western Europe | German world | Germany
63,Q1004779,Elek Fényes,1807.0,geographer | geographer,Eastern Europe | Central Europe
64,Q1004812,Gyula Fényi,1845.0,astronomer,Eastern Europe | Central Europe
65,Q100484,Theodor Brieger,1842.0,theologian,Northwestern Europe | Western Europe | German world | Germany
66,Q100487,Theodor Schreiber,1848.0,archeologist,Northwestern Europe | Western Europe | German world | Germany
67,Q100503137,Englebert Maghe,1636.0,historian,Northwestern Europe | Western Europe | Belgium | Low countries
68,Q100505,Johann Christian Nehring,1671.0,theologian,Northwestern Europe | Western Europe | German world | Germany
