,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,historian,54.61766784452296,1,1.0,1.0
1,theologian,philosopher,3733.4393404004704,20,1.0,1.0
2,theologian,historian,327.7060070671378,6,2.0,2.0
4,theologian,physicist,11.550395423186943,1,3.0,4.0
7,physicist,mathematician,917.7192254993868,9,2.0,1.0
8,physicist,philosopher,637.0665320545178,9,1.0,2.0
9,physicist,astronomer,403.9233071320401,6,3.0,3.0
14,philosopher,mathematician,17017.49510348309,46,1.0,1.0
15,philosopher,historian,6475.136678445229,34,2.0,2.0
16,philosopher,astronomer,4231.466532054518,23,3.0,3.0
24,pharmacologist,botanist,186.67196702002352,1,1.0,1.0
25,musicologist,philosopher,3020.5060070671375,18,1.0,1.0
26,musicologist,mathematician,1327.6932525660438,10,2.0,2.0
27,musicologist,astronomer,326.9789668517584,5,3.0,3.0
31,mathematician,philosopher,17017.49510348309,46,1.0,1.0
32,mathematician,astronomer,14898.209021417757,36,2.0,2.0
33,mathematician,musicologist,1327.6932525660438,10,3.0,3.0
38,historian,philosopher,6475.136678445229,34,1.0,1.0
39,historian,geographer,956.4951034830891,11,2.0,2.0
40,historian,theologian,327.7060070671378,6,3.0,3.0
48,geographer,historian,956.4951034830891,11,1.0,1.0
49,geographer,mathematician,552.0865724381625,7,2.0,2.0
50,geographer,philosopher,279.20938919737506,6,3.0,3.0
55,botanist,pharmacologist,186.67196702002352,1,3.0,1.0
56,botanist,philosopher,71.51967020023558,2,1.0,2.0
57,botanist,physicist,24.989483425879182,1,2.0,3.0
58,astronomer,mathematician,14898.209021417757,36,1.0,1.0
59,astronomer,philosopher,4231.466532054518,23,2.0,2.0
60,astronomer,physicist,403.9233071320401,6,3.0,3.0
65,anthropologist,historian,109.23533568904593,2,1.0,1.0
66,anthropologist,philosopher,26.335335689045934,1,2.0,2.0
67,anatomist,historian,71.51967020023558,2,1.0,1.0
68,anatomist,philosopher,71.51967020023558,2,2.0,2.0
69,anatomist,geographer,24.989483425879182,1,3.0,3.0
