,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,35.129090909090905,3,1.0,1.0
3,zoologist,mathematician,10.565714285714284,2,2.0,4.0
4,zoologist,philosopher,10.565714285714284,2,3.0,5.0
10,theologian,philosopher,43.70304761904761,2,1.0,1.0
11,theologian,historian,16.572518518518518,1,3.0,2.0
12,theologian,mathematician,9.988761904761905,1,2.0,3.0
13,political scientist,linguist,29.282,1,2.0,1.0
14,political scientist,philosopher,15.913142857142855,1,1.0,2.0
15,physicist,astronomer,10.272013986013986,2,2.0,1.0
16,physicist,mathematician,9.295012987012987,2,1.0,2.0
17,physicist,historian,3.248505050505051,1,3.0,3.0
26,philosopher,historian,1249.9662857142857,18,1.0,1.0
27,philosopher,astronomer,510.8255384615384,14,2.0,2.0
28,philosopher,mathematician,343.7389387755102,12,3.0,3.0
40,musicologist,astronomer,47.36005128205128,2,2.0,1.0
41,musicologist,mathematician,43.70304761904761,2,1.0,2.0
42,musicologist,linguist,18.88133333333333,1,3.0,3.0
43,meteorologist,mathematician,26.422857142857136,3,1.0,1.0
44,meteorologist,astronomer,11.644615384615385,2,3.0,2.0
45,meteorologist,philosopher,10.565714285714284,2,2.0,3.0
53,mathematician,astronomer,5473.550813186814,45,1.0,1.0
54,mathematician,philosopher,343.7389387755102,12,2.0,2.0
55,mathematician,linguist,204.974,7,3.0,3.0
67,linguist,philosopher,269.9382857142857,8,1.0,1.0
68,linguist,mathematician,204.974,7,2.0,2.0
69,linguist,astronomer,161.28492307692306,6,3.0,3.0
75,historian,philosopher,1249.9662857142857,18,1.0,1.0
76,historian,astronomer,591.6186153846154,12,2.0,2.0
77,historian,mathematician,131.10914285714287,6,3.0,3.0
90,geologist,astronomer,2.106153846153846,1,3.0,7.0
92,geologist,mathematician,1.8514285714285712,1,1.0,9.0
93,geologist,philosopher,1.8514285714285712,1,2.0,10.0
94,geographer,mathematician,120.97938461538462,7,1.0,1.0
95,geographer,historian,97.07160683760684,5,3.0,2.0
96,geographer,astronomer,94.84687573964497,6,2.0,3.0
107,economist,philosopher,23.528779220779224,3,1.0,1.0
108,economist,historian,3.248505050505051,1,3.0,2.0
117,economist,mathematician,1.5547532467532466,1,2.0,11.0
118,botanist,astronomer,48.23005594405595,4,2.0,1.0
119,botanist,philosopher,44.256051948051955,4,1.0,2.0
120,botanist,zoologist,35.129090909090905,3,3.0,3.0
129,astronomer,mathematician,5473.550813186814,45,1.0,1.0
130,astronomer,historian,591.6186153846154,12,3.0,2.0
131,astronomer,philosopher,510.8255384615384,14,2.0,3.0
142,archeologist,historian,25.813777777777776,1,1.0,1.0
143,archeologist,anthropologist,20.771272727272727,1,2.0,2.0
145,anthropologist,astronomer,10.272013986013986,2,3.0,2.0
147,anthropologist,mathematician,9.295012987012987,2,1.0,4.0
148,anthropologist,philosopher,9.295012987012987,2,2.0,5.0
155,anatomist,geographer,36.48753846153846,1,1.0,1.0
