,source,target,specificity,weight,rank_count,rank_specificity
0,zoologist,botanist,303.4877450980392,7,1.0,1.0
1,zoologist,philosopher,15.297278121775026,2,2.0,2.0
4,zoologist,theologian,5.687908496732026,1,3.0,5.0
9,theologian,philosopher,7481.332043343653,46,1.0,1.0
10,theologian,historian,2457.1764705882356,21,2.0,2.0
11,theologian,mathematician,358.04248366013064,10,3.0,3.0
22,sociologist,philosopher,24.771284829721363,2,1.0,2.0
24,sociologist,historian,9.421568627450979,1,3.0,4.0
25,sociologist,geographer,6.617647058823529,1,2.0,5.0
28,political scientist,historian,15.058823529411764,1,2.0,2.0
29,political scientist,mathematician,9.421568627450979,1,3.0,3.0
30,political scientist,philosopher,8.829979360165119,1,1.0,4.0
31,physicist,mathematician,1013.4516806722688,18,1.0,1.0
32,physicist,philosopher,660.5515443019312,15,2.0,2.0
33,physicist,astronomer,345.38787438052145,9,3.0,3.0
45,philosopher,theologian,7481.332043343653,46,1.0,1.0
46,philosopher,mathematician,1111.2261351909185,22,2.0,2.0
47,philosopher,physicist,660.5515443019312,15,3.0,3.0
64,pharmacologist,botanist,56.302871148459374,1,1.0,1.0
65,paleontologist,botanist,56.302871148459374,1,1.0,1.0
66,musicologist,mathematician,113.02124183006535,4,1.0,1.0
67,musicologist,philosopher,58.56075851393189,3,2.0,2.0
68,musicologist,physicist,34.96008403361344,2,3.0,3.0
72,meteorologist,physicist,34.96008403361344,2,1.0,1.0
75,meteorologist,geographer,6.617647058823529,1,2.0,4.0
77,meteorologist,philosopher,5.297600619195047,1,3.0,6.0
78,mathematician,astronomer,4959.773944193062,38,1.0,1.0
79,mathematician,philosopher,1111.2261351909185,22,2.0,2.0
80,mathematician,physicist,1013.4516806722688,18,3.0,3.0
96,logician,theologian,86.71078431372547,2,1.0,1.0
97,logician,historian,20.71078431372549,1,3.0,2.0
98,logician,philosopher,12.385642414860682,1,2.0,3.0
99,linguist,historian,294.1176470588236,6,1.0,1.0
100,linguist,geographer,149.531862745098,5,2.0,2.0
102,linguist,philosopher,124.39680082559339,5,3.0,4.0
107,historian,theologian,2457.1764705882356,21,1.0,1.0
108,historian,philosopher,579.1215170278638,13,2.0,2.0
109,historian,archeologist,319.3470588235294,7,3.0,3.0
119,geologist,geographer,45.1764705882353,3,1.0,1.0
121,geologist,astronomer,24.040818250377075,2,2.0,3.0
122,geologist,mathematician,16.346677559912855,2,3.0,4.0
128,geographer,mathematician,384.35294117647055,12,1.0,1.0
130,geographer,historian,96.48529411764706,5,2.0,3.0
131,geographer,astronomer,88.3318250377074,5,3.0,4.0
144,epidemiologist,physicist,27.17717086834734,1,2.0,1.0
145,epidemiologist,mathematician,20.71078431372549,1,1.0,2.0
146,economist,philosopher,124.39680082559339,5,1.0,1.0
147,economist,mathematician,45.1764705882353,3,2.0,2.0
150,economist,geographer,21.656862745098042,2,3.0,5.0
154,chemist,physicist,232.9600840336135,5,1.0,1.0
155,chemist,anatomist,209.67352941176466,4,2.0,2.0
158,chemist,botanist,7.817226890756303,1,3.0,5.0
160,botanist,zoologist,303.4877450980392,7,1.0,1.0
164,botanist,theologian,15.634453781512606,2,2.0,5.0
166,botanist,geographer,10.84593837535014,2,3.0,7.0
174,astronomer,mathematician,4959.773944193062,38,1.0,1.0
175,astronomer,physicist,345.38787438052145,9,2.0,2.0
176,astronomer,philosopher,195.7358944589982,8,3.0,3.0
187,archeologist,historian,319.3470588235294,7,1.0,1.0
188,archeologist,anthropologist,140.94127450980395,3,2.0,2.0
189,archeologist,botanist,19.485854341736694,2,3.0,3.0
197,anthropologist,historian,209.67352941176466,4,1.0,1.0
198,anthropologist,archeologist,140.94127450980395,3,2.0,2.0
200,anthropologist,geographer,8.298039215686275,1,3.0,4.0
202,anatomist,chemist,209.67352941176466,4,3.0,1.0
203,anatomist,physicist,85.42871148459385,4,2.0,2.0
204,anatomist,philosopher,60.94863261093911,4,1.0,3.0
